Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-13 00:00:00+05:30,248.8000030517578,249.1999969482422,241.10000610351562,242.5500030517578,9925,0.0,0.0,2023-10-13,274.92207794189454,18.70816106334375,293.6302390052383,256.2139168785508,312.338400068582,237.50575581520704,-96.62516702244616,-158.38681801480536,4315237,23691.580904751467,39025.54419288286,216.42485518711604,56.29186993734215,244.28333536783853,247.46666463216144,239.36667378743488,252.3833262125651,236.18334452311197,255.566655476888,231.26668294270831,-0.29907510772700974,-97.73967718440944,-12.444258220955874,-8.47731414210265,-3.966944078853224,32.18399310886478,24.62835067375465,248.05,274.92207794189454,288.2308410644531,238.16702560424804,63MOONS.BO,2023-10-15 17:21:35.978099
2,2023-10-12 00:00:00+05:30,251.39999389648438,252.1999969482422,247.0,249.1999969482422,9942,0.0,0.0,2023-10-12,277.6909660339355,17.737688229962313,295.42865426389784,259.9532778039732,313.16634249386016,242.2155895740109,-92.00080266340191,-150.80556512039206,4325162,24382.82564441953,42859.0350149157,216.40921029485207,60.826750936062545,249.46666463216147,251.93332926432294,246.73333231608075,254.66666158040366,244.26666768391928,257.1333262125651,241.53333536783856,-0.18371841138475775,-90.40323072864163,-11.601719597791316,-7.485578122389343,-4.116141475401973,34.5356030221255,23.241157007027816,252.28999938964844,277.6909660339355,288.20508850097656,237.43155410766602,63MOONS.BO,2023-10-15 17:21:35.978099
3,2023-10-11 00:00:00+05:30,245.3000030517578,257.04998779296875,244.0,252.64999389648438,43076,0.0,0.0,2023-10-11,280.28130798339845,17.13043326446671,297.41174124786517,263.15087471893173,314.5421745123319,246.02044145446501,-106.92887728908462,-149.09205456573827,4335104,107106.76493771811,47478.08735753974,216.38952828264195,60.89766902983768,251.23332722981772,258.46665445963544,245.41666666666669,264.2833150227865,238.18333943684897,271.5166422526042,232.36667887369794,-0.2505215432157193,-84.83871952179939,-11.002154856457253,-6.456542753538851,-4.545612102918402,35.79559478286215,22.099494705908484,256.6700012207031,280.28130798339845,288.29763061523437,236.61667037963866,63MOONS.BO,2023-10-15 17:21:35.978099
4,2023-10-10 00:00:00+05:30,251.89999389648438,257.04998779296875,243.25,244.85000610351562,11204,0.0,0.0,2023-10-10,283.49127502441405,17.686206974355876,301.1774819987699,265.8050680500582,318.8636889731258,248.11886107570228,-154.15191519201102,-162.92217924754252,4292028,26998.240455626943,32570.917962495147,216.2949821955817,54.48455179750966,248.38333129882812,253.51666259765625,239.7166748046875,262.1833190917969,234.58334350585938,267.316650390625,225.91668701171875,-0.3585212543775802,-97.41934499432963,-10.4076034119783,-5.3201397278092495,-5.087463684169051,30.47005847351565,20.870012227779974,259.52000122070314,283.49127502441405,288.2754827880859,235.7404685974121,63MOONS.BO,2023-10-15 17:21:35.978099
5,2023-10-09 00:00:00+05:30,262.0,262.0,250.60000610351562,251.0,7836,0.0,0.0,2023-10-09,287.1781509399414,16.874107232101355,304.0522581720428,270.30404370784004,320.9263654041441,253.4299364757387,-156.3578159867513,-150.65443614462328,4303232,19356.658606458273,33964.087339212194,216.27560347615707,55.505985807725786,254.53333536783853,258.46666463216144,247.06667073567706,265.9333292643229,243.13334147135416,269.8666585286458,235.6666768391927,-0.35291094988228616,-99.26808062002344,-8.720525819179102,-4.048273806766987,-4.672252012412115,32.440105584012414,19.545954174410802,265.6200012207031,287.1781509399414,288.44111907958984,234.93730041503906,63MOONS.BO,2023-10-15 17:21:35.978099
6,2023-10-06 00:00:00+05:30,273.3999938964844,273.3999938964844,261.3500061035156,263.75,13097,0.0,0.0,2023-10-06,290.61712341308595,16.10398745858177,306.72111087166775,274.51313595450415,322.8250983302495,258.4091484959224,-112.83319812468439,-116.03967871957086,4311068,33995.89956230046,37615.94452240068,216.2591140795845,56.015387136107236,266.1666666666667,270.98332722981775,258.933339436849,278.21665445963544,254.11667887369794,283.0333150227865,246.88335164388025,-0.3887366852677771,-94.9530398363541,-7.03410730276147,-2.8802108036639575,-4.153896499097512,37.051830307129144,18.532272889766517,271.6299987792969,290.61712341308595,288.4013150024414,234.05674026489257,63MOONS.BO,2023-10-15 17:21:35.978099
7,2023-10-05 00:00:00+05:30,271.3999938964844,273.54998779296875,267.0,271.1000061035156,7768,0.0,0.0,2023-10-05,293.2547073364258,15.788838029374162,309.04354536579996,277.4658693070516,324.83238339517413,261.67703127767743,-110.88257797749132,-97.557039943354,4324165,20725.307645905305,38520.95576242573,216.22139139808021,62.233812388583225,270.5499979654948,274.0999959309896,267.55000813802087,277.09998575846356,264.00001017252606,280.64998372395837,261.0000203450521,-0.40283217529833154,-88.31864571781685,-6.024085000639502,-1.8417366788895793,-4.182348321749923,40.103639490257564,18.12995103406487,273.7799987792969,293.2547073364258,288.35085235595704,233.08046432495118,63MOONS.BO,2023-10-15 17:21:35.978099
8,2023-10-04 00:00:00+05:30,275.0,277.45001220703125,266.1000061035156,266.8999938964844,4097,0.0,0.0,2023-10-04,295.999072265625,16.48990454374419,312.4889768093692,279.5091677218808,328.97888135311337,263.0192631781366,-146.12567271604343,-91.81721095662415,4316397,10761.598112847447,42969.86779155584,216.19552491005726,51.066342347455816,270.15000406901044,274.20000203450525,262.8499959309896,281.50001017252606,258.7999979654948,285.55000813802087,251.499989827474,-0.42475769079931436,-98.13101183378205,-5.363540608865321,-0.7961495984520981,-4.567391010413223,37.36627111746161,18.104422675797146,277.1199951171875,295.999072265625,288.2705941772461,232.02174911499023,63MOONS.BO,2023-10-15 17:21:35.978099
9,2023-10-03 00:00:00+05:30,281.04998779296875,282.3999938964844,271.70001220703125,275.3500061035156,11657,0.0,0.0,2023-10-03,298.89632415771484,16.195960722571513,315.09228488028634,282.70036343514334,331.28824560285784,266.50440271257185,-127.86684674768729,-66.15753650795071,4320494,31588.872765568805,51021.93521123293,216.18291693649203,45.83334398873197,276.48333740234375,281.26666259765625,270.5666809082031,287.1833190917969,265.7833557128906,291.9666442871094,259.86669921875,-0.44138009378591847,-92.76702400844974,-4.022940289782241,0.34569815415120775,-4.368638443933449,40.85441633083011,18.076930597662678,280.75999755859374,298.89632415771484,287.51250732421875,231.0134765625,63MOONS.BO,2023-10-15 17:21:35.978099
10,2023-09-29 00:00:00+05:30,280.0,288.20001220703125,278.0,281.04998779296875,30246,0.0,0.0,2023-09-29,301.73609771728513,16.817385340073354,318.5534830573585,284.91871237721176,335.3708683974318,268.10132703713845,-90.81615378306843,-42.53460965616409,4332151,83659.2102052927,55880.200822648956,216.14102721676736,44.240379327093564,282.4166666666667,286.83333333333337,276.6333211263021,292.61667887369794,272.21665445963544,297.0333455403646,266.43330891927087,-0.48803264833276583,-85.47922758968993,-3.077810169985298,1.43785776513457,-4.515667935119868,43.3916125112716,18.44355810295352,285.0399963378906,301.73609771728513,286.8059231567383,229.91623428344727,63MOONS.BO,2023-10-15 17:21:35.978099
11,2023-09-28 00:00:00+05:30,283.95001220703125,285.6499938964844,273.45001220703125,274.5,16766,0.0,0.0,2023-09-28,304.1542999267578,17.160026080706693,321.3143260074645,286.9942738460511,338.4743520881712,269.8342477653444,-170.23207780866923,-50.31447099189418,4301905,45293.30922088518,48935.44847698802,216.02157022115193,32.765836242422324,277.8666687011719,282.2833251953125,270.0833435058594,290.066650390625,265.66668701171875,294.4833068847656,257.88336181640625,-0.47221523040189217,-98.07074358777186,-2.3824855592067706,2.566774748914537,-4.949260308121308,39.37412218725101,19.309552549205083,287.50999755859374,304.1542999267578,286.0359957885742,228.76050231933593,63MOONS.BO,2023-10-15 17:21:35.978099
12,2023-09-27 00:00:00+05:30,284.8500061035156,295.8999938964844,282.79998779296875,287.79998779296875,27867,0.0,0.0,2023-09-27,306.6740356445313,16.25239954996164,322.9264351944929,290.42163609456964,339.17883474445455,274.169236544608,-77.27402642364402,-17.49544647165975,4318671,78930.20494109389,49845.98329101373,215.96185192252176,45.65333815948767,288.8333231608073,294.86665852864587,281.76665242513025,301.93332926432294,275.7333170572917,307.9666646321615,268.6666463216146,-0.41898870342999583,-86.20677305480459,-0.8110865315660476,3.804089825944864,-4.6151763575109115,45.45686078701971,20.01722933821736,289.7199951171875,306.6740356445313,284.85176940917967,227.72986572265626,63MOONS.BO,2023-10-15 17:21:35.978099
13,2023-09-26 00:00:00+05:30,292.25,294.29998779296875,283.45001220703125,285.1000061035156,12763,0.0,0.0,2023-09-26,308.8044006347656,16.439582844040597,325.24398347880623,292.364817790725,341.6835663228468,275.92523494668444,-117.0849051634435,-17.676784035845998,4290804,35810.6527654577,42574.92787849368,215.8397098425399,33.09839776630665,287.6166687011719,291.7833251953125,280.933349609375,298.4666442871094,276.7666931152344,302.63330078125,270.0833740234375,-0.45669611572159635,-91.81532376660721,-0.0967776874309152,4.957883915322592,-5.054661602753507,43.82083172605241,21.48736713456625,290.50999755859374,308.8044006347656,283.36677917480466,226.54040451049804,63MOONS.BO,2023-10-15 17:21:35.978099
14,2023-09-25 00:00:00+05:30,297.8500061035156,305.25,292.29998779296875,296.75,12575,0.0,0.0,2023-09-25,311.9388656616211,17.61632758451862,329.5551932461397,294.3225380771025,347.1715208306583,276.70621049258386,-3.790012257692527,10.842086342955637,4303567,36724.92884584234,44265.99665675267,215.78573449186777,45.98621424854613,298.09999593098956,303.9000040690104,290.94999186197913,311.0500081380208,285.1499837239583,316.85001627604163,277.9999796549479,-0.32415500236501216,-71.72541159635084,1.085127706482524,6.221549316010968,-5.136421609528444,49.80652727597617,22.94221136748499,292.4199951171875,311.9388656616211,281.75898895263674,225.3918487548828,63MOONS.BO,2023-10-15 17:21:35.978099
15,2023-09-22 00:00:00+05:30,288.29998779296875,299.75,282.8500061035156,293.3999938964844,10534,0.0,0.0,2023-09-22,314.13574066162107,18.34698038350112,332.48272104512216,295.78876027812,350.8297014286233,277.44177989461883,-63.78762474772451,-1.3456590905971262,4290992,30416.94945993729,46151.26360948025,215.72351974679057,38.204626128545094,292.0,301.1499938964844,284.25,308.8999938964844,275.1000061035156,318.04998779296875,267.3500061035156,-0.18574768020309074,-77.83955712262711,1.434535551210672,7.505654718393078,-6.071119167182406,47.90653674495052,24.209281005951325,291.4139770507812,314.13574066162107,279.83079193115236,224.09798858642577,63MOONS.BO,2023-10-15 17:21:35.978099
16,2023-09-21 00:00:00+05:30,290.0,290.0,280.79998779296875,285.54998779296875,8445,0.0,0.0,2023-09-21,315.6906112670898,17.806950974951253,333.49756224204106,297.8836602921386,351.30451321699235,280.0767093171873,-110.22246966562668,-13.954282074496215,4280458,23732.530162710438,50084.842146865994,215.67348699191373,58.914566956470985,285.4499918619792,290.0999959309896,280.89998372395837,294.65000406901044,276.24997965494794,299.30000813802087,271.6999715169271,-0.21750828474821302,-92.69820175167324,2.1900729300162425,9.023434510188679,-6.833361580172436,43.23071691451218,25.981082030284725,292.4983154296875,315.6906112670898,277.3021258544922,222.88480819702147,63MOONS.BO,2023-10-15 17:21:35.978099
