Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-14 00:00:00+05:30,93.94999694824219,93.94999694824219,91.0,93.9000015258789,232,0.0,0.0,2023-12-14,87.09050064086914,4.535756517395235,91.62625715826437,82.55474412347391,96.16201367565961,78.01898760607867,75.22841301890367,141.7579913744824,17553,445.49692585336555,603.8241511026143,61.83535545257362,59.96919106927209,92.9499994913737,94.8999989827474,91.95000203450522,95.89999643961589,90.00000254313152,97.84999593098959,89.00000508626303,,-15.798698225908698,2.742870889926934,2.0428121740285237,0.7000587158984102,61.63757615393864,30.635150694208942,92.86600036621094,87.09050064086914,81.61060028076172,78.56360000610351,ADL.BO,2023-12-14 11:21:09.964415
2,2023-12-12 00:00:00+05:30,91.52999877929688,94.98999786376953,91.52999877929688,94.97000122070312,355,0.0,0.0,2023-12-12,86.54550056457519,4.3244168943312165,90.86991745890641,82.22108367024397,95.19433435323762,77.89666677591276,104.50701952056434,162.21908438640705,17785,689.4549975731047,643.4059574149264,61.81103140910813,69.62547668429524,93.82999928792317,96.12999979654947,92.67000071207681,97.28999837239583,90.37000020345052,99.58999888102213,89.21000162760416,,-9.537727341720164,2.5422366049543967,1.867797495053921,0.6744391099004758,63.61558649473532,31.123030038905185,91.73800048828124,86.54550056457519,81.1468002319336,78.37909996032715,ADL.BO,2023-12-14 11:21:09.964415
3,2023-12-11 00:00:00+05:30,95.0,95.0,88.06999969482422,91.52999877929688,815,0.0,0.0,2023-12-11,85.85750045776368,3.9956524389390413,89.85315289670272,81.86184801882463,93.84880533564176,77.8661955798856,79.72865477506663,133.66068297380727,17430,1525.499932053147,631.8936973753819,61.772496429754355,64.51767248150486,91.53333282470703,94.99666595458984,88.06666564941406,98.46333312988281,84.60333251953125,101.92666625976562,81.13666534423828,,-29.666476192176855,2.1414664276590685,1.6991877175788017,0.44227871008026676,59.76058407080217,31.47889749699716,89.55599975585938,85.85750045776368,80.70760025024414,78.12449996948243,ADL.BO,2023-12-14 11:21:09.964415
4,2023-12-08 00:00:00+05:30,91.93000030517578,92.0,91.93000030517578,92.0,225,0.0,0.0,2023-12-08,85.50900039672851,3.7725934159402432,89.28159381266876,81.73640698078826,93.054187228609,77.96381356484802,92.60902677782306,144.38415669747764,18245,423.31287022649997,408.49213870594053,61.69289147990919,91.1135780206517,91.97666676839192,92.02333323160806,91.95333353678384,92.04666646321614,91.9066670735677,92.09333292643228,91.88333384195963,,-26.91632217569486,1.9347008134170522,1.5886180400587349,0.3460827733583174,60.57483117197496,31.86213937494236,87.94600067138671,85.50900039672851,80.3970002746582,77.9325,ADL.BO,2023-12-14 11:21:09.964415
5,2023-12-07 00:00:00+05:30,92.23999786376953,92.23999786376953,90.0,91.93000030517578,779,0.0,0.0,2023-12-07,85.35900039672852,3.55424699951961,88.91324739624812,81.80475339720891,92.46749439576774,78.25050639768929,101.48284080417884,142.2156248700671,18020,1464.488098222915,404.78695582580065,61.67049220973234,90.68516335595727,91.38999938964844,92.77999877929688,90.54000091552734,93.62999725341797,89.1500015258789,95.0199966430664,88.30000305175781,,-27.325916732886313,1.5943765232437528,1.5020973467191556,0.09227917652459716,60.500400905454335,31.055523177222543,85.44800109863282,85.35900039672852,80.08700027465821,77.70139999389649,ADL.BO,2023-12-14 11:21:09.964415
6,2023-12-06 00:00:00+05:30,88.26000213623047,88.26000213623047,88.26000213623047,88.26000213623047,1,0.0,0.0,2023-12-06,85.12900047302246,3.2417471775303577,88.37074765055281,81.8872532954921,91.61249482808317,78.64550611796174,62.17699407507499,101.3010287139746,17241,1.80490796282535,139.861670226522,61.59286412257306,79.23715329585784,88.26000213623047,88.26000213623047,88.26000213623047,88.26000213623047,88.26000213623047,88.26000213623047,88.26000213623047,,-48.80045713877555,1.1413949925387499,1.4790275525880061,-0.33763256004925624,56.502584900343884,30.186859579678124,83.74200134277343,85.12900047302246,79.75340026855469,77.485,ADL.BO,2023-12-14 11:21:09.964415
7,2023-12-05 00:00:00+05:30,84.05999755859375,84.05999755859375,84.05999755859375,84.05999755859375,75,0.0,0.0,2023-12-05,85.00800018310547,3.1629357848211637,88.17093596792662,81.84506439828431,91.3338717527478,78.68212861346314,-25.124100415841877,43.159942477422646,17240,128.926372600583,174.37586079244613,61.59277630177039,81.62539209849297,84.05999755859375,84.05999755859375,84.05999755859375,84.05999755859375,84.05999755859375,84.05999755859375,84.05999755859375,,-73.37626449763842,0.9055867161907685,1.5634356926003201,-0.6578489764095516,51.26042322431063,29.8073839471975,82.89800109863282,85.00800018310547,79.52940017700195,77.31549995422364,ADL.BO,2023-12-14 11:21:09.964415
8,2023-12-01 00:00:00+05:30,83.4800033569336,83.4800033569336,83.4800033569336,83.4800033569336,12,0.0,0.0,2023-12-01,85.20350036621093,3.2215510120200954,88.42505137823103,81.98194935419083,91.64660239025112,78.76039834217075,-41.664484026780414,37.79672839571989,17165,20.485889755096476,185.73823284041194,61.58722571495687,81.13624185200483,83.4800033569336,83.4800033569336,83.4800033569336,83.4800033569336,83.4800033569336,83.4800033569336,83.4800033569336,,-76.77002883902823,1.0035964690247425,1.727897936702708,-0.7243014676779655,50.49537867622991,30.097738126493407,83.63800201416015,85.20350036621093,79.41800018310546,77.15409996032714,ADL.BO,2023-12-14 11:21:09.964415
9,2023-11-28 00:00:00+05:30,79.51000213623047,79.51000213623047,79.51000213623047,79.51000213623047,125,0.0,0.0,2023-11-28,85.22950019836426,3.208983105882513,88.43848330424677,82.02051709248175,91.64746641012928,78.81153398659924,-148.78634547243078,-13.978409429028105,17153,203.24642038649077,227.05131861174078,61.586360293709824,80.968263526257,79.51000213623047,79.51000213623047,79.51000213623047,79.51000213623047,79.51000213623047,79.51000213623047,79.51000213623047,,-100.0,1.1709932865434922,1.9089733036221994,-0.7379800170787072,45.00915943643283,30.514485997346576,85.34200134277344,85.22950019836426,79.31820007324218,76.96619995117187,ADL.BO,2023-12-14 11:21:09.964415
10,2023-11-24 00:00:00+05:30,82.36000061035156,83.4000015258789,82.36000061035156,83.4000015258789,27,0.0,0.0,2023-11-24,85.35200004577636,3.0203758401686476,88.37237588594502,82.33162420560771,91.39275172611366,79.31124836543907,-73.99934505140108,36.54652152138757,17278,46.04907916019254,233.00254316805328,61.578976822633585,86.02829668915088,83.05333455403645,83.74666849772134,82.706667582194,84.0933354695638,82.01333363850911,84.78666941324869,81.66666666666666,,-84.7239755898579,1.758554585458043,2.093468307891876,-0.334913722433833,50.05649609686369,31.72536820253183,87.42000122070313,85.35200004577636,79.30380004882812,76.80609992980958,ADL.BO,2023-12-14 11:21:09.964415
