Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-11 00:00:00+05:30,379.0,392.70001220703125,375.25,390.1000061035156,1041312,0.0,0.0,2023-12-11,343.2124984741211,26.385968741931084,369.5984672160522,316.82652973219,395.9844359579833,290.4405609902589,159.2104414420588,190.91688308694953,130575500,1798808.2716283123,1632894.1563114151,289.7977465729769,87.8263749614739,386.0166727701823,396.7833455403646,379.33333333333337,403.46668497721356,368.56666056315106,414.23335774739587,361.8833211263021,0.3543150775311601,-3.0338456629791564,16.765210874039724,12.446819178634879,4.318391695404845,76.0984760951925,45.68547403219827,372.84999389648436,343.2124984741211,323.97900024414065,341.62992401123046,AEGISCHEM.NS,2023-12-11 10:42:58.590582
2,2023-12-08 00:00:00+05:30,377.70001220703125,379.3999938964844,373.6000061035156,377.1499938964844,541398,0.0,0.0,2023-12-08,339.49999847412107,24.605072299691745,364.1050707738128,314.8949261744293,388.7101430735046,290.28985387473756,113.4347600467876,183.50071983453233,129534188,904188.1224335829,1591415.6274821907,289.5513386487542,86.07530589758647,376.71666463216144,379.83332316080725,374.0333353678385,382.5166524251302,370.9166768391927,385.633310953776,368.23334757486975,0.43615544947595913,-3.107735068620298,15.33280015179588,11.367221254783669,3.965578897012211,72.41448194554805,44.30979807226287,367.50999145507814,339.49999847412107,322.6570001220703,341.2283013916016,AEGISCHEM.NS,2023-12-11 10:42:58.590582
3,2023-12-07 00:00:00+05:30,358.29998779296875,378.8999938964844,354.1000061035156,375.3999938964844,1376817,0.0,0.0,2023-12-07,335.3449981689453,24.92692777687875,360.2719259458241,310.41807039206657,385.19885372270284,285.4911426151878,76.48834723721987,177.21917493886914,128992790,2288750.8921883055,1763222.5037443424,289.43930919231815,84.33493808460612,369.46666463216144,384.83332316080725,360.0333353678385,394.2666524251302,344.6666768391927,409.633310953776,335.23334757486975,0.42060118295613225,-4.8678724577348484,14.541945199739814,10.375826530530617,4.166118669209197,71.87043043043846,43.3921015769167,365.939990234375,335.3449981689453,321.605,340.89806274414065,AEGISCHEM.NS,2023-12-11 10:42:58.590582
4,2023-12-06 00:00:00+05:30,363.8500061035156,365.6499938964844,356.70001220703125,357.79998779296875,428081,0.0,0.0,2023-12-06,331.2999984741211,24.647358758406497,355.94735723252757,306.6526397157146,380.5947159909341,282.00528095730806,44.12525979222389,158.821000355178,127615973,678257.0545468434,1631840.4066333515,289.1588246071252,83.52038450587592,360.0499979654948,363.39998372395837,354.45000203450525,368.99997965494794,351.1000162760417,372.3499654134115,345.5000203450521,0.39947715433174547,-26.001467866743305,13.481427189914427,9.334296863228316,4.147130326686112,65.51976860338792,42.427621452787164,365.2499938964844,331.2999984741211,320.73,340.6901318359375,AEGISCHEM.NS,2023-12-11 10:42:58.590582
5,2023-12-05 00:00:00+05:30,365.1499938964844,366.20001220703125,360.70001220703125,363.79998779296875,570669,0.0,0.0,2023-12-05,328.1224990844727,25.14262106584777,353.26512015032046,302.9798780186249,378.40774121616823,277.8372569527771,71.65353296542546,185.23270163059925,128044054,919337.5671222296,1870236.2446549784,289.0891163343849,86.02605054580573,363.56667073567706,366.4333292643229,360.9333292643229,369.06667073567706,358.06667073567706,371.9333292643229,355.4333292643229,0.39296117383928036,-17.261481656333366,13.652712654349102,8.297514281556788,5.355198372792314,70.56272413185937,42.103274048238575,363.4599975585937,328.1224990844727,320.1910003662109,340.716813659668,AEGISCHEM.NS,2023-12-11 10:42:58.590582
6,2023-12-04 00:00:00+05:30,372.3500061035156,374.29998779296875,361.6000061035156,363.3999938964844,808244,0.0,0.0,2023-12-04,324.0949996948242,25.574575608995456,349.66957530381967,298.5204240858287,375.2441509128151,272.9458484768333,96.61750818267325,213.36946334522935,127473385,1300635.0418612866,2107960.9140381655,288.987834823963,89.71689945608895,366.43332926432294,371.26665242513025,358.5666707356771,379.13331095377606,353.7333475748698,383.96663411458337,345.866689046224,0.3171200523756855,-17.844138512920296,13.074241579960926,6.958714688358708,6.115526891602218,70.4217924310116,41.045832926532675,359.57000122070315,324.0949996948242,319.5560003662109,340.6636267089844,AEGISCHEM.NS,2023-12-11 10:42:58.590582
7,2023-12-01 00:00:00+05:30,374.45001220703125,375.6499938964844,365.3999938964844,369.29998779296875,950919,0.0,0.0,2023-12-01,320.4,24.927252486323695,345.3272524863237,295.47274751367627,370.2545049726474,270.54549502735256,131.218350683054,249.36842967476647,128281629,1555073.2969993593,2309792.382082385,288.844687532738,94.84414886768613,370.1166585286458,374.83332316080725,364.58332316080725,380.3666585286458,359.8666585286458,385.08332316080725,354.33332316080725,0.359767974009589,-9.249827630124253,12.17492207937596,5.429832965458154,6.745089113917807,75.36352959079602,39.74772208988291,355.85,320.4,318.9970007324219,340.3904196166992,AEGISCHEM.NS,2023-12-11 10:42:58.590582
8,2023-11-30 00:00:00+05:30,348.0,374.0,346.1000061035156,371.95001220703125,2994443,0.0,0.0,2023-11-30,316.1125,23.401587758017435,339.51408775801747,292.71091224198256,362.91567551603487,269.30932448396516,150.1301601183719,240.49428366697347,129232548,4932063.659777979,2498472.1533531416,288.6621807654274,95.8017029087662,364.0166727701823,381.933339436849,354.0333455403646,391.9166666666667,336.11667887369794,409.83333333333337,326.13335164388025,0.36460098452070333,-2.4878494475910555,10.257992076255391,3.743560686978702,6.514431389276689,77.63571250416345,37.68199059631921,347.32000122070315,316.1125,318.2070007324219,340.1287466430664,AEGISCHEM.NS,2023-12-11 10:42:58.590582
9,2023-11-29 00:00:00+05:30,346.6499938964844,351.0,343.0,348.8500061035156,485198,0.0,0.0,2023-11-29,312.13499908447267,19.911774865914214,332.04677395038686,292.22322421855847,351.9585488163011,272.3114493526442,129.6409289974966,171.8055599134553,126238105,749524.4123655509,1890074.276746932,288.0629531671558,95.16255701132998,347.6166687011719,352.23333740234375,344.23333740234375,355.6166687011719,339.6166687011719,360.23333740234375,336.23333740234375,0.30411502815906566,-3.61951871616543,7.387329409113761,2.114952839659529,5.272376569454232,70.4159896189702,35.51558716434693,338.67999877929685,312.13499908447267,317.5710003662109,339.9165713500977,AEGISCHEM.NS,2023-12-11 10:42:58.590582
10,2023-11-28 00:00:00+05:30,346.0,348.0,343.04998779296875,344.3500061035156,557047,0.0,0.0,2023-11-28,309.49999847412107,18.211853967918284,327.71185244203934,291.2881445062028,345.9237064099576,273.0762905382845,170.48347921550453,164.614956944592,125752907,849415.1062293646,2175211.742842277,287.9920066834063,95.27682633701826,345.1333312988281,347.2166748046875,342.26666259765625,350.0833435058594,340.1833190917969,352.16668701171875,337.316650390625,0.2973990479219839,-6.320335751488095,5.875082665026866,0.7968586972959713,5.078223967730895,68.58126895248662,34.27337940193701,331.5,309.49999847412107,317.3940002441406,339.68902404785155,AEGISCHEM.NS,2023-12-11 10:42:58.590582
