Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
1,2023-08-11 00:00:00+05:30,746.5,760.7999877929688,734.4000244140625,742.0999755859375,15086,0.0,0.0,2023-08-11,721.5955207743164,685.5982759071123,66.64965344667606,40.408511362115085,699.6720822275281,693.7549987792969,741.6299656364762,35.99724486720402,33.23917397620319,693.7549987792969,45.78195678834945,739.5369555676464,647.9730419909474,785.3189123559957,602.1910852025981,AHLUCONT.BO,2023-08-11 13:56:00.417679
2,2023-08-10 00:00:00+05:30,763.0999755859375,769.4500122070312,737.0,743.0,15936,0.0,0.0,2023-08-10,717.8674380812943,681.0781399328063,66.96729710494267,39.121374345182026,695.2059881898008,687.0475006103516,741.3949606617455,36.789298148488,32.54965625345298,687.0475006103516,48.094869014293835,735.1423696246454,638.9526315960577,783.2372386389393,590.8577625817638,AHLUCONT.BO,2023-08-11 13:56:00.417679
3,2023-08-09 00:00:00+05:30,738.2000122070312,774.0,733.7999877929688,768.25,10669,0.0,0.0,2023-08-09,713.2978813688022,676.1243911274307,76.46052130975984,37.48800066861538,690.1750395782008,680.4100006103515,740.5924409926182,37.173490241371496,31.489745779694218,680.4100006103515,49.11600546910818,729.5260060794596,631.2939951412434,778.6420115485679,582.1779896721351,AHLUCONT.BO,2023-08-11 13:56:00.417679
4,2023-08-08 00:00:00+05:30,759.9500122070312,765.5,726.9000244140625,732.2000122070312,3357,0.0,0.0,2023-08-08,703.3065870722207,668.7543424176253,71.01277597441327,35.72898286308207,681.9566226916957,672.9800018310547,726.7636614889273,34.552244654595484,30.068809664274895,672.9800018310547,46.2869024608479,719.2669042919026,626.6930993702067,765.5538067527505,580.4061969093589,AHLUCONT.BO,2023-08-11 13:56:00.417679
5,2023-08-07 00:00:00+05:30,727.75,753.0499877929688,727.75,749.9500122070312,3190,0.0,0.0,2023-08-07,698.0532370477097,663.6786888344728,79.41579289635449,34.0212336805556,676.6678448479761,667.3900024414063,724.0454861298753,34.374548213236835,28.947950916694747,667.3900024414063,45.50289289918315,712.8928953405895,621.8871095422231,758.3957882397726,576.38421664304,AHLUCONT.BO,2023-08-11 13:56:00.417679
6,2023-08-04 00:00:00+05:30,708.7000122070312,756.0,708.7000122070312,741.75,7166,0.0,0.0,2023-08-04,688.6174597460149,656.7769829646682,78.31504441051197,32.47584775964184,668.9539324943913,660.7875030517578,711.0932230912972,31.84047678134675,27.591301592559223,660.7875030517578,42.36495245298928,703.1524555047471,618.4225505987685,745.5174079577363,576.0575981457793,AHLUCONT.BO,2023-08-11 13:56:00.417679
7,2023-08-03 00:00:00+05:30,719.4000244140625,719.4000244140625,699.0,703.3499755859375,2562,0.0,0.0,2023-08-03,678.9569978816539,649.9791416018415,71.74473095053935,30.81158599865778,661.2911885464325,655.0525024414062,695.7648346369458,28.977856279812386,26.52900779536234,655.0525024414062,38.406745648090336,693.4592480894966,616.6457567933159,731.8659937375869,578.2390111452255,AHLUCONT.BO,2023-08-11 13:56:00.417679
8,2023-07-28 00:00:00+05:30,720.5,720.5,696.0999755859375,699.4500122070312,1249,0.0,0.0,2023-07-28,674.5219110263296,645.7094748831138,70.91360636557181,30.074094628005213,656.863947805432,651.2400024414062,691.97226416245,28.81243614321579,25.916795674249826,651.2400024414062,37.12317961847385,688.36318205988,614.1168228229324,725.4863616783539,576.9936432044585,AHLUCONT.BO,2023-08-11 13:56:00.417679
9,2023-07-26 00:00:00+05:30,682.7000122070312,709.1500244140625,682.7000122070312,704.2000122070312,5346,0.0,0.0,2023-07-26,669.9895289934747,641.4102318972003,73.35385421720152,29.279873151917833,652.381204184211,647.1200012207031,688.2333901401593,28.57929709627433,25.19288555700833,647.1200012207031,36.04802549057281,683.168026711276,611.0719757301302,719.2160522018487,575.0239502395575,AHLUCONT.BO,2023-08-11 13:56:00.417679
10,2023-07-24 00:00:00+05:30,680.1500244140625,691.3499755859375,672.5,682.1500244140625,3841,0.0,0.0,2023-07-24,663.7694411364645,636.3870494724139,68.71299167381517,28.82268650820935,646.9265928133879,643.4100006103515,680.2500791067232,27.3823916640506,24.34628267219183,643.4100006103515,33.59936355179811,677.0093641621496,609.8106370585534,710.6087277139477,576.2112735067553,AHLUCONT.BO,2023-08-11 13:56:00.417679
11,2023-07-21 00:00:00+05:30,672.5499877929688,688.5499877929688,658.0,685.4000244140625,4950,0.0,0.0,2023-07-21,660.4275169041739,632.726011477082,70.39091060087266,29.051684409355207,643.2188631712115,640.7049987792968,679.3001064530536,27.701505427091888,23.587255424227134,640.7049987792968,32.475275811761755,673.1802745910586,608.229722967535,705.6555504028204,575.7544471557733,AHLUCONT.BO,2023-08-11 13:56:00.417679
12,2023-07-20 00:00:00+05:30,670.0,692.8499755859375,670.0,677.0999755859375,5557,0.0,0.0,2023-07-20,655.8870609932851,628.5120904421235,68.57089915211556,29.421522112887672,638.7787409351221,635.7574981689453,676.2501474725491,27.374970551161596,22.558692923510947,635.7574981689453,32.843031983588816,668.6005301525341,602.9144661853564,701.4435621361229,570.0714342017677,AHLUCONT.BO,2023-08-11 13:56:00.417679
13,2023-07-19 00:00:00+05:30,689.5999755859375,692.0499877929688,685.0499877929688,688.2999877929688,2660,0.0,0.0,2023-07-19,652.0301674309846,624.6250596306184,74.2929529454249,28.920900196770837,634.7449267613521,631.0625,675.8252334158549,27.405107800366295,21.35462351659828,631.0625,33.32997622116098,664.392476221161,597.732523778839,697.7224524423219,564.4025475576781,AHLUCONT.BO,2023-08-11 13:56:00.417679
14,2023-07-17 00:00:00+05:30,686.0499877929688,699.1500244140625,681.6500244140625,686.5499877929688,8574,0.0,0.0,2023-07-17,645.4356546378967,619.5310653776303,73.97789542366857,27.09556898264801,629.1075519159187,625.0700012207031,669.587856227298,25.904589260266448,19.842002445656277,625.0700012207031,33.27149227787471,658.3414934985778,591.7985089428284,691.6129857764525,558.5270166649537,AHLUCONT.BO,2023-08-11 13:56:00.417679
15,2023-07-14 00:00:00+05:30,695.0,697.7000122070312,676.0,685.0,12430,0.0,0.0,2023-07-14,637.9603213369745,614.1695515844033,73.71293024476887,25.12982767513112,623.0609797183345,619.6850006103516,661.1067904444625,23.790769752571236,18.32635574200373,619.6850006103516,31.46375455129575,651.1487551616474,588.2212460590558,682.6125097129432,556.75749150776,AHLUCONT.BO,2023-08-11 13:56:00.417679
16,2023-07-10 00:00:00+05:30,679.9500122070312,691.7999877929688,662.2000122070312,686.2000122070312,7026,0.0,0.0,2023-07-10,629.4076524891517,608.5031157111555,74.25648794846876,23.0504799698603,616.5410828465801,614.7125,649.1601856666937,20.904536777996213,16.960252239361854,614.7125,28.297316096643332,643.0098160966434,586.4151839033566,671.3071321932866,558.1178678067133,AHLUCONT.BO,2023-08-11 13:56:00.417679
