Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-08-25 00:00:00+05:30,80.51000213623047,80.5999984741211,79.38999938964844,80.02999877929688,13671,0.0,0.0,2023-08-25,80.2595001220703,1.9543031270967846,82.21380324916709,78.30519699497353,84.16810637626388,76.35089386787674,-34.422897268655596,56.70384570759686,2092267,10647.15952521718,32682.267471116505,85.65872202007962,67.01720957838278,80.0066655476888,80.62333170572916,79.4133326212565,81.21666463216145,78.79666646321614,81.83333079020181,78.20333353678384,-0.12835548824848422,-65.58385971023036,1.2452764328991748,1.7313309552950034,-0.4860545223958286,55.28304687524193,37.22094806946209,79.77400054931641,80.2595001220703,75.06860015869141,68.67200008392334,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
2,2023-08-24 00:00:00+05:30,80.12000274658203,80.80000305175781,79.6500015258789,79.7699966430664,27365,0.0,0.0,2023-08-24,80.18600006103516,1.9906929031252303,82.1766929641604,78.19530715790992,84.16738586728562,76.2046142547847,-37.07906976207094,61.01480936945907,2078596,21242.992402595883,38191.044457591335,85.66297234289446,70.57302523175159,80.07333374023438,80.49666595458984,79.34666442871094,81.22333526611328,78.92333221435547,81.64666748046875,78.19666290283203,-0.11493945832122021,-67.86658271429624,1.3458106546652857,1.8528445858939604,-0.5070339312286747,54.52510020578181,38.59346948799262,79.74600067138672,80.18600006103516,74.80000015258788,68.51660007476806,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
3,2023-08-23 00:00:00+05:30,80.9000015258789,80.9000015258789,80.0,80.2300033569336,22321,0.0,0.0,2023-08-23,79.99700012207032,2.20063701918129,82.1976371412516,77.79636310288903,84.39827416043289,75.59572608370775,-28.214712719579712,69.4954872047871,2105961,17427.340850428434,42428.057471340195,85.67189303954997,69.33448781912539,80.37666829427083,80.75333658854166,79.85333506266275,81.27666982014973,79.47666676839192,81.65333811442056,78.95333353678384,-0.12192219322501743,-63.82789317507418,1.4797401239087833,1.979603068701129,-0.4998629447923457,56.08690858297288,39.92993267843782,79.85400085449218,79.99700012207032,74.55240020751953,68.37080013275147,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
4,2023-08-22 00:00:00+05:30,79.98999786376953,81.25,78.70999908447266,80.08000183105469,52566,0.0,0.0,2023-08-22,79.85849990844727,2.2712354635571406,82.12973537200442,77.58726444489012,84.40097083556155,75.31602898133299,-52.085243865894576,66.41216834570331,2083640,40964.68999646663,48678.23662656813,85.67862077073619,78.78684771120975,80.01333363850911,81.31666819254556,78.77666727701822,82.55333455403645,77.47333272298177,83.85666910807291,76.23666636149088,-0.11708784678622078,-65.14485133062274,1.5834864328031841,2.1045688048992153,-0.5210823720960311,55.70270873388258,41.1858921249071,79.76000061035157,79.85849990844727,74.28480010986328,68.18870010375977,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
5,2023-08-21 00:00:00+05:30,78.63999938964844,80.41999816894531,78.5999984741211,78.76000213623047,51691,0.0,0.0,2023-08-21,79.66349983215332,2.4141414047662524,82.07764123691958,77.24935842738707,84.49178264168583,74.83521702262081,-97.15516687616665,57.0522563751861,2031074,39618.80032476509,50606.6232840935,85.69496849720608,78.27291548597253,79.25999959309895,79.92000071207681,78.1000010172526,81.07999928792317,77.43999989827473,81.74000040690103,76.28000132242838,-0.12831231504234022,-76.73396252955636,1.7070938053332725,2.234839397923223,-0.5277455925899504,52.29193449860286,42.5384638364894,79.6520004272461,79.66349983215332,74.02060012817383,68.00420009613038,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
6,2023-08-18 00:00:00+05:30,80.66000366210938,81.4000015258789,79.69000244140625,79.88999938964844,41745,0.0,0.0,2023-08-18,79.3569995880127,2.8792222832170724,82.23622187122977,76.47777730479562,85.11544415444685,73.59855502157855,-67.52754136747032,77.73855425797265,2082765,32454.696393764803,53353.57902392559,85.71493856879327,80.44209651782134,80.32666778564453,80.96333312988281,79.25333404541016,82.03666687011719,78.61666870117188,82.67333221435547,77.5433349609375,-0.10986109785953281,-64.27367368347798,1.9694836112395677,2.3667757960707103,-0.3972921848311426,55.70119464746135,44.24120213684937,80.69199981689454,79.3569995880127,73.7920001220703,67.82710006713867,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
7,2023-08-17 00:00:00+05:30,79.04000091552734,81.95999908447266,79.04000091552734,80.30999755859375,20999,0.0,0.0,2023-08-17,78.991499710083,3.2483218725110237,82.23982158259403,75.74317783757198,85.48814345510505,72.49485596506096,-58.64218522504994,83.76378462184071,2124510,16411.52330432136,58578.299681465774,85.72851630406886,79.93190882302342,80.43666585286458,81.83333079020181,78.9133326212565,83.35666402180989,77.51666768391927,84.75332895914713,75.99333445231119,-0.09173354799075059,-60.726390753995766,2.1642938057945145,2.466098842278496,-0.3018050364839815,56.983407158381475,45.57644932251984,81.13800048828125,78.991499710083,73.59440017700196,67.6387000656128,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
8,2023-08-16 00:00:00+05:30,76.11000061035156,80.30999755859375,76.11000061035156,79.76000213623047,45846,0.0,0.0,2023-08-16,78.58999977111816,3.558252593833067,82.14825236495122,75.0317471772851,85.7065049587843,71.47349458345202,-166.6762478056518,60.939368564311536,2103511,35585.02493932091,69119.99377575188,85.73487722796435,80.72266196765172,78.72666676839192,81.34333292643228,77.1433359781901,82.92666371663411,74.52666982014973,85.54332987467447,72.94333902994791,-0.09016803241742967,-64.93287795911105,2.3395541017937944,2.541550101399491,-0.20199599960569659,55.74463879407312,47.01440783016496,81.41200103759766,78.58999977111816,73.40060028076172,67.45560009002685,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
9,2023-08-14 00:00:00+05:30,83.80000305175781,83.80000305175781,79.25,79.54000091552734,92629,0.0,0.0,2023-08-14,78.22649955749512,3.7958463347112943,82.02234589220642,74.43065322278382,85.8181922269177,70.63480688807253,-29.14009012373301,98.7740132206231,2057665,71699.02248557794,77503.73598485961,85.75022996446805,81.32605224942645,80.86333465576172,82.47666931152344,77.92666625976562,85.41333770751953,76.3133316040039,87.02667236328125,73.37666320800781,-0.12173116136703899,-66.77852606731534,2.582658816271177,2.592049101300915,-0.009390285029737822,55.266156781353814,48.98793184364535,81.9020004272461,78.22649955749512,73.18980026245117,67.28750007629395,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
10,2023-08-11 00:00:00+05:30,85.0,87.5,83.33999633789062,83.95999908447266,180406,0.0,0.0,2023-08-11,77.91649932861328,3.933601293562383,81.85010062217567,73.9828980350509,85.78370191573805,70.04929674148852,135.2189869715101,170.44431486703854,2150294,147402.23549279882,78954.91435968003,85.78263934069939,87.50117138347896,84.93333180745442,86.52666727701822,82.36666361490884,89.0933354695638,80.77332814534505,90.6866709391276,78.20665995279947,-0.0713283737538417,-29.697998819747845,2.876442111599033,2.5943966725583496,0.28204543904068347,69.23016107701514,49.674823597323424,82.35400085449218,77.91649932861328,72.89160018920899,67.12560005187989,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
11,2023-08-10 00:00:00+05:30,82.94999694824219,82.94999694824219,81.69999694824219,82.12000274658203,39070,0.0,0.0,2023-08-10,77.34549942016602,3.8378529604557627,81.18335238062178,73.50764645971026,85.02120534107755,69.6697934992545,64.53434435502619,140.52886663541872,1969888,31222.885324472947,61843.08407640032,85.80135498548294,85.70698154550836,82.2566655476888,82.81333414713541,81.56333414713541,83.5066655476888,81.0066655476888,84.06333414713541,80.31333414713541,0.04854510448309632,-22.091619053937386,2.7736884486514413,2.5238853127981784,0.24980313585326286,65.89956897572426,47.946741969703226,81.8520004272461,77.34549942016602,72.51280014038086,66.91900005340577,ALEMBICLTD.BO,2023-08-25 11:20:06.151493
