Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-20 00:00:00+05:30,931.1500244140625,935.3499755859375,924.0,932.25,72044,0.5,0.0,2023-11-20,894.7870086669922,31.170999710167287,925.9580083771594,863.6160089568249,957.1290080873267,832.4450092466576,94.63589732368902,155.62946583826687,15991505,84547.63652440028,253563.1257003064,900.2893376704845,86.94361700928734,930.5333251953125,937.066650390625,925.7166748046875,941.88330078125,919.183349609375,948.4166259765625,914.36669921875,0.12825827836042605,-16.87676679960136,10.420658103108735,4.94769226400272,5.472965839106015,65.35147816295215,24.038853214889656,927.4120971679688,894.7870086669922,902.3864038085937,943.6277532958984,ANURAS.NS,2023-11-20 10:42:00.682199
2,2023-11-17 00:00:00+05:30,931.9995169469528,944.2429422366044,923.5040789908679,931.0999755859375,321970,0.0,0.0,2023-11-17,890.6267120361329,31.45905679339369,922.0857688295265,859.1676552427392,953.5448256229203,827.7085984493455,133.27997158617092,164.48769873855477,15919461,377383.5668811735,295816.9979942829,900.2651255890443,89.40488164431149,932.9489989378034,942.3939188847388,921.6550556390023,953.6878621835399,912.2101356920668,963.1327821304753,900.9161923932658,0.08621898384470111,-13.81304692013349,9.568478602870528,3.5794508042262168,5.989027798644311,64.94326573741421,23.897335411815877,922.1248046875,890.6267120361329,903.7446618652343,944.7781292724609,ANURAS.NS,2023-11-20 10:42:00.682199
3,2023-11-16 00:00:00+05:30,924.5035444117158,934.9479480058196,921.3552106433004,931.8995971679688,263085,0.0,0.0,2023-11-16,886.6138671875,31.141752969823695,917.7556201573236,855.4721142176763,948.8973731271474,824.3303612478526,144.81983154011263,148.36399512089542,16241431,308628.81634766,275425.35577256023,900.1603768939034,89.05289147965154,929.4009186056963,937.4466265680923,923.8538892055731,942.9936559682155,915.8081812431772,951.0393639306114,910.2611518430539,0.07026124463735746,-3.2672577552934916,8.44571363799787,2.082193854565139,6.36351978343273,65.44130192791891,23.74493162389027,916.8276489257812,886.6138671875,905.1219226074219,945.9335076904297,ANURAS.NS,2023-11-20 10:42:00.682199
4,2023-11-15 00:00:00+05:30,924.2037184829993,927.5019351467267,914.6588562431219,923.60400390625,150948,0.0,0.0,2023-11-15,882.5010711669922,30.26554633229523,912.7666174992875,852.235524834697,943.0321638315827,821.9699785024018,113.6180916422652,117.03388547496398,15978346,175502.9545943243,267124.4906287853,900.0720300776617,85.57086580349723,921.921598432033,929.184340620944,916.3412617173392,934.7646773356378,909.0785195284282,942.0274195245488,903.4981828137344,-0.06518517370910101,-8.387784569648334,6.801518282650136,0.49131390870695624,6.310204373943179,62.68440471078973,24.116097632277736,913.6593383789062,882.5010711669922,906.5761413574219,947.1518530273438,ANURAS.NS,2023-11-20 10:42:00.682199
5,2023-11-13 00:00:00+05:30,923.4041303322641,927.9017150023484,909.5615275795669,918.2069091796875,259273,0.0,0.0,2023-11-13,880.3747131347657,28.6780788984306,909.0527920331963,851.6966342363351,937.7308709316269,823.0185553379044,99.13246925891188,96.146337647915,15827398,299687.8329149872,290029.8746374005,900.0343875793953,82.0161588439322,918.5567172538676,927.5519069281684,909.2117195053869,936.8969046766491,900.2165298310862,945.8920943509498,890.8715320826054,-0.07691984895547122,-14.270128492034749,5.410386924947602,-1.0862371847788388,6.496624109726441,60.79495131819815,24.984081859910162,913.3694946289063,880.3747131347657,908.1922741699219,948.7230102539063,ANURAS.NS,2023-11-20 10:42:00.682199
6,2023-11-10 00:00:00+05:30,903.5147843070887,909.5115638489499,895.619000176013,905.8135375976562,114175,0.0,0.0,2023-11-10,878.6481414794922,27.286212984401814,905.934354463894,851.3619284950904,933.2205674482958,824.0757155106886,19.62848652072028,41.55138698845557,15568125,130191.03793967569,287615.3850680038,899.9843195952546,81.11707732778295,903.6480338742064,911.6770675723998,897.7845038994628,917.5405975471433,889.7554702012694,925.5696312453367,883.8919402265259,-0.06490539618569138,-27.77777986688297,4.0788737290664585,-2.710393212210449,6.7892669412769076,56.05409142972297,25.918834105052774,910.9707885742188,878.6481414794922,910.0332849121094,950.3711242675781,ANURAS.NS,2023-11-20 10:42:00.682199
7,2023-11-09 00:00:00+05:30,923.0543066253094,923.0543066253094,900.5164217010837,904.6141967773438,261496,0.0,0.0,2023-11-09,877.3788238525391,26.536165854219455,903.9149897067585,850.8426579983196,930.451155560978,824.3064921441002,54.006462392700975,49.46801884929773,15453950,297782.86999743007,326971.47185008577,899.9772385694841,82.56588449066564,909.394975034579,918.2735283680744,895.7356434438486,931.9328599588048,886.8570901103533,940.8114132923001,873.1977585196229,-0.08597828654578264,-29.084952622349608,3.5328915548572013,-4.407709947529676,7.940601502386877,55.57091274143799,27.6235788009149,910.900830078125,877.3788238525391,911.9982299804688,952.1411737060547,ANURAS.NS,2023-11-20 10:42:00.682199
8,2023-11-08 00:00:00+05:30,924.503521233449,931.2998592431181,913.5094253052673,916.0580444335938,332638,0.0,0.0,2023-11-08,876.2869110107422,25.795462388865392,902.0823733996076,850.4914486218768,927.877835788473,824.6959862330114,98.3333264351417,67.91416245577697,15715446,383588.97448316927,334268.62231324974,899.9643018832933,84.02761772584905,920.2891096606596,927.0687940160519,909.2783600782011,938.0795435985104,902.4986757228088,944.8592279539027,891.4879261403503,-0.05278249910938826,-16.61219623766905,2.898457161773649,-6.392860323126395,9.291317484900045,61.56286341034468,29.67185723662605,911.2706298828125,876.2869110107422,914.0041528320312,953.8222717285156,ANURAS.NS,2023-11-20 10:42:00.682199
9,2023-11-07 00:00:00+05:30,908.8119142665312,926.5024258604624,888.8726103768222,922.15478515625,638447,0.0,0.0,2023-11-07,874.3829345703125,24.05183838467756,898.4347729549901,850.3310961856349,922.4866113396677,826.2792578009573,95.59079667764513,39.9670888372518,16048084,741139.4602551572,321938.53427076986,899.9069829972372,74.46409320342053,912.5099404645116,936.147270552201,898.5174550685608,950.1397559481518,874.8801249808714,973.7770860358412,860.8876395849206,-0.007497681779616822,-4.999971044440733,0.9152272656683635,-8.715689694351406,9.63091696001977,65.03491697428123,30.8015583732648,905.5936889648438,874.3829345703125,915.9690966796875,955.510864868164,ANURAS.NS,2023-11-20 10:42:00.682199
10,2023-11-06 00:00:00+05:30,904.5142791096528,913.8092755232282,901.6158111623753,906.21337890625,81985,0.0,0.0,2023-11-06,872.3815063476562,21.384970296535883,893.7664766441922,850.9965360511203,915.151446940728,829.6115657545845,99.0159398526739,20.509653743493377,15409637,93526.81236114728,217138.302774673,899.7538531782749,54.81739725950424,907.2128218639513,912.8098325655272,900.6163682046744,919.4062862248041,895.0193575030984,925.0032969263801,888.4229038438215,-0.1443756361845614,-14.43227519175198,-2.2382116462077875,-11.123418934356348,8.88520728814856,59.49135185036886,32.34422261582878,897.777880859375,872.3815063476562,917.6122131347656,957.0800225830078,ANURAS.NS,2023-11-20 10:42:00.682199
