Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-06 00:00:00+05:30,282.8999938964844,285.8500061035156,278.1499938964844,283.75,136261,0.0,0.0,2023-10-06,291.43249969482423,10.433475507243344,301.8659752020676,280.99902418758086,312.2994507093109,270.56554868033754,-18.322219225593972,-119.36117091167924,49303720,185994.74965384987,277030.0837145746,267.7031460587325,29.584250488183145,282.5833333333333,287.01667277018225,279.316660563151,290.28334554036456,274.88332112630206,294.7166849772135,271.61664835611975,-0.33048179102917846,-69.10570248747248,-7.999586655397536,-7.906735596097012,-0.09285105930052406,40.34909133942334,34.592670445354536,279.82000122070315,291.43249969482423,307.66700073242185,331.3388543701172,APTECHT.NS,2023-10-06 10:39:45.844456
2,2023-10-05 00:00:00+05:30,277.3999938964844,281.45001220703125,272.3500061035156,280.3999938964844,171218,0.0,0.0,2023-10-05,292.5599990844727,10.772496938131518,303.3324960226042,281.7875021463412,314.10499296073573,271.01500520820963,-101.12829434481976,-154.5596575272755,49167459,230951.4336280921,299788.9172297558,267.6929459797358,37.40954910592652,278.06667073567706,283.7833353678385,274.6833292643229,287.1666768391927,268.96666463216144,292.88334147135413,265.58332316080725,-0.3659303160461636,-78.4182562266516,-8.504443250125348,-7.883522831271881,-0.6209204188534674,36.83310615242088,34.74464594358378,280.0400024414063,292.5599990844727,308.6140008544922,331.6065414428711,APTECHT.NS,2023-10-06 10:39:45.844456
3,2023-10-04 00:00:00+05:30,278.1000061035156,279.6000061035156,273.29998779296875,275.1000061035156,205006,0.0,0.0,2023-10-04,293.9024993896484,10.85010641397567,304.7526058036241,283.0523929756728,315.6027122175998,272.20228656169706,-162.39720957265925,-179.8459223979699,48996241,271300.3879802134,316998.2881301717,267.6827885654327,45.10093963007015,276.0,278.70001220703125,272.3999938964844,282.3000183105469,269.6999816894531,285.0000305175781,266.0999755859375,-0.40275698258773507,-95.04809351222424,-8.692032633936321,-7.728292726558513,-0.9637399073778088,30.84484229300918,33.87305602285141,281.27000122070314,293.9024993896484,309.4320007324219,331.9140621948242,APTECHT.NS,2023-10-06 10:39:45.844456
4,2023-10-03 00:00:00+05:30,282.79998779296875,282.8500061035156,277.1499938964844,278.6499938964844,169820,0.0,0.0,2023-10-03,295.51499938964844,10.290695676810293,305.8056950664587,285.22430371283815,316.096390743269,274.93360803602786,-135.02263972579814,-171.89584789881653,49201247,227636.0899910936,328422.7631676613,267.67568277281066,38.10472892332657,279.5499979654948,281.95000203450525,276.249989827474,285.25001017252606,273.84998575846356,287.6500142415365,270.54997762044275,-0.41040360010810933,-95.62043795620438,-8.278537931569588,-7.487357749714059,-0.7911801818555286,32.77750042546599,32.47084655902359,284.25,295.51499938964844,310.6420007324219,332.2531192016602,APTECHT.NS,2023-10-06 10:39:45.844456
5,2023-09-29 00:00:00+05:30,286.5,287.8999938964844,280.3500061035156,281.20001220703125,253633,0.0,0.0,2023-09-29,297.0875,9.976047049412271,307.06354704941225,287.1114529505877,317.0395940988245,277.13540590117543,-94.95178508057752,-161.44490214386627,49371067,343094.9586577889,353619.43146180327,267.66696680070135,47.94873131941984,283.15000406901044,285.95000203450525,278.4000142415365,290.6999918619792,275.6000162760417,293.499989827474,270.85002644856775,-0.4151251203960912,-92.12789006763417,-7.973327028126278,-7.2895627042501765,-0.6837643238761011,34.2071050688119,31.279963356794283,285.17999877929685,297.0875,312.0090008544922,332.4775073242188,APTECHT.NS,2023-10-06 10:39:45.844456
6,2023-09-28 00:00:00+05:30,288.0,290.8500061035156,282.8999938964844,284.8500061035156,159343,0.0,0.0,2023-09-28,298.44749908447267,9.540708016043569,307.98820710051626,288.9067910684291,317.5289151165598,279.36608305238553,-74.01235594359073,-148.5044465411361,49624700,218344.60496202207,356250.54966280685,267.65089492786467,48.07554929518153,286.2000020345052,289.500010172526,281.54999796549475,294.15001424153644,278.24998982747394,297.45002237955725,273.5999857584635,-0.4379194403000557,-83.14881394334465,-7.712894765239469,-7.11862162328115,-0.5942731419583183,36.31214337643611,30.284346091345,286.42999877929685,298.44749908447267,313.46100036621095,332.7115814208984,APTECHT.NS,2023-10-06 10:39:45.844456
7,2023-09-27 00:00:00+05:30,290.04998779296875,293.6000061035156,285.45001220703125,286.54998779296875,170436,0.0,0.0,2023-09-27,299.7774993896484,9.398411387038577,309.175910776687,290.3790880026099,318.5743221637256,280.98067661557127,-64.48375600486561,-138.1877378130944,49784043,234938.92123111038,390727.03583800304,267.63805305600243,51.01613780056562,288.53333536783856,291.61665852864587,283.4666646321615,296.68332926432294,280.3833414713542,299.76665242513025,275.3166707356771,-0.4410202466273547,-78.96681653940372,-7.622069603845034,-6.97005333779157,-0.6520162660534643,37.30498957772998,29.452359574484053,287.0,299.7774993896484,315.0610003662109,332.8936737060547,APTECHT.NS,2023-10-06 10:39:45.844456
8,2023-09-26 00:00:00+05:30,283.29998779296875,291.95001220703125,283.25,290.0,215414,0.0,0.0,2023-09-26,301.06750030517577,9.25683647845712,310.3243367836329,291.81066382671867,319.58117326209003,282.5538273482615,-74.70192439192678,-144.08884052604625,49954479,300514.31603933667,429674.0644897262,267.622937169733,47.261348786158216,288.40000406901044,293.55000813802087,284.8499959309896,297.1000162760417,279.6999918619792,302.2500203450521,276.14998372395837,-0.43667433741762984,-70.47970036463444,-7.5577224105082905,-6.807049271278204,-0.7506731392300869,39.331535679095516,28.80484132967906,288.3700012207031,301.06750030517577,316.5020007324219,333.0380062866211,APTECHT.NS,2023-10-06 10:39:45.844456
9,2023-09-25 00:00:00+05:30,285.5,290.75,281.5,283.29998779296875,192384,0.0,0.0,2023-09-25,302.0975006103516,9.105384472376322,311.2028850827279,292.99211613797524,320.30826955510423,283.8867316655989,-121.38241208583418,-170.41378560778597,49739065,262185.5478637288,461964.00160232355,267.60030885151724,42.34295900538056,285.18332926432294,288.86665852864587,279.61665852864587,294.43332926432294,275.93332926432294,298.11665852864587,270.36665852864587,-0.4731855631792095,-86.96189769064856,-7.700601487754341,-6.619380986470682,-1.081220501283659,32.74284562941054,27.746161950795592,290.61000366210936,302.0975006103516,318.01500061035154,333.0925961303711,APTECHT.NS,2023-10-06 10:39:45.844456
10,2023-09-22 00:00:00+05:30,289.0,292.3999938964844,285.5,287.45001220703125,201624,0.0,0.0,2023-09-22,303.5750015258789,8.252151899765243,311.82715342564416,295.3228496261137,320.0793053254094,287.07069772634844,-121.47332832298741,-158.6612169043333,49931449,278803.22991738375,511908.6150369722,267.5861173813508,40.56291404326784,288.4500020345052,291.4000040690104,284.500010172526,295.34999593098956,281.5500081380208,298.29999796549475,277.60001627604163,-0.4690176698808049,-76.75273400754794,-7.107004536145723,-6.349075861149767,-0.7579286749959566,34.924333556035535,26.347754174648973,294.94000854492185,303.5750015258789,319.2261437988281,333.29124420166016,APTECHT.NS,2023-10-06 10:39:45.844456
11,2023-09-21 00:00:00+05:30,293.5,299.0,286.5,287.70001220703125,349888,0.0,0.0,2023-09-21,304.9075012207031,7.640307036580975,312.5478082572841,297.26719418412216,320.18811529386505,289.6268871475412,-127.78951453686506,-150.63669125778867,50133073,484241.6838499702,570184.9613168692,267.56728150095944,39.131663833705346,291.06667073567706,295.63334147135413,283.13334147135413,303.56667073567706,278.56667073567706,308.13334147135413,270.63334147135413,-0.47841550922190196,-76.13772776514449,-6.648053198938669,-6.159593692400777,-0.4884595065378923,35.05497871737343,25.168849448576808,297.31000366210935,304.9075012207031,320.3107147216797,333.413557434082,APTECHT.NS,2023-10-06 10:39:45.844456
12,2023-09-20 00:00:00+05:30,300.0,301.20001220703125,292.0,293.3999938964844,391543,0.0,0.0,2023-09-20,306.49000091552733,7.150685296946477,313.64068621247384,299.3393156185808,320.7913715094203,292.1886303216344,-109.46975215205798,-129.96365989223096,50482961,552627.9005999722,591670.7806835939,267.5340976900289,36.06055668927966,295.53333536783856,299.0666707356771,289.86665852864587,304.7333475748698,286.3333231608073,308.26668294270837,280.6666463216146,-0.4633948732674353,-64.67891802601693,-5.984349544500276,-6.0374788157663035,0.05312927126602762,38.07005926391116,23.98268039318783,300.24000244140626,306.49000091552733,321.6160003662109,333.53829681396485,APTECHT.NS,2023-10-06 10:39:45.844456
13,2023-09-18 00:00:00+05:30,305.29998779296875,309.25,300.0,301.20001220703125,282673,0.0,0.0,2023-09-18,307.7325012207031,6.911420216014348,314.64392143671745,300.8210810046888,321.5553416527318,293.90966078867444,-14.11950996237391,-85.60969269183651,50874504,409574.1664759039,601431.5007044993,267.48630039607343,37.26041847875069,303.48333740234375,306.9666748046875,297.7166748046875,312.73333740234375,294.23333740234375,316.2166748046875,288.4666748046875,-0.3869668027368108,-46.78897027686299,-5.605297614756353,-6.05076113358281,0.4454635188264575,42.741297008150646,23.184761701990286,299.1600036621094,307.7325012207031,322.81157165527344,333.72813293457034,APTECHT.NS,2023-10-06 10:39:45.844456
14,2023-09-15 00:00:00+05:30,301.95001220703125,306.79998779296875,301.5,304.95001220703125,231797,0.0,0.0,2023-09-15,308.05250091552733,6.739057425864466,314.7915583413918,301.31344348966286,321.5306157672563,294.5743860637984,-7.834285142015536,-82.22081561974105,51157177,340039.7661462368,649395.8342616481,267.4412636523778,40.58038709859007,304.4166666666667,307.33333333333337,302.0333455403646,309.71665445963544,299.11667887369794,312.6333211263021,296.73335774739587,-0.37367599057987627,-38.18805404970305,-5.803251150217534,-6.162127013289425,0.3588758630718907,45.21822819527184,23.1591904596214,300.1299987792969,308.05250091552733,323.891142578125,333.82870880126956,APTECHT.NS,2023-10-06 10:39:45.844456
15,2023-09-14 00:00:00+05:30,303.8999938964844,309.6499938964844,296.45001220703125,299.29998779296875,502830,0.0,0.0,2023-09-14,308.1050003051758,6.71767192166933,314.8226722268451,301.3873283835065,321.54034414851446,294.6696564618371,-55.299338699085844,-99.51931513372216,50925380,723970.9212087947,726734.851290501,267.40013045510057,37.09381257514205,301.7999979654948,307.14998372395837,293.95000203450525,314.99997965494794,288.6000162760417,320.3499654134115,280.7500203450521,-0.38602540690981557,-51.14682382750571,-6.338081795615267,-6.251845979057396,-0.08623581655787049,40.38479424332994,22.66355899240104,300.5199951171875,308.1050003051758,324.9721423339844,333.89354431152344,APTECHT.NS,2023-10-06 10:39:45.844456
16,2023-09-13 00:00:00+05:30,290.0,307.20001220703125,289.0,302.3500061035156,635631,0.0,0.0,2023-09-13,308.2950012207031,6.505928145108594,314.8009293658117,301.7890730755945,321.3068575109203,295.28314493048595,-111.65722310528093,-114.12274594497502,51428210,924502.9352805737,727425.8338109273,267.3240634405332,30.0930965166484,299.5166727701823,310.0333455403646,291.83333333333337,317.71668497721356,281.31666056315106,328.23335774739587,273.6333211263021,-0.3842353717560405,-44.1513699660877,-6.370353750904428,-6.230287024917928,-0.14006672598650027,42.253536859866536,22.12980202770219,302.1699951171875,308.2950012207031,325.9775714111328,334.0166390991211,APTECHT.NS,2023-10-06 10:39:45.844456
17,2023-09-12 00:00:00+05:30,306.79998779296875,311.3999938964844,278.0,288.0,922844,0.0,0.0,2023-09-12,308.50500030517577,6.370305421774103,314.8753057269499,302.13469488340166,321.245611148724,295.76438946162756,-333.3333333333382,-153.03147732182208,50792579,1278539.1280182793,678156.5584435158,267.21816429929584,19.985935725136883,292.46666463216144,306.9333292643229,273.5333353678385,325.8666585286458,259.06667073567706,340.33332316080725,240.13334147135413,-0.4581785922834236,-77.29851811310559,-6.615531712867892,-6.195270343421303,-0.4202613694465889,27.621340145577236,21.112709313617522,302.9599914550781,308.50500030517577,326.9820001220703,334.11486389160154,APTECHT.NS,2023-10-06 10:39:45.844456
18,2023-09-11 00:00:00+05:30,308.45001220703125,318.6499938964844,301.54998779296875,306.04998779296875,700698,0.0,0.0,2023-09-11,309.2725006103516,4.385219345783149,313.6577199561347,304.88728126456846,318.0429393019179,300.5020619187853,-47.01024923386281,-75.20738457212639,51715423,1031612.2421835231,528060.9160498248,267.12653796428657,28.35229945551268,308.74998982747394,315.94999186197913,298.8499857584635,325.84999593098956,291.6499837239583,333.04999796549475,281.7499796549479,-0.48120106119987577,-80.72805642940509,-5.415940294688994,-6.090205001059655,0.6742647063706606,39.23231554093611,20.017378698449416,306.80999145507815,309.2725006103516,328.40842895507814,334.41112731933595,APTECHT.NS,2023-10-06 10:39:45.844456
19,2023-09-08 00:00:00+05:30,308.8999938964844,311.79998779296875,306.0,306.8999938964844,219779,0.0,0.0,2023-09-08,309.67250061035156,4.440321351717525,314.11282196206906,305.23217925863406,318.5531433137866,300.7918579069165,-73.95153236088328,-80.70513523593999,52416121,324471.3200818553,402173.0845164001,266.99579852440047,25.74819396911016,308.2333272298177,310.4666544596354,304.66666666666663,314.03331502278644,302.43333943684894,316.26664225260413,298.8666788736979,-0.4907803818276392,-89.55221161277001,-5.575690378378226,-6.258771177652319,0.6830807992740926,39.96696844968094,21.384774780718086,307.0699951171875,309.67250061035156,329.4460003662109,334.3611636352539,APTECHT.NS,2023-10-06 10:39:45.844456
