Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-10 00:00:00+05:30,4.050000190734863,4.199999809265137,4.050000190734863,4.150000095367432,222983,0.0,0.0,2023-11-10,4.052500021457672,0.22738502040813952,4.279885041865811,3.8251150010495327,4.507270062273951,3.597729980641393,84.86240956898837,-38.09787834208334,-41215082,29802.882254528533,115049.72151167774,16.907011786642975,57.3556863101099,4.1333333651224775,4.216666539510092,4.066666920979818,4.283332983652751,3.983333746592204,4.366666158040365,3.916667302449545,-0.104369792372122,-27.777774834338842,-0.0747637968290702,-0.12333534976087222,0.04857155293180203,50.62190102419275,15.320818587547747,4.1,4.052500021457672,4.467000002861023,4.426000001430512,ARSHIYA.NS,2023-11-10 10:38:36.598185
2,2023-11-09 00:00:00+05:30,4.349999904632568,4.400000095367432,4.0,4.099999904632568,2500361,0.0,0.0,2023-11-09,4.055000007152557,0.22878396233766693,4.283783969490225,3.8262160448148905,4.512567931827891,3.5974320824772237,119.0476379697317,-34.09949096260959,-41438065,330160.3901268723,136361.43132596504,16.914997108125185,56.06946092977293,4.166666666666667,4.333333333333334,3.9333332379659023,4.566666762034099,3.7666665712992353,4.733333428700766,3.5333331425984706,-0.06312107685289947,-33.33335099396695,-0.09155621483878651,-0.13547823799382272,0.04392202315503621,49.00082312580027,15.835980760760707,4.059999990463257,4.055000007152557,4.469000000953674,4.433500001430511,ARSHIYA.NS,2023-11-10 10:38:36.598185
3,2023-11-08 00:00:00+05:30,4.150000095367432,4.199999809265137,4.0,4.199999809265137,798163,0.0,0.0,2023-11-08,4.050000011920929,0.22884146868437105,4.2788414806053,3.821158543236558,4.507682949289671,3.592317074552187,143.545232914276,-43.73560302014653,-38937704,107964.07504452635,87911.6916257382,17.00558121046891,40.76505316237134,4.133333206176758,4.266666412353516,4.066666603088379,4.3333330154418945,3.933333396911621,4.466666221618652,3.866666793823242,-0.05172009379174285,-22.222251656611586,-0.10674412191765903,-0.14645874378258178,0.03971462186492275,52.18237237805836,16.390770793451587,4.020000028610229,4.050000011920929,4.46800000667572,4.442500002384186,ARSHIYA.NS,2023-11-10 10:38:36.598185
4,2023-11-07 00:00:00+05:30,4.0,4.199999809265137,3.950000047683716,4.0,595745,0.0,0.0,2023-11-07,4.050000011920929,0.22884146868437105,4.2788414806053,3.821158543236558,4.507682949289671,3.592317074552187,126.43673360418758,-61.48777340173339,-39735867,76746.53972795376,82898.59577104116,17.034541487312076,34.35823442767749,4.049999952316284,4.1499998569488525,3.9000000953674316,4.299999713897705,3.8000001907348633,4.399999618530273,3.6500003337860107,-0.1680241773566586,-47.36841048560102,-0.13442038565036762,-0.15638739924881245,0.02196701359844483,45.62585822820636,17.187002231254798,3.950000047683716,4.050000011920929,4.462000012397766,4.4530000042915345,ARSHIYA.NS,2023-11-10 10:38:36.598185
5,2023-11-06 00:00:00+05:30,4.050000190734863,4.099999904632568,3.799999952316284,4.050000190734863,989044,0.0,0.0,2023-11-06,4.070000016689301,0.24137762415467467,4.3113776408439755,3.8286223925346263,4.55275526499865,3.5872447683799518,64.61535767926375,-75.08964307406013,-39140122,129005.74837580514,84436.60978181301,17.056580984859533,35.49005262449462,3.9833333492279053,4.166666746139526,3.866666793823242,4.2833333015441895,3.683333396911621,4.4666666984558105,3.566666841506958,0.005498513380918918,-54.1666434870789,-0.14812076655249085,-0.16187915264842362,0.013758386095932773,47.12588789457609,18.044482241196715,3.900000047683716,4.070000016689301,4.459000010490417,4.467000005245208,ARSHIYA.NS,2023-11-10 10:38:36.598185
6,2023-11-03 00:00:00+05:30,4.0,4.050000190734863,3.8499999046325684,3.950000047683716,246045,0.0,0.0,2023-11-03,4.077499997615814,0.24304807301850317,4.320548070634318,3.834451924597311,4.563596143652821,3.591403851578808,28.795811736171697,-82.98306278183368,-40129166,31300.411774964872,73294.32513331497,17.093194810726523,33.795091811652995,3.950000047683716,4.050000190734863,3.8499999046325684,4.150000333786011,3.749999761581421,4.250000476837158,3.6499996185302734,,-62.499990065890955,-0.16834141290784688,-0.1653187491724068,-0.0030226637354400787,43.68763446231877,18.361654794336506,3.8200000286102296,4.077499997615814,4.454000005722046,4.482000005245209,ARSHIYA.NS,2023-11-10 10:38:36.598185
7,2023-11-02 00:00:00+05:30,3.8499999046325684,3.950000047683716,3.799999952316284,3.9000000953674316,207192,0.0,0.0,2023-11-02,4.092499995231629,0.2440205950305831,4.336520590262212,3.848479400201046,4.580541185292795,3.6044588051704625,-13.950074809503379,-96.26316365367978,-40375211,26024.117217848467,83792.80347290248,17.102405371749736,34.28824767297914,3.883333365122477,3.96666677792867,3.8166666825612383,4.033333460489908,3.7333332697550454,4.116666873296102,3.6666665871938067,,-66.66665342118795,-0.18183084130613958,-0.1645630832385468,-0.017267758067592787,41.93457050253874,18.939887120517156,3.8,4.092499995231629,4.452000002861023,4.49550000667572,ARSHIYA.NS,2023-11-10 10:38:36.598185
8,2023-11-01 00:00:00+05:30,3.799999952316284,3.9000000953674316,3.6500000953674316,3.8499999046325684,295717,0.0,0.0,2023-11-01,4.1125,0.2438048271459839,4.356304827145983,3.8686951728540158,4.600109654291968,3.624890345708032,-55.55555080807291,-112.80304308510117,-40582403,36667.00321329897,98234.97503666597,17.11020103378685,30.72001808711201,3.800000031789144,3.9499999682108564,3.6999999682108564,4.0500000317891445,3.550000031789144,4.199999968210856,3.4499999682108564,,-70.83333664470301,-0.19142214688634773,-0.1602461437216486,-0.031176003164699123,40.206082724648816,18.956390240142728,3.7799999713897705,4.1125,4.452000002861023,4.511000003814697,ARSHIYA.NS,2023-11-10 10:38:36.598185
9,2023-10-31 00:00:00+05:30,3.5,3.799999952316284,3.5,3.75,437522,0.0,0.0,2023-10-31,4.1375,0.24109126746247084,4.378591267462471,3.8964087325375294,4.619682534924942,3.6553174650750586,-101.75439502236526,-136.5604111468997,-40878120,52840.82255440737,113626.96799250772,17.12138560973967,26.108243736565527,3.6833333174387612,3.8666666348775225,3.5666666825612383,3.9833332697550454,3.383333365122477,4.166666587193807,3.266666730244954,,-79.16666335529699,-0.19587732771763022,-0.15245214293047382,-0.0434251847871564,36.70703877400416,18.662408266191235,3.8,4.1375,4.454000005722046,4.52800000667572,ARSHIYA.NS,2023-11-10 10:38:36.598185
10,2023-10-30 00:00:00+05:30,3.700000047683716,3.799999952316284,3.6500000953674316,3.6500000953674316,1355049,0.0,0.0,2023-10-30,4.170000004768371,0.2296450383980031,4.399645043166375,3.9403549663703683,4.629290081564378,3.710709927972365,-123.57216478653163,-143.00305544390068,-41315642,159289.18198890646,128823.5043520328,17.13809312013332,32.87117017508962,3.700000047683716,3.75,3.6000001430511475,3.8499999046325684,3.5500001907348633,3.8999998569488525,3.450000286102295,,-100.0,-0.1887649954814794,-0.1415958467336847,-0.04716914874779471,33.07017178173284,17.706547729046655,3.8600000381469726,4.170000004768371,4.459000005722046,4.547500004768372,ARSHIYA.NS,2023-11-10 10:38:36.598185
11,2023-10-27 00:00:00+05:30,3.8499999046325684,3.950000047683716,3.6500000953674316,3.8499999046325684,2365959,0.0,0.0,2023-10-27,4.209999990463257,0.20235456599285978,4.412354556456116,4.007645424470398,4.614709122448977,3.8052908584775373,-128.39507197592485,-132.16404700628996,-39960593,293363.67626999336,121207.08494281437,17.19049234759008,48.224468881179135,3.8166666825612388,3.983333269755046,3.6833333174387617,4.116666634877523,3.5166667302449546,4.28333322207133,3.3833333651224775,,-80.95239392754526,-0.16695050382166166,-0.129803559546736,-0.03714694427492565,37.02076897617981,17.22893419493543,3.9800000190734863,4.209999990463257,4.4670000076293945,4.569000005722046,ARSHIYA.NS,2023-11-10 10:38:36.598185
