Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-01 00:00:00+05:30,184.4499969482422,185.4499969482422,181.14999389648438,184.14999389648438,510882,0.0,0.0,2023-09-01,186.32749938964844,1.9227499278852487,188.25024931753367,184.4047494617632,190.17299924541894,182.48199953387794,-187.85658588668863,39.245737495826596,33268093,772764.9199653168,1069661.2929638342,138.35666578453362,51.66297015696575,183.5833282470703,186.01666259765625,181.71665954589844,187.88333129882812,179.2833251953125,190.31666564941406,177.41665649414062,-0.1290485923484687,-70.87379503748772,2.9758047088242847,4.20535832962216,-1.2295536207978754,55.05106461035064,31.810635966602593,186.2699981689453,186.32749938964844,173.58799957275392,158.12099990844726,ASHOKLEY.BO,2023-09-01 11:21:47.912420
2,2023-08-31 00:00:00+05:30,189.5,190.14999389648438,182.0500030517578,183.6999969482422,1121088,0.0,0.0,2023-08-31,186.16749954223633,2.223160170492302,188.39065971272862,183.94433937174404,190.61381988322094,181.72117920125172,-152.0959474748184,54.269920806754826,32757211,1691624.4036514827,1143885.3862134635,138.3046854548511,58.75314915742162,185.29999796549478,188.54999287923175,180.4500020345052,193.39998881022134,177.20000712076822,196.64998372395831,172.35001118977863,-0.13240460386641556,-82.44686204422455,3.3928096865553243,4.512746734821629,-1.119937048266305,54.01990477374329,34.252841953111975,186.65,186.16749954223633,172.82899963378907,157.66050003051757,ASHOKLEY.BO,2023-09-01 11:21:47.912420
3,2023-08-30 00:00:00+05:30,189.35000610351562,191.0,187.4499969482422,187.8000030517578,568084,0.0,0.0,2023-08-30,185.9474998474121,2.655801231173147,188.60330107858525,183.29169861623896,191.2591023097584,180.63589738506582,98.17183996147455,81.24653499716412,33878299,876321.0445992422,1006950.6318539587,138.19132800749261,68.28052539687924,188.75,190.0500030517578,186.5,192.3000030517578,185.1999969482422,193.60000610351562,182.9499969482422,-0.09970763310567614,-39.03740610123686,3.919614097090033,4.7927309968882055,-0.8731168997981724,67.02933028676124,36.59182393453133,187.0800018310547,185.9474998474121,172.09699981689454,157.21,ASHOKLEY.BO,2023-09-01 11:21:47.912420
4,2023-08-29 00:00:00+05:30,187.64999389648438,189.89999389648438,187.5,188.14999389648438,881992,0.0,0.0,2023-08-29,185.61499938964843,2.8227038880191424,188.43770327766757,182.7922955016293,191.26040716568673,179.96959161361013,83.22428325140945,82.48895814848686,34446383,1363088.152835484,1039608.0286676378,138.12847596102574,68.3986224330808,188.51666259765625,189.5333251953125,187.13333129882812,190.91665649414062,186.11666870117188,191.93331909179688,184.73333740234375,-0.10356221358506118,-35.294184845314895,4.130906808002777,5.011010221837748,-0.8801034138349708,68.33381647677581,36.88560117440917,187.06000061035155,185.61499938964843,171.2679998779297,156.74099990844726,ASHOKLEY.BO,2023-09-01 11:21:47.912420
5,2023-08-28 00:00:00+05:30,186.10000610351562,188.89999389648438,185.85000610351562,187.5500030517578,780884,0.0,0.0,2023-08-28,185.32749938964844,2.843667255321026,188.17116664496947,182.4838321343274,191.01483390029048,179.6401648790064,12.533495605568138,78.49795839276773,33564391,1202980.7798629475,958737.9976256762,138.02988754999322,67.03708522310123,187.43333435058594,189.01666259765625,185.9666748046875,190.4833221435547,184.3833465576172,192.066650390625,182.91668701171875,-0.16018956486405486,-41.711205510794585,4.3043672136603846,5.23103607529649,-0.9266688616361058,67.32145444900854,37.48960719969796,187.02000122070314,185.32749938964844,170.42100006103516,156.31149993896486,ASHOKLEY.BO,2023-09-01 11:21:47.912420
6,2023-08-25 00:00:00+05:30,185.85000610351562,187.5,184.6999969482422,186.0500030517578,566282,0.0,0.0,2023-08-25,185.04499893188478,2.8914990368825477,187.93649796876733,182.15349989500223,190.82799700564988,179.26200085811968,-93.28402382440325,73.25023299688831,32783507,865401.2683966013,897677.3020663583,137.94332480381223,65.9810865664096,186.08333333333334,187.4666697184245,184.66666666666669,188.88333638509116,183.28333028157553,190.2666727701823,181.86666361490887,-0.03766682848894931,-55.38455278445513,4.520321419041153,5.462703290705516,-0.942381871664363,64.70177394533422,38.40901070051237,186.88999938964844,185.04499893188478,169.58,155.88449996948242,ASHOKLEY.BO,2023-09-01 11:21:47.912420
7,2023-08-24 00:00:00+05:30,187.75,189.0500030517578,185.1999969482422,185.85000610351562,516011,0.0,0.0,2023-08-24,184.5249984741211,3.5592920920813853,188.0842905662025,180.9657063820397,191.6435826582839,177.40641428995832,-62.76134955916634,80.65520233041352,32217225,787728.6262375967,905746.3104837976,137.88226549867875,71.36540980271909,186.70000203450522,188.20000712076825,184.35000101725262,190.55000813802084,182.8499959309896,192.05001322428387,180.499994913737,-0.006683065958903676,-51.61286239654603,4.876045796853759,5.698298758621607,-0.8222529617678473,64.34791959462589,39.791077352938395,186.95,184.5249984741211,168.7679998779297,155.48349990844727,ASHOKLEY.BO,2023-09-01 11:21:47.912420
8,2023-08-23 00:00:00+05:30,188.3000030517578,189.1999969482422,186.0,187.6999969482422,425410,0.0,0.0,2023-08-23,183.89249801635742,4.348027511049894,188.24052552740733,179.54447050530752,192.5885530384572,175.19644299425764,19.304917399217256,90.31656606063092,32733236,655884.018364954,935250.7315453477,137.82672311216925,78.48405443768125,187.63333129882812,189.26666259765625,186.06666564941406,190.8333282470703,184.43333435058594,192.46665954589844,182.86666870117188,0.00767644338521549,-30.241950369533598,5.277297983094485,5.903861999063569,-0.626564015969084,70.41063175994545,41.06433354775712,187.56999816894532,183.89249801635742,168.05699981689452,155.08499984741212,ASHOKLEY.BO,2023-09-01 11:21:47.912420
9,2023-08-22 00:00:00+05:30,187.1999969482422,189.0,186.64999389648438,187.9499969482422,514757,0.0,0.0,2023-08-22,183.12749786376952,4.947501334591408,188.07499919836093,178.1799965291781,193.02250053295234,173.2324951945867,50.4815337814532,95.83125183441574,33158646,794693.5219545715,1005092.409840446,137.7790683107649,75.53764120956012,187.86666361490884,189.08333333333331,186.7333272298177,190.21666971842447,185.51665751139322,191.43333943684894,184.38332112630206,-0.027172949752101064,-25.362313231910324,5.528867244663047,6.060503003055839,-0.5316357583927918,71.25303377440905,42.09681333007884,187.72999877929686,183.12749786376952,167.34599975585937,154.65799987792968,ASHOKLEY.BO,2023-09-01 11:21:47.912420
10,2023-08-21 00:00:00+05:30,186.4499969482422,188.9499969482422,184.89999389648438,186.89999389648438,421386,0.0,0.0,2023-08-21,182.31499786376952,5.42511593092005,187.74011379468956,176.88988193284948,193.1652297256096,171.46476600192943,18.630195360422334,94.80009390885819,32643889,646910.9145312576,1057692.1318119145,137.72099348507578,67.50704359246822,186.91666158040366,188.93332926432294,184.88332621256512,190.96666463216147,182.86665852864584,192.98333231608075,180.8333231608073,0.0005176509917725367,-32.971029315665575,5.742560204630905,6.193411942654037,-0.4508517380231316,69.8460469960401,42.93670310667102,187.5199981689453,182.31499786376952,166.64999969482423,154.22899993896485,ASHOKLEY.BO,2023-09-01 11:21:47.912420
