Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-05 00:00:00+05:30,29.5,31.950000762939453,29.399999618530273,30.75,349203,0.0,0.0,2023-09-05,29.460000038146973,1.0282330715601065,30.48823310970708,28.431766966586867,31.516466181267184,27.40353389502676,142.857149986351,104.15240180566458,6051305,177340.91470355738,77860.18312855467,39.194472575176775,79.31210165422942,30.700000127156574,32.000000635782875,29.449999491373696,33.25000127156575,28.149998982747395,34.550001780192055,26.899998346964516,-0.0422806831790996,-34.444427490234375,0.7822118169275534,0.8196201961747172,-0.03740837924716378,62.959943128828336,22.8400756211103,29.9,29.460000038146973,27.237999992370604,26.30849994659424,ASTRON.NS,2023-09-05 10:40:49.136701
2,2023-09-04 00:00:00+05:30,29.950000762939453,31.0,29.25,29.799999237060547,116346,0.0,0.0,2023-09-04,29.222500038146972,1.241123792586156,30.463623830733127,27.981376245560817,31.704747623319285,26.74025245297466,55.04580177926702,87.18367118373018,5702102,57260.293227435,52990.00023480398,39.2591549833962,77.08547894559472,30.016666412353516,30.78333282470703,29.03333282470703,31.766666412353516,28.266666412353516,32.53333282470703,27.28333282470703,-0.053068582529114505,-53.19150231337096,0.7343120087566923,0.828972290986508,-0.0946602822298157,58.2878146848958,22.229197834717045,29.70999984741211,29.222500038146972,27.112999992370604,26.24599994659424,ASTRON.NS,2023-09-05 10:40:49.136701
3,2023-09-01 00:00:00+05:30,29.75,30.649999618530273,29.100000381469727,29.600000381469727,82298,0.0,0.0,2023-09-01,29.030000114440917,1.4308995858494244,30.46089970029034,27.599100528591492,31.891799286139765,26.168200942742068,10.51051618667949,84.38670500436751,5585756,40231.55841599411,51922.42698664622,39.283356872743155,71.33612378131893,29.78333346048991,30.466666539510094,28.916667302449547,31.333332697550457,28.233334223429363,32.01666577657064,27.366668065389,-0.039400248827131515,-55.1020217507827,0.7554204808765626,0.8526373615439619,-0.09721688066739931,57.233255327471504,22.229428964018062,29.379999923706055,29.030000114440917,27.007999992370607,26.194499950408936,ASTRON.NS,2023-09-05 10:40:49.136701
4,2023-08-31 00:00:00+05:30,29.799999237060547,30.0,29.450000762939453,29.649999618530273,37462,0.0,0.0,2023-08-31,28.832500076293947,1.6095337117752564,30.442033788069203,27.22296636451869,32.05156749984446,25.613432652743434,-21.773266874561344,86.84425219565951,5668054,18344.315436911398,54845.14412930924,39.300913752934854,72.54698412321773,29.700000127156574,29.949999491373696,29.40000025431315,30.24999936421712,29.150000890096027,30.499998728434242,28.850001017252602,-0.036485778041904726,-54.08162907827175,0.790696813824944,0.8769415817108117,-0.08624476788586777,57.57113980407303,22.49381268425099,29.229999923706053,28.832500076293947,26.898999977111817,26.138999938964844,ASTRON.NS,2023-09-05 10:40:49.136701
5,2023-08-30 00:00:00+05:30,30.149999618530273,30.149999618530273,29.5,29.700000762939453,64773,0.0,0.0,2023-08-30,28.65000009536743,1.7154100773708691,30.3654101727383,26.934590017996562,32.08082025010917,25.219179940625693,-21.14425795240788,95.73041659187979,5705516,31771.39840887753,63970.35130240871,39.30888543804785,76.05070991762996,29.78333346048991,30.06666692097982,29.416667302449547,30.433333079020183,29.133333841959637,30.716666539510094,28.766667683919273,-0.027003313000152105,-53.06119748027548,0.8189567877555461,0.8985027736822786,-0.07954598592673245,57.888481593140206,23.293336593982026,29.3,28.65000009536743,26.791999969482422,26.080499935150147,ASTRON.NS,2023-09-05 10:40:49.136701
6,2023-08-29 00:00:00+05:30,28.850000381469727,30.649999618530273,28.149999618530273,29.799999237060547,177941,0.0,0.0,2023-08-29,28.455000019073488,1.808888955783006,30.263888974856492,26.646111063290483,32.072777930639496,24.837222107507475,-30.679976122911015,92.90644397356905,5770289,87574.59506285573,72020.0895257915,39.32262833892305,77.05973292065386,29.53333282470703,30.91666603088379,28.41666603088379,32.03333282470703,27.03333282470703,33.41666603088379,25.91666603088379,-0.01919403855865116,-50.50506218150642,0.8378053267058618,0.9183892701639615,-0.08058394345809972,58.48720831639035,24.103302460173417,29.31999969482422,28.455000019073488,26.695999946594238,26.017499923706055,ASTRON.NS,2023-09-05 10:40:49.136701
7,2023-08-28 00:00:00+05:30,29.0,29.350000381469727,27.799999237060547,28.149999618530273,99225,0.0,0.0,2023-08-28,28.25250005722046,1.875849047743919,30.12834910496438,26.37665100947654,32.0041981527083,24.50080196173262,-101.65202185990968,55.147480284460705,5592348,46130.202268261324,68131.46314152543,39.36019080026009,77.91807022581257,28.433333079020183,29.06666692097982,27.51666577657064,29.983334223429363,26.883331934611004,30.616668065389,25.96666463216146,-0.04730796057801935,-64.84374790452408,0.8393948135665923,0.9385352560284864,-0.09914044246189413,50.67010319532793,24.975573392994914,29.309999847412108,28.25250005722046,26.587999954223633,25.925999927520753,ASTRON.NS,2023-09-05 10:40:49.136701
8,2023-08-25 00:00:00+05:30,30.799999237060547,30.799999237060547,28.5,28.850000381469727,140267,0.0,0.0,2023-08-25,28.145000076293947,1.9424551555939427,30.08745523188789,26.202544920700003,32.029910387481834,24.260089765106063,-48.08477727220286,97.77765254594759,5691573,66832.4203880547,73631.77835984144,39.38490301083996,81.14611768554126,29.383333206176758,30.266666412353516,27.96666717529297,31.683332443237305,27.08333396911621,32.56666564941406,25.666667938232422,-0.029844428976018026,-52.27272201832211,0.9912116976061682,0.9633203666439598,0.027891330962208416,54.73003915665624,26.85144542306982,29.620000076293945,28.145000076293947,26.513999977111816,25.834999923706054,ASTRON.NS,2023-09-05 10:40:49.136701
9,2023-08-24 00:00:00+05:30,30.149999618530273,31.299999237060547,29.950000762939453,30.0,146801,0.0,0.0,2023-08-24,28.000000095367433,1.9945980371246883,29.994598132492122,26.005402058242744,31.98919616961681,24.010804021118055,52.938299926912315,150.6124447958361,5831840,72733.77465716722,75331.61785278811,39.4178350777477,86.18878865828584,30.416666666666668,30.883332570393883,29.53333409627279,31.76666514078776,29.066668192545574,32.233331044514976,28.183335622151695,0.007597199962353127,-34.58645667665276,1.1016254861611934,0.9563475339034077,0.14527795225778573,62.351323958702814,28.328510743861564,29.970000076293946,28.000000095367433,26.431999969482423,25.741999912261964,ASTRON.NS,2023-09-05 10:40:49.136701
10,2023-08-23 00:00:00+05:30,30.25,30.950000762939453,29.700000762939453,29.799999237060547,93321,0.0,0.0,2023-08-23,27.782500076293946,2.0021880494388244,29.78468812573277,25.78031202685512,31.786876175171596,23.778123977416296,39.750586595172024,155.0695667494688,5685039,45928.4188908726,75981.07865169333,39.44874772673563,84.30088756404841,30.150000254313152,30.59999974568685,29.34999974568685,31.400000254313152,28.900000254313152,31.84999974568685,28.09999974568685,0.060804231374156706,-37.03703703703704,1.1130397608019713,0.9200280458389611,0.19301171496301017,61.48520510238848,28.348824588972917,30.220000076293946,27.782500076293946,26.338999977111815,25.639999904632568,ASTRON.NS,2023-09-05 10:40:49.136701
