Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
1,2023-08-21 00:00:00+05:30,13.449999809265137,14.399999618530273,13.449999809265137,13.75,18852,0.0,0.0,2023-08-21,14.044801760573536,14.246615574553202,39.591073675550525,15.351401871896915,14.181540272490397,14.21749997138977,13.8893421077581,-0.20181381397966547,-0.1551083250400625,14.21749997138977,0.3237424492299007,14.541242420619671,13.89375752215987,14.864984869849572,13.57001507292997,ATLANTA.NS,2023-08-21 11:37:05.802788
2,2023-08-18 00:00:00+05:30,13.899999618530273,14.0,13.699999809265137,13.850000381469727,17205,0.0,0.0,2023-08-18,14.098402080677817,14.286344820517458,41.1666506977788,15.880168934845443,14.22696556433149,14.299999952316284,13.95901316163715,-0.1879427398396416,-0.14343195280516174,14.299999952316284,0.3996708218162716,14.699670774132557,13.900329130500012,15.099341595948827,13.500658308683741,ATLANTA.NS,2023-08-21 11:37:05.802788
3,2023-08-17 00:00:00+05:30,14.0,14.0,13.850000381469727,13.899999618530273,17142,0.0,0.0,2023-08-17,14.14356602598838,14.321252375641276,41.94159887720924,15.228723923109573,14.266646109895886,14.394999933242797,14.013519551720862,-0.17768634965289642,-0.13230425604654178,14.394999933242797,0.5002367411859534,14.89523667442875,13.894763192056844,15.395473415614704,13.39452645087089,ATLANTA.NS,2023-08-21 11:37:05.802788
4,2023-08-16 00:00:00+05:30,14.5,14.5,13.699999809265137,14.0,41595,0.0,0.0,2023-08-16,14.187850827344398,14.354952596210158,43.46099895609724,14.839566670280089,14.305240477408056,14.499999952316283,14.070279518316154,-0.16710176886575923,-0.12095873264495312,14.499999952316283,0.6010954460522787,15.101095398368562,13.898904506264005,15.70219084442084,13.297809060211726,ATLANTA.NS,2023-08-21 11:37:05.802788
5,2023-08-14 00:00:00+05:30,14.649999618530273,14.649999618530273,13.800000190734863,14.199999809265137,13901,0.0,0.0,2023-08-14,14.2220055232252,14.383348803906971,46.59587169520817,14.42047424415603,14.337371053977323,14.582499933242797,14.10541927747423,-0.16134328068177162,-0.10942297358975157,14.582499933242797,0.6407796777507794,15.223279610993577,13.941720255492017,15.864059288744356,13.300940577741239,ATLANTA.NS,2023-08-21 11:37:05.802788
6,2023-08-11 00:00:00+05:30,14.0,14.399999618530273,13.800000190734863,14.0,28694,0.0,0.0,2023-08-11,14.22600656212703,14.398016723478317,42.76216648998243,14.164385292492216,14.351831184999659,14.619999933242799,14.058129011578774,-0.1720101613512881,-0.09644289681674656,14.619999933242799,0.6391605566754176,15.259160489918216,13.980839376567381,15.898321046593633,13.341678819891964,ATLANTA.NS,2023-08-21 11:37:05.802788
7,2023-08-10 00:00:00+05:30,13.800000190734863,14.399999618530273,13.550000190734863,14.0,20494,0.0,0.0,2023-08-10,14.267098664331943,14.429858061356583,42.76216648998243,13.165644109132728,14.38886604657857,14.632499933242798,14.08719351736816,-0.16275939702464015,-0.07755108068311117,14.632499933242798,0.6287570512469136,15.261256984489712,14.003742881995883,15.890014035736625,13.37498583074897,ATLANTA.NS,2023-08-21 11:37:05.802788
8,2023-08-09 00:00:00+05:30,14.25,14.300000190734863,13.949999809265137,14.0,24321,0.0,0.0,2023-08-09,14.31566205784684,14.46424670626511,42.76216648998243,12.090076680899434,14.429799314639471,14.642499923706055,14.13079027605224,-0.1485846484182698,-0.05624900159772893,14.642499923706055,0.6196931904649865,15.26219311417104,14.022806733241069,15.881886304636028,13.403113542776081,ATLANTA.NS,2023-08-21 11:37:05.802788
9,2023-08-08 00:00:00+05:30,14.600000381469727,14.600000381469727,13.5,14.25,11281,0.0,0.0,2023-08-08,14.373055159273537,14.50138644276632,46.07225261284515,11.625211776739429,14.475041347759415,14.657499933242798,14.196185414078359,-0.12833128349278233,-0.033165089892593716,14.657499933242798,0.6068197194028019,15.2643196526456,14.050680213839996,15.871139372048402,13.443860494437194,ATLANTA.NS,2023-08-21 11:37:05.802788
10,2023-08-07 00:00:00+05:30,14.600000381469727,14.600000381469727,13.5,14.050000190734863,27895,0.0,0.0,2023-08-07,14.395428824596,14.521497358187625,42.78209382345004,11.124588033797883,14.498729910681458,14.654999923706054,14.169278121117538,-0.12606853359162606,-0.009373541492546562,14.654999923706054,0.608687043957766,15.26368696766382,14.046312879748289,15.872374011621586,13.437625835790522,ATLANTA.NS,2023-08-21 11:37:05.802788
11,2023-08-04 00:00:00+05:30,14.199999809265137,14.5,13.850000381469727,14.050000190734863,25055,0.0,0.0,2023-08-04,14.458234030752568,14.559217131583846,42.78209382345004,10.585454772168527,14.545964618044257,14.679999923706054,14.228917086308872,-0.1009831008312787,0.019800206532223315,14.679999923706054,0.5925857121742248,15.27258563588028,14.08741421153183,15.865171348054504,13.494828499357604,ATLANTA.NS,2023-08-21 11:37:05.802788
12,2023-08-03 00:00:00+05:30,13.800000190734863,14.5,13.449999809265137,14.25,9343,0.0,0.0,2023-08-03,14.532458365301242,14.599954486851765,45.15765715966123,10.602586583129405,14.598171399866299,14.709999895095825,14.318375534095875,-0.06749612155052276,0.04999603337309882,14.709999895095825,0.5739062406593293,15.283906135755155,14.136093654436495,15.857812376414483,13.562187413777167,ATLANTA.NS,2023-08-21 11:37:05.802788
13,2023-08-02 00:00:00+05:30,14.0,14.800000190734863,13.600000381469727,14.149999618530273,56402,0.0,0.0,2023-08-02,14.583814431719649,14.627950845799905,43.70638440481158,10.621036225702657,14.634821020904857,14.712499904632569,14.35256330114381,-0.04413641408025626,0.0793690721040042,14.712499904632569,0.5719023629137824,15.284402267546351,14.140597541718787,15.856304630460134,13.568695178805005,ATLANTA.NS,2023-08-21 11:37:05.802788
14,2023-08-01 00:00:00+05:30,14.949999809265137,14.949999809265137,14.0,14.300000190734863,11131,0.0,0.0,2023-08-01,14.662689852299536,14.666186943981476,45.37899359414527,10.89154660112642,14.685854852733762,14.737499904632568,14.453845142450575,-0.003497091681939679,0.1102454436500693,14.737499904632568,0.5567468315944486,15.294246736227016,14.180753073038119,15.850993567821465,13.62400624144367,ATLANTA.NS,2023-08-21 11:37:05.802788
15,2023-07-31 00:00:00+05:30,14.5,14.850000381469727,14.0,14.25,11614,0.0,0.0,2023-07-31,14.728633427129477,14.695481884241206,44.72423925134351,11.569036740289649,14.726471132944173,14.749999904632569,14.530767618308428,0.03315154288827138,0.13868107748307154,14.749999904632569,0.5491619835027988,15.299161888135368,14.20083792112977,15.848323871638167,13.65167593762697,ATLANTA.NS,2023-08-21 11:37:05.802788
16,2023-07-28 00:00:00+05:30,15.199999809265137,15.199999809265137,14.199999809265137,14.25,26749,0.0,0.0,2023-07-28,14.815657686607562,14.731120434980502,44.72423925134351,12.442271117927712,14.77662598904356,14.744999885559082,14.67115142746264,0.08453725162705972,0.16506346113177156,14.744999885559082,0.5543844017535595,15.299384287312641,14.190615483805523,15.8537686890662,13.636231082051964,ATLANTA.NS,2023-08-21 11:37:05.802788
