Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-29 00:00:00+05:30,67.5,67.75,66.55000305175781,66.69999694824219,1115,0.0,0.0,2023-12-29,68.67749977111816,1.2094446358481932,69.88694440696636,67.46805513526996,71.09638904281455,66.25861049942178,-83.48344674318977,-120.35533031842382,4592004,934.8368505193533,2795.1510024744493,81.97295494684073,22.695576801526613,67.0,67.44999694824219,66.25,68.19999694824219,65.80000305175781,68.64999389648438,65.05000305175781,0.26405566907749445,-76.69180350814395,-0.7177761746083462,-0.7283021507401412,0.010525976131794956,41.94698967384015,7.314539578069843,67.95,68.67749977111816,70.25299987792968,73.16074005126953,AUSOMENT.NS,2023-12-29 10:41:54.593438
2,2023-12-28 00:00:00+05:30,66.5,67.75,66.30000305175781,67.4000015258789,617,0.0,0.0,2023-12-28,68.69249992370605,1.1852461035254527,69.87774602723151,67.5072538201806,71.06299213075695,66.32200771665515,-83.87079837633416,-115.65930384022303,4593119,522.7333547193582,3260.229540463223,81.97452358389428,22.53007204375203,67.1500015258789,68.0,66.55000305175781,68.5999984741211,65.70000457763672,69.44999694824219,65.10000610351562,0.2535851856137737,-66.1654212973639,-0.6507552741968681,-0.7309336447730899,0.08017837057622179,44.110024963329195,7.8655455496688935,68.01000061035157,68.69249992370605,70.8179998779297,73.14584587097168,AUSOMENT.NS,2023-12-29 10:41:54.593438
3,2023-12-27 00:00:00+05:30,68.0,68.94999694824219,65.44999694824219,67.75,9126,0.0,0.0,2023-12-27,68.7125,1.1654986890538641,69.87799868905387,67.54700131094614,71.04349737810773,66.38150262189228,-59.459624284128346,-106.29916675928455,4593736,7771.858879851768,3944.6035868991894,81.97535196200418,22.160051102386205,67.38333129882812,69.31666564941406,65.81666564941406,70.88333129882812,63.883331298828125,72.81666564941406,62.31666564941406,0.2622996392610784,-60.902287555829375,-0.6240281286767271,-0.7509782374171452,0.12695010874041812,45.191980723155176,8.458936596006334,68.11999969482422,68.7125,71.37499984741211,73.14630104064942,AUSOMENT.NS,2023-12-29 10:41:54.593438
4,2023-12-26 00:00:00+05:30,71.80000305175781,71.80000305175781,67.0,68.9000015258789,888,0.0,0.0,2023-12-26,68.71749992370606,1.1613594424534799,69.87885936615953,67.55614048125258,71.04021880861302,66.3947810387991,128.17732083420435,11.262584577922283,4602862,769.0726010489694,2987.7897636610446,81.98732096204154,30.012370665218697,69.23333485921223,71.46666971842447,66.66666666666666,74.03333791097005,64.43333180745442,76.26667277018228,61.866663614908845,0.25297459234103375,-43.609035495606506,-0.6148238583230778,-0.7827157646022496,0.16789190627917172,48.847596216626734,9.097973107446654,68.15,68.71749992370606,71.98299987792969,73.12488006591796,AUSOMENT.NS,2023-12-29 10:41:54.593438
5,2023-12-22 00:00:00+05:30,67.3499984741211,69.3499984741211,67.3499984741211,69.0,299,0.0,0.0,2023-12-22,68.66749992370606,1.1745403609967278,69.84204028470279,67.49295956270933,71.01658064569952,66.3184192017126,43.67806415355222,-26.67183682284698,4603750,259.33158907759076,3542.469054314063,81.9883925149253,28.05412350535127,68.56666564941406,69.78333282470703,67.78333282470703,70.56666564941406,66.56666564941406,71.78333282470703,65.78333282470703,0.24678845274411357,-36.885255128267666,-0.706981816126202,-0.8246887411720424,0.11770692504584035,49.16874459163671,9.085987662666717,67.98999938964843,68.66749992370606,72.42099990844727,73.13765113830567,AUSOMENT.NS,2023-12-29 10:41:54.593438
6,2023-12-21 00:00:00+05:30,67.0,67.94999694824219,65.1500015258789,67.0,979,0.0,0.0,2023-12-21,68.67749977111816,1.1783653480013183,69.85586511911949,67.49913442311684,71.0342304671208,66.32076907511552,-130.077866249226,-140.18706042415107,4603451,824.5037527200044,4363.253420623181,81.98875060188605,31.138195464385447,66.6999994913737,68.2499974568685,65.45000203450522,69.49999491373698,63.90000406901042,71.04999287923178,62.65000661214194,0.24869901270974892,-76.28205692509789,-0.8241084176417388,-0.8541154724335024,0.030007054791763577,42.09918200903691,9.422232167088666,67.95,68.67749977111816,72.55699996948242,73.14097915649414,AUSOMENT.NS,2023-12-29 10:41:54.593438
7,2023-12-20 00:00:00+05:30,68.80000305175781,69.80000305175781,67.8499984741211,67.94999694824219,2617,0.0,0.0,2023-12-20,68.66249961853028,1.2025053849285932,69.86500500345888,67.45999423360168,71.06751038838746,66.25748884867309,-1.1167414994861715,-40.723485360526524,4604430,2235.261337614372,5247.940837598975,81.99010376217743,41.958149814280226,68.53333282470703,69.21666717529297,67.26666259765625,70.48333740234375,66.58332824707031,71.16667175292969,65.31665802001953,0.1388989521977789,-67.11412145181805,-0.764609772345068,-0.8616172361314431,0.09700746378637515,44.85048066186864,9.067917059025364,68.3,68.66249961853028,72.70599990844727,73.12308494567871,AUSOMENT.NS,2023-12-29 10:41:54.593438
8,2023-12-19 00:00:00+05:30,68.0,69.0,67.80000305175781,67.9000015258789,2950,0.0,0.0,2023-12-19,68.73999977111816,1.2041154468089301,69.94411521792709,67.53588432430924,71.14823066473602,66.33176887750031,-33.041349721613734,-59.35587131986365,4601813,2517.833120911599,6001.110712595126,81.99349282854382,41.55093361960183,68.23333485921223,68.66666666666666,67.46666971842447,69.43333180745442,67.03333791097005,69.86666361490884,66.26667277018228,0.18684849580791646,-67.78520122152288,-0.7704087854308597,-0.8858691020780369,0.11546031664717726,44.67377240100172,9.591654222440935,68.21000061035156,68.73999977111816,72.86899993896485,73.042548828125,AUSOMENT.NS,2023-12-29 10:41:54.593438
9,2023-12-18 00:00:00+05:30,68.80000305175781,69.0,66.0,68.0999984741211,29945,0.0,0.0,2023-12-18,68.69999961853027,1.2460462341181384,69.94604585264841,67.45395338441213,71.19209208676655,66.20790715029399,-77.9343177045331,-81.35461330582334,4604763,25633.420491936104,6871.930110516007,81.99732870608696,37.798537702332446,67.6999994913737,69.3999989827474,66.3999989827474,70.6999994913737,64.6999994913737,72.3999989827474,63.399998982747405,0.20088530926442327,-65.10067732665907,-0.7612366274756539,-0.9147341812398311,0.15349755376417717,45.21184723510951,10.089813925625887,68.18000030517578,68.69999961853027,73.04099990844726,72.96400264739991,AUSOMENT.NS,2023-12-29 10:41:54.593438
10,2023-12-15 00:00:00+05:30,69.0,70.0,67.5,68.80000305175781,1397,0.0,0.0,2023-12-15,68.79499969482421,1.2700910133623224,70.06509070818653,67.5249086814619,71.33518172154886,66.25481766809956,-26.08976403093307,-44.86118094196103,4634708,1208.1476285966633,2181.557515160983,82.03583053394378,64.68688852352449,68.76666768391927,70.03333536783853,67.53333536783853,71.26666768391927,66.26666768391927,72.53333536783853,65.03333536783853,0.14381181611094518,-55.70463887859119,-0.7576562667011615,-0.9531085696808753,0.19545230297971383,47.053754215583716,10.62629360597891,68.45,68.79499969482421,73.22399993896484,72.88295986175537,AUSOMENT.NS,2023-12-29 10:41:54.593438
11,2023-12-14 00:00:00+05:30,67.55000305175781,68.80000305175781,65.5,68.75,2161,0.0,0.0,2023-12-14,68.82249946594239,1.2761448178309704,70.09864428377335,67.54635464811142,71.37478910160432,66.27020983028045,-106.08688495637207,-69.31765086535634,4633311,1867.508604758437,2424.9099868020626,82.03754145232485,59.28646249336262,67.68333435058594,69.86666870117188,66.56666564941406,70.98333740234375,64.38333129882812,73.16667175292969,63.26666259765625,0.0676819066759363,-56.375821056318266,-0.810532524314695,-1.0019716454258036,0.1914391211111086,46.91030010618784,10.956128186024428,68.67999877929688,68.82249946594239,73.38999984741211,72.80634002685547,AUSOMENT.NS,2023-12-29 10:41:54.593438
12,2023-12-13 00:00:00+05:30,67.75,67.75,66.0,67.5,2239,0.0,0.0,2023-12-13,68.95749931335449,1.4044357172968371,70.36193503065132,67.55306359605765,71.76637074794816,66.14862787876082,-149.2641377820348,-75.24713279508475,4631150,1899.7349322024616,2564.260332312969,82.04019892027985,58.326329441098984,67.08333333333333,68.16666666666666,66.41666666666666,68.83333333333333,65.33333333333333,69.91666666666666,64.66666666666666,0.0964877707753883,-78.417256710028,-0.8610248183693017,-1.0498314257035808,0.18880660733427912,43.3469679622614,11.72340599511054,68.90999908447266,68.95749931335449,73.64599990844727,72.73618007659913,AUSOMENT.NS,2023-12-29 10:41:54.593438
13,2023-12-12 00:00:00+05:30,69.44999694824219,69.44999694824219,67.0,67.75,3843,0.0,0.0,2023-12-12,68.98999938964843,1.376168925630118,70.36616831527854,67.61383046401832,71.74233724090867,66.2376615383882,-88.18802901490865,-57.47623026186164,4633389,3272.7650312590777,2730.3916823405957,82.04321250274779,50.90058519598588,68.06666564941406,69.13333129882812,66.68333435058594,70.51666259765625,65.61666870117188,71.58332824707031,64.23333740234375,0.06498715924571459,-77.03699182581019,-0.7895183642669252,-1.0970330775371506,0.3075147132702254,43.894106825410816,12.023004549138541,69.57999877929687,68.98999938964843,73.78699996948242,72.65766067504883,AUSOMENT.NS,2023-12-29 10:41:54.593438
14,2023-12-11 00:00:00+05:30,69.94999694824219,71.25,69.0,69.44999694824219,3504,0.0,0.0,2023-12-11,69.06999931335449,1.3464764626348091,70.4164757759893,67.72352285071968,71.76295223862411,66.37704638808486,48.13085011417555,-35.576455269182176,4637232,3058.943607064866,2594.7983451109753,82.04829893654356,58.32974836590338,69.89999898274739,70.79999796549478,68.54999796549478,72.14999898274739,67.64999898274739,73.04999796549478,66.29999796549478,0.09244637101953346,-51.851851851851855,-0.7106272470560526,-1.173911755854707,0.46328450879865435,47.695477968313305,12.797919630577688,69.83999938964844,69.06999931335449,73.93099990844726,72.59452075958252,AUSOMENT.NS,2023-12-29 10:41:54.593438
15,2023-12-08 00:00:00+05:30,69.9000015258789,70.0,69.0,69.94999694824219,1514,0.0,0.0,2023-12-08,68.96249961853027,1.3993296007649427,70.36182921929522,67.56317001776533,71.76115882006016,66.16384041700039,39.82199800278023,-39.8367268264722,4640736,1331.2165775262588,2478.7620296225027,82.05238805990193,52.6053744192508,69.64999898274739,70.29999796549478,69.29999796549478,70.64999898274739,68.64999898274739,71.29999796549478,68.29999796549478,0.13113361940863308,-44.44444444444444,-0.7662795729984708,-1.2897328830543706,0.5234533100558998,48.8509064900815,12.91872278821165,70.05,68.96249961853027,74.03800003051758,72.5064344406128,AUSOMENT.NS,2023-12-29 10:41:54.593438
16,2023-12-07 00:00:00+05:30,70.8499984741211,70.8499984741211,68.80000305175781,69.9000015258789,1601,0.0,0.0,2023-12-07,68.90999984741211,1.379892707804921,70.28989255521704,67.53010713960718,71.66978526302195,66.15021443180227,60.565047614319155,-39.064710198199506,4639222,1406.7070347556466,2765.6483926465635,82.05408556884231,50.58865379376987,69.85000101725261,70.8999989827474,68.85000356038412,71.89999643961589,67.80000559488933,72.94999440511069,66.80000813802084,0.09696788387146751,-45.185117368344905,-0.8751635422278241,-1.4205962105683456,0.5454326683405215,48.735588471504876,13.626444791409158,70.13000030517578,68.90999984741211,74.14600006103515,72.42477115631104,AUSOMENT.NS,2023-12-29 10:41:54.593438
17,2023-12-06 00:00:00+05:30,69.0999984741211,71.0,68.5,70.8499984741211,3098,0.0,0.0,2023-12-06,68.91999969482421,1.3881446778315205,70.30814437265573,67.5318550169927,71.69628905048725,66.14371033916117,94.00477852528682,-37.599692855718466,4640823,2759.0298606455867,3105.3837321192923,82.05588855751624,46.86305108607361,70.11666615804036,71.73333231608072,69.23333231608072,72.61666615804036,67.61666615804036,74.23333231608072,66.73333231608072,0.1057475298717727,-31.111088505497687,-0.9963841727170717,-1.5569543776534758,0.5605702049364041,50.75442938449123,14.388606948698783,69.55,68.91999969482421,74.22900009155273,72.34807773590087,AUSOMENT.NS,2023-12-29 10:41:54.593438
18,2023-12-05 00:00:00+05:30,70.5,70.5,68.19999694824219,69.05000305175781,1643,0.0,0.0,2023-12-05,68.92749977111816,1.3994801336248721,70.32697990474304,67.52801963749329,71.7264600383679,66.12853950386842,46.98547486127986,-48.099737989265336,4637725,1426.0554335369309,3191.9721999877183,82.05910615627931,48.34334291027531,69.25,70.30000305175781,68.0,71.55000305175781,66.94999694824219,72.60000610351562,65.69999694824219,0.08083222395574674,-57.777687355324076,-1.2300468888867613,-1.6970969288875766,0.4670500400008153,46.883170223412094,15.209396964241456,68.94000091552735,68.92749977111816,74.29600006103516,72.25840774536132,AUSOMENT.NS,2023-12-29 10:41:54.593438
19,2023-12-04 00:00:00+05:30,70.3499984741211,72.94999694824219,70.30000305175781,70.5,2765,0.0,0.0,2023-12-04,68.96999969482422,1.416202780283053,70.38620247510728,67.55379691454117,71.80240525539033,66.13759413425812,227.3880251485819,-29.02328636138148,4639368,2450.300760402669,3633.451391600415,82.06108747878659,49.224280941847056,71.25,72.19999694824219,69.55000305175781,73.89999389648438,68.60000610351562,74.84999084472656,66.90000915527344,0.09052256558330843,-36.29625108506944,-1.3332966219487332,-1.8138594388877805,0.48056281693904723,49.81225605215192,16.29955166168993,68.7,68.96999969482422,74.40595321655273,72.17928791046143,AUSOMENT.NS,2023-12-29 10:41:54.593438
