Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-15 00:00:00+05:30,2224.949951171875,2390.0,2224.949951171875,2345.35009765625,465832,0.0,0.0,2023-12-15,2128.8875122070312,132.228117971927,2261.1156301789583,1996.6593942351042,2393.3437481508854,1864.4312762631773,82.71971053003867,182.32064613950982,6069079,344328.6362144909,167243.9555141571,2779.6180493555935,87.77864547295816,2320.1000162760415,2415.250081380208,2250.200032552083,2485.1500651041665,2155.0499674479165,2580.300130208333,2085.149983723958,0.35848248846141917,-11.598885051894555,55.17461241987667,32.58061153606681,22.594000883809855,70.75910921980825,30.429379741443725,2261.080029296875,2128.8875122070312,2119.427001953125,2158.4475024414064,BALAMINES.NS,2023-12-15 10:42:50.945423
2,2023-12-14 00:00:00+05:30,2250.0,2279.0,2220.0,2224.300048828125,51791,0.0,0.0,2023-12-14,2113.3875061035155,123.39270739757322,2236.780213501089,1989.9947987059422,2360.172920898662,1866.6020913083692,29.800164350711846,126.11952552339855,5603247,36306.45209912395,122972.78533907364,2784.759636573456,85.06930002995168,2241.1000162760415,2262.200032552083,2203.200032552083,2300.1000162760415,2182.1000162760415,2321.200032552083,2144.200032552083,0.3266112270207867,-40.73522666904241,46.75484337756461,26.932111315114348,19.822732062450264,61.32169756545257,28.16023633822065,2251.37001953125,2113.3875061035155,2116.052001953125,2157.1350024414064,BALAMINES.NS,2023-12-15 10:42:50.945423
3,2023-12-13 00:00:00+05:30,2243.800048828125,2249.800048828125,2203.25,2235.85009765625,48245,0.0,0.0,2023-12-13,2103.4025024414063,122.01748624000861,2225.419988681415,1981.3850162013978,2347.4374749214235,1859.3675299613892,31.349305485633714,119.61535005658317,5655038,33996.25960822145,144639.36864906107,2785.4983581069546,83.90289021461625,2229.6333821614585,2256.016764322917,2209.466715494792,2276.1834309895835,2183.0833333333335,2302.566813151042,2162.916666666667,0.33650560003835767,-37.61316953900674,47.188176558320265,21.97642829950178,25.211748258818485,63.12682879810403,26.66694103355325,2275.960009765625,2103.4025024414063,2115.0510009765626,2156.9675024414064,BALAMINES.NS,2023-12-15 10:42:50.945423
4,2023-12-12 00:00:00+05:30,2267.949951171875,2294.0,2221.449951171875,2232.64990234375,72500,0.0,0.0,2023-12-12,2093.1974975585936,118.8510667208596,2212.0485642794533,1974.346430837734,2330.8996310003126,1855.4953641168743,50.38927276095133,139.47095893339826,5606793,51014.634258567545,172300.14590927097,2786.1740565068512,84.6517949657375,2249.3666178385415,2277.283284505208,2204.733235677083,2321.9166666666665,2176.8165690104165,2349.833333333333,2132.183186848958,0.3283087158666217,-38.47820420176663,45.89049716184627,15.673491234797158,30.21700592704911,62.845450941546666,25.387251808299183,2290.310009765625,2093.1974975585936,2114.0160009765623,2156.7390014648436,BALAMINES.NS,2023-12-15 10:42:50.945423
5,2023-12-11 00:00:00+05:30,2299.89990234375,2300.0,2240.0,2267.25,98062,0.0,0.0,2023-12-11,2082.8150024414062,115.0363664532953,2197.8513688947014,1967.7786359881109,2312.887735347997,1852.7422695348157,73.36233989904775,159.6141840002131,5679293,70070.67488821164,202621.52382194682,2787.1985125997508,86.44153521945697,2269.0833333333335,2298.166666666667,2238.166666666667,2329.0833333333335,2209.0833333333335,2358.166666666667,2178.166666666667,0.34744443509874123,-29.125561351930127,43.84893448559387,8.11923975303488,35.729694732559,68.05994865563203,23.46377230871975,2255.1400390625,2082.8150024414062,2114.1680029296876,2156.520002441406,BALAMINES.NS,2023-12-15 10:42:50.945423
6,2023-12-08 00:00:00+05:30,2350.0,2361.39990234375,2270.60009765625,2296.800048828125,115221,0.0,0.0,2023-12-08,2069.9875,107.4408925498456,2177.4283925498457,1962.5466074501546,2284.8692850996913,1855.105714900309,120.31592068908157,201.46831273786816,5777355,83404.78595978198,235759.23605538058,2788.5033860714284,89.94187583672183,2309.6000162760415,2348.599934895833,2257.800130208333,2400.3998209635415,2218.8002115885415,2439.399739583333,2167.000325520833,0.3396490262807106,-21.137981211827245,37.16315243416102,-0.81318393010487,37.97633636426589,72.85383526100004,20.82404939541818,2206.0900390625,2069.9875,2113.8380029296877,2156.0005029296876,BALAMINES.NS,2023-12-15 10:42:50.945423
7,2023-12-07 00:00:00+05:30,2290.0,2368.949951171875,2258.050048828125,2347.25,346907,0.0,0.0,2023-12-07,2058.3699951171875,93.24974000057186,2151.6197351177593,1965.1202551166157,2244.869475118331,1871.8705151160439,197.44411541696698,229.93059568497338,5892576,256630.6679447624,273847.8485792802,2789.957587717512,92.87281218180986,2324.75,2391.449951171875,2280.550048828125,2435.64990234375,2213.85009765625,2502.349853515625,2169.650146484375,0.35403797737492293,-7.501014640520288,25.130015265024213,-10.307268021171343,35.43728328619555,82.01162241464287,16.993724526858895,2150.27001953125,2058.3699951171875,2112.68400390625,2154.596003417969,BALAMINES.NS,2023-12-15 10:42:50.945423
8,2023-12-06 00:00:00+05:30,2069.25,2375.0,2061.0,2307.60009765625,1769793,0.0,0.0,2023-12-06,2044.8,64.23057462126587,2109.0305746212657,1980.5694253787342,2173.2611492425317,1916.3388507574682,328.17695195386153,169.84196311014452,5545669,1287120.3743992022,278152.1437379096,2793.935033796743,91.84673019917564,2247.86669921875,2434.7333984375,2120.7333984375,2561.86669921875,1933.86669921875,2748.7333984375,1806.7333984375,0.311999446310003,-18.218654207211042,4.374639679050233,-19.16658884272023,23.541228521770464,80.19478978916652,12.86875928379505,2084.180029296875,2044.8,2110.4030029296873,2152.9745043945313,BALAMINES.NS,2023-12-15 10:42:50.945423
9,2023-12-05 00:00:00+05:30,2025.0,2073.25,2025.0,2056.800048828125,82707,0.0,0.0,2023-12-05,2033.8674926757812,21.61955759302393,2055.487050268805,2012.2479350827573,2077.106607861829,1990.6283774897333,236.2176922306022,-36.558238368869105,3775876,53613.0463962313,25910.08607258649,2817.2969632340432,52.02623568438632,2051.683349609375,2078.36669921875,2030.11669921875,2099.933349609375,2003.433349609375,2126.61669921875,1981.86669921875,-0.28543425580453874,-30.020237769025318,-18.359898373366377,-25.051895973162843,6.691997599796466,51.31112076462211,8.426489022033989,2026.3800048828125,2033.8674926757812,2109.15,2151.989504394531,BALAMINES.NS,2023-12-15 10:42:50.945423
10,2023-12-04 00:00:00+05:30,2041.949951171875,2042.0,2019.0,2022.0,27921,0.0,0.0,2023-12-04,2033.1124877929688,21.032236869292667,2054.1447246622615,2012.080250923676,2075.1769615315543,1991.0480140543834,18.88255478046484,-62.95693884909316,3693169,17792.9624901377,18984.345991675287,2819.008028303615,46.061787773806635,2027.6666666666667,2036.3333333333335,2013.3333333333335,2050.666666666667,2004.6666666666667,2059.3333333333335,1990.3333333333335,-0.36968812838874415,-77.07915839933443,-22.488811247200374,-26.724895373111956,4.236084125911582,40.045289502769954,7.703002669674425,2018.0300048828126,2033.1124877929688,2112.9860009765625,2153.78150390625,BALAMINES.NS,2023-12-15 10:42:50.945423
