Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-09 00:00:00+05:30,95.44999694824219,96.0,93.19999694824219,93.5,29819,0.0,0.0,2023-11-09,90.12749977111817,3.1228142199670317,93.25031399108519,87.00468555115114,96.37312821105223,83.8818713311841,102.63374911971525,53.125872730048414,8734512,29207.76024043416,27247.336304593093,104.8347096057146,56.11611420602922,94.23333231608073,95.26666768391928,92.46666463216147,97.03333536783855,91.43332926432292,98.06667073567709,89.66666158040366,-0.1904278998606141,-16.891888408786997,-0.10973794412764448,-0.896194178733677,0.7864562346060325,56.77665040211935,27.174981828489827,92.86999969482422,90.12749977111817,92.93879013061523,92.92216041564942,BALPHARMA.NS,2023-11-09 10:45:10.234899
2,2023-11-08 00:00:00+05:30,94.69999694824219,94.69999694824219,91.19999694824219,92.6500015258789,52699,0.0,0.0,2023-11-08,90.10999984741211,3.1038434451945567,93.21384329260667,87.00615640221756,96.31768673780122,83.902312957023,94.106527299289,11.398453786152055,8704693,51149.49780841155,26757.23032063282,104.84502749225562,50.0329575128559,92.8499984741211,94.5,91.0,96.3499984741211,89.3499984741211,98.0,87.5,-0.159158130867907,-15.185151276765046,-0.36664376219870576,-1.092808237385185,0.7261644751864793,54.69196113071419,29.248729941434423,91.85999908447266,90.10999984741211,92.97174850463867,92.85353591918945,BALPHARMA.NS,2023-11-09 10:45:10.234899
3,2023-11-07 00:00:00+05:30,91.5,93.8499984741211,90.5999984741211,93.19999694824219,23406,0.0,0.0,2023-11-07,90.12249984741212,3.1150941047921092,93.23759395220422,87.00740574262001,96.35268805699633,83.8923116378279,114.78202166995914,-0.8993271708344627,8757392,22852.655243279896,20659.16344868814,104.86467790216,37.83981417385685,92.5499979654948,94.4999974568685,91.2499974568685,95.7999979654948,89.2999979654948,97.7499974568685,87.9999974568685,-0.15798487047299936,-8.396989244305912,-0.606293880123232,-1.2743493561818047,0.6680554760585726,56.32417410038558,30.88091070777205,90.90999908447266,90.12249984741212,92.97717575073243,92.79786445617675,BALPHARMA.NS,2023-11-09 10:45:10.234899
4,2023-11-06 00:00:00+05:30,94.25,94.30000305175781,91.6500015258789,92.19999694824219,21808,0.0,0.0,2023-11-06,90.06749992370605,3.0672414053344705,93.13474132904052,87.00025851837158,96.201982734375,83.93301711303711,164.40296874723657,-0.9592729662602767,8733986,21063.974203347752,20110.790500040202,104.87303196041402,43.15458794160462,92.71666717529297,93.78333282470703,91.13333129882812,95.36666870117188,90.06666564941406,96.43333435058594,88.48332977294922,-0.2080224200097751,-16.030573473947086,-0.9580985972423548,-1.4413632251964477,0.48326462795409286,54.00678070883938,32.22569527713776,89.48999938964843,90.06749992370605,92.9755613708496,92.73075561523437,BALPHARMA.NS,2023-11-09 10:45:10.234899
5,2023-11-03 00:00:00+05:30,88.5999984741211,93.19999694824219,88.5999984741211,92.80000305175781,36045,0.0,0.0,2023-11-03,90.17250022888183,3.178028723835428,93.35052895271726,86.9944715050464,96.52855767655268,83.81644278121098,139.73933079372898,-33.02730541526463,8755794,35041.81475324582,19872.494574213313,104.88149417050492,40.70140864722014,91.53333282470703,94.46666717529297,89.86666870117188,96.13333129882812,86.93333435058594,99.06666564941406,85.26667022705078,-0.18011616158254137,-8.661402186091077,-1.2955137487472541,-1.5621793821849708,0.26666563343771665,55.65193047057759,34.076596255298945,88.68000030517578,90.17250022888183,92.99988449096679,92.68057373046875,BALPHARMA.NS,2023-11-09 10:45:10.234899
6,2023-11-02 00:00:00+05:30,89.0,90.0999984741211,88.0,88.44999694824219,13153,0.0,0.0,2023-11-02,90.2,3.2042329247664028,93.4042329247664,86.9957670752336,96.6084658495328,83.7915341504672,39.81002753157972,-102.61433403053931,8719749,12187.544415743323,16080.164529455189,104.89484267075204,28.33138123767887,88.8499984741211,89.69999694824219,87.5999984741211,90.94999694824219,86.75,91.79999542236328,85.5,-0.3129885131725091,-47.08030965307428,-1.766969903690736,-1.6288457905443996,-0.13812411314633644,44.21107613805566,35.55006038026136,87.35,90.2,93.02507202148438,92.63181365966797,BALPHARMA.NS,2023-11-09 10:45:10.234899
7,2023-11-01 00:00:00+05:30,86.0999984741211,88.9000015258789,86.0999984741211,87.9000015258789,11044,0.0,0.0,2023-11-01,90.43000030517578,3.236933799245274,93.66693410442106,87.1930665059305,96.90386790366632,83.95613270668524,-14.409347784501104,-142.21846747737663,8706596,10169.716577785875,17053.319557883155,104.90147546705207,22.905103362808205,87.63333384195964,89.16666920979819,86.36666615804037,90.43333689371745,84.83333079020183,91.966672261556,83.56666310628256,-0.32433396610232285,-51.094873438411035,-1.915394684238933,-1.5943147622578153,-0.3210799219811178,42.468556189077326,35.40913311088189,86.45,90.43000030517578,93.04918716430664,92.62902755737305,BALPHARMA.NS,2023-11-09 10:45:10.234899
8,2023-10-31 00:00:00+05:30,89.6500015258789,89.6500015258789,85.0,86.0999984741211,20276,0.0,0.0,2023-10-31,90.79500007629395,3.3463613034122814,94.14136137970623,87.44863877288167,97.4877226831185,84.10227746946939,-41.71632441091319,-174.04692892680254,8695552,18288.538267019027,18774.220302907474,104.90723519688733,23.1585441801589,86.91666666666667,88.83333333333334,84.18333180745444,91.56666819254558,82.26666514078777,93.48333485921225,79.53333028157553,-0.3229377958071969,-64.23357745531376,-2.0222360331286637,-1.5140447817625358,-0.508191251366128,36.43500619267255,34.45886690181281,86.11999969482422,90.79500007629395,93.12091659545898,92.63668930053711,BALPHARMA.NS,2023-11-09 10:45:10.234899
9,2023-10-30 00:00:00+05:30,88.5999984741211,89.44999694824219,87.05000305175781,88.1500015258789,20334,0.0,0.0,2023-10-30,91.26750030517579,3.3155648039363244,94.58306510911211,87.95193550123946,97.89862991304844,84.63637069730314,-22.90409541126327,-154.32162470947696,8715828,18777.540719523287,18895.640811879584,104.91894006751346,27.67399549509183,88.21666717529297,89.38333129882812,86.98333740234375,90.61666107177734,85.8166732788086,91.7833251953125,84.58334350585938,-0.2729819097573568,-49.27005652989636,-1.9511123681533178,-1.3869969689210038,-0.564115399232314,40.98003499932753,33.435503292046114,86.1,91.26750030517579,93.18312561035157,92.6588875579834,BALPHARMA.NS,2023-11-09 10:45:10.234899
10,2023-10-27 00:00:00+05:30,84.0,86.6500015258789,83.0,86.1500015258789,7739,0.0,0.0,2023-10-27,91.55000038146973,3.276431588058567,94.8264319695283,88.27356879341116,98.10286355758686,84.9971372053526,-92.7970776301005,-258.7462502512834,8695494,6984.474002935339,18925.165834968655,104.92941277279125,19.80754870986803,85.26666768391927,87.53333536783853,83.88333384195963,88.91666920979817,81.61666615804036,91.18333689371744,80.23333231608072,-0.28906376380980103,-63.868591798013796,-2.0323844556965867,-1.245968119112925,-0.7864163365836616,33.46054310572262,32.836659102607854,86.68999938964843,91.55000038146973,93.2162094116211,92.64227867126465,BALPHARMA.NS,2023-11-09 10:45:10.234899
11,2023-10-26 00:00:00+05:30,84.0999984741211,86.0999984741211,81.19999694824219,83.94999694824219,48516,0.0,0.0,2023-10-26,91.97000045776367,3.0803033187363664,95.05030377650004,88.8896971390273,98.13060709523641,85.80939382029094,-162.00986096858927,-353.0375356038731,8687755,42667.70081094493,21910.338792976985,104.93387755778238,22.97675195084652,83.74999745686848,86.29999796549478,81.39999643961588,88.64999898274739,78.84999593098958,91.19999949137369,76.49999491373697,-0.3161123984106571,-80.63380905995682,-1.9086739548134233,-1.0493640349670095,-0.8593099198464138,23.50590541249791,30.14044837392722,87.70999908447266,91.97000045776367,93.36746978759766,92.663482131958,BALPHARMA.NS,2023-11-09 10:45:10.234899
12,2023-10-25 00:00:00+05:30,86.94999694824219,88.1500015258789,85.25,86.25,14952,0.0,0.0,2023-10-25,92.5050006866455,2.48590285099628,94.99090353764178,90.01909783564922,97.47680638863807,87.53319498465294,-179.65562520644158,-314.93524313878174,8736271,13509.894611452124,16720.998288484996,104.96519976103099,25.366604471188666,86.5500005086263,87.8500010172526,84.94999949137369,89.4500020345052,83.64999898274739,90.7500025431315,82.04999796549478,-0.40776889260495536,-89.40090610499314,-1.5047006058121895,-0.8345365550054058,-0.6701640508067837,27.499795861768078,26.776161416771927,89.33000030517579,92.5050006866455,93.58450119018555,92.68540977478027,BALPHARMA.NS,2023-11-09 10:45:10.234899
13,2023-10-23 00:00:00+05:30,90.25,90.8499984741211,85.0999984741211,86.0,43304,0.0,0.0,2023-10-23,92.96500053405762,2.0866810578389896,95.05168159189661,90.87831947621864,97.1383626497356,88.79163841837965,-269.79671047888354,-330.5315688840056,8721319,39013.96000176159,17523.774207743212,104.97381317056553,24.7097498456569,87.31666564941406,89.53333282470703,83.78333282470703,93.06666564941406,81.56666564941406,95.28333282470703,78.03333282470703,-0.3543609082383622,-92.17389977496603,-1.1912092609638592,-0.6669955423037099,-0.5242137186601492,26.234773111979848,23.801336084081314,90.66000061035156,92.96500053405762,93.8069905090332,92.64425941467285,BALPHARMA.NS,2023-11-09 10:45:10.234899
14,2023-10-20 00:00:00+05:30,91.25,92.3499984741211,90.80000305175781,91.0999984741211,7743,0.0,0.0,2023-10-20,93.33750038146972,1.2912536801118417,94.62875406158156,92.04624670135789,95.92000774169341,90.75499302124604,-153.40186276146005,-167.44969206601843,8764623,7389.604549932906,12151.22775923862,104.99913780869426,27.60384641383321,91.41666666666667,92.03333028157553,90.48333485921225,92.96666208902995,89.86667124430339,93.58332570393881,88.93333943684897,-0.29409632142927145,-95.08204102614131,-0.7471755048934483,-0.5359421126386726,-0.21123339225477566,39.187096395799266,20.597678033491423,92.0,93.33750038146972,94.10177108764648,92.60907257080078,BALPHARMA.NS,2023-11-09 10:45:10.234899
15,2023-10-19 00:00:00+05:30,92.0999984741211,92.80000305175781,91.0,91.25,11018,0.0,0.0,2023-10-19,93.45000038146972,1.179205836203161,94.62920621767289,92.27079454526655,95.80841205387604,91.0915887090634,-167.57980774272255,-164.51934011683198,8772366,10532.445249450902,13341.633561565046,105.00245569454947,36.5073298577573,91.68333435058594,92.36666870117188,90.56666564941406,93.48333740234375,89.88333129882812,94.16667175292969,88.76666259765625,-0.3096583256123887,-94.16669209798177,-0.6696294774532134,-0.4831337645749787,-0.18649571287823474,39.72270254048,18.857364986951215,92.28000030517578,93.45000038146972,94.29257247924805,92.55009910583496,BALPHARMA.NS,2023-11-09 10:45:10.234899
16,2023-10-18 00:00:00+05:30,92.9000015258789,93.8499984741211,91.5,92.05000305175781,16186,0.0,0.0,2023-10-18,93.61000022888183,1.0777167411813433,94.68771697006318,92.53228348770048,95.76543371124451,91.45456674651915,-94.30427069281944,-126.64502282270027,8783384,15608.347027154834,14043.93063959358,105.00712868443297,37.38387898166401,92.46666717529297,93.43333435058594,91.08333587646484,94.81666564941406,90.11666870117188,95.78333282470703,88.73333740234375,-0.30553579461828534,-80.83330790201823,-0.5749740399086534,-0.43650983635541996,-0.1384642035532334,42.60669668712305,17.07668420818139,92.58000030517579,93.61000022888183,94.45266571044922,92.50001625061036,BALPHARMA.NS,2023-11-09 10:45:10.234899
17,2023-10-17 00:00:00+05:30,93.6500015258789,93.6500015258789,92.69999694824219,92.9000015258789,8642,0.0,0.0,2023-10-17,93.77250022888184,1.0751349354462212,94.84763516432805,92.69736529343562,95.92277009977428,91.6222303579894,-26.759352335883833,-85.5683435525756,8799570,8410.533638711482,13652.826542703266,105.01359976588596,38.90274018103045,93.08333333333333,93.46666971842447,92.51666514078775,94.03333791097005,92.13332875569661,94.41667429606119,91.56666056315103,-0.2949196770097387,-66.66666666666667,-0.5238628478480791,-0.4018937854671116,-0.12196906238096755,45.894130257685,15.39233262255831,92.8,93.77250022888184,94.58488388061524,92.43797500610351,BALPHARMA.NS,2023-11-09 10:45:10.234899
18,2023-10-16 00:00:00+05:30,92.6500015258789,93.9000015258789,92.0,92.69999694824219,10711,0.0,0.0,2023-10-16,93.875,1.0852481630993358,94.96024816309934,92.78975183690066,96.04549632619867,91.70450367380133,-59.7964524782796,-90.40575238784295,8790928,10401.675672556441,14963.399768701209,105.01683072832162,40.739205272009706,92.86666615804036,93.73333231608072,91.83333079020181,94.76666768391927,90.96666463216145,95.63333384195963,89.93332926432291,-0.2938876952346809,-72.0930810230254,-0.5341996888302134,-0.37140151987186965,-0.16279816895834376,44.96637455707103,14.197721690892209,92.8,93.875,94.67437316894531,92.340220413208,BALPHARMA.NS,2023-11-09 10:45:10.234899
19,2023-10-13 00:00:00+05:30,94.0,94.9000015258789,91.0,92.5,22060,0.0,0.0,2023-10-13,93.96028671264648,1.054640744615897,95.01492745726237,92.90564596803058,96.06956820187827,91.85100522341469,-76.56350365177855,-85.68914854915627,8780217,21376.7072598682,16103.8307927374,105.02090375423356,45.91581436050878,92.8000005086263,94.6000010172526,90.69999949137369,96.7000020345052,88.89999898274739,98.5000025431315,86.79999796549478,-0.29955661752232826,-75.19381036983064,-0.5196426224593154,-0.3307019776322837,-0.18894064482703166,44.075937390953406,12.911217610636408,92.68000030517578,93.96028671264648,94.7164045715332,92.25535118103028,BALPHARMA.NS,2023-11-09 10:45:10.234899
20,2023-10-12 00:00:00+05:30,93.69999694824219,94.4000015258789,92.19999694824219,92.75,15133,0.0,0.0,2023-10-12,94.0258861541748,0.9983292397536926,95.02421539392849,93.02755691442111,96.02254463368219,92.02922767466741,-68.39904910612245,-66.63796732485498,8802277,14703.899287874618,14785.6116759547,105.02943721400504,47.10715056878793,93.11666615804036,94.03333536783853,91.83333079020181,95.31667073567708,90.91666158040364,96.23333994547525,89.6333262125651,-0.3298773014581716,-71.31783954370285,-0.473435124059705,-0.2834668164255258,-0.1899683076341792,44.91953578474779,11.525751678053236,93.04000091552734,94.0258861541748,94.79113357543946,92.17000801086425,BALPHARMA.NS,2023-11-09 10:45:10.234899
21,2023-10-11 00:00:00+05:30,94.1500015258789,94.19999694824219,92.9000015258789,93.1500015258789,11165,0.0,0.0,2023-10-11,94.09135513305664,0.9521188762323239,95.04347400928896,93.13923625682432,95.99559288552129,92.18711738059199,-59.78087291452834,-53.836798444278855,8817410,10895.198894618734,14806.03977297472,105.0351808981333,47.26490229785003,93.41666666666667,93.93333180745444,92.63333638509116,94.71666208902995,92.11667124430339,95.23332722981772,91.33334096272787,-0.35398445777722554,-65.11626256484989,-0.4317234765017304,-0.23597473951698095,-0.19574873698474943,46.234256057980716,10.6612644817994,93.16000061035156,94.09135513305664,94.88659164428711,92.06633163452149,BALPHARMA.NS,2023-11-09 10:45:10.234899
22,2023-10-10 00:00:00+05:30,92.5,93.69999694824219,92.3499984741211,92.9000015258789,8102,0.0,0.0,2023-10-10,94.27783889770508,1.1101717281867274,95.38801062589181,93.16766716951835,96.49818235407854,92.05749544133162,-113.89389022702757,-77.82512225253448,8806245,7884.996938305998,15783.749992563717,105.03928389723805,41.779208174108895,92.98333231608073,93.61666615804037,92.26666768391928,94.33333079020183,91.63333384195964,94.96666463216147,90.91666920979819,-0.3580560868054772,-68.99223339097767,-0.411172752608735,-0.18703755527079358,-0.2241351973379414,45.305205324065675,10.1363278336703,93.14000091552734,94.27783889770508,94.96316421508789,91.96805618286133,BALPHARMA.NS,2023-11-09 10:45:10.234899
23,2023-10-09 00:00:00+05:30,92.80000305175781,93.8499984741211,90.9000015258789,92.0999984741211,15373,0.0,0.0,2023-10-09,94.50650978088379,1.270818927363687,95.77732870824748,93.2356908535201,97.04814763561116,91.96487192615642,-215.72487688930556,-114.70157759131344,8798143,14832.413327572338,17758.438256128145,105.04232569976637,45.858103452163284,92.28333282470703,93.66666412353516,90.71666717529297,95.23332977294922,89.33333587646484,96.61666107177734,87.76667022705078,-0.4041951293398087,-81.3953873486836,-0.35401049622134906,-0.1310037559363082,-0.22300674028504086,42.34489791772602,9.14189509899313,93.6,94.50650978088379,94.96062271118164,91.87129112243652,BALPHARMA.NS,2023-11-09 10:45:10.234899
