Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-28 00:00:00+05:30,89.25,90.75,88.0999984741211,88.3499984741211,248441,0.0,0.0,2023-09-28,92.02999992370606,2.954808292135161,94.98480821584121,89.0751916315709,97.93961650797638,86.12038333943573,-58.58044370979242,-17.743091179139313,79803245,213420.54333539814,321003.78331437835,84.11594601776838,21.99645260686742,89.06666564941406,90.03333282470703,87.38333129882812,91.71666717529297,86.41666412353516,92.68333435058594,84.73332977294922,-0.2692517558088414,-92.02127789091104,-0.371443826496602,0.2342228940710621,-0.6056667205676641,42.723281932327886,16.768039317518994,88.56999969482422,92.02999992370606,89.16027404785156,87.9367830657959,BEPL.NS,2023-09-28 10:43:15.435002
2,2023-09-27 00:00:00+05:30,88.44999694824219,90.0,87.5999984741211,89.0999984741211,332789,0.0,0.0,2023-09-27,92.11749992370605,2.8646329676591735,94.98213289136523,89.25286695604687,97.8467658590244,86.3882339883877,-81.09670346462376,-19.766671683866218,80051686,288305.5916223843,347899.59330912336,84.11338967060126,17.226285926351835,88.89999898274739,90.19999949137369,87.79999796549478,91.3000005086263,86.49999745686848,92.6000010172526,85.39999643961588,-0.2594975870369035,-84.04255578182207,-0.2510312498102536,0.3856395742129781,-0.6366708240232317,45.15580968783353,17.613477203542725,88.88999938964844,92.11749992370605,89.2341389465332,87.73779273986817,BEPL.NS,2023-09-28 10:43:15.435002
3,2023-09-26 00:00:00+05:30,88.8499984741211,89.55000305175781,87.94999694824219,88.25,199793,0.0,0.0,2023-09-26,92.10999984741211,2.8731328383292603,94.98313268574137,89.23686700908286,97.85626552407064,86.36373417075359,-114.73083308334314,-24.932789069742473,79718897,171435.74867583887,362798.09373080806,84.10935353297904,11.51481021266838,88.58333333333333,89.21666971842447,87.61666361490884,90.18333943684895,86.9833272298177,90.8166758219401,86.01665751139322,-0.22965062846326117,-97.04430535312817,-0.16692679557075962,0.544807280218786,-0.7117340757895456,41.660129980919756,18.074312222141188,89.08000030517579,92.10999984741211,89.31673156738282,87.5358097076416,BEPL.NS,2023-09-28 10:43:15.435002
4,2023-09-25 00:00:00+05:30,88.55000305175781,89.80000305175781,88.19999694824219,88.55000305175781,276353,0.0,0.0,2023-09-25,92.0224998474121,3.019779778420372,95.04227962583248,89.00272006899174,98.06205940425285,85.98294029057136,-112.39853041828627,-17.135620400162598,79918690,237935.4597684358,410638.6799945503,84.1073404985122,30.253675837126835,88.85000101725261,89.50000508626303,87.8999989827474,90.45000712076823,87.24999491373698,91.10001118977866,86.29999287923178,-0.2307997388733823,-94.76187569754464,0.026993556862507262,0.7227407991661724,-0.6957472423036651,42.548936767441646,18.297845421900966,89.66000061035156,92.0224998474121,89.39951690673828,87.33150901794434,BEPL.NS,2023-09-28 10:43:15.435002
5,2023-09-22 00:00:00+05:30,90.0999984741211,90.94999694824219,88.0,88.5999984741211,393629,0.0,0.0,2023-09-22,91.93249969482422,3.152620867826019,95.08512056265023,88.7798788269982,98.23774143047625,85.62725795917218,-116.77865196562021,-8.34520251280386,80195043,339099.5453770995,453814.48505107895,84.1043509717455,41.98643466816038,89.18333180745442,90.36666361490884,87.41666666666666,92.13332875569661,86.23333485921223,93.31666056315103,84.46666971842447,-0.22709587260822398,-94.28572881789435,0.2453156233370919,0.8966776097420887,-0.6513619864049968,42.68989026153155,18.64728934405817,90.4,91.93249969482422,89.4970639038086,87.0596036529541,BEPL.NS,2023-09-28 10:43:15.435002
6,2023-09-21 00:00:00+05:30,90.0,91.19999694824219,89.55000305175781,89.94999694824219,339510,0.0,0.0,2023-09-21,91.86499977111816,3.240942541597753,95.10594231271591,88.62405722952042,98.34688485431367,85.38311468792266,-87.77339285016683,15.028031250861462,80588672,296934.1374717986,482493.2199695738,84.10003785975263,47.41348322921717,90.23333231608073,90.91666158040366,89.26666768391928,91.88332621256511,88.58333841959636,92.56665547688803,87.6166737874349,-0.22690742678923845,-84.65350835116674,0.5161933316462495,1.0595181063433379,-0.5433247746970884,46.55665727871494,19.02361356791977,91.06000061035157,91.86499977111816,89.66281646728515,86.77998661041259,BEPL.NS,2023-09-28 10:43:15.435002
7,2023-09-20 00:00:00+05:30,91.05000305175781,91.69999694824219,89.25,90.05000305175781,476225,0.0,0.0,2023-09-20,91.74500007629395,3.3579005419437244,95.10290061823767,88.38709953435023,98.4608011601814,85.02919899240649,-93.8393437662965,18.24681595063471,80928182,416967.6179041261,528882.9905940176,84.09519305454529,63.764680482551015,90.33333333333333,91.41666666666666,88.96666971842447,92.78333028157552,87.88333638509114,93.86666361490884,86.51667277018228,-0.21074013506338468,-83.6633487608275,0.7222233761718542,1.1953493000176099,-0.4731259238457557,46.84853471785841,20.07752616501403,91.29000091552734,91.74500007629395,89.71654510498047,86.48356422424317,BEPL.NS,2023-09-28 10:43:15.435002
8,2023-09-18 00:00:00+05:30,92.6500015258789,93.0,90.5999984741211,91.1500015258789,321791,0.0,0.0,2023-09-18,91.5849998474121,3.515457964097367,95.10045781150947,88.06954188331474,98.61591577560684,84.55408391921738,-72.80293911491647,45.463950499919804,81404407,285191.7642705274,556861.8337664903,84.08826747980328,68.02467430942363,91.58333333333333,92.56666819254556,90.16666666666666,93.98333485921223,89.18333180745442,94.96666971842447,87.76666514078775,-0.21749066907156134,-72.77227311423623,0.965212402132309,1.3136307809790486,-0.34841837884673965,50.053798522384646,21.212508961884772,91.34000091552734,91.5849998474121,89.75344390869141,86.18794471740722,BEPL.NS,2023-09-28 10:43:15.435002
9,2023-09-15 00:00:00+05:30,92.44999694824219,94.05000305175781,91.9000015258789,92.25,395997,0.0,0.0,2023-09-15,91.36499977111816,3.6780318575845308,95.04303162870269,87.68696791353364,98.72106348628722,84.0089360559491,-53.30452456924199,72.06162073543803,81726198,355193.2278255657,624779.3511404811,84.0827135241913,71.09142523988757,92.73333485921223,93.56666819254556,91.41666666666666,94.88333638509114,90.58333333333333,95.71666971842447,89.26666514078775,-0.20510297330834942,-52.966087996637896,1.1533543750071402,1.4007353756907333,-0.24738100068359303,53.44947684906975,22.676561654885052,92.03000030517578,91.36499977111816,89.76735427856445,85.88102478027344,BEPL.NS,2023-09-28 10:43:15.435002
10,2023-09-14 00:00:00+05:30,91.8499984741211,93.30000305175781,91.0,91.9000015258789,410627,0.0,0.0,2023-09-14,91.04499969482421,3.8703628381989876,94.9153625330232,87.17463685662523,98.78572537122218,83.30427401842624,-81.45188786380987,61.28329377944534,81330201,366918.3458975282,692175.8819692099,84.07480113984563,68.56893818984292,92.06666819254558,93.13333638509116,90.83333333333334,94.36667124430339,89.76666514078777,95.43333943684897,88.53333028157553,-0.20428056820000215,-52.79998779296875,1.2684248636606128,1.4625806258616314,-0.1941557622010186,52.49734283340221,23.653814213831858,92.68000030517578,91.04499969482421,89.72466186523438,85.5688140487671,BEPL.NS,2023-09-28 10:43:15.435002
