Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,macd,macd_ema_9,symbol,created_on
1,2023-07-13 00:00:00+05:30,260.3999938964844,261.6499938964844,256.0,257.1499938964844,2780982,0.0,0.0,2023-07-13,253.52150220712878,248.4927912437978,5.02871096333098,4.387125673324854,BIOCON.NS,2023-07-14 07:45:01.460783
2,2023-07-12 00:00:00+05:30,255.0,262.3500061035156,254.3000030517578,259.1499938964844,4526585,0.0,0.0,2023-07-12,252.86177644542775,247.8002150315829,5.061561413844856,4.226729350823322,BIOCON.NS,2023-07-14 07:45:01.460783
3,2023-07-11 00:00:00+05:30,256.0,256.3999938964844,252.5500030517578,254.1999969482422,2604446,0.0,0.0,2023-07-11,251.71846418159927,246.8922327223908,4.826231459208486,4.018021335067939,BIOCON.NS,2023-07-14 07:45:01.460783
4,2023-07-10 00:00:00+05:30,255.0,256.3500061035156,251.5500030517578,254.6999969482422,3929446,0.0,0.0,2023-07-10,251.26727640584602,246.30761158432267,4.959664821523347,3.815968804032802,BIOCON.NS,2023-07-14 07:45:01.460783
5,2023-07-07 00:00:00+05:30,258.45001220703125,259.95001220703125,253.0,253.9499969482422,2992725,1.5,0.0,2023-07-07,250.64314539813762,245.6362207552091,5.00692464292851,3.530044799660166,BIOCON.NS,2023-07-14 07:45:01.460783
6,2023-07-06 00:00:00+05:30,258.0,262.97109826589593,256.1606875733833,258.0,3801171,1.5,0.0,2023-07-06,250.04189966175494,244.97111865976646,5.070781001988479,3.1608248388430793,BIOCON.NS,2023-07-14 07:45:01.460783
7,2023-07-05 00:00:00+05:30,260.05632077319945,261.48952827833085,253.48325765740634,254.6693572998047,3783626,0.0,0.0,2023-07-05,248.59497232752858,243.9288081525478,4.666164174980793,2.683335798056729,BIOCON.NS,2023-07-14 07:45:01.460783
8,2023-07-04 00:00:00+05:30,263.9111968075276,267.3707068780383,256.7944783109492,259.5126647949219,6335870,0.0,0.0,2023-07-04,247.49053869620565,243.06956422076723,4.420974475438413,2.187628703825713,BIOCON.NS,2023-07-14 07:45:01.460783
9,2023-07-03 00:00:00+05:30,264.9490417676573,267.12360305351825,259.562108389443,260.4516906738281,5176929,0.0,0.0,2023-07-03,245.30469758734813,241.75411617483485,3.5505814125132815,1.629292260922538,BIOCON.NS,2023-07-14 07:45:01.460783
10,2023-06-30 00:00:00+05:30,243.74720938135772,264.7019386913438,243.15414445952507,262.4285583496094,18396181,0.0,0.0,2023-06-30,242.55069884435176,240.25831021491538,2.292388629436374,1.148969973024852,BIOCON.NS,2023-07-14 07:45:01.460783
11,2023-06-27 00:00:00+05:30,237.37181908990533,242.56108447360202,237.37181908990533,240.83132934570312,2772073,0.0,0.0,2023-06-27,238.93654257066856,238.48469036413985,0.45185220652871294,0.8631153089219713,BIOCON.NS,2023-07-14 07:45:01.460783
12,2023-06-26 00:00:00+05:30,235.1972703183496,238.11314020098274,233.36868110896094,237.17413330078125,2646456,0.0,0.0,2023-06-26,238.59203588429864,238.2969592456148,0.29507663868383815,0.9659310845202859,BIOCON.NS,2023-07-14 07:45:01.460783
13,2023-06-23 00:00:00+05:30,236.53165314020487,236.53165314020487,232.08371153737627,234.15940856933594,1917570,0.0,0.0,2023-06-23,238.8498363540291,238.38678532120147,0.4630510328276216,1.1336446959793978,BIOCON.NS,2023-07-14 07:45:01.460783
14,2023-06-22 00:00:00+05:30,242.65992868248162,243.05529524213264,235.74090831271636,236.18569946289062,2270480,0.0,0.0,2023-06-22,239.7026414057915,238.7249754613507,0.9776659444407869,1.3012931117673419,BIOCON.NS,2023-07-14 07:45:01.460783
15,2023-06-21 00:00:00+05:30,242.1657229584195,243.79662893727306,241.42439931671007,242.2645721435547,1728130,0.0,0.0,2023-06-21,240.34208539540987,238.9281175412275,1.4139678541823741,1.3821999035989803,BIOCON.NS,2023-07-14 07:45:01.460783
16,2023-06-20 00:00:00+05:30,243.0058832326638,243.4012497882454,241.57264553357905,242.16571044921875,1272664,0.0,0.0,2023-06-20,239.99254235029264,238.66120117304132,1.3313411772513177,1.3742579159531316,BIOCON.NS,2023-07-14 07:45:01.460783
17,2023-06-19 00:00:00+05:30,242.65993048947152,244.5379442851999,240.63364292106925,242.0174560546875,2326163,0.0,0.0,2023-06-19,239.5974208777606,238.38084043094713,1.2165804468134809,1.3849871006285848,BIOCON.NS,2023-07-14 07:45:01.460783
18,2023-06-16 00:00:00+05:30,241.1772817123938,245.0815830515303,240.6830659711799,242.06686401367188,3714937,0.0,0.0,2023-06-16,239.15741448195573,238.0899111810479,1.0675033009078163,1.4270887640823606,BIOCON.NS,2023-07-14 07:45:01.460783
19,2023-06-15 00:00:00+05:30,236.23511813749278,241.9185990131856,236.23511813749278,240.6830596923828,3481429,0.0,0.0,2023-06-15,238.62842365800734,237.771754954438,0.8566687035693406,1.5169851298759967,BIOCON.NS,2023-07-14 07:45:01.460783
20,2023-06-14 00:00:00+05:30,237.12471046345317,237.7177753954758,235.54322911517238,236.58108520507812,1976055,0.0,0.0,2023-06-14,238.25485346993906,237.5388505754024,0.7160028945366719,1.6820642364526606,BIOCON.NS,2023-07-14 07:45:01.460783
21,2023-06-13 00:00:00+05:30,236.1362844536092,237.6683563283889,234.90074505173334,236.38339233398438,3405151,0.0,0.0,2023-06-13,238.55917497264105,237.61547180502833,0.9437031676127106,1.9235795719316577,BIOCON.NS,2023-07-14 07:45:01.460783
22,2023-06-12 00:00:00+05:30,238.70619859731462,239.34867301611894,235.8891628915202,236.33396911621094,3072631,0.0,0.0,2023-06-12,238.95477181603317,237.71403816271186,1.240733653321314,2.1685486730113945,BIOCON.NS,2023-07-14 07:45:01.460783
23,2023-06-09 00:00:00+05:30,241.17728206228446,241.67149780421536,237.32240530813036,238.3108367919922,2166494,0.0,0.0,2023-06-09,239.43128139781902,237.82444368643195,1.6068377113870724,2.400502427933915,BIOCON.NS,2023-07-14 07:45:01.460783
24,2023-06-08 00:00:00+05:30,240.18885314361688,241.7209249764186,238.11314097243164,238.75563049316406,1798133,0.0,0.0,2023-06-08,239.63499859887844,237.78553223798713,1.8494663608913129,2.598918607070625,BIOCON.NS,2023-07-14 07:45:01.460783
25,2023-06-07 00:00:00+05:30,241.62207618549112,244.29083820828998,240.139428941462,240.88075256347656,2294336,0.0,0.0,2023-06-07,239.79488370900833,237.70792437757297,2.0869593314353665,2.7862816686154526,BIOCON.NS,2023-07-14 07:45:01.460783
26,2023-06-06 00:00:00+05:30,239.20041677467268,241.17727972322368,237.07529513788728,240.53480529785156,2307032,0.0,0.0,2023-06-06,239.59745300819594,237.45409812270066,2.1433548854952846,2.961112252910474,BIOCON.NS,2023-07-14 07:45:01.460783
27,2023-06-05 00:00:00+05:30,239.8923094802676,241.57263992588437,237.7177633105126,238.6073455810547,2965611,0.0,0.0,2023-06-05,239.42702531916768,237.2076415486886,2.2193837704790838,3.165551594764271,BIOCON.NS,2023-07-14 07:45:01.460783
28,2023-06-02 00:00:00+05:30,239.20041239695792,239.20041239695792,231.2929607474717,237.4706573486328,7195827,0.0,0.0,2023-06-02,239.5760579988246,237.0956652260993,2.4803927727253097,3.4020935508355676,BIOCON.NS,2023-07-14 07:45:01.460783
