Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-17 00:00:00+05:30,6899.9501953125,6909.7001953125,6821.25,6859.5498046875,6866,0.0,0.0,2023-11-17,6627.254956054688,158.1607936506074,6785.415749705295,6469.094162404081,6943.576543355903,6310.933368753473,106.51021085492027,134.1273234905837,315434,6795.756558446506,11520.308402257404,7081.183199324013,60.24816350522143,6863.5,6905.75,6817.2998046875,6951.9501953125,6775.0498046875,6994.2001953125,6728.849609375,0.029111763312859112,-8.24841951069079,51.01009667608923,15.714722477005498,35.29537419908374,61.003488449393316,28.47339291742937,6818.7,6627.254956054688,6650.465966796875,6733.399018554687,BLUEDART.NS,2023-11-17 10:44:27.511302
2,2023-11-16 00:00:00+05:30,6829.89990234375,6900.0,6806.89990234375,6860.0,8263,0.0,0.0,2023-11-16,6621.904956054687,151.56158184020342,6773.46653789489,6470.343374214484,6925.028119735094,6318.7817923742805,107.25746211228252,128.32398189182703,322300,8179.0011376280445,12701.446363210127,7081.32053243229,43.598721097394694,6855.63330078125,6904.36669921875,6811.2666015625,6948.7333984375,6762.533203125,6997.466796875,6718.16650390625,0.047541225613728415,-6.685611408630249,42.34641429299063,6.890878927234564,35.45553536575606,61.03369069186238,27.031110537977945,6786.75,6621.904956054687,6638.228974609375,6736.779145507812,BLUEDART.NS,2023-11-17 10:44:27.511302
3,2023-11-15 00:00:00+05:30,6750.4501953125,6849.9501953125,6724.85009765625,6816.35009765625,10044,0.0,0.0,2023-11-15,6614.424951171875,142.62029914106222,6757.045250312937,6471.8046520308135,6899.665549454,6329.184352889751,93.68130299476653,83.46406348073344,314037,9878.636211742956,13832.057669605647,7081.485698067829,39.36991984342732,6797.050130208333,6869.250162760416,6744.150065104166,6922.150227864583,6671.950032552083,6994.350260416666,6619.049967447916,0.04841879408562458,-6.128608783629731,30.568325729413118,-1.9730049142044521,32.54133064361757,59.214942173501946,25.533758295069838,6762.97001953125,6614.424951171875,6626.673974609375,6735.320112304687,BLUEDART.NS,2023-11-17 10:44:27.511302
4,2023-11-13 00:00:00+05:30,6755.0,6791.75,6732.7001953125,6750.4501953125,2561,0.0,0.0,2023-11-13,6607.999951171875,135.77503058332454,6743.774981755199,6472.224920588551,6879.5500123385245,6336.449890005226,95.79267767459207,54.4991802340432,303993,2494.483961783529,14820.413034071318,7081.726427461073,35.27944772644834,6758.300130208333,6783.900065104166,6724.850260416666,6817.349934895833,6699.250325520833,6842.949869791666,6665.800455729166,0.036567324445280484,-14.89661175468326,19.32450081854404,-10.108337575108845,29.432838393652883,56.359385954078036,24.211772030840233,6729.9599609375,6607.999951171875,6615.984970703125,6733.393784179688,BLUEDART.NS,2023-11-17 10:44:27.511302
5,2023-11-10 00:00:00+05:30,6699.7998046875,6829.0,6649.2001953125,6807.14990234375,29853,0.0,0.0,2023-11-10,6607.509936523437,135.2505384503758,6742.760474973813,6472.259398073062,6878.011013424189,6337.008859622686,121.82888515782491,57.67252787754925,306554,29321.87213256538,17901.895302143264,7081.803137955505,34.32277667189254,6761.783365885417,6874.366536458334,6694.566731770834,6941.583170572917,6581.983561197917,7054.166341145834,6514.766927083334,0.04839800651253437,-4.143771240195942,11.126344143504866,-17.466547173522066,28.592891317026933,59.69878310237839,23.1516867063174,6688.43994140625,6607.509936523437,6605.780966796875,6731.647924804687,BLUEDART.NS,2023-11-17 10:44:27.511302
6,2023-11-09 00:00:00+05:30,6749.4501953125,6776.4501953125,6652.14990234375,6699.7998046875,27428,0.0,0.0,2023-11-09,6604.1849365234375,130.82943434248432,6735.014370865922,6473.355502180953,6865.843805208406,6342.526067838469,124.67952447072344,24.77199183199304,276701,26515.16699924689,15046.901094537734,7082.546501878387,29.209244241642537,6709.466634114583,6766.783365885416,6642.483072916666,6833.766927083333,6585.166341145833,6891.083658854166,6518.182779947916,-0.10260846362893465,-18.304993036002365,-5.122423718426035,-24.614770002778798,19.492346284352763,55.01250645349576,22.01005635683127,6640.62998046875,6604.1849365234375,6594.984970703125,6729.526279296875,BLUEDART.NS,2023-11-17 10:44:27.511302
7,2023-11-08 00:00:00+05:30,6675.0,6789.0,6640.10009765625,6741.10009765625,11380,0.0,0.0,2023-11-08,6603.582446289062,130.3929554618158,6733.9754017508785,6473.189490827246,6864.368357212694,6342.796535365431,173.1401458457695,36.335024316138636,304129,11069.077754732116,12179.834618360444,7083.500649727877,31.03263640072764,6723.400065104167,6806.700032552084,6657.800130208334,6872.299967447917,6574.500162760417,6955.599934895834,6508.900227864584,-0.09715398007131493,-9.829657611799718,-15.275799867655223,-29.48785657386699,14.212056706211765,57.39680595485129,21.108072870289977,6587.8,6603.582446289062,6587.387978515625,6728.223681640625,BLUEDART.NS,2023-11-17 10:44:27.511302
8,2023-11-07 00:00:00+05:30,6501.0,6680.39990234375,6500.0,6651.2998046875,6033,0.0,0.0,2023-11-07,6602.147436523437,128.94982359355953,6731.097260116997,6473.197612929877,6860.047083710556,6344.247789336318,114.3932377423382,-24.896792093487303,292749,5789.99580908731,12457.523834267526,7083.855166046476,31.013206822883916,6610.566569010417,6721.133138020834,6540.733235677084,6790.966471354167,6430.166666666667,6901.533040364584,6360.333333333334,-0.03359212650544745,-28.257798174330404,-32.11119970158143,-33.04087075041993,0.9296710488385003,53.311228753104075,20.13670603863012,6520.63994140625,6602.147436523437,6580.4559765625,6727.091684570312,BLUEDART.NS,2023-11-17 10:44:27.511302
9,2023-11-06 00:00:00+05:30,6624.5498046875,6624.5498046875,6500.0,6542.85009765625,6476,0.0,0.0,2023-11-06,6603.022436523437,129.35962794048928,6732.382064463926,6473.662808582948,6861.7416924044155,6344.303180642459,56.48676638526659,-46.31335929520808,286716,6113.81383777594,14124.405840562578,7084.092725865966,32.323383637582296,6555.799967447917,6611.599934895834,6487.050130208334,6680.349772135417,6431.250162760417,6736.149739583334,6362.500325520834,-0.037902648832366465,-50.51303119269732,-44.335111549587054,-33.27328851262955,-11.061823036957506,47.68516488065726,19.801117156292396,6506.3,6603.022436523437,6576.998984375,6726.715771484375,BLUEDART.NS,2023-11-17 10:44:27.511302
10,2023-11-03 00:00:00+05:30,6435.64990234375,6606.0,6420.85009765625,6568.10009765625,7565,0.0,0.0,2023-11-03,6612.48994140625,131.6330352681131,6744.122976674364,6480.856906138137,6875.756011942476,6349.223870870024,14.682927705072542,-51.4193626183011,293192,7169.47071761453,16127.053841259236,7084.411992034804,29.216846277554964,6531.650065104167,6642.450032552084,6457.300130208334,6716.799967447917,6346.500162760417,6827.599934895834,6272.150227864584,-0.0337008002245071,-45.33141614645437,-48.63302585115707,-30.50783275339017,-18.125193097766903,48.96068357899413,19.85386539582498,6477.3599609375,6612.48994140625,6575.226982421875,6726.805400390625,BLUEDART.NS,2023-11-17 10:44:27.511302
