Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-25 00:00:00+05:30,619.9500122070312,639.0,616.0499877929688,635.8499755859375,480990,0.0,0.0,2023-09-25,638.0599945068359,28.450605248682344,666.5105997555182,609.6093892581536,694.9612050042006,581.1587840094712,-73.27675670851482,23.970849086621083,33836958,800724.0251567322,541196.9967931813,472.97106403651617,57.72555941510027,630.2999877929688,644.5499877929688,621.5999755859375,653.25,607.3499755859375,667.5,598.6499633789062,0.16753514152494126,-70.76613862523278,3.6448452744813267,7.132769936735979,-3.4879246622546525,49.82505468431206,20.30297742279826,631.3099975585938,638.0599945068359,625.5636791992188,630.409296875,CCL.NS,2023-09-25 10:42:01.842917
2,2023-09-22 00:00:00+05:30,619.0,625.3499755859375,616.0999755859375,619.5,100807,0.0,0.0,2023-09-22,636.6174957275391,29.28761626378453,665.9051119913237,607.3298794637545,695.1927282551081,578.0422631999701,-134.06170780038428,-9.9848670424956,33355968,163502.40841894303,476315.23970229353,472.4489954186328,54.60093070914151,620.316650390625,624.5333251953125,615.2833251953125,629.566650390625,611.066650390625,633.7833251953125,606.0333251953125,0.11414509181657945,-80.27922071005287,4.401132679581224,8.004751102299641,-3.6036184227184176,43.09077773920025,21.794353367965545,638.9,636.6174957275391,627.5782446289063,629.8231164550781,CCL.NS,2023-09-25 10:42:01.842917
3,2023-09-21 00:00:00+05:30,629.0,633.9000244140625,615.0999755859375,619.4500122070312,442857,0.0,0.0,2023-09-21,636.1649963378907,29.63386956431364,665.7988659022043,606.5311267735771,695.4327354665179,576.8972572092634,-188.32887145649238,-0.4243116326163113,33255161,718227.3396604431,554518.4475231312,472.35014529647606,52.786984397580554,622.8166707356771,630.5333658854167,611.7333170572917,641.6167195638021,604.0166219075521,649.3334147135417,592.9332682291667,0.10936071221707656,-78.1108243472209,6.912950775944182,8.905655707979246,-1.992704932035064,43.069079732805264,22.504275145260262,648.85,636.1649963378907,629.6638598632812,629.6260107421875,CCL.NS,2023-09-25 10:42:01.842917
4,2023-09-20 00:00:00+05:30,660.0,660.0,621.5499877929688,626.3499755859375,601496,0.0,0.0,2023-09-20,635.709994506836,29.971953864223742,665.6819483710598,605.7380406426122,695.6539022352835,575.7660867783885,-151.62004428765803,46.64689403994783,33698018,986374.7846762383,513591.2244888032,471.91445414316814,56.89883003363284,635.9666544596354,650.383321126302,611.9333089192708,674.4166666666666,597.5166422526041,688.8333333333333,573.4832967122395,0.16176462732393787,-70.30543806521369,10.029020458080709,9.403831940988013,0.6251885170926954,45.28141838787131,23.268806290039187,658.1799926757812,635.709994506836,631.7574450683594,629.4060009765625,CCL.NS,2023-09-25 10:42:01.842917
5,2023-09-18 00:00:00+05:30,681.75,681.75,650.2000122070312,655.4000244140625,128772,0.0,0.0,2023-09-18,634.9774963378907,30.388866187289885,665.3663625251805,604.5886301506008,695.7552287124704,574.1997639633109,16.71457657305152,144.55005512714527,34299514,220963.24912302737,395395.33444194443,471.29067115970065,73.39780463598477,662.4500122070312,674.7000122070312,643.1500244140625,694.0,630.9000244140625,706.25,611.6000366210938,0.2794478238742123,-37.40110235699152,13.1870372114073,9.247534811714837,3.939502399692463,56.65956789917075,24.424119940586426,666.4,634.9774963378907,633.6214074707032,629.0198901367188,CCL.NS,2023-09-25 10:42:01.842917
6,2023-09-15 00:00:00+05:30,672.0,682.6500244140625,663.7999877929688,673.7999877929688,305252,0.0,0.0,2023-09-15,632.629995727539,30.541251787162473,663.1712475147015,602.0887439403766,693.712499301864,571.5474921532141,71.32861294558381,204.7783009745341,34428286,538494.9936508945,439003.3557716736,471.1313305115868,76.74132005531358,673.4166666666666,683.0333455403645,664.1833089192708,692.2667032877604,654.5666300455729,701.8833821614583,645.333272298177,0.2937264734512134,-15.539128964866709,14.169462379011634,8.262659211791721,5.906803167219913,66.4852822339493,25.133373947670865,672.439990234375,632.629995727539,634.5657580566407,628.1580383300782,CCL.NS,2023-09-25 10:42:01.842917
7,2023-09-14 00:00:00+05:30,669.0,676.7999877929688,663.2999877929688,669.25,91768,0.0,0.0,2023-09-14,629.2424957275391,29.473108710309447,658.7156044378486,599.7693870172296,688.1887131481581,570.2962783069202,66.94457120962696,221.50151024576272,34123034,160794.72592925958,414130.4463018683,470.71468539292385,67.40512859770385,669.7833251953125,676.2666625976562,662.7666625976562,683.2833251953125,656.2833251953125,689.7666625976562,649.2666625976562,0.2928826731106909,-18.698395063119058,13.400457868718604,6.785958419986743,6.614499448731861,65.09538524261696,24.771879833226606,672.3799926757813,629.2424957275391,635.5564099121094,627.082807006836,CCL.NS,2023-09-25 10:42:01.842917
8,2023-09-13 00:00:00+05:30,663.75,671.6500244140625,644.0,666.0999755859375,231952,0.0,0.0,2023-09-13,626.5624969482421,28.046132684993363,654.6086296332355,598.5163642632488,682.6547623182289,570.4702315782554,53.92629959239593,213.18899489147273,34031266,404510.40057987714,477464.3763950205,470.5919079125209,65.68169753095427,660.5833333333334,677.1666666666667,649.5166422526042,688.2333577473959,632.9333089192709,704.8166910807292,621.8666178385417,0.3105921224330168,-21.75815615156637,12.660966681837067,5.132333557803777,7.5286331240332895,64.13933693389612,24.67096809002119,670.5499877929688,626.5624969482421,635.9558605957031,625.9534844970703,CCL.NS,2023-09-25 10:42:01.842917
9,2023-09-12 00:00:00+05:30,680.7999877929688,687.4000244140625,636.5499877929688,667.4500122070312,311791,0.0,0.0,2023-09-12,623.5099975585938,26.81157094648969,650.3215685050835,596.6984266121041,677.1331394515731,569.8868556656145,75.33979250503704,248.40556702523068,34263218,544846.8864081632,495702.8703488064,470.2858300887239,70.51093571854919,663.8000081380209,691.050028483073,640.1999918619792,714.6500447591146,612.9499715169271,741.9000651041667,589.3499552408855,0.280438922721374,-20.446804562429264,11.83259072302019,3.250175276795454,8.582415446224735,64.84617492402842,24.82197576078037,665.6599975585938,623.5099975585938,636.099619140625,624.8302661132813,CCL.NS,2023-09-25 10:42:01.842917
10,2023-09-11 00:00:00+05:30,675.7999877929688,688.5,661.4500122070312,685.5999755859375,248585,0.0,0.0,2023-09-11,620.2224975585938,25.117768762461182,645.340266321055,595.1047287961326,670.4580350835162,569.9869600336714,135.92777080671013,302.3739555725502,34575009,446208.5273737732,483416.8663339671,469.8700386355805,75.73259055959335,678.5166625976562,695.5833129882812,668.5333251953125,705.566650390625,651.4666748046875,722.63330078125,641.4833374023438,0.2834988684817429,-2.8169247889262854,10.459778643017444,1.1045714152392705,9.355207227778173,75.19089792348923,24.984599406213324,657.9299926757812,620.2224975585938,636.0142065429687,623.7229272460937,CCL.NS,2023-09-25 10:42:01.842917
