Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-20 00:00:00+05:30,389.6499938964844,396.25,382.54998779296875,394.25,1127292,0.0,0.0,2023-11-20,385.6499984741211,7.17894971529857,392.8289481894197,378.4710487588225,400.0078979047182,371.292099043524,61.081442976732035,-38.58797321939984,56584089,2911188.4095981824,4064954.3146098773,279.8569774735869,46.42186148092724,391.01666259765625,399.48333740234375,385.7833251953125,404.7166748046875,377.316650390625,413.183349609375,372.08331298828125,0.05567421947741134,-22.97524696539256,-3.102482140474308,-5.821521017941281,2.719038877466973,50.67651171517094,18.569448712273104,391.6999938964844,385.6499984741211,409.8840008544922,407.3960000610352,CGPOWER.NS,2023-11-20 10:45:05.193405
2,2023-11-17 00:00:00+05:30,400.79998779296875,400.95001220703125,387.0,389.1499938964844,1475072,0.0,0.0,2023-11-17,384.95749816894534,6.970692216807038,391.9281903857524,377.9868059521383,398.8988826025594,371.01611373533126,98.5823592373289,-36.22090843432312,55456797,3760039.729080661,4353395.790862801,279.73267739536664,52.462858006319564,392.3666687011719,397.73333740234375,383.7833251953125,406.3166809082031,378.4166564941406,411.683349609375,369.83331298828125,0.033620916438280295,-39.83477127453512,-3.843295276053084,-6.501280737308024,2.65798546125494,47.474537007845406,19.909418597511106,390.55999145507815,384.95749816894534,410.7480010986328,407.1795001220703,CGPOWER.NS,2023-11-20 10:45:05.193405
3,2023-11-16 00:00:00+05:30,394.29998779296875,401.20001220703125,387.29998779296875,398.1499938964844,2327265,0.0,0.0,2023-11-16,384.8449981689453,6.917421157269303,391.7624193262146,377.927577011676,398.67984048348393,371.0101558544067,196.20811515631164,-28.4225694843116,56931869,6069525.468264658,4501734.806308335,279.57688270439843,60.27552909190508,395.5499979654948,403.80000813802087,389.89998372395837,409.4500223795573,381.6499735514323,417.70003255208337,375.99995930989587,0.027277501025984262,-10.082705158832646,-4.231255503439513,-7.1657771026217585,2.9345215991822453,53.12597078138939,21.01207947865904,389.4599914550781,384.8449981689453,411.66400146484375,407.0595001220703,CGPOWER.NS,2023-11-20 10:45:05.193405
4,2023-11-15 00:00:00+05:30,388.3999938964844,397.5,379.0,394.29998779296875,1998162,0.0,0.0,2023-11-15,384.55499877929685,6.435035000689587,390.99003377998645,378.11996377860726,397.42506878067604,371.68492877791766,170.1449954813305,-46.7064228052719,54604604,5160831.096078111,4109787.1408192534,279.3099128941579,49.5719559122784,390.26666259765625,401.5333251953125,383.0333251953125,408.76666259765625,371.76666259765625,420.0333251953125,364.5333251953125,-0.024557630029002266,-11.363643369512612,-5.550215862692653,-7.8994075024173185,2.3491916397246655,50.79948113458313,22.16482908895229,386.3599914550781,384.55499877929685,412.1800018310547,406.74600006103515,CGPOWER.NS,2023-11-20 10:45:05.193405
5,2023-11-13 00:00:00+05:30,387.70001220703125,390.0,380.5,382.6499938964844,1369804,0.0,0.0,2023-11-13,384.4974990844727,6.347924814795749,390.84542389926844,378.1495742696769,397.1933487140642,371.80164945488116,-4.9964690188541985,-66.42510667454621,52606442,3433383.592068574,3847026.1520045386,279.0871917179761,39.20801131915639,384.3833312988281,388.26666259765625,378.76666259765625,393.8833312988281,374.8833312988281,397.76666259765625,369.26666259765625,-0.062379648352066684,-40.782838013211965,-6.7756233599857865,-8.486705412348485,1.7110820523626984,42.82600092593833,23.778551356723785,385.1499938964844,384.4974990844727,412.8810021972656,406.4480001831055,CGPOWER.NS,2023-11-20 10:45:05.193405
6,2023-11-10 00:00:00+05:30,386.25,389.54998779296875,379.6000061035156,388.54998779296875,1117609,0.0,0.0,2023-11-10,385.17749938964846,6.848306873660726,392.02580626330916,378.32919251598776,398.8741131369699,371.480885642327,18.49549053833905,-64.98005216886678,53976246,2844454.4048467665,3950436.7919885297,278.94949939830497,35.9351489402506,385.8999938964844,392.1999816894531,382.25,395.8499755859375,375.95001220703125,402.14996337890625,372.3000183105469,-0.06724181049024182,-38.46962924007362,-7.094507448381819,-8.914475925439158,1.8199684770573388,46.3590896157478,24.88299231904668,383.93999633789065,385.17749938964846,413.41600219726564,406.39250030517576,CGPOWER.NS,2023-11-20 10:45:05.193405
7,2023-11-09 00:00:00+05:30,386.3999938964844,386.8999938964844,378.8999938964844,383.6499938964844,2752128,0.0,0.0,2023-11-09,385.7375,7.5595840738309,393.2970840738309,378.17791592616913,400.8566681476618,370.6183318523382,-34.29473470423508,-75.82280603306434,52858637,6916175.5940803625,4226932.38877397,278.8304790441171,44.586573902396246,383.1499938964844,387.3999938964844,379.3999938964844,391.1499938964844,375.1499938964844,395.3999938964844,371.3999938964844,-0.09520085215790931,-48.742157075378444,-7.976343180930826,-9.369468044703492,1.393124863772666,42.71447779983585,26.021746416071245,382.27000122070314,385.7375,413.78100219726565,406.2900003051758,CGPOWER.NS,2023-11-20 10:45:05.193405
8,2023-11-08 00:00:00+05:30,392.5,398.79998779296875,381.29998779296875,382.6499938964844,1239559,0.0,0.0,2023-11-08,386.77750091552736,8.614453305490889,395.39195422101824,378.1630476100365,404.0064075265091,369.5485943045456,63.437692831879346,-66.99795257002265,50106509,3106927.3647915535,3554621.5874473723,278.5494232380613,43.69384718431064,387.5833231608073,393.86665852864587,376.36665852864587,405.0833231608073,370.0833231608073,411.36665852864587,358.86665852864587,-0.13783582312259768,-50.83859393883559,-8.50193130051133,-9.717749260646658,1.2158179601353272,41.96725957701728,26.96002770625439,382.2800048828125,386.77750091552736,414.32000244140625,406.2345004272461,CGPOWER.NS,2023-11-20 10:45:05.193405
9,2023-11-07 00:00:00+05:30,376.70001220703125,390.79998779296875,376.70001220703125,388.25,1021467,0.0,0.0,2023-11-07,388.2425018310547,10.217790898788449,398.46029272984316,378.02471093226626,408.6780836286316,367.8069200334778,41.85404610304478,-76.93994891071276,51346068,2597753.8168992223,3666545.1431113263,278.4235518844203,38.53916375567088,385.25,393.79998779296875,379.70001220703125,399.3499755859375,371.1500244140625,407.89996337890625,365.60003662109375,-0.12521864588105078,-39.098534707840464,-8.94754137329977,-10.021703750680489,1.074162377380718,45.0209165837849,28.165722541499843,382.36000366210936,388.2425018310547,415.0260028076172,406.2320004272461,CGPOWER.NS,2023-11-20 10:45:05.193405
10,2023-11-06 00:00:00+05:30,381.8500061035156,385.0,370.95001220703125,376.6000061035156,1313908,0.0,0.0,2023-11-06,389.4925018310547,11.64787460762285,401.14037643867755,377.84462722343187,412.7882510463004,366.19675261580903,-70.19514500752179,-102.36646321110075,50324601,3241212.209383391,3933742.974664352,278.3140123697223,33.946282011802836,377.5166727701823,384.08333333333337,370.0333455403646,391.56666056315106,363.46668497721356,398.1333211263021,355.98335774739587,-0.1542823605636346,-63.52201137148096,-9.934004243756931,-10.290244345025668,0.35624010126873706,36.029151078268214,28.60548948128611,382.7300048828125,389.4925018310547,415.5560028076172,406.12800048828126,CGPOWER.NS,2023-11-20 10:45:05.193405
