Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-08-22 00:00:00+05:30,659.8499755859375,664.25,655.5,662.9500122070312,6180,0.0,0.0,2023-08-22,679.0093566894532,16.481931946032226,695.4912886354854,662.527424743421,711.9732205815176,646.0454927973888,-44.15466277294931,-31.57331515979974,4097212,6333.569231004374,68465.98197903181,672.5741000844857,38.830459764154305,660.9000040690104,666.3000081380208,657.5500081380208,669.6500040690104,652.1500040690104,675.0500081380208,648.8000081380208,0.3329544198608031,-72.25908884094818,-1.5939409505421054,2.9219894777922324,-4.515930428334338,45.621838233828356,19.57273700891644,657.9820556640625,679.0093566894532,668.0548156738281,635.5485247802734,CONCOR.BO,2023-08-22 12:25:57.832194
2,2023-08-21 00:00:00+05:30,652.3499755859375,660.4000244140625,652.3499755859375,657.5999755859375,12819,0.0,0.0,2023-08-21,680.195181274414,16.114774672507064,696.3099559469211,664.0804066019069,712.4247306194281,647.9656319293999,-68.04894172756998,-51.54851561753604,4091032,13031.523754367252,83999.08516603867,672.576327335837,39.42004896531272,656.7833251953125,661.2166748046875,653.1666259765625,664.8333740234375,648.7332763671875,669.2667236328125,645.1165771484375,0.3381795458088986,-80.32260112916931,-1.080150924570603,4.050972084875816,-5.131123009446419,42.40088164068286,19.303542674157928,657.9996826171875,680.195181274414,667.649814453125,634.8480346679687,CONCOR.BO,2023-08-22 12:25:57.832194
3,2023-08-18 00:00:00+05:30,656.1500244140625,663.2999877929688,652.3499755859375,654.4500122070312,21093,2.0,0.0,2023-08-18,680.7836334228516,15.447313260985373,696.230946683837,665.3363201618662,711.6782599448223,649.8890069008809,-82.31268296418936,-54.30127285935856,4078213,21339.984363407704,101740.97551895652,672.5835200016622,39.38414590862209,656.6999918619791,661.0500081380208,650.0999959309895,667.6500040690104,645.7499796549479,672.000020345052,639.1499837239583,0.3480927484075676,-85.07018889578623,0.12091947173644257,5.33375283723742,-5.212833365500978,40.47315566998688,18.58855207323463,661.5299072265625,680.7836334228516,666.9869201660156,634.2444134521485,CONCOR.BO,2023-08-22 12:25:57.832194
4,2023-08-17 00:00:00+05:30,652.0714656311565,663.53667776282,650.7754103428991,659.1500244140625,153339,0.0,0.0,2023-08-17,681.5470275878906,14.420573367896873,695.9676009557875,667.1264542199938,710.3881743236843,652.7058808520969,-101.21569717653226,-50.36059519670722,4099306,156248.6102627287,121841.22330784371,672.5978614568284,39.72773107188096,657.8207041732605,664.8659980036219,652.1047305837011,670.5819715931814,645.0594367533397,677.6272654235428,639.3434631637803,0.3446004596177784,-77.98638576128769,1.9670450926317926,6.6369611786126645,-4.669916085980872,42.44112806318991,17.818562195317227,669.5185180664063,681.5470275878906,666.6402563476563,633.5870501708985,CONCOR.BO,2023-08-22 12:25:57.832194
5,2023-08-16 00:00:00+05:30,649.828240959647,662.5396711950019,649.828240959647,655.76025390625,21346,0.0,0.0,2023-08-16,681.5769348144531,14.372218059461767,695.9491528739148,667.2047167549914,710.3213709333767,652.8324986955296,-142.24053958549607,-59.678836954521636,3945967,21639.182984540366,113239.37656912245,672.6756261144998,34.92136304735948,656.0427220202996,662.2572030809522,649.5457728455973,668.7541522556545,643.3312917849447,674.9686333163071,636.8343426102424,0.35961622071411947,-83.09540801287888,3.8379616157732244,7.804440200107883,-3.9664785843346584,40.50354568471996,16.989342326790798,679.0894775390625,681.5769348144531,666.2673876953126,632.8996356201172,CONCOR.BO,2023-08-22 12:25:57.832194
6,2023-08-14 00:00:00+05:30,661.9913354947638,668.2722652126374,644.5442746948265,663.0381469726562,462358,0.0,0.0,2023-08-14,681.54453125,14.434085176838899,695.9786164268389,667.110446073161,710.4127016036778,652.6763608963222,-170.56983232503572,-50.20963810793105,3967313,473910.3091497968,136139.42496526797,672.6892538912307,36.27682849945367,658.61822896004,672.6921832252535,648.9641927074426,682.3462194778509,634.8902384422291,696.4201737430644,625.2362021896317,0.3735225480156311,-72.12625315850917,6.508991811083206,8.796059846191547,-2.287068035108341,43.41805368118704,16.0033747269555,689.6374755859375,681.54453125,666.0380834960938,632.2645623779297,CONCOR.BO,2023-08-22 12:25:57.832194
7,2023-08-11 00:00:00+05:30,679.9368929094774,684.7721969132738,667.5245430315684,675.2510986328125,121226,0.0,0.0,2023-08-11,680.7220275878906,15.934819373347377,696.656846961238,664.7872082145432,712.5916663345853,648.8523888411959,-92.54899583654702,32.61876913377829,4429671,126543.64470780443,51696.70391913576,672.8606606588991,66.66916056889623,675.8492795258849,684.1740160202013,666.926362138496,693.0969334075902,658.6016256441795,701.4216699019066,649.6787082567906,0.2326700147971052,-71.57159909557045,9.113336580188843,9.36782685496863,-0.25449027477978703,48.89780960190638,14.941563465594406,696.446826171875,680.7220275878906,665.4797778320312,631.4958953857422,CONCOR.BO,2023-08-22 12:25:57.832194
8,2023-08-10 00:00:00+05:30,705.8582785579683,706.5063366284921,690.4051665273914,694.39306640625,10731,0.0,0.0,2023-08-10,679.351187133789,17.529732755816912,696.8809198896059,661.8214543779721,714.4106526454228,644.2917216221553,62.30905022097177,139.46083798663,4550897,11519.266732959608,32984.968721968595,672.8494772868793,88.19505284394717,697.1015231873779,703.7978798473644,687.6967097462637,713.2026932884786,681.0003530862772,719.8990499484651,671.595539645163,0.3384577716420228,-33.13308526552128,11.10681552894971,9.431449423663576,1.675366105286134,59.90248660480643,15.038111387269314,699.92626953125,679.351187133789,664.768935546875,630.5971228027344,CONCOR.BO,2023-08-22 12:25:57.832194
9,2023-08-09 00:00:00+05:30,710.8929876360702,710.8929876360702,695.8885265615455,707.0048217773438,32864,0.0,0.0,2023-08-09,676.6618469238281,19.15147258258865,695.8133195064167,657.5103743412394,714.9647920890054,638.3589017586507,134.11154947919084,189.14666038138344,4561628,35918.82006893668,38351.394219220834,672.8405516818893,85.29967217298807,704.5954453249865,713.3023640884275,698.2979030139028,719.5999063995112,689.5909842504618,728.3068251629521,683.2934419393781,0.34834468800912055,-7.2490044413164405,11.605593788252804,9.012607897342042,2.5929858909107626,69.46679642386891,15.45789746548293,698.4706909179688,676.6618469238281,663.6443469238282,629.5956610107422,CONCOR.BO,2023-08-22 12:25:57.832194
10,2023-08-08 00:00:00+05:30,702.0199072255434,710.8431108389467,693.3462133383304,708.500244140625,50674,0.0,0.0,2023-08-08,673.3369354248047,19.377421424727512,692.7143568495321,653.9595140000772,712.0917782742597,634.5820925753496,180.7803999243436,204.4424775240574,4594492,55501.46610043061,38959.53775679187,672.797148319977,84.80560523839969,704.2298561059673,715.1134988736043,697.6166013729879,721.7267536065837,686.732958605351,732.6103963742206,680.1197038723716,0.3146151776751966,-4.372050776701358,10.826271958112557,8.364361424614351,2.461910533498205,70.71390742393774,15.37205227097787,694.5027221679687,673.3369354248047,662.1688232421875,628.6061633300782,CONCOR.BO,2023-08-22 12:25:57.832194
