Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
1,2023-08-02 00:00:00+05:30,78.0,79.1500015258789,72.5999984741211,74.1500015258789,2111460,0.0,0.0,2023-08-02,77.1358262802832,76.0226342735176,44.48905194674962,28.072633435646264,76.63970965981802,77.11749992370605,76.90030238084618,1.1131920067656011,1.5819101514691487,77.11749992370605,1.2938399327141865,78.41133985642024,75.82365999099186,79.70517978913442,74.52982005827768,CONFIPET.NS,2023-08-03 13:15:17.505968
2,2023-08-01 00:00:00+05:30,79.30000305175781,79.80000305175781,78.0,78.19999694824219,802099,0.0,0.0,2023-08-01,77.67870350835672,76.17244489332869,58.20068662312369,29.88385159226938,76.90178420023267,77.3375,78.27545280832982,1.506258615028031,1.6990896876450354,77.3375,1.1258781708799368,78.46337817087995,76.21162182912006,79.58925634175988,75.08574365824013,CONFIPET.NS,2023-08-03 13:15:17.505968
3,2023-07-31 00:00:00+05:30,78.6500015258789,80.6500015258789,78.6500015258789,79.4000015258789,979423,0.0,0.0,2023-07-31,77.58392288292299,76.01024072893561,63.5931602495584,29.636855383512874,76.76513022675799,77.33500022888184,78.31318073837363,1.5736821539873773,1.7472974557992864,77.33500022888184,1.1239161849329546,78.45891641381479,76.21108404394889,79.58283259874774,75.08716785901593,CONFIPET.NS,2023-08-03 13:15:17.505968
4,2023-07-28 00:00:00+05:30,79.0,81.80000305175781,78.30000305175781,78.6500015258789,1700442,0.0,0.0,2023-07-28,77.25372676602191,75.73905986518015,61.52424648344753,28.899153206702827,76.48777535316631,77.39750022888184,77.76977034462098,1.5146669008417604,1.7907012812522634,77.39750022888184,1.2700485375478907,78.66754876642973,76.12745169133395,79.93759730397763,74.85740315378605,CONFIPET.NS,2023-08-03 13:15:17.505968
5,2023-07-27 00:00:00+05:30,77.94999694824219,79.94999694824219,77.6500015258789,78.05000305175781,2004693,0.0,0.0,2023-07-27,76.9998586278661,75.50618453232426,59.828410986406375,28.1047047085997,76.26017259814392,77.46750030517578,77.32965475399202,1.4936740955418486,1.8597098763548892,77.46750030517578,1.3768089341048069,78.84430923928058,76.09069137107097,80.22111817338539,74.71388243696616,CONFIPET.NS,2023-08-03 13:15:17.505968
6,2023-07-26 00:00:00+05:30,77.0999984741211,78.0,76.4000015258789,77.3499984741211,912409,0.0,0.0,2023-07-26,76.80892327806761,75.30267905076956,57.81410247733661,27.84510997208087,76.07176939250036,77.44000015258788,76.96948060510911,1.5062442272980547,1.951218821558149,77.44000015258788,1.3700379478441362,78.81003810043202,76.06996220474375,80.18007604827616,74.6999242568996,CONFIPET.NS,2023-08-03 13:15:17.505968
7,2023-07-25 00:00:00+05:30,76.44999694824219,78.19999694824219,76.0,76.80000305175781,665992,0.0,0.0,2023-07-25,76.71054596969424,75.13889349690143,56.21218470348292,28.316974933646698,75.93721896285606,77.28500022888184,76.77922167060312,1.571652472792806,2.0624624701231724,77.28500022888184,1.5449506334564678,78.82995086233831,75.74004959542538,80.37490149579477,74.19509896196891,CONFIPET.NS,2023-08-03 13:15:17.505968
8,2023-07-24 00:00:00+05:30,76.44999694824219,77.19999694824219,75.75,75.94999694824219,489676,0.0,0.0,2023-07-24,76.69428104568269,75.00600473251292,53.68851086636702,28.82513719994836,75.84639958507694,77.12000007629395,76.76883098002577,1.6882763131697658,2.1851649694557636,77.12000007629395,1.7606380452353165,78.88063812152926,75.35936203105864,80.64127616676458,73.59872398582331,CONFIPET.NS,2023-08-03 13:15:17.505968
9,2023-07-21 00:00:00+05:30,77.69999694824219,78.5,76.0999984741211,76.44999694824219,621420,0.0,0.0,2023-07-21,76.8296054270355,74.93048535525458,55.433607520271096,29.777564448918188,75.83549459948058,76.69500007629395,77.17824799591754,1.8991200717809278,2.309387133527263,76.69500007629395,2.7855324859668107,79.48053256226076,73.90946759032714,82.26606504822757,71.12393510436033,CONFIPET.NS,2023-08-03 13:15:17.505968
10,2023-07-20 00:00:00+05:30,78.05000305175781,79.80000305175781,77.44999694824219,78.1500015258789,1136744,0.0,0.0,2023-07-20,76.89862515045246,74.80892442781555,61.77273021601263,30.603020154171354,75.77081014171621,76.30750007629395,77.54237351975522,2.0897007226369055,2.411953898963847,76.30750007629395,3.3109193894235562,79.61841946571751,72.99658068687039,82.92933885514105,69.68566129744684,CONFIPET.NS,2023-08-03 13:15:17.505968
11,2023-07-19 00:00:00+05:30,78.25,79.25,77.3499984741211,78.05000305175781,722352,0.0,0.0,2023-07-19,76.67110217310218,74.54163825997048,61.53245059925842,30.694954780407787,75.5203689433833,75.8875,77.23855951669337,2.1294639131317012,2.492517193045582,75.8875,3.586227685546999,79.473727685547,72.301272314453,83.059955371094,68.715044628906,CONFIPET.NS,2023-08-03 13:15:17.505968
12,2023-07-18 00:00:00+05:30,76.55000305175781,79.4000015258789,76.0999984741211,77.9000015258789,1219025,0.0,0.0,2023-07-18,76.42039292243753,74.2609690766275,61.192697299887094,30.978843289518636,75.25409166881757,75.4875,76.83283774916114,2.159423845810025,2.583280513024052,75.4875,3.7735889827992137,79.26108898279921,71.71391101720079,83.03467796559842,67.94032203440158,CONFIPET.NS,2023-08-03 13:15:17.505968
13,2023-07-17 00:00:00+05:30,75.4000015258789,77.25,75.30000305175781,76.25,673895,0.0,0.0,2023-07-17,76.15137317635728,73.9698464806874,57.34454995326516,31.284569376253398,74.97557484175847,75.175,76.29925586080225,2.1815266956698878,2.6892446798275587,75.175,3.8217701075031174,78.99677010750311,71.35322989249688,82.81854021500624,67.53145978499376,CONFIPET.NS,2023-08-03 13:15:17.505968
14,2023-07-14 00:00:00+05:30,75.5,76.5999984741211,74.0,75.44999694824219,994617,0.0,0.0,2023-07-14,76.13344102660406,73.78743419914238,55.35126805248052,32.34172280440974,74.84142482510147,74.9599998474121,76.32388379120337,2.3460068274616788,2.8161741758669763,74.9599998474121,3.878640067621878,78.83863991503398,71.08135977979023,82.71727998265587,67.20271971216835,CONFIPET.NS,2023-08-03 13:15:17.505968
15,2023-07-13 00:00:00+05:30,78.30000305175781,79.55000305175781,74.55000305175781,75.3499984741211,1115194,0.0,0.0,2023-07-13,76.25770358630622,73.65442917921439,55.10777269925238,33.71975165116207,74.77736460161297,74.84249992370606,76.76082721268395,2.603274407091831,2.9337160129683,74.84249992370606,3.898559180662839,78.7410591043689,70.94394074304321,82.63961828503173,67.04538156238038,CONFIPET.NS,2023-08-03 13:15:17.505968
16,2023-07-12 00:00:00+05:30,77.80000305175781,79.4000015258789,77.25,77.94999694824219,792602,0.0,0.0,2023-07-12,76.42274087943079,73.51878363562186,63.46372102010967,34.93459809821211,74.71708735187528,74.68499984741212,77.46624158196538,2.9039572438089323,3.016326414437417,74.68499984741212,3.9403823734672083,78.62538222087932,70.74461747394491,82.56576459434653,66.8042351004777,CONFIPET.NS,2023-08-03 13:15:17.505968
17,2023-07-11 00:00:00+05:30,76.05000305175781,78.4000015258789,76.05000305175781,77.5,951492,0.0,0.0,2023-07-11,76.14505795782873,73.16428657061223,62.551130224074335,34.773469948566,74.37678107857349,74.32999992370605,77.22436389882697,2.9807713872164925,3.0444187070945383,74.32999992370605,3.950564132144733,78.28056405585079,70.37943579156132,82.23112818799552,66.42887165941659,CONFIPET.NS,2023-08-03 13:15:17.505968
18,2023-07-10 00:00:00+05:30,77.25,77.5,75.5999984741211,76.25,776903,0.0,0.0,2023-07-10,75.89870485925213,72.81742949626123,59.97228432241698,34.88571964268021,74.04802119210754,73.8125,77.08654584824043,3.081275362990908,3.0603305370640497,73.8125,4.184429379258075,77.99692937925808,69.62807062074192,82.18135875851615,65.44364124148385,CONFIPET.NS,2023-08-03 13:15:17.505968
19,2023-07-07 00:00:00+05:30,77.80000305175781,79.19999694824219,76.5,76.69999694824219,856966,0.0,0.0,2023-07-07,75.8348330154798,72.54282385596211,61.385372922154446,35.2726345027407,73.81623394917149,73.32000007629395,77.50481877236064,3.29200915951769,3.0550943305823353,73.32000007629395,4.453456016055068,77.77345609234902,68.86654406023888,82.2269121084041,64.41308804418381,CONFIPET.NS,2023-08-03 13:15:17.505968
20,2023-07-06 00:00:00+05:30,78.5999984741211,80.30000305175781,77.0999984741211,77.80000305175781,921575,0.0,0.0,2023-07-06,75.67753048225029,72.2102500085797,64.85394470179807,35.183941812660585,73.51267994926931,72.82000007629395,77.90722968441985,3.4672804736705842,2.9958656233484966,72.82000007629395,4.6125241509157595,77.43252422720971,68.20747592537819,82.04504837812547,63.59495177446243,CONFIPET.NS,2023-08-03 13:15:17.505968
21,2023-07-05 00:00:00+05:30,77.3499984741211,80.5999984741211,77.3499984741211,78.55000305175781,1251290,0.0,0.0,2023-07-05,75.29162637870347,71.76306976512545,67.26012032429603,34.749125060581754,73.0613827805863,72.30999984741212,77.96084300075086,3.5285566135780186,2.8780119107679747,72.30999984741212,4.5967848273761245,76.90678467478824,67.71321502003599,81.50356950216437,63.11643019265986,CONFIPET.NS,2023-08-03 13:15:17.505968
22,2023-07-04 00:00:00+05:30,80.94999694824219,81.19999694824219,77.55000305175781,78.1500015258789,1275016,0.0,0.0,2023-07-04,74.69919425632995,71.22011510219487,66.64729596500916,34.14362188570114,72.48363327835771,71.7724998474121,77.66626297524738,3.4790791541350785,2.715375735065463,71.7724998474121,4.455053253514079,76.22755310092619,67.31744659389803,80.68260635444027,62.862393340383946,CONFIPET.NS,2023-08-03 13:15:17.505968
23,2023-07-03 00:00:00+05:30,81.0,81.9000015258789,79.5,80.6500015258789,2049410,0.0,0.0,2023-07-03,74.0717747527756,70.66572418830015,74.76960189018814,33.38731792780364,71.88717346282917,71.21999969482422,77.4243936999316,3.40605056447545,2.524449880298059,71.21999969482422,4.305181109911579,75.5251808047358,66.91481858491265,79.83036191464738,62.609637475001065,CONFIPET.NS,2023-08-03 13:15:17.505968
24,2023-06-30 00:00:00+05:30,82.19999694824219,84.25,79.5,80.05000305175781,5729781,0.0,0.0,2023-06-30,72.87573352130227,69.86698200129383,74.06522374393921,31.530665288970752,70.96477050882393,70.46999969482422,75.81158978695794,3.008751520008431,2.3040497092537113,70.46999969482422,3.859418066728474,74.3294177615527,66.61058162809574,78.18883582828117,62.75116356136728,CONFIPET.NS,2023-08-03 13:15:17.505968
25,2023-06-27 00:00:00+05:30,74.8499984741211,78.25,73.6500015258789,77.5,2758650,0.0,0.0,2023-06-27,71.57132087940126,69.05234031725672,70.85404644340599,29.531193216381485,70.00843024114668,69.82249946594239,73.692383154558,2.5189805621445345,2.1278742565650313,69.82249946594239,3.1970575406198996,73.01955700656228,66.62544192532249,76.21661454718219,63.42838438470259,CONFIPET.NS,2023-08-03 13:15:17.505968
26,2023-06-26 00:00:00+05:30,74.94999694824219,77.44999694824219,73.30000305175781,74.25,3179971,0.0,0.0,2023-06-26,70.49337922111057,68.37652754263726,65.84986967847341,28.465050436767285,69.21984395074107,69.10999946594238,71.788574731837,2.11685167847331,2.0300976801701553,69.10999946594238,2.976247825190015,72.0862472911324,66.13375164075237,75.06249511632241,63.15750381556235,CONFIPET.NS,2023-08-03 13:15:17.505968
27,2023-06-23 00:00:00+05:30,67.55000305175781,74.19999694824219,67.5,73.5,6044026,0.0,0.0,2023-06-23,69.81035726131249,67.90664974604825,64.54544305188301,27.50398555344902,68.69035384029276,68.71499938964844,70.5578620977555,1.9037075152642444,2.0084091805943665,68.71499938964844,2.775650421653851,71.49064981130229,65.93934896799459,74.26630023295614,63.16369854634074,CONFIPET.NS,2023-08-03 13:15:17.505968
28,2023-06-22 00:00:00+05:30,68.69999694824219,69.5,66.94999694824219,67.44999694824219,1001790,0.0,0.0,2023-06-22,69.13951312700567,67.45918172573211,50.335937796422904,27.347445951821946,68.18407529716568,68.40249938964844,69.08679314663325,1.6803314012735626,2.034584596926897,68.40249938964844,2.5513395591121784,70.95383894876062,65.85115983053626,73.5051785078728,63.29982027142408,CONFIPET.NS,2023-08-03 13:15:17.505968
29,2023-06-21 00:00:00+05:30,69.94999694824219,70.6500015258789,68.30000305175781,68.69999694824219,617731,0.0,0.0,2023-06-21,69.44669788678084,67.4599165079313,54.528718423190185,29.080633381666768,68.26134670231552,68.41249961853028,69.90519124582877,1.9867813788495425,2.123147895840231,68.41249961853028,2.5477991474011525,70.96029876593143,65.86470047112913,73.50809791333258,63.31690132372797,CONFIPET.NS,2023-08-03 13:15:17.505968
30,2023-06-20 00:00:00+05:30,70.1500015258789,71.5999984741211,68.25,69.75,1856566,0.0,0.0,2023-06-20,69.58246169378788,67.36071007270642,58.31766708398136,30.11468400361995,68.21517299221797,68.39999961853027,70.50778839462205,2.2217516210814523,2.1572395250879026,68.39999961853027,2.546927516890714,70.94692713542099,65.85307210163955,73.4938546523117,63.30614458474884,CONFIPET.NS,2023-08-03 13:15:17.505968
31,2023-06-19 00:00:00+05:30,71.8499984741211,72.4000015258789,69.80000305175781,70.05000305175781,801313,0.0,0.0,2023-06-19,69.5520001835675,67.16956687852294,59.412938451770465,31.22827698110799,68.05361225455671,68.15999946594238,70.88668259193308,2.3824333050445574,2.141111501089515,68.15999946594238,2.6375623881849517,70.79756185412732,65.52243707775743,73.43512424231228,62.88487468957247,CONFIPET.NS,2023-08-03 13:15:17.505968
32,2023-06-16 00:00:00+05:30,71.30000305175781,74.4000015258789,71.30000305175781,71.6500015258789,1591458,0.0,0.0,2023-06-16,69.4614542075329,66.93913198466416,65.50570846519159,31.414810006488384,67.84346585485133,67.77249927520752,71.30502236202071,2.5223222228687376,2.0807810501007546,67.77249927520752,2.9013820014779226,70.67388127668545,64.8711172737296,73.57526327816336,61.969735272251675,CONFIPET.NS,2023-08-03 13:15:17.505968
33,2023-06-15 00:00:00+05:30,73.30000305175781,74.1500015258789,71.0,71.94999694824219,1426454,0.0,0.0,2023-06-15,69.06353651328817,66.56226242136698,66.69654926672948,30.486512700462892,67.44277788948,67.26499919891357,71.1325327800916,2.5012740919211893,1.9703957569087587,67.26499919891357,3.070234259502658,70.33523345841623,64.19476493941092,73.40546771791888,61.124530679908254,CONFIPET.NS,2023-08-03 13:15:17.505968
34,2023-06-14 00:00:00+05:30,72.19999694824219,73.55000305175781,70.4000015258789,73.0999984741211,1821365,0.0,0.0,2023-06-14,68.5387255251147,66.13124365921696,71.31103378203005,29.564864512786933,66.96833377803135,66.72499942779541,70.7238006960163,2.4074818658977364,1.8376761731556508,66.72499942779541,3.1515445447231207,69.87654397251853,63.57345488307229,73.02808851724166,60.42191033834917,CONFIPET.NS,2023-08-03 13:15:17.505968
35,2023-06-13 00:00:00+05:30,71.5,73.4000015258789,71.4000015258789,72.19999694824219,1920920,0.0,0.0,2023-06-13,67.7094031707499,65.57374327402464,69.79224174781288,28.756778485354463,66.32289538896927,66.03749942779541,69.5357018069639,2.135659896725258,1.6952247499701294,66.03749942779541,3.187222256680853,69.22472168447626,62.850277171114556,72.41194394115712,59.6630549144337,CONFIPET.NS,2023-08-03 13:15:17.505968
36,2023-06-12 00:00:00+05:30,67.5999984741211,71.1500015258789,66.80000305175781,70.8499984741211,2638700,0.0,0.0,2023-06-12,66.89293157484221,65.04364298008723,67.3874663064326,27.14358647773052,65.70425311957213,65.38249950408935,68.20355423632475,1.8492885947549809,1.5851159632813472,65.38249950408935,3.2001757710589134,68.58267527514826,62.18232373303044,71.78285104620718,58.98214796197153,CONFIPET.NS,2023-08-03 13:15:17.505968
37,2023-06-09 00:00:00+05:30,66.6500015258789,68.05000305175781,66.19999694824219,67.1500015258789,694536,0.0,0.0,2023-06-09,66.17346486588241,64.57913454056452,59.10141577087562,26.057169130772948,65.16259571383013,64.78499965667724,66.88033211742658,1.594330325317884,1.5190728054129388,64.78499965667724,3.240942748197905,68.02594240487515,61.54405690847934,71.26688515307305,58.30311416028143,CONFIPET.NS,2023-08-03 13:15:17.505968
38,2023-06-08 00:00:00+05:30,66.94999694824219,67.8499984741211,65.80000305175781,66.4000015258789,629875,0.0,0.0,2023-06-08,65.99591274588305,64.37346518173938,57.047282889673234,26.126998436842843,64.95339510203551,64.39749965667724,66.74549741320041,1.6224475641436698,1.5002584254367022,64.39749965667724,3.402571272869753,67.80007092954699,60.99492838380749,71.20264220241674,57.59235711093773,CONFIPET.NS,2023-08-03 13:15:17.505968
39,2023-06-07 00:00:00+05:30,67.75,68.25,66.3499984741211,66.69999694824219,530612,0.0,0.0,2023-06-07,65.92244205861107,64.21134227420822,58.1317311194287,26.29844109029203,64.80112074163095,64.00999965667725,66.91824535686115,1.7110997844028475,1.4697111407599601,64.00999965667725,3.598193480210718,67.60819313688798,60.411806176466534,71.20638661709869,56.81361269625582,CONFIPET.NS,2023-08-03 13:15:17.505968
