Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-26 00:00:00+05:30,106.75,107.6500015258789,102.0999984741211,102.5999984741211,176976,0.0,0.0,2023-09-26,95.5424991607666,3.6875056870472402,99.23000484781383,91.85499347371936,102.91751053486108,88.16748778667211,150.3214269904499,251.45595029899613,22108258,339396.95943843096,285022.57157810085,77.04726898906894,71.6790111335054,104.11666615804036,106.13333384195963,100.58333079020181,109.66666920979817,98.56666310628255,111.68333689371744,95.033327738444,-0.02709788482131873,-35.19554477495206,1.765019976277003,0.872799341404761,0.8922206348722419,63.59583013244602,16.916174058359687,99.42999725341797,95.5424991607666,94.47099945068359,91.90749961853027,CORDSCABLE.NS,2023-09-26 10:45:01.855596
2,2023-09-25 00:00:00+05:30,101.05000305175781,108.9000015258789,101.05000305175781,105.69999694824219,524403,0.0,0.0,2023-09-25,95.01999931335449,3.360739952058741,98.38073926541323,91.65925936129575,101.74147921747198,88.298519409237,243.56545841318697,325.1948927616712,22285234,1036063.4672831597,271428.9746130183,76.95981456433294,83.65757784674798,105.21666717529297,109.38333129882812,101.53333282470703,113.06666564941406,97.36666870117188,117.23332977294922,93.68333435058594,0.07375671000679952,-17.877119021528102,1.4308740192066125,0.6497441826867005,0.781129836519912,71.84673309882632,14.647930695369164,98.10999755859375,95.01999931335449,94.29399948120117,91.64449966430664,CORDSCABLE.NS,2023-09-26 10:45:01.855596
3,2023-09-22 00:00:00+05:30,95.69999694824219,98.9000015258789,95.0,97.94999694824219,76346,0.0,0.0,2023-09-22,94.35499954223633,2.2775151798596798,96.632514722096,92.07748436237665,98.91002990195568,89.79996918251697,62.745097452565176,113.6501536799834,21760831,139777.39190673828,80270.35144548288,76.66536452621011,71.17842194436639,97.28333282470703,99.56666564941406,95.66666412353516,101.18333435058594,93.38333129882812,103.46666717529297,91.76666259765625,0.00420250264802514,-36.81820956143466,0.6760831483968985,0.45446172355672243,0.2216214248401761,59.713053766194776,12.205207073687061,95.5999984741211,94.35499954223633,94.05199951171875,91.37199966430664,CORDSCABLE.NS,2023-09-26 10:45:01.855596
4,2023-09-21 00:00:00+05:30,95.19999694824219,96.9000015258789,94.25,95.69999694824219,29882,0.0,0.0,2023-09-21,94.10499954223633,2.131893875546664,96.236893417783,91.97310566668966,98.36878729332966,89.841211791143,2.006297258687063,61.14172440059732,21684485,53452.473061820056,65393.59133016903,76.63356961375338,63.235028537034694,95.61666615804036,96.98333231608072,94.33333079020181,98.26666768391927,92.96666463216145,99.63333384195963,91.68332926432291,-0.06862713704360665,-54.545466555517535,0.4627360009450996,0.3990563673466783,0.06367963359842127,54.41685695834265,11.945817087843679,94.69999847412109,94.10499954223633,93.87599960327148,91.17449966430664,CORDSCABLE.NS,2023-09-26 10:45:01.855596
5,2023-09-20 00:00:00+05:30,95.9000015258789,96.9000015258789,94.0,95.19999694824219,19551,0.0,0.0,2023-09-20,93.9474998474121,2.124200564399573,96.07170041181168,91.82329928301253,98.19590097621125,89.69909871861296,0.06658382305787197,54.54162027216423,21654603,34789.81570719781,68378.87089725627,76.62241542034444,62.67798234790456,95.36666615804036,96.73333231608072,93.83333079020181,98.26666768391927,92.46666463216145,99.63333384195963,90.93332926432291,-0.08847281509502955,-58.874469740706346,0.40416675911750133,0.383136458947073,0.02103030017042834,53.145841864236665,12.44307760615775,93.97999877929688,93.9474998474121,93.76499969482421,90.96899971008301,CORDSCABLE.NS,2023-09-26 10:45:01.855596
6,2023-09-18 00:00:00+05:30,92.0999984741211,97.19999694824219,92.0999984741211,96.0,40451,0.0,0.0,2023-09-18,93.84500007629394,2.10999455277157,95.95499462906551,91.73500552352237,98.06498918183708,89.62501097075081,-1.6269516975195415,42.3351227475031,21674154,72584.97196261681,76776.13469477088,76.6153019159968,56.510967651592665,95.0999984741211,98.0999984741211,93.0,100.19999694824219,90.0,103.19999694824219,87.9000015258789,-0.11304307963069304,-51.94803822226567,0.3722990667909869,0.3778788839044659,-0.005579817113478991,55.44265553035376,12.978588933572903,93.70999908447266,93.84500007629394,93.58099975585938,90.79449974060059,CORDSCABLE.NS,2023-09-26 10:45:01.855596
7,2023-09-15 00:00:00+05:30,93.30000305175781,94.4000015258789,92.05000305175781,93.1500015258789,24379,0.0,0.0,2023-09-15,93.69750022888184,2.053781297482687,95.75128152636452,91.64371893139915,97.80506282384721,89.58993763391646,-57.39508771986581,-27.295357609880117,21633703,42446.80162989536,77823.9253778094,76.59993247919323,55.27740647570973,93.2000020345052,94.3500010172526,92.0000025431315,95.5500005086263,90.85000356038411,96.69999949137369,89.65000406901041,-0.12872127879815565,-76.62334316677257,0.24706968944541075,0.3792738381828356,-0.13220414873742486,48.00995059622967,13.55529344001999,93.97999877929688,93.69750022888184,93.44499969482422,90.57999977111817,CORDSCABLE.NS,2023-09-26 10:45:01.855596
8,2023-09-14 00:00:00+05:30,93.69999694824219,94.9000015258789,93.0,93.44999694824219,13691,0.0,0.0,2023-09-14,93.65,2.0779540868080533,95.72795408680805,91.57204591319196,97.80590817361612,89.4940918263839,-36.257891671149174,-11.466267433521447,21658082,23914.465574175392,86668.20631478791,76.59202035817059,55.40496689645971,93.78333282470703,94.56666564941406,92.66666412353516,95.68333435058594,91.88333129882812,96.46666717529297,90.76666259765625,-0.12813392141404456,-74.02598088886717,0.36367632590966537,0.41232487536719176,-0.04864854945752639,48.805725198443454,13.894181273411874,95.21999816894531,93.65,93.36399963378906,90.31699974060058,CORDSCABLE.NS,2023-09-26 10:45:01.855596
9,2023-09-13 00:00:00+05:30,93.75,95.4000015258789,91.0,92.0999984741211,43363,0.0,0.0,2023-09-13,93.59250030517578,2.0995781129126674,95.69207841808844,91.49292219226311,97.79165653100111,89.39334407935044,-61.75362035845659,-42.46383604423941,21644391,74649.20063239835,102356.64149994103,76.5874931083913,52.87543135496132,92.83333333333333,94.66666666666666,90.26666514078775,97.23333485921223,88.43333180745442,99.06666819254556,85.86666361490884,-0.1196770911752947,-85.71427627780766,0.47791290484843785,0.4244870127315733,0.05342589211686455,44.99611999299168,14.617431105894635,96.12999877929687,93.59250030517578,93.26399963378907,90.04549980163574,CORDSCABLE.NS,2023-09-26 10:45:01.855596
10,2023-09-12 00:00:00+05:30,98.9000015258789,99.80000305175781,92.5,93.8499984741211,69249,0.0,0.0,2023-09-12,93.63750038146972,2.0754115831605073,95.71291196463022,91.56208879830922,97.78832354779074,89.4866772151487,20.669115105786755,36.41173229991868,21687754,121476.98213709178,109283.5017168267,76.57428731001349,58.704893541012616,95.38333384195964,98.26666768391928,90.96666463216147,102.68333689371745,88.08333079020183,105.56667073567709,83.66666158040366,-0.10630880487534955,-70.56276512964683,0.7498836335948766,0.41113053970235713,0.3387530938925195,49.42310665981031,15.39631554087607,96.46999969482422,93.63750038146972,93.21199966430665,89.80049980163574,CORDSCABLE.NS,2023-09-26 10:45:01.855596
