Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
1,2023-08-08 00:00:00+05:30,655.0,658.9500122070312,641.25,654.2000122070312,34918,0.0,0.0,2023-08-08,642.363731108716,644.2281612845846,55.14393729163227,17.454467035001986,643.6424914730512,641.7493530273438,645.7552364854712,-1.8644301758686197,-3.295351538091518,641.7493530273438,11.274829497894823,653.0241825252386,630.4745235294489,664.2990120231334,619.1996940315541,COSMOFIRST.NS,2023-08-08 21:13:00.166075
2,2023-08-07 00:00:00+05:30,646.9000244140625,655.0,638.0499877929688,652.75,48759,0.0,0.0,2023-08-07,640.2116799999314,643.4304132107889,54.50974443804344,17.2836786569498,642.5311735010533,641.8572784423828,641.5328486246912,-3.2187332108574083,-3.6530818786472423,641.8572784423828,11.409805862283086,653.2670843046659,630.4474725800998,664.676890166949,619.0376667178167,COSMOFIRST.NS,2023-08-08 21:13:00.166075
3,2023-08-04 00:00:00+05:30,631.0,642.0,625.0,637.5999755859375,42474,0.0,0.0,2023-08-04,637.9319854544644,642.684846267652,47.277827322681446,17.33918267707578,641.4555075537959,641.8517028808594,635.9242729370367,-4.752860813187567,-3.761669045594701,641.8517028808594,11.404228712316156,653.2559315931755,630.4474741685433,664.6601603054918,619.043245456227,COSMOFIRST.NS,2023-08-08 21:13:00.166075
4,2023-08-03 00:00:00+05:30,643.0,643.0,630.0499877929688,633.0999755859375,38685,0.0,0.0,2023-08-03,637.9923508851057,643.0916359221892,44.86004808399755,18.261117691900623,641.8613530240968,643.3674682617187,635.0864216125863,-5.0992850370835185,-3.513871103696484,643.3674682617187,12.745183524441018,656.1126517861597,630.6222847372777,668.8578353106008,617.8771012128367,COSMOFIRST.NS,2023-08-08 21:13:00.166075
5,2023-08-02 00:00:00+05:30,650.3499755859375,650.3499755859375,638.0,641.9000244140625,41144,0.0,0.0,2023-08-02,638.8818736667727,643.8909687490893,48.935060633857574,18.841294898498926,642.7836032807452,646.2267181396485,636.0796446259105,-5.009095082316662,-3.117517620349725,646.2267181396485,16.252415236956182,662.4791333766046,629.9743029026923,678.7315486135608,613.7218876657362,COSMOFIRST.NS,2023-08-08 21:13:00.166075
6,2023-08-01 00:00:00+05:30,621.0,668.3499755859375,620.2999877929688,647.25,176024,0.0,0.0,2023-08-01,638.3331189854473,644.0502442958915,51.580136477117534,18.781138938696863,642.8766115825013,648.318603515625,633.1694547318344,-5.717125310444203,-2.64462325485799,648.318603515625,18.237490605869457,666.5560941214944,630.0811129097556,684.793584727364,611.843622303886,COSMOFIRST.NS,2023-08-08 21:13:00.166075
7,2023-07-31 00:00:00+05:30,620.5,624.9500122070312,613.75,621.0,55276,0.0,0.0,2023-07-31,636.7118678918922,643.7942638395629,35.75979956179769,18.716355597371564,642.416254906975,650.1950714111329,626.1291820977516,-7.082395947670648,-1.8764977409614367,650.1950714111329,19.970158356212032,670.1652297673448,630.2249130549209,690.1353881235569,610.2547546987088,COSMOFIRST.NS,2023-08-08 21:13:00.166075
8,2023-07-28 00:00:00+05:30,625.2999877929688,629.0,615.25,617.9000244140625,52543,5.0,0.0,2023-07-28,639.5685711449636,645.6178049467279,33.372577139320455,17.899114503264535,644.670597528762,653.681640625,628.6937731466273,-6.049233801764331,-0.575023189284134,653.681640625,20.67932407413099,674.360964699131,633.002316550869,695.040288773262,612.322992476738,COSMOFIRST.NS,2023-08-08 21:13:00.166075
9,2023-07-27 00:00:00+05:30,639.7424747353806,641.428830648629,619.0095970264204,620.2000122070312,96519,0.0,0.0,2023-07-27,643.5083069142183,647.8352273893411,34.249417736310406,17.1273925452593,647.4885525934671,657.7720886230469,634.0906475129098,-4.3269204751227335,0.7935294638359153,657.7720886230469,21.310500817319788,679.0825894403666,636.4615878057272,700.3930902576865,615.1510869884073,COSMOFIRST.NS,2023-08-08 21:13:00.166075
10,2023-07-26 00:00:00+05:30,643.8592150579692,643.8592150579692,634.8816044790384,635.0800170898438,46227,0.0,0.0,2023-07-26,647.7461786791615,650.0460446039258,40.668614576478106,16.56610777111997,650.3610305288814,661.928579711914,641.035965165849,-2.2998659247642763,2.0736419485755775,661.928579711914,21.700024653605336,683.6286043655193,640.2285550583088,705.3286290191247,618.5285304047034,COSMOFIRST.NS,2023-08-08 21:13:00.166075
