Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-08 00:00:00+05:30,54.5,56.04999923706055,52.45000076293945,53.650001525878906,119494,0.0,0.0,2023-11-08,52.894999504089355,2.8500189269644856,55.74501843105384,50.04498057712487,58.595037358018324,47.19496165016039,54.56529524300518,81.99968311855211,4216919,269363.5919261134,263278.5369037929,37.0079344647747,43.30631888985405,54.050000508626304,55.650000254313156,52.05000178019206,57.6499989827474,50.45000203450521,59.24999872843425,48.45000330607097,0.01807431153928785,-39.89635093628073,1.5411981797510848,1.6641856297557438,-0.12298745000465905,57.81386716365956,31.773937830027826,54.05999984741211,52.894999504089355,47.30499977111816,42.42549983978272,CUBEXTUB.NS,2023-11-08 10:44:55.083851
2,2023-11-06 00:00:00+05:30,55.0,56.95000076293945,52.599998474121094,53.70000076293945,138334,0.0,0.0,2023-11-06,52.42249946594238,3.440451310142585,55.862950776084965,48.982048155799795,59.30340208622755,45.54159684565721,79.72446987362638,92.88334473033692,4336413,312123.3673811644,261757.27314821267,36.92641671062171,45.92112002466564,54.416666666666664,56.233334859212235,51.883332570393875,58.766668955485024,50.066664377848305,60.583337148030594,47.533330281575516,0.023414230280666394,-39.378224209290465,1.5801094155600666,1.6949324922569085,-0.11482307669684189,57.969150734280234,31.114861186070936,53.82999954223633,52.42249946594238,46.96899971008301,42.24149982452393,CUBEXTUB.NS,2023-11-08 10:44:55.083851
3,2023-11-03 00:00:00+05:30,55.900001525878906,55.900001525878906,53.20000076293945,54.25,193756,0.0,0.0,2023-11-03,52.04749946594238,3.6933252716133524,55.740824737555734,48.354174194329026,59.43415000916909,44.66084892271567,79.73858875745047,98.76462802857252,4474747,441649.72004000074,249165.7495899747,36.8307582570328,47.09963629278731,54.45000076293945,55.70000076293945,53.0,57.150001525878906,51.75,58.400001525878906,50.29999923706055,0.04842519087803985,-47.10743541103986,1.6010623696419728,1.7236382614311188,-0.12257589178914596,59.60438392573173,30.31009415176567,53.08999938964844,52.04749946594238,46.62199966430664,42.05549980163574,CUBEXTUB.NS,2023-11-08 10:44:55.083851
4,2023-11-02 00:00:00+05:30,57.400001525878906,57.5,53.0,53.599998474121094,195956,0.0,0.0,2023-11-02,51.63749942779541,3.8860708030776747,55.523570230873084,47.75142862471774,59.40964103395076,43.86535782164006,88.9285587129139,109.25249381117479,4280991,441312.6738525102,201044.75697746818,36.69049758456228,72.98642252238983,54.699999491373696,56.39999898274739,51.89999898274739,59.199999491373696,50.199999491373696,60.89999898274739,47.39999898274739,0.06919025051388712,-56.273769332390344,1.549463387966,1.754282234378405,-0.204818846412405,58.31393861642771,29.71605823912473,52.05999908447266,51.63749942779541,46.25799964904785,41.862999801635745,CUBEXTUB.NS,2023-11-08 10:44:55.083851
5,2023-11-01 00:00:00+05:30,53.900001525878906,55.099998474121094,53.25,55.099998474121094,68056,0.0,0.0,2023-11-01,51.21999950408936,4.106426299757677,55.32642580384704,47.11357320433168,59.432852103604716,43.007146904574,83.74201292751509,112.47920245887983,4476947,157558.21917488126,140977.77775870764,36.551664806886016,74.919861209968,54.48333231608073,55.716664632161454,53.86666615804036,56.33333079020182,52.63333384195963,57.56666310628255,52.016667683919266,0.1480481078014198,-44.86692654953565,1.5239396391573194,1.8054869459815062,-0.2815473068241867,62.59909463182671,29.076327256280642,51.109999084472655,51.21999950408936,45.924999694824216,41.68549980163574,CUBEXTUB.NS,2023-11-08 10:44:55.083851
6,2023-10-31 00:00:00+05:30,50.099998474121094,52.5,50.099998474121094,52.5,22193,0.0,0.0,2023-10-31,50.78499965667724,4.134485860666823,54.919485517344064,46.65051379601042,59.053971378010885,42.5160279353436,-16.373206070244244,70.36827816688759,4408891,48955.14862814355,136832.66740466424,36.49862351109691,76.60602153319553,51.699999491373696,53.3000005086263,50.89999898274739,54.1000010172526,49.29999796549479,55.700002034505204,48.499997456868485,0.1111640392239516,-60.93189630915071,1.320444238952902,1.8758737726875525,-0.5554295337346504,57.58213673344851,29.034702791855185,50.15999908447266,50.78499965667724,45.58699974060059,41.48949981689453,CUBEXTUB.NS,2023-11-08 10:44:55.083851
7,2023-10-30 00:00:00+05:30,49.900001525878906,51.54999923706055,48.75,50.0,78106,0.0,0.0,2023-10-30,50.48749961853027,4.217815412544317,54.70531503107459,46.26968420598595,58.9231304436189,42.05186879344164,-77.01493330448584,46.31409678078484,4386698,164088.24055417645,158802.04709879443,36.48368795696345,77.46237092337013,50.09999974568685,51.4499994913737,48.650000254313156,52.8999989827474,47.300000508626304,54.24999872843425,45.85000101725261,0.1058914650684512,-64.51613191917316,1.295962186309886,2.014731156121215,-0.7187689698113289,51.8105943629977,29.84649339652654,49.879998779296876,50.48749961853027,45.305999755859375,41.327499809265134,CUBEXTUB.NS,2023-11-08 10:44:55.083851
8,2023-10-27 00:00:00+05:30,50.650001525878906,50.650001525878906,48.70000076293945,49.099998474121094,40813,0.0,0.0,2023-10-27,50.249999618530275,4.377424089982775,54.62742370851305,45.8725755285475,59.004847798495824,41.495151438564726,-112.74509322029802,38.98684847130981,4308592,84198.24798161651,157480.49873494892,36.43914084166612,75.01445191286297,49.483333587646484,50.266666412353516,48.31666564941406,51.43333435058594,47.53333282470703,52.21666717529297,46.36666488647461,0.013023120392896237,-69.79473348017868,1.4911940706334548,2.194423398574047,-0.7032293279405923,49.514290359173025,31.076448736848015,50.539998626708986,50.249999618530275,45.076999740600584,41.19599979400635,CUBEXTUB.NS,2023-11-08 10:44:55.083851
9,2023-10-26 00:00:00+05:30,51.849998474121094,51.95000076293945,47.849998474121094,48.849998474121094,57380,0.0,0.0,2023-10-26,50.134999656677245,4.4390046998655714,54.574004356542815,45.695994956811674,59.013009056408386,41.256990256946104,-157.26320945602995,43.414320478239006,4267779,117773.65555879167,175801.06142328202,36.41729910349331,77.74271750303915,49.54999923706055,51.25,47.14999771118164,53.650001525878906,45.44999694824219,55.35000228881836,43.04999542236328,0.023174008188185848,-71.26100920561443,1.807192708101958,2.370230730559195,-0.5630380224572371,48.886043789895375,32.7490609565097,51.73999862670898,50.134999656677245,44.87699974060059,41.06799980163574,CUBEXTUB.NS,2023-11-08 10:44:55.083851
10,2023-10-25 00:00:00+05:30,53.400001525878906,53.400001525878906,48.900001525878906,50.349998474121094,54563,0.0,0.0,2023-10-25,50.02999973297119,4.495477181744436,54.525476914715625,45.53452255122676,59.02095409646006,41.039045369482324,-118.63383139487227,67.12932402041713,4325159,115430.5485214283,190307.9128894046,36.38707133048132,80.9234457276392,50.88333384195963,52.86666615804036,48.36666615804036,55.38333384195963,46.38333384195963,57.36666615804036,43.86666615804036,0.030945186206584114,-62.463354852999906,2.209006225647208,2.5109902361735044,-0.3019840105262963,52.52785919544494,34.550335654606904,52.71999893188477,50.02999973297119,44.667999801635744,40.932999801635745,CUBEXTUB.NS,2023-11-08 10:44:55.083851
11,2023-10-23 00:00:00+05:30,54.900001525878906,54.900001525878906,50.650001525878906,51.099998474121094,57998,0.0,0.0,2023-10-23,49.88749980926514,4.529838858697115,54.417338667962255,45.35766095056802,58.94717752665937,40.82782209187091,-41.26809044483949,90.00197142268689,4379722,124525.11792047083,209027.25398139865,36.354714936235126,83.15800111431683,52.21666717529297,53.78333282470703,49.53333282470703,56.46666717529297,47.96666717529297,58.03333282470703,45.28333282470703,0.03255247712427716,-58.06452767669265,2.5422522257521507,2.586486238805078,-0.04423401305292751,54.409752995982174,36.02101096385837,53.349999237060544,49.88749980926514,44.43499984741211,40.79599983215332,CUBEXTUB.NS,2023-11-08 10:44:55.083851
