Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-24 00:00:00+05:30,608.0,612.3499755859375,600.2999877929688,600.9000244140625,14002,0.0,0.0,2023-11-24,615.9425048828125,14.946165367159786,630.8886702499723,600.9963395156527,645.8348356171321,586.0501741484929,-57.47123012757083,-101.4079746744622,3773086,24315.106103984966,46942.64108437197,640.7541794313165,56.83024685994514,604.5166625976562,608.7333374023438,596.683349609375,616.566650390625,592.4666748046875,620.7833251953125,584.6333618164062,-0.08537072863508084,-80.69533220240247,-8.093764738541381,-6.685734660049198,-1.4080300784921835,41.8447935725009,22.1183515849505,601.2900024414063,615.9425048828125,631.0680029296875,601.4941723632812,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
2,2023-11-23 00:00:00+05:30,606.6500244140625,617.0499877929688,600.5,605.4500122070312,22314,0.0,0.0,2023-11-23,616.7225036621094,14.520830672023719,631.2433343341331,602.2016729900856,645.7641650061568,587.680842318062,-43.62841567842909,-95.34931606238139,3787088,39042.67765162949,52599.52482946872,640.7735016751233,44.16744077863206,607.6666666666666,614.8333333333333,598.2833455403645,624.2166544596354,591.1166788736979,631.383321126302,581.7333577473958,-0.03389112830623814,-58.61026596104319,-7.952579095018677,-6.333727140426151,-1.6188519545925262,43.60696055445167,22.343192958196685,603.0900024414062,616.7225036621094,632.2930029296875,600.9684307861328,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
3,2023-11-22 00:00:00+05:30,601.0,612.0499877929688,599.0499877929688,600.2999877929688,33181,0.0,0.0,2023-11-22,617.6000030517578,14.33283631128712,631.9328393630449,603.2671667404707,646.265675674332,588.9343304291835,-92.16487370182247,-113.1883568253593,3764774,57562.769272301324,55988.73662392852,640.8008147493603,36.06127189580136,603.7999877929688,608.5499877929688,595.5499877929688,616.7999877929688,590.7999877929688,621.5499877929688,582.5499877929688,0.06338742767447825,-75.39940992825929,-8.099429923528078,-5.929014151778019,-2.1704157717500587,40.99538396179397,22.596729926314993,605.1599975585938,617.6000030517578,633.5040026855469,600.4856134033203,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
4,2023-11-21 00:00:00+05:30,600.5999755859375,603.3499755859375,592.8499755859375,600.25,36393,0.0,0.0,2023-11-21,618.1600036621094,13.831354984432059,631.9913586465415,604.3286486776773,645.8227136309735,590.4972936932453,-175.12535725192566,-137.0413913351756,3731593,63129.725399388444,55595.22846183531,640.8474358533932,31.085295225559747,598.816650390625,604.7833251953125,594.2833251953125,609.316650390625,588.316650390625,615.2833251953125,583.7833251953125,-0.05775401390316662,-75.47926266382485,-7.6575254749539,-5.386410208840504,-2.271115266113396,40.97073930918813,22.462562318760376,608.2099975585937,618.1600036621094,634.6230029296875,600.0788586425781,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
5,2023-11-20 00:00:00+05:30,610.0,613.2999877929688,597.5,599.5499877929688,14974,0.0,0.0,2023-11-20,621.2800048828125,16.381515250894918,637.6615201337074,604.8984896319175,654.0430353846023,588.5169743810227,-179.4348192064149,-123.37423612321788,3695200,25944.60728652033,53711.60422744702,640.8987567596894,38.24076932276956,603.4499918619791,609.3999837239583,593.5999959309895,619.2499796549479,587.6500040690104,625.199971516927,577.8000081380208,-0.11951769866582342,-78.00304992604296,-6.970807716866602,-4.818631392312154,-2.152176324554448,40.648475196444394,21.57769220141681,610.3099975585938,621.2800048828125,635.2590026855469,599.5782849121093,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
6,2023-11-17 00:00:00+05:30,621.75,621.75,608.0,609.9000244140625,35773,0.0,0.0,2023-11-17,625.307504272461,20.211912954740257,645.5194172272012,605.0955913177207,665.7313301819415,584.8836783629804,-45.89773028564855,-89.45713470451317,3710174,63051.857788492634,60653.353462678686,640.9202748744235,40.714303146183795,613.2166748046875,618.433349609375,604.683349609375,626.9666748046875,599.4666748046875,632.183349609375,590.933349609375,-0.12394544437777905,-62.462448702040184,-5.917041995337172,-4.280587311173542,-1.6364546841636303,43.94217305825598,20.82769840154959,613.1300048828125,625.307504272461,635.6460034179687,599.0906060791016,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
7,2023-11-16 00:00:00+05:30,614.4500122070312,623.0,614.0,615.7999877929688,26287,0.0,0.0,2023-11-16,629.2500030517579,24.32088227339088,653.5708853251488,604.929120778367,677.8917675985397,580.608238504976,8.830590513298267,-75.55370513182734,3745947,46780.46939100024,60053.727381225195,640.958888869931,45.556654326519904,617.5999959309896,621.1999918619792,612.1999918619792,626.5999959309896,608.5999959309896,630.1999918619792,603.1999918619792,-0.030491189440909974,-53.60364158236908,-5.4975721858301085,-3.8714736401326335,-1.626098545697475,45.911358521565774,20.502998337464923,616.9300048828125,629.2500030517579,635.9120031738281,598.4188635253906,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
8,2023-11-15 00:00:00+05:30,614.9500122070312,621.5,613.4500122070312,615.5499877929688,10077,0.0,0.0,2023-11-15,632.6500030517578,26.952393606594665,659.6023966583525,605.6976094451632,686.5547902649472,578.7452158385685,-13.897420139218793,-82.61037281715282,3719660,17925.796409717346,63372.041878781434,640.981923126961,39.44884268917857,616.8333333333334,620.2166544596355,612.1666666666667,624.8833211263021,608.7833455403646,628.2666422526042,604.116678873698,-0.04042120013433354,-53.97901709534868,-5.4582841687652035,-3.4649490037082646,-1.9933351650569389,45.81581947252061,20.447293193655874,620.0000122070312,632.6500030517578,635.66900390625,597.7264379882813,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
9,2023-11-13 00:00:00+05:30,629.0,629.0,610.0,610.75,23444,0.0,0.0,2023-11-13,635.8950042724609,28.639344115833467,664.5343483882943,607.2556601566275,693.1736925041279,578.616316040794,-29.639696824979158,-87.87277002884245,3709583,41378.91153337314,74733.60324604745,640.9908521642623,31.519399489134486,616.5833333333334,623.1666666666667,604.1666666666667,635.5833333333334,597.5833333333334,642.1666666666667,585.1666666666667,0.058772597098933066,-61.186208615674495,-5.300661114056879,-2.9666152124440295,-2.33404590161285,44.05400409979855,20.27560291741836,621.6900146484375,635.8950042724609,635.4850036621094,597.1259191894532,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
10,2023-11-10 00:00:00+05:30,628.4500122070312,630.2000122070312,606.7000122070312,613.6500244140625,39100,0.0,0.0,2023-11-10,637.720004272461,28.110759116889287,665.8307633893503,609.6092451555717,693.9415225062396,581.4984860386824,-36.68411822556443,-90.16819614942567,3733027,69339.60882716322,83072.27617421602,641.0155736512975,24.730395800874945,616.8500162760416,627.000020345052,603.500020345052,640.3500162760416,593.3500162760416,650.500020345052,580.000020345052,0.08489830711938555,-64.3300140093143,-4.545816721765732,-2.3831037370408166,-2.1627129847249154,44.87254553694311,20.090705696854883,622.110009765625,637.720004272461,635.31900390625,596.2717767333984,DEEPAKFERT.BO,2023-11-24 11:10:26.076079
