Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-06 00:00:00+05:30,5435.0,5487.2001953125,5409.2001953125,5424.89990234375,314546,0.0,0.0,2023-10-06,5572.4449462890625,127.99054613782646,5700.435492426889,5444.454400151236,5828.426038564716,5316.463854013409,-72.48011060935714,-121.89642610424985,12970449,351679.0116376073,456667.8066437979,4528.245117141217,47.05768198177895,5440.433430989583,5471.666666666666,5393.666666666666,5518.433430989583,5362.433430989583,5549.666666666666,5315.666666666666,-0.2979441810758456,-94.37735195825161,-59.44062749891509,-40.55832561169993,-18.882301887215164,41.30840613436618,18.822091346367376,5459.72998046875,5572.4449462890625,5663.9059765625,5248.441938476562,DRREDDY.NS,2023-10-06 10:46:14.863038
2,2023-10-05 00:00:00+05:30,5460.0,5475.0,5400.0,5407.25,411706,0.0,0.0,2023-10-05,5580.36494140625,123.19086167779254,5703.555803084043,5457.174079728457,5826.746664761835,5333.9832180506655,-95.14255111617315,-136.91510418028528,12655903,458811.39957899135,482915.00539534545,4526.941341907794,46.384597136091536,5427.416666666667,5454.833333333334,5379.833333333334,5502.416666666667,5352.416666666667,5529.833333333334,5304.833333333334,-0.2898676379162024,-98.36287718160838,-57.243006833038635,-35.83775013989614,-21.405256693142498,40.047026727003235,19.84963643712276,5460.57001953125,5580.36494140625,5663.9159765625,5238.507392578125,DRREDDY.NS,2023-10-06 10:46:14.863038
3,2023-10-04 00:00:00+05:30,5465.0,5499.0,5401.5,5417.7998046875,421906,0.0,0.0,2023-10-04,5588.947436523437,116.28095707110201,5705.22839359454,5472.666479452335,5821.509350665641,5356.385522381233,-96.0535456099687,-138.82725281229432,13067609,471095.7747329347,488940.90684943396,4525.262759031526,52.7941253736538,5439.433268229167,5477.366536458334,5379.866536458334,5536.933268229167,5341.933268229167,5574.866536458334,5282.366536458334,-0.2753429017231133,-96.30683106811153,-51.82382019161378,-30.486435966610507,-21.33738422500327,40.53050269298594,20.78665288478684,5478.41005859375,5588.947436523437,5663.60498046875,5229.403232421875,DRREDDY.NS,2023-10-06 10:46:14.863038
4,2023-10-03 00:00:00+05:30,5586.89990234375,5586.89990234375,5450.0,5461.7001953125,413048,0.0,0.0,2023-10-03,5601.029956054687,109.94336822569782,5710.973324280385,5491.08658782899,5820.916692506083,5381.143219603292,-53.49015480755654,-114.16067940109593,13489515,464942.1664901225,493402.18987855874,4523.515279746962,60.937711294391036,5499.533365885417,5549.066731770834,5412.166829427084,5636.433268229167,5362.633463541667,5685.966634114584,5275.266927083334,-0.21222474675968298,-88.25976986281545,-45.139405632169655,-25.15208991035969,-19.987315721809964,42.51367590190633,21.81273675797281,5488.40009765625,5601.029956054687,5661.01298828125,5223.520551757812,DRREDDY.NS,2023-10-06 10:46:14.863038
5,2023-09-29 00:00:00+05:30,5469.0,5630.0,5453.25,5587.0,620391,0.0,0.0,2023-09-29,5606.8724365234375,105.14982381942802,5712.022260342866,5501.722612704009,5817.172084162294,5396.572788884581,-23.526649414367327,-87.18930678083919,13902563,714356.0291183715,500517.19572566776,4521.713539019344,67.25253786207516,5556.75,5660.25,5483.5,5733.5,5380.0,5837.0,5306.75,-0.18195379344332818,-59.24511747127242,-40.22092234667525,-20.155260979907197,-20.065661366768055,48.84845300720565,23.468613789956578,5483.81005859375,5606.8724365234375,5658.56498046875,5217.853251953125,DRREDDY.NS,2023-10-06 10:46:14.863038
6,2023-09-28 00:00:00+05:30,5507.4501953125,5507.4501953125,5411.0,5429.10009765625,386311,0.0,0.0,2023-09-28,5607.91494140625,105.04573672933766,5712.960678135588,5502.869204676913,5818.006414864925,5397.823467947575,-96.93036302549446,-154.68292473282136,13282172,432250.4736160286,447057.48737749184,4518.63184333505,60.88356973214109,5449.183430989583,5487.366861979166,5390.916666666666,5545.633626302083,5352.733235677083,5583.817057291666,5294.466471354166,-0.2784907019307939,-95.80870821739224,-45.65449765724952,-15.13884563821518,-30.51565201903434,38.04611983116477,25.258809886026906,5469.82001953125,5607.91494140625,5651.251982421875,5210.673486328125,DRREDDY.NS,2023-10-06 10:46:14.863038
7,2023-09-27 00:00:00+05:30,5514.0,5605.0,5480.0498046875,5496.4501953125,488778,0.0,0.0,2023-09-27,5618.947436523437,96.51796508727142,5715.465401610709,5522.429471436166,5811.98336669798,5425.911506348894,-73.31846450588228,-116.37189568216469,13668483,553687.222435452,450759.2408178576,4516.988823705154,69.15247893934854,5527.166666666667,5574.283528645834,5449.333333333334,5652.116861979167,5402.216471354167,5699.233723958334,5324.383138020834,-0.3111599757143849,-83.50001706659386,-36.368637821671655,-7.509932633456596,-28.85870518821506,41.51888366449809,25.651185783939365,5517.7,5618.947436523437,5646.48998046875,5205.423969726562,DRREDDY.NS,2023-10-06 10:46:14.863038
8,2023-09-26 00:00:00+05:30,5459.0,5526.9501953125,5449.0,5467.75,275983,0.0,0.0,2023-09-26,5630.314916992187,94.70249451178537,5725.017411503973,5535.612422480402,5819.719906015758,5440.909927968616,-129.0996619914087,-149.4555384485543,13179705,311000.8204426764,425027.245413459,4514.747355581106,60.3573773720093,5481.2333984375,5513.466796875,5435.5166015625,5559.18359375,5403.283203125,5591.4169921875,5357.56640625,-0.32104200661264565,-90.41822570982318,-30.561847531331296,-0.2952563364028302,-30.266591194928466,39.327510667463244,26.80734294475445,5541.419921875,5630.314916992187,5641.1559765625,5199.753974609375,DRREDDY.NS,2023-10-06 10:46:14.863038
9,2023-09-25 00:00:00+05:30,5529.85009765625,5539.89990234375,5428.0,5438.75,243409,0.0,0.0,2023-09-25,5645.722412109375,91.88737513527212,5737.609787244647,5553.835036974103,5829.497162379919,5461.947661838831,-180.48586869871414,-161.82846936848807,12903722,272838.8954597791,453533.8516561546,4513.514331434173,53.93041638694728,5468.88330078125,5509.7666015625,5397.86669921875,5580.783203125,5356.9833984375,5621.66650390625,5285.966796875,-0.29872072421510437,-97.40870255045533,-19.83780364350787,7.2713914623292855,-27.109195105837152,37.11661641190387,26.832701046209856,5593.469921875,5645.722412109375,5633.64197265625,5194.214702148438,DRREDDY.NS,2023-10-06 10:46:14.863038
10,2023-09-22 00:00:00+05:30,5668.5,5693.89990234375,5502.0,5517.0498046875,489557,0.0,0.0,2023-09-22,5662.747412109375,82.59524942668486,5745.3426615360595,5580.15216268269,5827.937910962744,5497.556913256005,-116.94614241965202,-97.44319357640173,13147131,556648.0904101335,498707.59070524847,4512.457319211379,58.81747808195219,5570.983235677083,5639.966471354166,5448.066569010416,5762.883138020833,5379.083333333333,5831.866373697916,5256.166666666666,-0.3431566617508636,-95.58462655842398,-2.9511443682877143,14.048690238788573,-16.999834607076288,40.84853086331479,26.860009770854138,5669.619921875,5662.747412109375,5627.7159765625,5188.947075195312,DRREDDY.NS,2023-10-06 10:46:14.863038
