Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-07 00:00:00+05:30,228.0,238.9499969482422,228.0,232.85000610351562,66563,0.0,0.0,2023-09-07,211.13500213623047,7.7521828679022,218.88718500413268,203.38281926832826,226.63936787203488,195.63063640042606,180.47138971204646,364.9413469222257,1112987,57250.96680244496,24418.464401664096,251.5410208469399,92.83214172777942,233.26666768391928,238.53333536783856,227.58333841959637,244.21666463216147,222.3166707356771,249.48333231608075,216.63334147135419,-0.02040529523910977,-17.579225882426403,3.912375904345396,1.5368623241051211,2.3755135802402747,77.85090791324102,46.344468262231004,222.19000244140625,211.13500213623047,210.8710009765625,206.84450088500978,DTIL.NS,2023-09-07 10:47:41.427934
2,2023-09-06 00:00:00+05:30,220.1999969482422,230.4499969482422,217.9499969482422,225.9499969482422,43881,0.0,0.0,2023-09-06,210.05500183105468,5.835347187417924,215.89034901847262,204.21965464363674,221.72569620589053,198.38430745621883,170.45445192618052,263.8657624086709,1046424,36623.72715702433,16210.338801468877,251.7532401274632,89.86484521116196,224.78333028157553,231.61666361490887,219.11666361490887,237.28333028157553,212.28333028157553,244.11666361490887,206.61666361490887,0.011512587167827418,-17.175574519682968,2.7217317710866666,0.9429839290450526,1.778747842041614,72.92799054882522,44.51465393114524,218.05,210.05500183105468,210.44300079345703,206.50550079345703,DTIL.NS,2023-09-07 10:47:41.427934
3,2023-09-05 00:00:00+05:30,218.6999969482422,225.10000610351562,216.35000610351562,220.10000610351562,16503,0.0,0.0,2023-09-05,209.27000198364257,4.484105957115713,213.75410794075827,204.78589602652687,218.238213897874,200.30179006941114,166.1417157667067,201.8286636241993,1002543,13417.03764323939,11106.991712580013,251.94783564461784,87.07236440384781,220.51667277018228,224.68333943684894,215.93333943684894,229.26667277018228,211.76667277018228,233.43333943684894,207.18333943684894,-0.0695696985785444,-23.584892080117232,1.8356544752961668,0.498296968534649,1.3373575067615178,67.18623381797255,43.12236904054417,215.31000061035155,209.27000198364257,210.08200073242188,206.21800079345704,DTIL.NS,2023-09-07 10:47:41.427934
4,2023-09-04 00:00:00+05:30,214.89999389648438,222.60000610351562,211.0500030517578,218.25,33527,0.0,0.0,2023-09-04,208.8500015258789,3.749559953544435,212.59956147942333,205.10044157233446,216.34912143296776,201.35088161879003,162.08693820051278,150.34732637877462,986040,27028.542722499784,10529.480229915169,252.03842105968667,83.25569834825204,217.3000030517578,223.5500030517578,212.0,228.85000610351562,205.75,235.10000610351562,200.4499969482422,-0.05989722167793757,-22.834674050691213,1.2495295437981326,0.1639575918442695,1.0855719519538631,65.0068243627106,42.119000622949784,213.58999938964843,208.8500015258789,209.81600067138672,205.95500076293945,DTIL.NS,2023-09-07 10:47:41.427934
5,2023-09-01 00:00:00+05:30,213.10000610351562,214.89999389648438,209.5,213.8000030517578,9742,0.0,0.0,2023-09-01,208.43000183105468,3.045590773457623,211.47559260451231,205.38441105759705,214.52118337796992,202.33882028413944,96.041092373566,62.895277205660605,952513,7693.598463207664,6404.714606769014,252.23480001799365,77.58382375731847,212.73333231608072,215.96666463216144,210.56667073567706,218.1333262125651,207.33333841959634,221.36665852864581,205.1666768391927,-0.18277725542002696,-18.7725094830407,0.6623773228506593,-0.10743539614419628,0.7698127189948556,58.9113382298013,41.31121296716772,211.76000061035157,208.43000183105468,209.59000061035155,205.7140007019043,DTIL.NS,2023-09-07 10:47:41.427934
6,2023-08-31 00:00:00+05:30,211.14999389648438,216.0,211.14999389648438,212.14999389648438,8985,0.0,0.0,2023-08-31,208.3275016784668,2.8856467772122394,211.21314845567903,205.44185490125457,214.0987952328913,202.5562081240423,143.6949760676122,70.18814539340279,942771,7041.007209949183,6082.493642659351,252.29981884598726,82.50359938300245,213.0999959309896,215.0499979654948,210.19999186197919,217.95000203450522,208.24998982747397,219.90000406901044,205.34998575846356,-0.22063699317587457,-30.685940861962404,0.33886581028494334,-0.2998885758929102,0.6387543861778535,56.2898588253108,41.5383006807428,210.02000122070314,208.3275016784668,209.45600067138673,205.5340007019043,DTIL.NS,2023-09-07 10:47:41.427934
7,2023-08-30 00:00:00+05:30,213.0,216.39999389648438,210.0,212.25,12080,0.0,0.0,2023-08-30,208.2025016784668,2.7628858677285333,210.96538754619533,205.43961581073827,213.72827341392386,202.67672994300975,206.8676226519155,64.72336273812189,951756,9470.83601930994,5842.865250836893,252.36255910104347,67.56527126091328,212.88333129882812,215.76666259765625,209.36666870117188,219.2833251953125,206.48333740234375,222.16665649414062,202.9666748046875,-0.20848809210635685,-29.963874655299872,0.08203961160603512,-0.45957717243737356,0.5416167840434087,56.4926962690822,41.104817196158436,209.44000244140625,208.2025016784668,209.37200073242187,205.35250076293946,DTIL.NS,2023-09-07 10:47:41.427934
8,2023-08-29 00:00:00+05:30,209.10000610351562,213.0,206.9499969482422,211.5,8540,0.0,0.0,2023-08-29,208.1050018310547,2.644401961911087,210.74940379296578,205.4605998691436,213.39380575487687,202.81619790723252,190.5232187562034,14.266380105106926,939676,6671.7832145484,4935.872558718631,252.44701018504574,63.68332075160727,210.48333231608072,214.01666768391925,207.96666463216144,216.53333536783853,204.4333292643229,220.06667073567706,201.91666158040363,-0.21590310167951915,-20.089291188183154,-0.25786785919439126,-0.5949813684482257,0.33711350925383443,55.37275664512619,40.6379888281445,208.36000366210936,208.1050018310547,209.3040008544922,205.1560008239746,DTIL.NS,2023-09-07 10:47:41.427934
9,2023-08-28 00:00:00+05:30,209.14999389648438,210.8000030517578,206.0,209.10000610351562,11368,0.0,0.0,2023-08-28,208.12250213623048,2.6690949797441026,210.79159711597458,205.45340715648638,213.46069209571868,202.78431217674228,109.0200836603648,-25.247700155309968,931136,8780.34932091093,4501.894894761188,252.50804601734467,55.634751823030925,208.63333638509116,211.2666727701823,206.4666697184245,213.43333943684897,203.83333333333334,216.06667582194012,201.66666666666669,-0.281100447972691,-41.51781395988845,-0.6152816989435053,-0.6792597457616842,0.06397804681817898,51.67655529968434,40.653925783525445,207.5800048828125,208.12250213623048,209.3010009765625,204.85750076293945,DTIL.NS,2023-09-07 10:47:41.427934
10,2023-08-25 00:00:00+05:30,209.1999969482422,209.1999969482422,204.25,205.10000610351562,3773,0.0,0.0,2023-08-25,208.26000213623047,2.7901890053606504,211.0501911415911,205.46981313086982,213.84038014695176,202.67962412550918,-40.92750841798919,-75.05190729374354,919768,2858.420793534039,3432.2812882237517,252.59434817118654,50.188277519902734,206.18333435058594,208.11666870117188,203.1666717529297,211.13333129882812,201.23333740234375,213.06666564941406,198.2166748046875,-0.3566534220761642,-78.57139193566174,-0.8271942358027218,-0.695254257466229,-0.13193997833649274,44.57177604472843,41.05169713681655,206.81000366210938,208.26000213623047,209.35800079345702,204.62200073242187,DTIL.NS,2023-09-07 10:47:41.427934
