Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-11 00:00:00+05:30,377.0,377.0,377.0,377.0,4585,0.0,0.0,2023-09-11,366.13500061035154,27.495840639983353,393.63084125033487,338.6391599703682,421.12668189031825,311.1433193303848,-78.7898143098448,78.48670875652252,4325787,39509.600000000035,86583.97899734147,191.53610119058322,43.607154154992784,377.0,377.0,377.0,377.0,377.0,377.0,377.0,,-65.32787885822233,27.61333164800095,31.324209174775184,-3.710877526774233,64.23256879076436,67.1549467562643,392.7,366.13500061035154,285.9820001220703,228.11149948120118,E2E.NS,2023-09-11 10:41:58.344804
2,2023-09-08 00:00:00+05:30,384.70001220703125,384.70001220703125,384.70001220703125,384.70001220703125,6089,0.0,0.0,2023-09-08,363.4200012207031,29.005924412665042,392.42592563336814,334.4140768080381,421.4318500460332,305.408152395373,-19.072676231184804,90.57095328076896,4330372,53541.448556082636,98352.57374667682,191.47844554198082,48.12203756881569,384.70001220703125,384.70001220703125,384.70001220703125,384.70001220703125,384.70001220703125,384.70001220703125,384.70001220703125,,-47.41885724754025,30.192381916349518,32.25192855646874,-2.0595466401192226,69.05664085611176,69.78529419365753,397.44000244140625,363.4200012207031,281.78300018310546,226.0884994506836,E2E.NS,2023-09-11 10:41:58.344804
3,2023-09-07 00:00:00+05:30,392.54998779296875,392.54998779296875,392.54998779296875,392.54998779296875,14368,0.0,0.0,2023-09-07,360.6475006103516,29.510519349072915,390.1580199594245,331.13698126127866,419.66853930849743,301.62646191220574,31.487190778226008,102.95788466960947,4336461,128917.90227678583,109555.35504432536,191.39864165512444,53.76176069198494,392.54998779296875,392.54998779296875,392.54998779296875,392.54998779296875,392.54998779296875,392.54998779296875,392.54998779296875,,-32.57374842145181,32.278552922613244,32.76681521649854,-0.48826229388529896,74.34216353278545,71.75707534804756,399.07000122070315,360.6475006103516,277.44399993896485,224.04549926757812,E2E.NS,2023-09-11 10:41:58.344804
4,2023-09-06 00:00:00+05:30,400.54998779296875,416.8500061035156,400.54998779296875,400.54998779296875,21531,0.0,0.0,2023-09-06,356.7100006103516,30.273652724619105,386.9836533349707,326.43634788573246,417.2573060595898,296.1626951611134,97.34113321059263,122.65078344049135,4350829,197125.52656389526,104714.71823621023,191.20241174902236,63.1453388739471,405.9833272298177,411.41666666666663,395.11664835611975,422.28334554036456,389.6833089192708,427.7166849772135,378.8166300455729,,-20.049218498678133,33.68731134379618,32.88888078996987,0.7984305538263143,80.14722219992774,72.92045389856342,397.5900024414062,356.7100006103516,272.9010000610352,221.9614993286133,E2E.NS,2023-09-11 10:41:58.344804
5,2023-09-05 00:00:00+05:30,408.70001220703125,408.70001220703125,408.70001220703125,408.70001220703125,4071,0.0,0.0,2023-09-05,351.6275009155273,31.049030219327445,382.67653113485477,320.5784706961999,413.7255613541822,289.5294404768724,135.16609668127003,131.8702199914231,4372360,38030.119993024586,81612.01615428897,190.89592378814584,76.01971772063064,408.70001220703125,408.70001220703125,408.70001220703125,408.70001220703125,408.70001220703125,408.70001220703125,408.70001220703125,,-0.0,34.19265642328344,32.68927315151329,1.5033832717701472,86.53970814468988,73.09801629670949,393.0000061035156,351.6275009155273,268.24900024414063,219.80749938964843,E2E.NS,2023-09-11 10:41:58.344804
6,2023-09-04 00:00:00+05:30,400.70001220703125,400.70001220703125,400.70001220703125,400.70001220703125,6608,0.0,0.0,2023-09-04,345.42750091552733,31.43080995436474,376.8583108698921,313.9966909611626,408.2891208242568,282.56588100679784,139.51993210790422,129.7959072948947,4368289,60521.72984375006,92507.49019460507,190.83561666023613,81.16721491956264,400.70001220703125,400.70001220703125,400.70001220703125,400.70001220703125,400.70001220703125,400.70001220703125,400.70001220703125,,-0.0,33.51892678846502,32.31342733357075,1.205499454894273,85.48444008181727,72.07905883391882,385.3000061035156,345.42750091552733,263.35600006103516,217.5239993286133,E2E.NS,2023-09-11 10:41:58.344804
7,2023-09-01 00:00:00+05:30,392.8500061035156,392.8500061035156,392.8500061035156,392.8500061035156,7565,0.0,0.0,2023-09-01,339.6574996948242,31.34227808992376,370.99977778474795,308.31522160490044,402.3420558746717,276.9729435149767,144.7756112832719,127.76767573845508,4361681,67929.37819824225,100503.9302823188,190.74125283271835,79.35814858012493,392.8500061035156,392.8500061035156,392.8500061035156,392.8500061035156,392.8500061035156,392.8500061035156,392.8500061035156,,-0.0,32.936364956182956,32.01205246984718,0.9243124863357792,84.36777177187477,71.07810783961705,377.7500061035156,339.6574996948242,258.6249996948242,215.35649917602538,E2E.NS,2023-09-11 10:41:58.344804
8,2023-08-31 00:00:00+05:30,385.1499938964844,385.1499938964844,385.1499938964844,385.1499938964844,4569,0.0,0.0,2023-08-31,333.6024993896484,32.210781722491994,365.81328111214043,301.3917176671564,398.0240628346324,269.18093594466444,142.6046826722413,126.02895462083569,4354116,40222.864505440884,108647.56830333793,190.63716153573515,77.4361412485717,385.1499938964844,385.1499938964844,385.1499938964844,385.1499938964844,385.1499938964844,385.1499938964844,385.1499938964844,,-0.0,32.46458010601367,31.78097434826323,0.683605757750442,83.18990272180272,70.10479248650032,370.3800048828125,333.6024993896484,254.12899963378905,213.28449905395507,E2E.NS,2023-09-11 10:41:58.344804
9,2023-08-30 00:00:00+05:30,377.6000061035156,377.6000061035156,377.6000061035156,377.6000061035156,6999,0.0,0.0,2023-08-30,327.2875,33.90882623885649,361.1963262388565,293.37867376114355,395.105152477713,259.46984752228707,121.99957391857504,124.54281570380176,4349547,60407.37011928019,125753.74425281219,190.57663791625558,84.11426975234137,377.6000061035156,377.6000061035156,377.6000061035156,377.6000061035156,377.6000061035156,377.6000061035156,377.6000061035156,,-0.0,32.126999490868,31.610072908825614,0.5169265820423874,81.95172383556023,69.1700290265213,365.9700073242187,327.2875,249.85399963378907,211.17249908447266,E2E.NS,2023-09-11 10:41:58.344804
10,2023-08-29 00:00:00+05:30,370.20001220703125,370.20001220703125,370.20001220703125,370.20001220703125,9695,0.0,0.0,2023-08-29,321.7149993896484,34.36013032428566,356.0751297139341,287.3548690653628,390.4352600382198,252.9947387410771,104.33024363331846,122.95956959904677,4342548,82036.32270507819,142090.3377861952,190.48745238659492,85.57236770418646,370.20001220703125,370.20001220703125,370.20001220703125,370.20001220703125,370.20001220703125,370.20001220703125,370.20001220703125,,-0.23454865966058924,31.951580690619778,31.480841263315014,0.47073942730476404,80.6548896078346,68.28611886198348,361.65000610351564,321.7149993896484,245.6579995727539,209.18749908447265,E2E.NS,2023-09-11 10:41:58.344804
