Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-16 00:00:00+05:30,151.0500030517578,155.5,150.9499969482422,152.25,6302,0.0,0.0,2023-10-16,151.98500061035156,3.819000066345786,155.80400067669734,148.16600054400578,159.62300074304312,144.34700047766,119.45525110861325,-61.46969779344008,814291,10543.730769230795,23299.889573231663,133.26339017470445,53.34663153876943,152.8999989827474,154.85000101725262,150.2999979654948,157.45000203450522,148.3499959309896,159.40000406901044,145.749994913737,-0.16758276244928408,-33.47635999759002,-3.1277849282912484,-3.7189536202122677,0.5911686919210193,46.13655931188809,27.867394197663735,149.9199981689453,151.98500061035156,162.2720004272461,157.64400039672853,GANESHBE.BO,2023-10-16 11:20:06.862181
2,2023-10-13 00:00:00+05:30,155.5,155.89999389648438,149.35000610351562,150.14999389648438,6790,0.0,0.0,2023-10-13,152.54750061035156,4.607244466428706,157.15474507678027,147.94025614392285,161.76198954320898,143.33301167749414,92.26892003051522,-72.1231605585131,807989,11203.499544583861,26488.92927423188,133.2560275544859,56.41178262639447,151.79999796549478,154.24998982747394,147.7000020345052,158.34998575846353,145.25001017252603,160.7999776204427,141.15001424153644,-0.0547205573556192,-57.67796769024329,-3.4986019586536656,-3.866745793192522,0.3681438345388566,42.564205710106805,29.278159878974776,149.08999938964843,152.54750061035156,162.41600036621094,157.8020004272461,GANESHBE.BO,2023-10-16 11:20:06.862181
3,2023-10-12 00:00:00+05:30,148.39999389648438,154.8000030517578,147.35000610351562,153.9499969482422,35154,0.0,0.0,2023-10-12,153.02000122070314,4.827726874102712,157.84772809480586,148.1922743466004,162.67545496890855,143.36454747249772,98.943003300372,-73.87639960757448,814779,59472.06805185185,30310.28670664388,133.248966176442,61.087230517611445,152.03333536783853,156.71666463216144,149.26666768391925,159.48333231608072,144.58333841959634,164.16666158040363,141.81667073567706,-0.0430129717696684,-29.21353836869332,-3.713532222806947,-3.958781751827236,0.24524952902028918,47.90243960842409,30.797445997309744,149.31000061035155,153.02000122070314,162.6290005493164,157.97350051879883,GANESHBE.BO,2023-10-16 11:20:06.862181
4,2023-10-11 00:00:00+05:30,149.35000610351562,149.39999389648438,145.5,147.14999389648438,17823,0.0,0.0,2023-10-11,153.21000137329102,4.939731421885931,158.14973279517696,148.27026995140508,163.08946421706287,143.33053852951917,-101.6745312187007,-110.77751057406353,779625,28820.37737601151,23019.841370341885,133.2040714192601,49.23166298287363,147.3499959309896,149.19999186197919,145.2999979654948,151.24998982747397,143.45000203450522,153.09998575846356,141.40000406901044,-0.1506003773555132,-80.14986752862593,-4.3066851763611,-4.020094134082308,-0.2865910422787916,34.18717338911034,32.069398988142595,148.6700012207031,153.21000137329102,162.76900054931642,158.12300048828126,GANESHBE.BO,2023-10-16 11:20:06.862181
5,2023-10-10 00:00:00+05:30,149.60000610351562,149.9499969482422,144.5,146.10000610351562,13246,0.0,0.0,2023-10-10,154.12000198364257,5.417865116062494,159.53786709970507,148.70213686758007,164.95573221576757,143.28427175151757,-152.8441138224478,-121.07833988517535,761802,21266.381108210688,21569.70736892448,133.18872048729608,40.26150175477467,146.8500010172526,149.2000020345052,143.750005086263,152.29999796549478,141.4000040690104,154.64999898274738,138.30000813802081,-0.18864886528748032,-89.22555255289197,-4.331150624278308,-3.9484463735126094,-0.3827042507656988,31.605484933579547,31.282173675720422,148.9600036621094,154.12000198364257,163.07200073242188,158.32800048828125,GANESHBE.BO,2023-10-16 11:20:06.862181
6,2023-10-09 00:00:00+05:30,145.25,150.10000610351562,145.25,148.10000610351562,9993,0.0,0.0,2023-10-09,155.18250198364257,5.830259252138061,161.01276123578063,149.3522427315045,166.8430204879187,143.52198347936644,-138.76638163424101,-122.35080094429651,775048,16263.33363727951,21645.538934102922,133.17814948026412,36.926554734214136,147.8166707356771,150.38334147135419,145.53333536783856,152.66667683919272,142.96666463216147,155.2333475748698,140.68332926432294,-0.1756274185868338,-84.12252597182352,-4.193442428375761,-3.8527703108211844,-0.3406721175545764,33.961838724456655,30.43439257003501,149.4600036621094,155.18250198364257,163.23700073242188,158.56300048828126,GANESHBE.BO,2023-10-16 11:20:06.862181
7,2023-10-06 00:00:00+05:30,150.0,151.8000030517578,149.0,151.25,7773,0.0,0.0,2023-10-06,156.1525016784668,6.1924723288481625,162.34497400731496,149.96002934961862,168.53744633616313,143.76755702077045,-39.88816661659911,-109.40855940772946,785041,12919.409340659373,22991.090258308777,133.16892696872662,45.95431675287768,150.68333435058594,152.36666870117188,149.56666564941406,153.48333740234375,147.88333129882812,155.1666717529297,146.76666259765625,-0.1897247752431733,-80.120470852966,-4.150566898343328,-3.76760228143254,-0.3829646169107881,38.11812490031913,29.65578399097807,150.07000122070312,156.1525016784668,163.35700073242188,158.81000045776366,GANESHBE.BO,2023-10-16 11:20:06.862181
8,2023-10-05 00:00:00+05:30,148.6999969482422,151.4499969482422,148.6999969482422,150.75,21500,0.0,0.0,2023-10-05,157.02000198364257,6.666658065336022,163.68666004897858,150.35334391830656,170.35331811431462,143.68668585297053,-62.71344015852048,-120.65914720232519,777268,35616.75824175833,25509.010487721127,133.16023031531813,52.472236610878625,150.29999796549478,151.89999898274738,149.14999898274738,153.04999796549478,147.54999796549478,154.64999898274738,146.39999898274738,-0.2669364484832789,-83.1325179382626,-4.343012521692771,-3.671861127204843,-0.6711513944879277,36.98139362430862,29.565265962686663,149.96000061035156,157.02000198364257,163.4890008544922,159.05250045776367,GANESHBE.BO,2023-10-16 11:20:06.862181
9,2023-10-04 00:00:00+05:30,150.3000030517578,151.0500030517578,148.10000610351562,148.60000610351562,3682,0.0,0.0,2023-10-04,158.13250198364258,7.383254710099723,165.5157566937423,150.74924727354286,172.89901140384202,143.36599256344314,-101.5936512961024,-138.52552243054114,755768,6012.584862342263,22982.073549211826,133.13679795314567,51.730570162148844,149.25000508626303,150.40000406901044,147.45000712076825,152.20000203450522,146.30000813802084,153.35000101725262,144.50001017252606,-0.2687947149551404,-96.08428363688508,-4.474355592167569,-3.5040732785828608,-0.9702823135847085,31.99335922585665,29.323053624649617,150.02000122070314,158.13250198364258,163.57500091552734,159.2365003967285,GANESHBE.BO,2023-10-16 11:20:06.862181
10,2023-10-03 00:00:00+05:30,151.39999389648438,151.39999389648438,147.9499969482422,148.60000610351562,13657,0.0,0.0,2023-10-03,159.39500198364257,7.813718991968603,167.2087209756112,151.58128299167396,175.02243996757977,143.76756399970537,-112.74569832004373,-141.1633643130895,759450,22301.431685227668,27224.445720929212,133.1332693734101,42.96047985362806,149.31666564941406,150.68333435058594,147.23333740234375,152.76666259765625,145.86666870117188,154.13333129882812,143.78334045410156,-0.26340204425571323,-96.39884185387916,-4.362979433619131,-3.2615027001866834,-1.1014767334324476,31.99335922585665,28.903998897244442,150.46000061035156,159.39500198364257,163.48200073242188,159.43750030517577,GANESHBE.BO,2023-10-16 11:20:06.862181
