Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-01-01 00:00:00+05:30,449.95001220703125,451.0,446.04998779296875,448.3500061035156,17855,0.0,0.0,2024-01-01,430.7174987792969,9.926615479072417,440.6441142583693,420.79088330022444,450.5707297374417,410.86426782115205,90.78299580060978,199.64759083079335,107360,22180.660731610747,17485.863141038142,347.8732257416886,54.25883073924536,448.46666463216144,450.88334147135413,445.9333292643229,453.4166768391927,443.5166524251302,455.8333536783854,440.98331705729163,-0.09091758610722746,-25.734688485488995,3.615229857841996,0.6862466729999057,2.92898318484209,63.993382140624654,18.589120900907254,440.5900024414062,430.7174987792969,425.6870007324219,457.9396755981445,GNA.BO,2024-01-01 11:24:39.565482
2,2023-12-29 00:00:00+05:30,452.95001220703125,452.95001220703125,442.70001220703125,445.29998779296875,6315,0.0,0.0,2023-12-29,429.3699981689453,9.210439235547408,438.5804374044927,420.1595589333979,447.7908766400401,410.9491196978505,112.99398821871723,195.71663776661956,89505,7791.543194301421,16312.16374339499,347.69899524559264,43.31714745850805,446.98333740234375,451.26666259765625,441.01666259765625,457.23333740234375,436.73333740234375,461.51666259765625,430.76666259765625,-0.08759641179845894,-30.579834153033943,2.526596420075009,-0.04599912321061694,2.572595543285626,62.31348680088152,17.692183942228777,435.52000122070314,429.3699981689453,425.82500061035154,458.41958709716795,GNA.BO,2024-01-01 11:24:39.565482
3,2023-12-28 00:00:00+05:30,441.95001220703125,448.95001220703125,441.6499938964844,447.1000061035156,23001,0.0,0.0,2023-12-28,427.8799987792969,8.903050758867735,436.7830495381646,418.9769480204292,445.68610029703234,410.07389726156146,160.7713476518991,193.29281666987285,95820,28493.69939799082,18442.318880668383,347.63909996118787,35.28008198794177,445.90000406901044,450.1500142415365,442.8499959309896,453.2000223795573,438.59998575846356,457.45003255208337,435.54997762044275,-0.07994386704101164,-27.720392001919773,1.3949145580623963,-0.6891480090320234,2.0840625670944197,63.94848832108684,16.726251832882724,430.9700012207031,427.8799987792969,426.0310009765625,458.93815246582034,GNA.BO,2024-01-01 11:24:39.565482
4,2023-12-27 00:00:00+05:30,459.0,464.54998779296875,437.5,439.6000061035156,29865,0.0,0.0,2023-12-27,426.4049987792969,7.9431500159957285,434.3481487952926,418.46184876330113,442.29129881128836,410.5186987473054,314.9245332930348,215.22993614387863,72819,36376.22716950671,15929.473751337773,347.41628929197196,38.787087726381806,447.21666463216144,456.9333292643229,429.88334147135413,474.2666524251302,420.1666768391927,483.98331705729163,402.8333536783854,-0.14420712485672296,-39.634613100504424,-0.2523907588570182,-1.2101636508056284,0.9577728919486101,59.87511741587502,15.95197190360324,424.0900024414062,426.4049987792969,426.22300109863284,459.6010513305664,GNA.BO,2024-01-01 11:24:39.565482
5,2023-12-26 00:00:00+05:30,429.79998779296875,429.79998779296875,420.95001220703125,422.6000061035156,8065,0.0,0.0,2023-12-26,425.2999984741211,7.537796979712802,432.8377954538339,417.76220149440826,440.3755924335467,410.2244045146955,17.784941612129764,23.260836461824088,42954,9443.463699175349,10817.785396795538,347.14737204179505,20.36798331442961,424.4500020345052,427.94999186197913,419.10001627604163,433.2999776204427,415.6000264485677,436.79996744791663,410.25004069010413,-0.08845608636839059,-51.55710024618214,-1.618980281899951,-1.4496068737927807,-0.16937340810717028,47.35567400041862,15.118131979763795,421.0,425.2999984741211,426.5540008544922,460.25321228027343,GNA.BO,2024-01-01 11:24:39.565482
6,2023-12-22 00:00:00+05:30,429.8999938964844,429.8999938964844,420.45001220703125,423.0,8568,0.0,0.0,2023-12-22,425.2749984741211,7.548045321073415,432.8230437951945,417.7269531530477,440.3710891162679,410.1789078319743,9.957327976672353,23.567229807491465,51019,10041.931850424782,11161.365821200585,347.08788491821787,36.80822658174654,424.4500020345052,428.44999186197913,419.000010172526,433.8999837239583,415.00002034505206,437.89997355143225,409.5500284830729,-0.08153009689717652,-54.07727233136585,-1.6698565609185607,-1.4072635217659881,-0.2625930391525726,47.680716694053636,15.016135646733002,421.5399963378906,425.2749984741211,427.2160009765625,460.9886471557617,GNA.BO,2024-01-01 11:24:39.565482
7,2023-12-21 00:00:00+05:30,410.0,423.1499938964844,401.6000061035156,422.54998779296875,16149,0.0,0.0,2023-12-21,425.0799987792969,7.659466761399673,432.7394655406966,417.4205320178972,440.3989323020962,409.76106525649755,-193.07645769774246,-59.37118974817252,42451,18906.936802059245,11441.224313894536,347.0242495372122,47.29152633385783,415.76666259765625,429.9333190917969,408.3833312988281,437.316650390625,394.2166748046875,451.4833068847656,386.8333435058594,-0.08301904578450925,-55.04296363628029,-1.7490860964231842,-1.3416152619778448,-0.4074708344453395,47.30286337354271,14.906293441930607,422.1599975585938,425.0799987792969,427.94900085449217,461.68153717041014,GNA.BO,2024-01-01 11:24:39.565482
8,2023-12-20 00:00:00+05:30,426.70001220703125,431.0,411.0,412.70001220703125,5738,0.0,0.0,2023-12-20,424.91999969482424,7.74800842540798,432.66800812023223,417.17199126941625,440.4160165456402,409.42398284400826,-184.7980975977163,-40.744895513845066,26302,6561.338900652588,9574.796191853358,346.90473095431054,53.007436806686584,418.23333740234375,425.4666748046875,405.4666748046875,438.23333740234375,398.23333740234375,445.4666748046875,385.4666748046875,-0.15763614886031155,-95.4300762118838,-1.779703222302146,-1.2397475533665097,-0.5399556689356364,38.23651792323608,13.80472825701505,422.7200012207031,424.91999969482424,428.5590008544922,462.3379113769531,GNA.BO,2024-01-01 11:24:39.565482
9,2023-12-19 00:00:00+05:30,428.25,428.95001220703125,423.1000061035156,424.1499938964844,5046,0.0,0.0,2023-12-19,425.2474990844727,7.331535137504327,432.579034221977,417.91596394696836,439.9105693594813,410.58442880946404,-56.79323384397992,14.200109896078219,32040,5930.129204344379,10328.16051465355,346.8677145373532,53.74767980985585,425.40000406901044,427.70000203450525,421.8499959309896,431.25001017252606,419.5499979654948,433.55000813802087,415.999989827474,-0.17447181498813882,-66.0714345599603,-0.8218638678457637,-1.1047586361326005,0.2828947682868368,46.9567451938183,13.519072890274362,425.4200012207031,425.2474990844727,429.61100036621093,463.04534515380857,GNA.BO,2024-01-01 11:24:39.565482
10,2023-12-18 00:00:00+05:30,429.95001220703125,429.95001220703125,423.75,425.29998779296875,5835,0.0,0.0,2023-12-18,424.9574996948242,7.490223947328439,432.44772364215265,417.46727574749576,439.9379475894811,409.9770518001673,-52.41741912740077,13.883401116712337,37086,6875.965281229326,11427.668342230843,346.82946015658945,54.084441563493186,426.3333333333333,428.91666666666663,422.7166544596354,432.53334554036456,420.13332112630206,435.1166788736979,416.51664225260413,-0.1694501754964943,-62.91211278752738,-0.710736468785683,-1.1754823282043096,0.4647458594186267,47.97719582648872,14.342685171879241,424.8700012207031,424.9574996948242,430.4310003662109,463.44431854248046,GNA.BO,2024-01-01 11:24:39.565482
