Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-01-01 00:00:00+05:30,152.25,158.4499969482422,152.25,156.14999389648438,4743516,0.0,0.0,2024-01-01,140.99499969482423,5.954628230000655,146.94962792482488,135.04037146482358,152.90425615482553,129.08574323482293,135.6576199942197,254.96575522486634,277296376,4790871.133046079,3604734.8334454508,168.14138614037432,85.51661138085868,155.61666361490884,158.9833272298177,152.7833302815755,161.81666056315103,149.41666666666666,165.18332417805988,146.58333333333331,0.19861163682580246,-8.829185344769517,4.148592643883461,2.602611380043097,1.545981263840364,73.4299717567025,33.22628506202413,149.87999877929687,140.99499969482423,134.08900009155275,136.71800071716308,GREAVESCOT.NS,2024-01-01 10:48:45.689038
2,2023-12-29 00:00:00+05:30,147.85000610351562,154.0,145.60000610351562,151.9499969482422,4958506,0.0,0.0,2023-12-29,139.7875,5.1081431881922885,144.89564318819228,134.6793568118077,150.00378637638457,129.57121362361542,129.1678501755713,211.83516706361897,272552860,4873306.050601177,3308200.758545293,168.1955447448774,84.00690788072917,150.51666768391928,155.43332926432294,147.03333536783856,158.91666158040366,142.1166737874349,163.8333231608073,138.63334147135419,0.18355911358845237,-9.490752187445693,3.3704146965895347,2.2161160640830055,1.1542986325065292,69.99444661074631,31.33976513491182,145.67999877929688,139.7875,133.64800033569335,136.55450080871583,GREAVESCOT.NS,2024-01-01 10:48:45.689038
3,2023-12-28 00:00:00+05:30,149.8000030517578,151.6999969482422,147.0500030517578,147.85000610351562,2327505,0.0,0.0,2023-12-28,138.79500045776368,4.514535199926538,143.30953565769022,134.28046525783714,147.82407085761676,129.7659300579106,151.39322822904086,205.69724581838938,267594354,2225789.6427492136,2916924.4355313214,168.27260632627394,82.92621222030994,148.86666870117188,150.68333435058594,146.03334045410156,153.51666259765625,144.2166748046875,155.3333282470703,141.3833465576172,0.14316864302270432,-19.948135937605002,2.736680286296348,1.9275414059563731,0.809138880339975,66.01068428846861,29.79084951294933,142.36000061035156,138.79500045776368,133.28800033569337,136.4170009613037,GREAVESCOT.NS,2024-01-01 10:48:45.689038
4,2023-12-27 00:00:00+05:30,145.60000610351562,150.0,145.0500030517578,149.0,6749621,0.0,0.0,2023-12-27,138.03000030517578,4.183563666260083,142.21356397143586,133.8464366389157,146.39712763769595,129.6628729726556,202.90207958300937,209.44969433337099,269921859,6504857.746581771,3089708.1337268483,168.3181808829831,78.36548008202783,148.01666768391928,150.98333231608075,146.03333536783856,152.96666463216147,143.0666707356771,155.93332926432294,141.08333841959637,0.17372556439799183,-5.681816211417385,2.28763032470016,1.7252566858713791,0.562373638828781,68.37507302855565,28.409298175308734,139.53999938964844,138.03000030517578,133.0500001525879,136.31006889343263,GREAVESCOT.NS,2024-01-01 10:48:45.689038
5,2023-12-26 00:00:00+05:30,135.89999389648438,145.5,135.4499969482422,144.4499969482422,6946477,0.0,0.0,2023-12-26,137.29500045776368,3.3663144358211037,140.66131489358477,133.92868602194258,144.0276293294059,130.56237158612146,99.64735534719887,132.2403113642916,263172238,6490143.31344659,2235920.7305131173,168.44401141975806,69.34130454156019,141.79999796549478,148.14999898274738,138.09999593098956,151.8500010172526,131.74999491373697,158.2000020345052,128.04999287923175,0.07773732445665883,-8.015286736973543,1.5647922579315718,1.5846632761641837,-0.019871018232611837,63.58281882098858,27.144985090374675,137.75,137.29500045776368,132.7870002746582,136.17275978088378,GREAVESCOT.NS,2024-01-01 10:48:45.689038
6,2023-12-22 00:00:00+05:30,136.3000030517578,137.39999389648438,134.5,135.14999389648438,846134,0.0,0.0,2023-12-22,136.81250076293946,2.953002957763561,139.76550372070304,133.8594978051759,142.71850667846658,130.90649484741235,-101.58045170847525,44.380277256452125,256225761,739651.8106817666,1172365.0847797492,168.6059420738636,62.30575036986446,135.6833292643229,136.86665852864581,133.96666463216144,138.58332316080728,132.78333536783853,139.7666524251302,131.06667073567706,-0.09260115859088328,-76.08695652173913,1.0637378781823088,1.5896310307223365,-0.5258931525400277,48.880597621617014,26.455183283583754,136.5,136.81250076293946,132.58400039672853,136.06902839660646,GREAVESCOT.NS,2024-01-01 10:48:45.689038
7,2023-12-21 00:00:00+05:30,134.39999389648438,136.5,132.39999389648438,135.35000610351562,1059902,0.0,0.0,2023-12-21,136.69250106811523,3.0705415923387642,139.763042660454,133.62195947577646,142.83358425279278,130.5514178834377,-179.5432736329822,33.18423131298108,257071895,927889.2411526944,1280543.4033042446,168.63346731938927,67.47638432636768,134.75,137.10000610351562,133.0,138.85000610351562,130.64999389648438,141.20001220703125,128.89999389648438,-0.10124351863659278,-71.24989827473958,1.322028588325196,1.7211043188573432,-0.39907573053214707,49.27787234843362,27.480983005355498,137.37000122070313,136.69250106811523,132.57300064086914,136.05929054260253,GREAVESCOT.NS,2024-01-01 10:48:45.689038
8,2023-12-20 00:00:00+05:30,140.8000030517578,141.4499969482422,133.14999389648438,133.75,1859260,0.0,0.0,2023-12-20,136.54500045776368,3.2062807131826223,139.7512811709463,133.33871974458106,142.95756188412892,130.13243903139843,-131.89222046768697,56.20521384960681,256011993,1608444.4425319678,1368706.943842132,168.6678041903089,71.03339483952574,136.11666361490884,139.08333333333331,130.7833302815755,144.41666666666666,127.81666056315103,147.38333638509113,122.48332722981769,-0.1089745492076541,-82.85709303252551,1.6129900591289186,1.8208732514903798,-0.20788319236146124,46.01873397152717,28.84341271137558,138.55,136.54500045776368,132.53700057983397,136.05401039123535,GREAVESCOT.NS,2024-01-01 10:48:45.689038
9,2023-12-19 00:00:00+05:30,138.39999389648438,142.0500030517578,138.0,140.0500030517578,1476924,0.0,0.0,2023-12-19,136.3300003051758,3.5312665846971876,139.86126688987298,132.7987337204786,143.39253347457017,129.2674671357814,51.73637800973501,119.4279504669758,257871253,1337868.468572665,1308772.5691696731,168.7311095130396,74.1821930330963,140.03333536783853,142.06667073567706,138.01666768391925,144.08333841959634,135.98333231608072,146.11667378743488,133.96666463216144,-0.06940840257227208,-29.3892636289619,2.1186460272597856,1.872844049580745,0.24580197767904055,60.14982053665873,30.05092406331784,139.97000122070312,136.3300003051758,132.56800064086914,136.06423362731934,GREAVESCOT.NS,2024-01-01 10:48:45.689038
10,2023-12-18 00:00:00+05:30,139.5,139.89999389648438,138.0,138.1999969482422,802792,0.0,0.0,2023-12-18,135.7925003051758,3.746797552579318,139.53929785775512,132.04570275259647,143.28609541033444,128.29890520001715,-14.785850203521761,106.5002855665313,256394329,717601.3006926173,1301498.594318925,168.77247452273775,69.8107911260259,138.6999969482422,139.39999389648438,137.5,140.59999084472656,136.8000030517578,141.29998779296875,135.60000610351562,-0.07714783717245581,-43.51145749492441,2.1134833521593634,1.8113935551609848,0.3020897969983787,56.508199281365684,29.37961595108976,139.53999938964844,135.7925003051758,132.47800064086914,136.01642448425292,GREAVESCOT.NS,2024-01-01 10:48:45.689038
