Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-26 00:00:00+05:30,184.0,192.0,179.0,185.89999389648438,526013,0.0,0.0,2023-10-26,211.15250091552736,10.153993691598645,221.306494607126,200.9985072239287,231.46048829872464,190.84451353233007,-164.35813284004612,-270.4250279049047,74002467,1407237.753867986,893302.7431281942,126.4477220161003,38.84345612837719,185.63333129882812,192.26666259765625,179.26666259765625,198.63333129882812,172.63333129882812,205.26666259765625,166.26666259765625,-0.15511707129727728,-86.69239520877022,-5.423007729972966,-2.27248869742939,-3.150519032543576,30.939087502432145,18.05912802570672,198.4199981689453,211.15250091552736,216.8990170288086,189.46176521301268,HPL.NS,2023-10-26 10:51:12.879122
2,2023-10-25 00:00:00+05:30,198.3000030517578,200.8000030517578,188.39999389648438,188.39999389648438,195460,0.0,0.0,2023-10-25,212.70750122070314,8.294296663515354,221.0017978842185,204.41320455718778,229.29609454773384,196.11890789367243,-188.72527301385284,-244.00087955609533,74528480,529944.5177807701,764818.9904432463,126.3007416324366,44.86653912320903,192.53333028157553,196.66666666666669,184.26665751139325,204.93333943684897,180.1333211263021,209.06667582194012,171.8666483561198,-0.19006422998954822,-100.0,-3.9778900958978056,-1.4848589392934954,-2.49303115660431,32.074450257337716,16.43802403976473,203.66000061035157,212.70750122070314,217.16204406738282,188.5325675201416,HPL.NS,2023-10-26 10:51:12.879122
3,2023-10-23 00:00:00+05:30,208.0,210.4499969482422,198.3000030517578,198.3000030517578,414208,0.0,0.0,2023-10-23,214.14750137329102,6.047911263888783,220.1954126371798,208.09959010940224,226.24332390106858,202.05167884551346,-183.700030877118,-173.55502107254148,74723940,1182041.7833070415,823537.6086088653,126.2436414022064,44.96249339596324,202.3500010172526,206.39999898274738,194.250005086263,214.49999491373697,190.20000712076822,218.54999287923175,182.10001118977863,-0.16862592319425307,-100.0,-2.313642669000103,-0.8616011501424179,-1.4520415188576852,37.07767668880837,15.45627751224933,209.95000305175782,214.14750137329102,217.46267578125,187.57538330078125,HPL.NS,2023-10-26 10:51:12.879122
4,2023-10-20 00:00:00+05:30,211.5,212.60000610351562,207.9499969482422,208.6999969482422,137031,0.0,0.0,2023-10-20,215.15500106811524,4.823378019613068,219.9783790877283,210.33162304850217,224.8017571073414,205.5082450288891,-112.23925671209669,-112.01590414800977,75138148,411559.7499913532,733911.5649343212,126.10296168806899,47.34690764401246,209.75,211.5500030517578,206.89999389648438,214.40000915527344,205.09999084472656,216.20001220703125,202.24998474121094,-0.10180075315583448,-85.68666895696019,-1.122847354870089,-0.49859077042799654,-0.6242565844420924,43.73199710046535,15.433225745271544,214.56000366210938,215.15500106811524,217.7793411254883,186.5585214996338,HPL.NS,2023-10-26 10:51:12.879122
5,2023-10-19 00:00:00+05:30,214.0,214.1999969482422,208.0500030517578,210.8000030517578,137236,0.0,0.0,2023-10-19,215.7950012207031,4.770713640941461,220.56571486164458,211.02428757976165,225.33642850258605,206.25357393882018,-109.32350224701102,-101.8284633663867,75275179,416322.8894130487,814499.5186700632,126.04957849479013,47.22825006066858,211.01666768391928,213.98333231608075,207.83333841959637,217.16666158040366,204.8666737874349,220.13332621256512,201.683344523112,-0.07458926330323322,-77.56285616130278,-0.605497490147286,-0.34252662431747344,-0.2629708658298126,45.25484870392703,16.487352115526697,217.9800048828125,215.7950012207031,217.89895690917967,185.42222938537597,HPL.NS,2023-10-26 10:51:12.879122
6,2023-10-18 00:00:00+05:30,221.0,221.0,210.60000610351562,212.10000610351562,241203,0.0,0.0,2023-10-18,216.10103454589844,4.6275971871474155,220.72863173304586,211.47343735875103,225.35622892019327,206.8458401716036,-37.107169035713255,-69.22546338104682,75412415,736232.5444156664,914043.6759843167,125.99468607248977,47.46762470026751,214.5666707356771,218.53333536783856,208.13334147135419,224.96666463216147,204.16667683919272,228.93332926432294,197.7333475748698,-0.08696575522379876,-72.53383200342836,-0.14077746914165346,-0.2767839078600203,0.13600643871836682,46.17921520104763,17.60690387133107,219.1300048828125,216.10103454589844,217.77249389648438,184.26493721008302,HPL.NS,2023-10-26 10:51:12.879122
7,2023-10-17 00:00:00+05:30,223.0,223.5,216.9499969482422,219.85000610351562,246190,0.0,0.0,2023-10-17,216.56356811523438,4.668766518011539,221.23233463324593,211.89480159722282,225.90110115125745,207.2260350792113,68.78046769381862,-13.235844169105535,75653618,778912.2163492985,958496.4588764792,125.89655425920795,48.451529924011204,220.1000010172526,223.250005086263,216.7000020345052,226.6500040690104,213.54999796549478,229.80000813802081,210.14999898274738,-0.0731633423026826,-42.5531814420113,0.32830737036880464,-0.310785517539612,0.6390928879084166,52.06644016559011,18.42253636592595,219.6500030517578,216.56356811523438,217.71161743164063,183.09812927246094,HPL.NS,2023-10-26 10:51:12.879122
8,2023-10-16 00:00:00+05:30,230.5500030517578,230.85000610351562,220.60000610351562,221.35000610351562,224953,0.0,0.0,2023-10-16,216.5863380432129,4.686714323781432,221.27305236699434,211.89962371943145,225.95976669077575,207.21290939565003,155.1428947952523,30.103709589671276,75899808,716577.145377842,1003392.5195082744,125.78713701732285,50.359618516310555,224.26667277018228,227.93333943684894,217.68333943684894,234.51667277018228,214.01667277018228,238.18333943684894,207.43333943684894,-0.09491417969425862,-36.750474881737034,0.16064618200925906,-0.4705587395167161,0.6312049215259752,53.28737729863216,18.231100701390844,219.02000122070314,216.5863380432129,217.29663970947266,181.84137748718263,HPL.NS,2023-10-26 10:51:12.879122
9,2023-10-13 00:00:00+05:30,216.8000030517578,227.3000030517578,215.3000030517578,225.8000030517578,654044,0.0,0.0,2023-10-13,216.55899505615236,4.6589727698530305,221.21796782600538,211.90002228629933,225.87694059585843,207.24104951644628,175.84767199069543,20.695754868434175,76124761,2125311.2169919256,1075096.3630408824,125.68533743991168,44.643759689937006,222.8000030517578,230.3000030517578,218.3000030517578,234.8000030517578,210.8000030517578,242.3000030517578,206.3000030517578,-0.11940466433862616,-6.726456478586721,-0.20417225129972394,-0.6283599698982099,0.4241877185984859,56.967358205644445,17.33161817803196,216.61000061035156,216.55899505615236,216.92134765625,180.55668418884278,HPL.NS,2023-10-26 10:51:12.879122
10,2023-10-12 00:00:00+05:30,215.39999389648438,217.39999389648438,212.1999969482422,216.5500030517578,198117,0.0,0.0,2023-10-12,216.6152702331543,4.78165085381103,221.39692108696534,211.83361937934325,226.17857194077635,207.05196852553223,40.81215895187705,-39.475929567983165,75470717,617407.0186000038,812542.6495531215,125.37429699430349,28.401715299486526,215.38333129882812,218.56666564941406,213.36666870117188,220.5833282470703,210.18333435058594,223.76666259765625,208.1666717529297,0.0024942121749480894,-41.813604532281744,-1.1064141532221754,-0.7344068995478312,-0.3720072536743442,50.34907052140789,16.75203776685171,215.2,216.6152702331543,216.44809600830078,179.23445945739746,HPL.NS,2023-10-26 10:51:12.879122
