Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-21 00:00:00+05:30,103.4000015258789,107.94999694824219,103.4000015258789,105.0,1592,0.0,0.0,2023-09-21,105.93250007629395,2.0651413033946424,107.99764137968859,103.86735877289931,110.06278268308323,101.80221746950467,-66.91995727300252,18.915328577090577,3953909,2422.6086956521713,6584.6130401282635,97.02198674370003,65.44716913755568,105.4499994913737,107.4999974568685,102.95000203450522,109.99999491373698,100.90000406901042,112.04999287923178,98.40000661214194,0.3127190352242917,-66.29214061057434,0.12613074572936966,0.28177605244885423,-0.15564530671948457,48.261815298281924,17.30565150388982,105.68000030517578,105.93250007629395,104.985,103.17000030517578,IITL.NS,2023-09-21 10:55:03.703558
2,2023-09-20 00:00:00+05:30,105.0,105.5,104.5,104.5,722,0.0,0.0,2023-09-20,105.96500015258789,2.0547824496993905,108.01978260228728,103.9102177028885,110.07456505198667,101.85543525318911,-114.27984149899518,-10.255270826552222,3952317,1093.4637681159409,7625.114126247287,97.02047321589673,63.413854365439896,104.83333333333333,105.16666666666666,104.16666666666666,105.83333333333333,103.83333333333333,106.16666666666666,103.16666666666666,0.35620474474171915,-64.64647009547531,0.21847362474788667,0.32068737912872536,-0.10221375438083868,47.02066390571464,16.29507343552799,105.68000030517578,105.96500015258789,105.06600006103515,102.9345002746582,IITL.NS,2023-09-21 10:55:03.703558
3,2023-09-18 00:00:00+05:30,107.0,107.94999694824219,104.05000305175781,105.9000015258789,3991,0.0,0.0,2023-09-18,105.77250022888184,2.357321717750218,108.12982194663206,103.41517851113161,110.48714366438227,101.0578567933814,-42.45761900201126,38.821019228516974,3953039,6125.317479562062,9258.026715780123,97.01982963777348,64.14094250783319,105.96666717529297,107.88333129882812,103.98333740234375,109.86666107177734,102.0666732788086,111.7833251953125,100.08334350585938,0.35011061588485587,-50.505042720749564,0.3826327103890321,0.346240817723935,0.036391892665097125,50.14850676181256,15.852250274746135,106.09000091552734,105.77250022888184,105.27100006103515,102.73650024414063,IITL.NS,2023-09-21 10:55:03.703558
4,2023-09-15 00:00:00+05:30,109.9000015258789,109.9000015258789,104.19999694824219,107.0,2109,0.0,0.0,2023-09-15,105.62750015258788,2.436912935343764,108.06441308793165,103.19058721724411,110.50132602327541,100.75367428190036,21.498626437717196,87.09368599131692,3957030,3270.478260869562,10041.204024834637,97.0156039279846,66.13940582871462,107.03333282470703,109.86666870117188,104.16666412353516,112.73333740234375,101.33332824707031,115.5666732788086,98.46665954589844,0.4348131212361487,-37.86408126561989,0.4491296817235195,0.33714284455766064,0.11198683716585889,52.70650569907813,15.375363793904139,106.43000030517578,105.62750015258788,105.43100006103515,102.52150024414063,IITL.NS,2023-09-21 10:55:03.703558
5,2023-09-14 00:00:00+05:30,105.25,106.0,104.0,106.0,2129,0.0,0.0,2023-09-14,105.4625,2.4507717388074264,107.91327173880744,103.01172826119257,110.36404347761486,100.56095652238515,-74.58707521724726,13.797844925189324,3954921,3270.637681159417,11733.885465825906,97.01309259575399,60.580793448083234,105.33333333333333,106.66666666666666,104.66666666666666,107.33333333333333,103.33333333333333,108.66666666666666,102.66666666666666,0.4374963818050913,-47.572816253123975,0.4191277773940243,0.3091461352661959,0.1099816421278284,50.57845841579809,14.801619826069354,107.05,105.4625,105.61200012207031,102.31250022888183,IITL.NS,2023-09-21 10:55:03.703558
6,2023-09-13 00:00:00+05:30,109.0,109.0,103.3499984741211,105.0,813,0.0,0.0,2023-09-13,105.3125,2.5072984013938076,107.81979840139381,102.80520159860619,110.32709680278762,100.29790319721238,-27.704521251782076,31.84361834032711,3952792,1237.1739130434771,13849.697411992529,97.01081014190693,62.049522169719545,105.78333282470703,108.21666717529297,102.56666564941406,111.43333435058594,100.13333129882812,113.86666870117188,96.91666412353516,0.4326002603558961,-57.28155124062807,0.47285067598137687,0.28165072473423874,0.19119995124713812,48.4234577435069,15.270438067789087,107.53999938964844,105.3125,105.83300018310547,102.11650024414062,IITL.NS,2023-09-21 10:55:03.703558
7,2023-09-12 00:00:00+05:30,107.5999984741211,107.5999984741211,105.3499984741211,106.55000305175781,2568,0.0,0.0,2023-09-12,105.3625,2.510707178623152,107.87320717862315,102.85179282137685,110.3839143572463,100.3410856427537,16.241299303944075,62.7222877772614,3953605,3965.513157056722,17002.82828672979,97.0100352315133,63.00732886047983,106.5,107.6500015258789,105.4000015258789,108.75,104.25,109.9000015258789,103.1500015258789,0.4337113797109425,-42.23298238128888,0.6329527101427317,0.23385073692245417,0.3991019732202775,51.66597874540018,15.775319251179567,107.85,105.3625,106.0850001525879,101.92650024414063,IITL.NS,2023-09-21 10:55:03.703558
8,2023-09-11 00:00:00+05:30,110.0999984741211,110.0999984741211,105.5,107.5999984741211,3536,0.0,0.0,2023-09-11,105.38249969482422,2.52223108739162,107.90473078221584,102.8602686074326,110.42696186960745,100.33803752004098,74.9205961681545,118.34633452100269,3956173,5514.110066731766,20262.157069148056,97.0071115288398,66.44283168203887,107.73333231608073,109.96666463216147,105.36666615804037,112.33333079020183,103.13333384195964,114.56666310628256,100.76666768391928,0.4407515283520093,-27.731114526172988,0.6756898213558173,0.1340752436173848,0.5416145777384326,53.93790369654654,15.582496328844034,107.53999938964844,105.38249969482422,106.21400009155273,101.69600021362305,IITL.NS,2023-09-21 10:55:03.703558
9,2023-09-08 00:00:00+05:30,109.0,110.5,108.0,110.0999984741211,7658,0.0,0.0,2023-09-08,105.15499992370606,2.5168846694030615,107.67188459310911,102.638115254303,110.18876926251218,100.12123058489993,168.2992204977592,195.431695041412,3959709,12219.50417847563,23949.168819752125,97.00263953520786,66.66496648272073,109.53333282470703,111.06666564941406,108.56666564941406,112.03333282470703,107.03333282470703,113.56666564941406,106.06666564941406,0.44618706972527383,-6.225705422214306,0.6167599097011021,-0.0013284008172233658,0.6180883105183255,59.7464499449931,15.318682882447835,107.06999969482422,105.15499992370606,106.38700012207032,101.47000022888183,IITL.NS,2023-09-21 10:55:03.703558
10,2023-09-07 00:00:00+05:30,107.0,110.9000015258789,104.0,108.44999694824219,48724,0.0,0.0,2023-09-07,104.8025001525879,2.269388275296212,107.0718884278841,102.53311187729169,109.34127670318031,100.26372360199548,113.37112950827192,136.91909342828023,3952051,76581.41523632097,26881.584980071246,96.99065362740244,23.357330742753533,107.78333282470703,111.56666564941406,104.66666412353516,114.68333435058594,100.88333129882812,118.46666717529297,97.76666259765625,0.44029734318735464,-19.06618574757685,0.2857547969052803,-0.15585047844680472,0.441605275352085,56.90205987566687,14.067758155146732,106.48000030517578,104.8025001525879,106.49900009155273,101.23900024414063,IITL.NS,2023-09-21 10:55:03.703558
