Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-05 00:00:00+05:30,51.0,51.0,49.5,49.900001525878906,233015,0.0,0.0,2023-12-05,52.9375,2.3534336255928716,55.29093362559287,50.58406637440713,57.64436725118574,48.23063274881426,-76.13767303755247,-109.25773300618972,16925835,217538.7968116699,474803.33258406556,64.62750570924614,50.61591451384962,50.13333384195963,50.766667683919266,49.266667683919266,51.63333384195963,48.63333384195963,52.266667683919266,47.766667683919266,-0.397391085951378,-95.7894576223273,-0.7030985928200337,-0.12208489271758075,-0.581013700102453,40.346765826663166,19.991182794724715,50.3,52.9375,52.38300003051758,49.85450004577637,INDORAMA.NS,2023-12-05 10:50:09.147719
2,2023-12-04 00:00:00+05:30,50.54999923706055,51.75,49.70000076293945,50.5,640506,0.0,0.0,2023-12-04,53.2125,2.30056473108143,55.51306473108143,50.91193526891857,57.81362946216286,48.61137053783714,-76.35828285301464,-90.82318393461594,17158850,605155.3328026783,539119.4665271644,64.65229284583486,50.85794815739321,50.65000025431315,51.599999745686844,49.5500005086263,52.699999491373696,48.6000010172526,53.64999898274739,47.50000127156575,-0.40017896577022566,-91.39785696032591,-0.5708766299989136,0.02316853230803252,-0.5940451623069462,42.05076670429023,21.51722749388188,50.55,53.2125,52.43400001525879,49.83000003814697,INDORAMA.NS,2023-12-05 10:50:09.147719
3,2023-12-01 00:00:00+05:30,50.5,51.29999923706055,49.79999923706055,49.849998474121094,384961,0.0,0.0,2023-12-01,53.46749992370606,2.2664760155028896,55.733975939208946,51.20102390820317,58.000451954711835,48.93454789270028,-105.59320564018766,-96.9353656021764,16518344,359032.8342128314,522610.4999582859,64.71807031904416,45.268530657162245,50.31666564941406,50.83333206176758,49.33333206176758,51.81666564941406,48.81666564941406,52.33333206176758,47.83333206176758,-0.4204567923900143,-99.45653007701956,-0.4520335632323125,0.17167982288476907,-0.6237133861170816,39.47953777583593,23.07235478077415,51.05999984741211,53.46749992370606,52.44,49.81450004577637,INDORAMA.NS,2023-12-05 10:50:09.147719
4,2023-11-30 00:00:00+05:30,51.400001525878906,51.650001525878906,50.04999923706055,50.20000076293945,483836,0.0,0.0,2023-11-30,53.80750007629395,2.2044375662099274,56.011937642503874,51.60306251008402,58.2163752087138,49.3986249438741,-128.9793883016427,-84.13722284741819,16903305,454416.59911029466,563504.9163946494,64.75972016967013,46.44225746662491,50.63333384195963,51.21666844685872,49.61666615804036,52.23333613077799,49.033331553141274,52.81667073567708,48.016663869222,-0.3904509411272754,-98.32400544031192,-0.2290141295471102,0.3276081694140394,-0.5566222989611496,40.37527062616028,24.70909510333062,52.00999984741211,53.80750007629395,52.44400001525879,49.80550006866455,INDORAMA.NS,2023-12-05 10:50:09.147719
5,2023-11-29 00:00:00+05:30,51.70000076293945,52.5,50.599998474121094,51.04999923706055,709675,0.0,0.0,2023-11-29,54.06750011444092,2.05837651736279,56.125876631803706,52.00912359707813,58.184253149166494,49.95074707971534,-117.00501617396698,-57.389655881247535,17387141,677809.3113458095,590776.995715738,64.81116301788597,47.53689763881132,51.38333257039388,52.16666666666667,50.266665140787765,53.28333409627279,49.483331044514976,54.06666819254558,48.36666361490886,-0.36430685556106435,-93.52942074046416,0.025518315886642995,0.46676374415432675,-0.44124542826768376,42.55246584741548,26.595962572376344,53.33999938964844,54.06750011444092,52.42400001525879,49.79200004577637,INDORAMA.NS,2023-12-05 10:50:09.147719
6,2023-11-28 00:00:00+05:30,53.849998474121094,53.849998474121094,50.75,51.150001525878906,527936,0.0,0.0,2023-11-28,54.295000076293945,1.9562245980452448,56.25122467433919,52.3387754782487,58.20744927238444,50.38255088020345,-97.1048027367304,-37.25408744355005,18096816,505218.46249046474,569018.9168082201,64.88285078345554,56.926263803795386,51.916666666666664,53.08333333333333,49.983334859212235,55.01666514078776,48.81666819254557,56.18333180745442,46.88333638509114,-0.32971677484328626,-92.52871874853386,0.2672983649999452,0.5770751012212477,-0.30977673622130253,42.80462165766375,28.388726887274668,54.289999389648436,54.295000076293945,52.359000015258786,49.770000038146975,INDORAMA.NS,2023-12-05 10:50:09.147719
7,2023-11-24 00:00:00+05:30,54.849998474121094,55.45000076293945,52.900001525878906,53.04999923706055,463625,0.0,0.0,2023-11-24,54.44249992370605,1.8125493027770383,56.25504922648309,52.629950620929016,58.06759852926013,50.81740131815197,-22.826757643042452,21.257115765345894,18624752,460155.38905914914,584969.030387659,64.93627751667532,60.125419666039264,53.800000508626304,54.6999994913737,52.150000254313156,56.34999974568685,51.25000127156576,57.24999872843425,49.60000101725261,-0.3111651546921575,-70.68966651217875,0.5629514090568435,0.6545192852765733,-0.09156787621972984,47.80221849556299,30.248830116266593,54.99999923706055,54.44249992370605,52.29400001525879,49.75400001525879,INDORAMA.NS,2023-12-05 10:50:09.147719
8,2023-11-23 00:00:00+05:30,57.099998474121094,57.79999923706055,53.599998474121094,54.599998474121094,878676,0.0,0.0,2023-11-23,54.47999992370605,1.7898395766834374,56.26983950038949,52.69016034702262,58.05967907707293,50.90032077033918,37.04316959216243,67.57492197741449,19088377,897581.0584555075,616172.4407197863,64.97702640303885,62.61115578286263,55.33333206176758,57.06666564941406,52.86666488647461,59.53333282470703,51.133331298828125,61.266666412353516,48.666664123535156,-0.23565836117538302,-52.87358488994161,0.7458263437700268,0.6774112543315056,0.06841508943852115,52.44019175464026,31.177467235149525,55.64999923706055,54.47999992370605,52.257000045776365,49.709500007629394,INDORAMA.NS,2023-12-05 10:50:09.147719
9,2023-11-22 00:00:00+05:30,56.45000076293945,59.0,55.650001525878906,56.849998474121094,1196514,0.0,0.0,2023-11-22,54.37000007629395,1.8487119676773134,56.21871204397126,52.52128810861664,58.067424011648576,50.67257614093932,106.72389389652983,123.92970812193005,19967053,1272625.2217648008,545820.286285856,65.04488981564654,71.5174965600111,57.166666666666664,58.68333180745442,55.33333333333333,60.51666514078776,53.81666819254557,62.033330281575516,51.983334859212235,-0.2131461187740581,-27.01151819237736,0.8160098376882203,0.6603074819718753,0.15570235571634505,60.330275917089125,31.793565793691656,55.92999954223633,54.37000007629395,52.208000106811525,49.64650001525879,INDORAMA.NS,2023-12-05 10:50:09.147719
10,2023-11-21 00:00:00+05:30,55.150001525878906,58.29999923706055,54.20000076293945,55.79999923706055,458845,0.0,0.0,2023-11-21,54.23750019073486,1.7541584602412954,55.991658650976156,52.48334173049357,57.745817111217455,50.72918327025227,77.26586935930787,101.54877578548735,18770539,479018.71439601114,364119.0524161197,65.11852405483093,66.07765266537955,56.09999974568685,57.99999872843425,53.900000254313156,60.199998219807945,52.00000127156576,62.09999720255534,49.80000178019206,-0.26415477684069905,-39.08047388182244,0.6719112831185043,0.621381893042789,0.05052939007571533,57.56346569763376,31.227549883952303,55.04000015258789,54.23750019073486,52.10700012207031,49.55400001525879,INDORAMA.NS,2023-12-05 10:50:09.147719
