Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-09 00:00:00+05:30,95.55000305175781,97.5999984741211,94.27999877929688,94.97000122070312,14078,0.0,0.0,2023-11-09,89.61749992370605,3.640661840055069,93.25816176376112,85.97683808365097,96.89882360381618,82.33617624359592,104.00256428422338,171.16474746606374,1195623,18302.36305723039,32464.957378844807,81.19901826583934,63.14665413237838,95.61666615804036,96.95333353678384,93.63333384195963,98.93666585286458,92.29666646321614,100.27333323160806,90.31333414713541,-0.0639160235555141,-30.26880492087784,0.6125075833570435,-0.4718535350815292,1.0843611184385726,60.62636862650847,24.472950021065184,93.09199981689453,89.61749992370605,92.22199981689454,88.29619979858398,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
2,2023-11-08 00:00:00+05:30,98.19999694824219,98.19999694824219,93.4000015258789,95.18000030517578,44707,0.0,0.0,2023-11-08,89.39899978637695,3.4274061168453236,92.82640590322227,85.97159366953163,96.2538120200676,82.5441875526863,142.50347063851558,174.25928319145092,1209701,58250.678930548,36005.60595924841,81.17690822421808,56.25477965453308,95.5933329264323,97.78666432698569,92.9866689046224,100.39332834879558,90.79333750406902,102.58665974934897,88.18667348225912,-0.04805383730297131,-29.139777492381885,0.26336195729481915,-0.7429438146911723,1.0063057719859914,61.16978093419592,22.767827773221892,91.60599975585937,89.39899978637695,92.51099975585937,88.11129981994628,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
3,2023-11-07 00:00:00+05:30,91.69999694824219,100.5999984741211,91.19999694824219,96.27999877929688,83071,0.0,0.0,2023-11-07,89.13949966430664,3.152089086438305,92.29158875074495,85.98741057786833,95.44367783718324,82.83532149143004,234.56101259407518,186.4153859885253,1254408,109487.68575585318,30444.337716423513,81.10514480355432,67.79255849473216,96.02666473388672,100.85333251953125,91.45333099365234,105.42666625976562,86.62666320800781,110.25333404541016,82.05332946777344,-0.046827713133618325,-23.225806716246797,-0.20832230647221195,-0.9945202576876702,0.7861979512154582,63.95816516438292,20.9315422755445,89.60800018310547,89.13949966430664,92.76019973754883,87.86699981689453,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
4,2023-11-06 00:00:00+05:30,90.30000305175781,92.61000061035156,88.6500015258789,90.44999694824219,17421,0.0,0.0,2023-11-06,88.83749961853027,2.6869855413679984,91.52448515989828,86.15051407716227,94.21147070126626,83.46352853579428,211.25409668653407,15.156803152260748,1171337,21570.558946026093,10683.500706566098,80.9592522842527,34.50717047506204,90.56999969482422,92.48999786376953,88.52999877929688,94.52999877929688,86.61000061035156,96.44999694824219,84.56999969482422,-0.19852366124480686,-25.221286140027033,-0.9173978831938712,-1.1910697454915347,0.2736718622976635,53.53397267081963,18.95400404727654,87.53600006103515,88.83749961853027,92.62859970092774,87.5972998046875,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
5,2023-11-03 00:00:00+05:30,86.29000091552734,89.55000305175781,86.29000091552734,88.58000183105469,1572,0.0,0.0,2023-11-03,89.01099967956543,2.9001590985754673,91.9111587781409,86.11084058098996,94.81131787671636,83.2106814824145,88.16669250105089,-51.461111767988115,1153916,1906.197906381433,7961.736146701099,80.9400784512559,22.13484398814174,88.14000193277995,89.99000295003256,86.73000081380209,91.40000406901042,84.87999979654948,93.25000508626303,83.46999867757162,-0.14480781453496583,-48.99223990125554,-1.2371626778595015,-1.2594877110659504,0.022325033206448852,49.15389746223543,18.53506523096891,86.79600067138672,89.01099967956543,92.5947998046875,87.38469985961915,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
6,2023-11-02 00:00:00+05:30,85.5999984741211,88.55000305175781,85.5,87.54000091552734,14328,0.0,0.0,2023-11-02,89.06649971008301,2.9020973693390553,91.96859707942207,86.16440234074395,94.87069444876111,83.2623049714049,13.43423458112409,-71.7911024716893,1152344,17170.062706622906,9475.620706781014,80.93868543464762,38.879411907881234,87.19666798909505,88.8933359781901,85.84333292643228,90.24667104085286,84.14666493733723,91.94333902994791,82.79332987467447,-0.1617270197850869,-57.054261548624964,-1.4436474386120324,-1.2650689693675625,-0.17857846924446985,46.55203555153024,19.095803809949516,86.1260009765625,89.06649971008301,92.61359970092774,87.1914998626709,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
7,2023-11-01 00:00:00+05:30,86.44999694824219,86.75,85.0,85.19000244140625,931,0.0,0.0,2023-11-01,89.18649978637696,2.8852257210522367,92.07172550742919,86.30127406532472,94.95695122848143,83.41604834427248,-52.93133924427193,-99.54744705983116,1138016,1085.720588084777,7552.01020682054,80.92769656156084,36.814355072750445,85.64666748046875,86.2933349609375,84.5433349609375,87.39666748046875,83.89666748046875,88.0433349609375,82.7933349609375,-0.20379814120052472,-75.2713018288662,-1.5837127248855012,-1.220424352056445,-0.3632883728290561,40.1231555625715,20.08027090322845,85.74800109863281,89.18649978637696,92.64619964599609,87.01459983825684,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
8,2023-10-31 00:00:00+05:30,87.4000015258789,87.55000305175781,85.7699966430664,85.91999816894531,3168,0.0,0.0,2023-10-31,89.50649948120117,2.771308168375914,92.27780764957708,86.73519131282526,95.04911581795301,83.96388314444934,-40.97869574770534,-87.14672630249176,1138947,3726.140216672709,9168.58261150448,80.92723547934827,39.24761501441359,86.41333262125652,87.05666859944662,85.27666219075522,88.19333902994792,84.63332621256511,88.83667500813803,83.49665578206381,-0.13400540838109795,-69.61242088939804,-1.5076038443314843,-1.129602258849181,-0.37800158548230334,41.56528838481215,21.36874081164664,85.76600036621093,89.50649948120117,92.74559967041016,86.82369979858399,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
9,2023-10-30 00:00:00+05:30,85.75,86.75,85.25,86.75,2350,0.0,0.0,2023-10-30,89.73549957275391,2.6457320258290364,92.38123159858294,87.08976754692488,95.02696362441198,84.44403552109584,-54.85697626058167,-88.86333869418947,1142115,2790.725413872444,10529.193210212423,80.92539695212069,33.188492941196,86.25,87.25,85.75,87.75,84.75,88.75,84.25,-0.10153062485948032,-63.17829892910519,-1.4592124500566115,-1.0351018624786053,-0.42411058757800624,43.20479305388697,22.952241451497244,85.65,89.73549957275391,92.80259963989258,86.63639984130859,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
10,2023-10-27 00:00:00+05:30,87.0,88.0,85.05000305175781,85.2300033569336,1849,0.0,0.0,2023-10-27,89.7604995727539,2.618256365606066,92.37875593835997,87.14224320714783,94.99701230396603,84.52398684154177,-72.35155891577674,-91.0691393494111,1139765,2157.2932186643925,12463.810159297418,80.92380548815049,27.271438493452138,86.0933354695638,87.13666788736978,84.1866709391276,89.04333241780598,83.14333852132161,90.08666483561197,81.23667399088541,-0.15485865182274056,-74.96121724905358,-1.4568901263531728,-0.9290742155841036,-0.5278159107690692,39.12133808932068,24.451328522290037,86.23399963378907,89.7604995727539,92.8743995666504,86.45579986572265,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
11,2023-10-26 00:00:00+05:30,83.19999694824219,86.0,82.0,85.6500015258789,24604,0.0,0.0,2023-10-26,89.94649925231934,2.4027359673977133,92.34923521971706,87.54376328492162,94.75197118711476,85.14102731752392,-133.73292639369177,-109.72096583259005,1141614,28847.81039707317,15040.439394455674,80.92287953954212,37.80580279117736,84.5500005086263,87.1000010172526,83.1000010172526,88.5500005086263,80.5500005086263,91.1000010172526,79.1000010172526,-0.16757260751087658,-74.65276986728564,-1.2821461163649133,-0.7971202378918364,-0.4850258784730769,39.85659186336118,26.065729983143815,87.36199951171875,89.94649925231934,92.97099945068359,86.26129981994629,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
12,2023-10-25 00:00:00+05:30,85.01000213623047,86.1500015258789,83.18000030517578,85.27999877929688,2774,0.0,0.0,2023-10-25,90.0989990234375,2.2042830810712886,92.30328210450878,87.89471594236622,94.50756518558008,85.69043286129492,-193.34458266639717,-104.71759853189529,1117010,3238.421721162093,11588.596643801298,80.90931506603509,39.93733234943011,84.87000020345052,86.56000010172525,83.58999888102213,87.84000142415364,81.89999898274739,89.53000132242838,80.619997660319,-0.2710383792590334,-84.11499031609468,-1.080357830573547,-0.6758637682735671,-0.40449406229998,38.917499916761656,26.995229663366906,88.58799896240234,90.0989990234375,93.1243994140625,86.0707997894287,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
13,2023-10-23 00:00:00+05:30,89.66999816894531,90.30000305175781,85.0999984741211,85.33999633789062,6564,0.0,0.0,2023-10-23,90.13499908447265,2.1259242408850256,92.26092332535768,88.00907484358763,94.38684756624271,85.8831506027026,-228.91791424411602,-83.67671052710138,1119784,7668.332820807938,13676.140374461098,80.90790058614435,39.44920041888979,86.91333262125652,88.72666676839194,83.52666219075522,92.11333719889323,81.7133280436198,93.92667134602866,78.3266576131185,-0.26498636305703954,-97.87612567297317,-0.7691989543201174,-0.5747402526985721,-0.19445870162154533,39.00921740701841,28.386484371224697,89.81599884033203,90.13499908447265,93.3411994934082,85.87559982299804,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
14,2023-10-20 00:00:00+05:30,89.25,91.0,89.25,89.66999816894531,3371,0.0,0.0,2023-10-20,90.14299926757812,2.1071483448441275,92.25014761242225,88.03585092273399,94.35729595726637,85.92870257788987,-133.7816587813593,-50.64770061949677,1126348,4137.954157419315,15178.092262874388,80.90450393180137,47.64099150401443,89.97333272298177,90.69666544596353,88.94666544596353,91.72333272298177,88.22333272298177,92.44666544596353,87.19666544596353,-0.2785564416995189,-92.19178826662319,-0.36507562300383256,-0.5261255772931857,0.1610499542893531,46.32527664335137,30.56986473621061,91.10999908447266,90.14299926757812,93.59499954223632,85.66979988098144,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
15,2023-10-19 00:00:00+05:30,91.9000015258789,91.9000015258789,90.30000305175781,90.87000274658203,16048,0.0,0.0,2023-10-19,89.98949928283692,2.25037176429545,92.23987104713237,87.73912751854147,94.49024281142782,85.48875575424601,-66.55206750353335,-38.57816205833499,1129719,19962.789091794006,17938.126789238155,80.90105265516945,50.17080824593256,91.02333577473958,91.74666849772134,90.14667002360025,92.62333424886067,89.42333730061848,93.34666697184244,88.54667154947916,-0.28626911670326377,-63.93061044847602,-0.26858342274057634,-0.5663880658655239,0.2978046431249476,48.674476303804,31.041718077904257,91.7,89.98949928283692,93.77919952392578,85.41609992980958,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
16,2023-10-18 00:00:00+05:30,92.98999786376953,92.98999786376953,91.0999984741211,91.77999877929688,8382,0.0,0.0,2023-10-18,89.86599922180176,2.267220184573588,92.13321940637535,87.59877903722817,94.40043959094893,85.33155885265458,20.082650350835383,-27.643254195642072,1145767,10531.141925113927,17431.961213599192,80.88233162432466,50.98953215866561,91.9566650390625,92.8133316040039,90.92333221435547,93.84666442871094,90.06666564941406,94.70333099365234,89.03333282470703,-0.2967777625462106,-49.94597563872466,-0.2591569895535031,-0.6408392266467607,0.38168223709325766,50.476956630304876,30.966955942944494,91.88999938964844,89.86599922180176,93.82999954223632,85.16849990844726,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
17,2023-10-17 00:00:00+05:30,92.44999694824219,93.30000305175781,91.19999694824219,91.41999816894531,14509,0.0,0.0,2023-10-17,89.71449928283691,2.233577202467447,91.94807648530436,87.48092208036947,94.1816536877718,85.24734487790202,30.838509037632573,-26.84133975903417,1137385,18157.600246688984,19157.166035720507,80.8716320424027,55.46684133517505,91.97333272298177,92.74666849772134,90.64666239420572,94.07333882649739,89.87332661946614,94.84667460123697,88.5466562906901,-0.3127699366823994,-53.83787412901182,-0.3327824989290491,-0.7362597859200752,0.40347728699102614,49.793986979833534,30.429233901448285,91.65399932861328,89.71449928283691,93.93039962768555,84.91749992370606,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
18,2023-10-16 00:00:00+05:30,91.94999694824219,94.9000015258789,91.69999694824219,91.80999755859375,3051,0.0,0.0,2023-10-16,89.69599952697754,2.2202000184337547,91.9161995454113,87.47579950854379,94.13639956384506,85.25559949011003,97.51943690596069,-17.064004676020595,1151894,3834.5282799345396,19407.057482978387,80.85367449575007,65.81488643404536,92.80333201090495,93.90666707356772,90.706662495931,96.00333658854167,89.60332743326823,97.10667165120444,87.50665791829428,-0.32097789120409165,-48.571447024981616,-0.38654869705054296,-0.8371291076678318,0.4505804106172888,50.494498963931605,29.79439956958384,91.36799926757813,89.69599952697754,94.03719970703125,84.67449996948243,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
19,2023-10-13 00:00:00+05:30,91.5999984741211,94.80000305175781,91.0999984741211,92.62000274658203,28469,0.0,0.0,2023-10-13,89.66799964904786,2.1955304387779204,91.86353008782578,87.47246921026994,94.0590605266037,85.27693877149201,126.60476388839197,-15.664763997662693,1154945,36095.80763910723,23300.189783739348,80.84975087643508,63.591769867504496,92.84000142415364,94.58000437418619,90.87999979654947,96.54000600179036,89.13999684651692,98.28000895182291,87.17999521891275,-0.3318981745334577,-32.58620065967963,-0.48793795579189236,-0.9497742103221539,0.46183625453026156,51.90269895882136,28.84402805538279,91.05399932861329,89.66799964904786,93.98079971313477,84.44019996643067,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
20,2023-10-12 00:00:00+05:30,90.94999694824219,92.25,90.3499984741211,91.81999969482422,9497,0.0,0.0,2023-10-12,89.57949943542481,2.1040421926778508,91.68354162810266,87.47545724274696,93.78758382078051,85.3714150500691,54.847652454536664,-30.023802668425425,1126476,11937.227935280189,20101.28531989738,80.8102877530076,53.16881649315135,91.47333272298177,92.59666697184244,90.69666544596353,93.37333424886067,89.57333119710286,94.49666849772134,88.79666392008463,-0.17613992768928569,-39.48277959925942,-0.6901271698794318,-1.0652332739547192,0.37510610407528744,50.64025095816043,27.84130866854461,91.31399841308594,89.57949943542481,93.88059967041016,84.21599990844726,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
21,2023-10-11 00:00:00+05:30,91.0999984741211,91.6500015258789,90.4000015258789,90.5999984741211,4398,0.0,0.0,2023-10-11,89.35349960327149,2.0934436662429214,91.4469432695144,87.26005593702857,93.54038693575733,85.16661227078565,28.355766571242512,-36.930647244853084,1116979,5454.603376359431,22142.299666051676,80.79796005765017,48.515388303493836,90.88333384195964,91.36666615804037,90.11666615804037,92.13333384195964,89.63333384195964,92.61666615804037,88.86666615804037,-0.4562031884437,-50.00003288532558,-0.859745981759616,-1.159009799973541,0.2992638182139249,48.73478709107364,27.31658383142686,90.88799896240235,89.35349960327149,93.80419967651368,83.9707999420166,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
22,2023-10-10 00:00:00+05:30,90.0,91.3499984741211,89.62000274658203,89.98999786376953,17317,0.0,0.0,2023-10-10,89.48849983215332,2.2586005225504886,91.74710035470382,87.22989930960283,94.0057008772543,84.97129878705235,1.6067154135297919,-44.35291504233344,1112581,21332.740970630242,26314.223738474735,80.79287475999715,45.5944501217889,90.31999969482422,91.0199966430664,89.29000091552734,92.04999542236328,88.59000396728516,92.74999237060547,87.56000518798828,-0.44818793184528344,-55.25865952835866,-0.9437313709648549,-1.233825754527022,0.290094383562167,47.79918676461904,26.89164529927582,90.75599975585938,89.48849983215332,93.8311996459961,83.71239997863769,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
23,2023-10-09 00:00:00+05:30,93.98999786376953,93.98999786376953,90.0,90.23999786376953,24649,0.0,0.0,2023-10-09,89.62399978637696,2.368868914947444,91.9928687013244,87.25513087142951,94.36173761627184,84.88626195648207,75.57503243562844,-33.851543238013065,1129898,30449.35817138933,27559.594430435856,80.77404878505642,47.489372754483135,91.40999857584636,92.81999715169272,88.82999928792319,95.39999643961589,87.42000071207683,96.80999501546225,84.84000142415366,-0.49513001958095926,-53.10348683107137,-0.9768833414132274,-1.3063493504175634,0.329466009004336,48.13348989299366,26.50178135720619,91.0759994506836,89.62399978637696,93.84939971923828,83.46209999084472,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
24,2023-10-06 00:00:00+05:30,89.5999984741211,96.4000015258789,89.5999984741211,93.91999816894531,28802,0.0,0.0,2023-10-06,90.05699996948242,3.1500562255331688,93.20705619501558,86.90694374394926,96.35711242054876,83.75688751841608,169.60091864861323,-14.644425632297885,1154547,37030.57733406724,26837.15349519749,80.74638806367021,57.38730601417524,93.30666605631511,97.01333363850912,90.21333058675131,100.10666910807292,86.5066630045573,103.81333669026694,83.4133275349935,-0.6788239724135577,-21.379342096176423,-1.0291478590113314,-1.3887158526686474,0.35956799365731595,53.221269486979224,25.922873372788136,91.12799987792968,90.05699996948242,93.8597998046875,83.2216000366211,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
25,2023-10-05 00:00:00+05:30,91.0,91.0,89.0999984741211,89.69000244140625,12773,0.0,0.0,2023-10-05,91.5310001373291,8.084793061378441,99.61579319870754,83.44620707595067,107.70058626008598,75.36141401457222,54.864804424885996,-52.03867087207536,1125745,15682.551037984058,24288.79753548005,80.70125311987596,55.63032250219388,89.93000030517578,90.76000213623047,88.86000061035156,91.83000183105469,88.02999877929688,92.66000366210938,86.95999908447266,-0.41881579706409766,-43.793090747733544,-1.4428934023699753,-1.4786078510829763,0.035714448713001,47.27251785984193,25.29943400495331,89.79400024414062,91.5310001373291,93.65339981079102,82.94320007324218,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
26,2023-10-04 00:00:00+05:30,91.58999633789062,91.58999633789062,89.5,89.94000244140625,4869,0.0,0.0,2023-10-04,92.18899993896484,8.454163951051136,100.64316389001598,83.7348359879137,109.09732784106711,75.28067203686257,83.22765897709726,-49.413213734871995,1138518,5994.768700788847,26440.359159854044,80.68757463439457,68.79859923479718,90.3433329264323,91.18666585286459,89.09666951497397,92.43332926432292,88.25333658854167,93.27666219075522,87.00667317708334,-0.4274504131461334,-40.91952652136319,-1.5341605657401516,-1.4875364632612265,-0.04662410247892512,47.60475077635782,25.83389764903079,89.64599914550782,92.18899993896484,93.53259979248047,82.70630004882813,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
27,2023-10-03 00:00:00+05:30,91.0,92.25,89.5999984741211,91.58999633789062,23018,0.0,0.0,2023-10-03,92.86449966430663,8.797759704169875,101.66225936847651,84.06673996013676,110.46001907264639,75.26898025596688,128.7505158583853,-42.6368174847242,1143387,28859.937681478827,31551.756774620342,80.68220439916048,33.15598846437422,91.14666493733723,92.69333140055338,90.04332987467447,93.79666646321614,88.49666341145833,95.34333292643228,87.39332834879556,-0.42926764195668554,-30.000047192145967,-1.6523865466346734,-1.4758804376414951,-0.1765061089931783,49.747464375437495,26.258205635453933,89.397998046875,92.86449966430663,93.40579971313477,82.46600006103516,INDSWFTLAB.BO,2023-11-09 11:52:59.216089
