Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-08-22 00:00:00+05:30,77.80000305175781,80.0,77.80000305175781,78.80000305175781,77375,0.0,0.0,2023-08-22,81.04250030517578,1.92280455880912,82.9653048639849,79.11969574636666,84.88810942279402,77.19689118755754,-112.86469090098844,-12.695498960437773,5615584,83803.29746897296,213025.42538110673,80.5822433003914,69.39694179675027,78.86666870117188,79.93333435058594,77.73333740234375,81.06666564941406,76.66667175292969,82.13333129882812,75.53334045410156,-0.39488940275543405,-89.62961832682292,0.4146068804369918,1.1237094609605378,-0.709102580523546,48.12750607134863,22.774441804580075,79.39000091552734,81.04250030517578,76.89899978637695,70.05049987792968,INTENTECH.NS,2023-08-22 11:51:06.072067
2,2023-08-21 00:00:00+05:30,79.9000015258789,80.69999694824219,77.4000015258789,77.80000305175781,172079,0.0,0.0,2023-08-21,81.2375,1.8807105827700659,83.11821058277006,79.35678941722993,84.99892116554012,77.47607883445987,-160.34978120768824,-14.813457232503275,5538209,184010.11584038427,245330.95735914016,80.58444017344978,66.87123937802055,78.63333384195964,79.86666615804037,76.56667073567709,81.93332926432292,75.33333841959636,83.16666158040366,73.26667531331381,-0.41570487362495523,-97.03702573423033,0.592456874509125,1.3009851060914244,-0.7085282315822994,45.93414503314688,23.321307742992932,79.85,81.2375,76.598999710083,69.8619998550415,INTENTECH.NS,2023-08-22 11:51:06.072067
3,2023-08-18 00:00:00+05:30,81.0,82.05000305175781,79.44999694824219,80.1500015258789,73481,0.0,0.0,2023-08-18,81.65,1.9887188282743478,83.63871882827435,79.66128117172566,85.62743765654871,77.6725623434513,-75.80473051899486,23.032036305254714,5710288,80949.24528712039,260661.16773882913,80.59209429816521,67.96939810683227,80.5500005086263,81.65000406901041,79.04999796549478,83.15000661214192,77.94999440511067,84.25001017252603,76.44999186197916,-0.3821605888964771,-85.31747064953403,0.9096669900331591,1.4781171639869992,-0.5684501739538401,50.603261226177324,23.910240292052933,81.08999938964844,81.65,76.32899971008301,69.67749980926514,INTENTECH.NS,2023-08-22 11:51:06.072067
4,2023-08-17 00:00:00+05:30,80.75,82.3499984741211,79.0999984741211,80.3499984741211,87087,0.0,0.0,2023-08-17,81.9375,2.1680022519935274,84.10550225199353,79.76949774800647,86.27350450398706,77.60149549601294,-71.11492155489907,27.606145419729135,5783769,96177.48451428488,305589.1483517563,80.5926138499078,71.64535118280227,80.5999984741211,82.0999984741211,78.8499984741211,83.8499984741211,77.3499984741211,85.3499984741211,75.5999984741211,-0.2955769576458448,-83.73019309031085,1.0705699853355952,1.6202297074754592,-0.549659722139864,51.013047838696934,23.685497301295797,81.37999877929687,81.9375,76.00699974060059,69.47599979400634,INTENTECH.NS,2023-08-22 11:51:06.072067
5,2023-08-16 00:00:00+05:30,80.0,81.75,79.5,79.8499984741211,105341,0.0,0.0,2023-08-16,82.12999992370605,2.1904343292205635,84.32043425292662,79.93956559448549,86.51086858214718,77.74913126526492,-76.71675708154433,27.423710869490296,5696682,115612.97056010099,357942.0643111241,80.59295223973442,72.4371519888357,80.36666615804036,81.23333231608072,78.98333231608072,82.61666615804036,78.11666615804036,83.48333231608072,76.73333231608072,-0.2556768980020367,-85.65892825353717,1.2406571513075306,1.7576446380104251,-0.5169874867028945,50.074498692123576,23.443466388172727,81.71999969482422,82.12999992370605,75.68499977111816,69.28399982452393,INTENTECH.NS,2023-08-22 11:51:06.072067
6,2023-08-14 00:00:00+05:30,83.5,83.5,80.0,81.0999984741211,288956,0.0,0.0,2023-08-14,82.07999992370605,2.255660147986802,84.33566007169286,79.82433977571925,86.59132021967966,77.56867962773245,-21.005651047873222,48.112510048406186,5802023,322097.06978748774,418524.3377488798,80.59420780181993,67.99335809467672,81.53333282470703,83.06666564941406,79.56666564941406,85.03333282470703,78.03333282470703,86.56666564941406,76.06666564941406,-0.2524834040938975,-73.96228718307783,1.4888648539335918,1.8868915096861487,-0.3980266557525569,52.40531057717306,23.323371098491677,81.9,82.07999992370605,75.35599983215332,69.10149982452393,INTENTECH.NS,2023-08-22 11:51:06.072067
7,2023-08-11 00:00:00+05:30,82.0,90.9000015258789,81.5,84.0,1345327,0.0,0.0,2023-08-11,82.0849998474121,2.25348331270311,84.33848316011522,79.831516534709,86.59196647281833,77.57803322200589,181.11355495577723,106.43985128101438,6090979,1553249.9758495197,442631.1547392278,80.59185221335689,75.05212319565057,85.46666717529297,89.43333435058594,80.03333282470703,94.86666870117188,76.06666564941406,98.83333587646484,70.63333129882812,-0.2537449241161213,-52.07548321418042,1.660981308751289,1.986398173624288,-0.3254168648729989,58.24593883215417,23.004561129132313,81.73000030517578,82.0849998474121,75.02599983215332,68.91349983215332,INTENTECH.NS,2023-08-22 11:51:06.072067
8,2023-08-10 00:00:00+05:30,82.05000305175781,84.25,81.3499984741211,81.5999984741211,89851,0.0,0.0,2023-08-10,81.97749977111816,2.2081479320315585,84.18564770314973,79.7693518390866,86.39379563518128,77.56120390705505,29.707913397511135,68.55215328089325,4745652,100773.71678816147,164976.44946165476,80.51631452644634,52.25819152767331,82.39999898274739,83.44999949137369,80.54999796549478,85.3000005086263,79.49999745686848,86.3500010172526,77.64999643961588,-0.11176186498816051,-59.89850192748744,1.570569933071468,2.0677523898425374,-0.4971824567710694,54.33484965743085,22.091738569701178,81.61999969482422,81.97749977111816,74.61799980163575,68.70199981689453,INTENTECH.NS,2023-08-22 11:51:06.072067
9,2023-08-09 00:00:00+05:30,80.5999984741211,83.5,80.0,82.05000305175781,93895,0.0,0.0,2023-08-09,81.6474998474121,2.7048438551953295,84.35234370260744,78.94265599221677,87.05718755780276,76.23781213702145,5.860207559008955,64.7881736293715,4835503,105890.08061799825,181027.13263002806,80.51470800581004,55.30884458132031,81.85000101725261,83.70000203450522,80.20000203450522,85.35000101725261,78.35000101725261,87.20000203450522,76.70000203450522,-0.08465148057164293,-56.21887034805997,1.6673832473168488,2.1920480040353048,-0.5246647567184559,55.23566372715032,22.682947526052455,81.35,81.6474998474121,74.3489998626709,68.50249984741211,INTENTECH.NS,2023-08-22 11:51:06.072067
10,2023-08-08 00:00:00+05:30,81.0,83.4000015258789,79.69999694824219,80.75,104204,0.0,0.0,2023-08-08,81.17499961853028,3.3735626044997176,84.54856222302999,77.80143701403057,87.92212482752971,74.42787440953084,-18.612561196370606,61.21255252639834,4741608,115654.12636301554,199811.39563303548,80.5123258597187,60.32524993116117,81.28333282470703,82.86666870117188,79.16666412353516,84.98333740234375,77.58332824707031,86.5666732788086,75.46665954589844,-0.09065304309014467,-69.15422998877226,1.7217516117377585,2.323214193214919,-0.6014625814771604,53.15216935714878,23.54367678261933,80.78999938964844,81.17499961853028,74.06499977111817,68.33149978637695,INTENTECH.NS,2023-08-22 11:51:06.072067
