Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-23 00:00:00+05:30,77.5,77.94999694824219,72.0,72.19999694824219,59297811,0.0,0.0,2023-10-23,75.71500015258789,1.801323129330036,77.51632328191792,73.91367702325786,79.31764641124796,72.11235389392782,-134.14527667087913,19.1110139432842,6129086754,189071184.79191914,187444418.98224038,42.16035287137211,61.29640010325046,74.0499979654948,76.09999593098959,70.1499989827474,79.99999491373698,68.10000101725261,82.04999287923178,64.20000203450522,-0.17761203462801087,-82.29667307438181,1.846893836379465,2.6818061865257663,-0.8349123501463014,47.18644103491454,35.37255942365377,76.7,75.71500015258789,67.1917945098877,50.9188564491272,IRFC.NS,2023-10-23 10:51:52.221927
2,2023-10-20 00:00:00+05:30,77.5999984741211,79.25,76.6500015258789,77.05000305175781,34571282,0.0,0.0,2023-10-20,75.86000022888183,1.6100509047915055,77.47005113367334,74.24994932409032,79.08010203846484,72.63989841929882,60.03199028329042,52.03717424116979,6188384565,117635296.07207455,187037727.52982068,42.072635628214655,68.20802668427487,77.6500015258789,78.6500015258789,76.05000305175781,80.25,75.05000305175781,81.25,73.45000457763672,-0.061401970436579974,-35.88515174457528,2.3566561811999094,2.890534274062341,-0.5338780928624316,58.650183291315365,37.390322975496744,77.52000122070312,75.86000022888183,66.71836013793946,50.51856081008911,IRFC.NS,2023-10-23 10:51:52.221927
3,2023-10-19 00:00:00+05:30,76.0999984741211,78.4000015258789,75.80000305175781,77.5999984741211,36281928,0.0,0.0,2023-10-19,75.72999992370606,1.6138710466717987,77.34387097037786,74.11612887703426,78.95774201704965,72.50225783036247,53.90706593592601,50.05257385466932,6222955847,124337340.77506028,204388335.3942572,42.01298787139618,68.39168449923503,77.26666768391927,78.73333231608072,76.13333384195963,79.86666615804036,74.66666920979817,81.33333079020181,73.53333536783853,-0.07731811026777673,-30.622039960487786,2.495947427916221,3.0240037972779485,-0.5280563693617277,60.19000281439314,37.663786694966326,77.43000030517578,75.72999992370606,66.17469299316406,50.06431247711182,IRFC.NS,2023-10-23 10:51:52.221927
4,2023-10-18 00:00:00+05:30,79.9000015258789,80.69999694824219,77.1500015258789,77.5,60210098,0.0,0.0,2023-10-18,75.7099998474121,1.591804867090722,77.30180471450282,74.11819498032139,78.89360958159355,72.52639011323066,114.88156909321363,59.492529218982796,6186673919,206072738.0456091,224401084.0490564,41.949183367988056,69.5951462816718,78.4499994913737,79.7499974568685,76.20000203450522,81.99999491373698,74.90000406901042,83.29999287923178,72.65000661214194,-0.07499126677580868,-31.5789627386375,2.5822988320715297,3.15601788961838,-0.5737190575468505,60.01275759493287,38.16155255633534,76.93000030517578,75.7099998474121,65.60912071228027,49.605555572509765,IRFC.NS,2023-10-23 10:51:52.221927
5,2023-10-17 00:00:00+05:30,76.94999694824219,80.80000305175781,76.5999984741211,79.1500015258789,153256370,0.0,0.0,2023-10-17,75.66499977111816,1.5507300290157153,77.21572980013387,74.11426974210245,78.7664598291496,72.56353971308673,177.14242986230423,63.20727412979015,6246884017,535696695.29974437,228983170.5499182,41.84309140384031,72.79760632080419,78.85000101725261,81.10000356038412,76.8999989827474,83.05000559488933,74.64999643961589,85.30000813802084,72.69999440511069,-0.0857288419958272,-15.78948136931875,2.663577391175167,3.2994476540050925,-0.6358702628299255,64.40624758920268,38.06600535525886,76.55,75.66499977111816,64.95235824584961,49.16613925933838,IRFC.NS,2023-10-23 10:51:52.221927
6,2023-10-16 00:00:00+05:30,77.19999694824219,77.25,76.19999694824219,76.30000305175781,23187941,0.0,0.0,2023-10-16,75.67499961853028,1.5748431351526824,77.24984275368296,74.1001564833776,78.82468588883565,72.52531334822491,84.10256410256383,50.66471506038779,6093627647,78133314.31649888,152304789.36246166,41.557540945090764,60.14806556986529,76.58333333333333,76.96666971842447,75.91666666666666,77.63333638509114,75.53333028157552,78.01667277018228,74.86666361490884,-0.1750874372444186,-25.624942779541016,2.5647811932186215,3.4584152197125735,-0.893634026493952,59.67078932850617,37.96310836948419,75.85,75.67499961853028,64.25565605163574,48.70526599884033,IRFC.NS,2023-10-23 10:51:52.221927
7,2023-10-13 00:00:00+05:30,75.0,78.3499984741211,74.5,76.5999984741211,78755411,0.0,0.0,2023-10-13,75.88749961853027,1.9138606792065604,77.80136029773684,73.9736389393237,79.71522097694339,72.05977826011716,82.77680809952933,51.80912759761074,6116815588,266414996.85594314,170847658.12395233,41.51725986905181,64.35773249933834,76.48333231608073,78.46666463216147,74.61666615804037,80.33333079020183,72.63333384195964,82.31666310628256,70.76666768391928,-0.0779566752468395,-25.14968692065702,2.6801134683889245,3.681823726336061,-1.0017102579471366,60.45697727061012,38.623149820907756,74.81999969482422,75.88749961853027,63.51681541442871,48.272892723083494,IRFC.NS,2023-10-23 10:51:52.221927
8,2023-10-12 00:00:00+05:30,76.05000305175781,76.0999984741211,74.80000305175781,75.0999984741211,21587597,0.0,0.0,2023-10-12,75.96851196289063,1.9787978723323667,77.947309835223,73.98971409055827,79.92610770755536,72.0109162182259,19.72592952664049,47.27669177261247,6038060177,71596820.28543143,146955823.44095463,41.37856329460914,49.95205194079259,75.33333333333333,75.86666361490884,74.56666819254556,76.63332875569661,74.03333791097005,77.16665903727213,73.26667277018228,-0.11403565136141666,-43.11376205969934,2.757620946239527,3.932251290822845,-1.174630344583318,57.88045697650798,39.3339636916716,74.46999969482422,75.96851196289063,62.787836990356446,47.83900657653808,IRFC.NS,2023-10-23 10:51:52.221927
9,2023-10-11 00:00:00+05:30,76.5999984741211,77.6500015258789,75.3499984741211,75.5999984741211,45128089,0.0,0.0,2023-10-11,76.31784439086914,2.391143500184701,78.70898789105384,73.92670089068444,81.10013139123855,71.53555739049973,76.8345122119927,54.00122551652144,6059647774,150667032.5979955,165795574.22983542,41.34198081973631,47.560432160334834,76.1999994913737,77.05000050862631,74.7499974568685,78.50000254313152,73.89999643961589,79.35000356038412,72.44999440511069,-0.14685197937223485,-37.1257370133519,2.962799142180984,4.225908876968674,-1.2631097347876903,59.07180320211955,40.63916497031889,74.31999969482422,76.31784439086914,62.04325485229492,47.424085998535155,IRFC.NS,2023-10-23 10:51:52.221927
10,2023-10-10 00:00:00+05:30,71.4000015258789,76.25,71.3499984741211,75.6500015258789,75097719,0.0,0.0,2023-10-10,76.73883666992188,2.937010506758462,79.67584717668035,73.80182616316341,82.6128576834388,70.86481565640496,-46.593747139413075,46.82417547330618,6104775863,250891063.30390683,169577709.6377954,41.26411301595344,38.565225603076954,74.41666666666667,77.48333485921225,72.58333333333334,79.31666819254558,69.51666514078777,82.38333638509116,67.68333180745444,-0.022951624752327395,-41.75819845651454,3.131356087860894,4.541686310665597,-1.4103302228047028,59.18492138855111,41.82759213680078,74.21000061035156,76.73883666992188,61.226215515136715,47.00515678405762,IRFC.NS,2023-10-23 10:51:52.221927
11,2023-10-09 00:00:00+05:30,72.6500015258789,72.94999694824219,70.3499984741211,71.1500015258789,49805228,0.0,0.0,2023-10-09,76.77812423706055,2.926916926341992,79.70504116340254,73.85120731071856,82.63195808974453,70.92429038437658,-246.79491709596272,33.92352249368908,6029678144,156494598.14284006,149249371.22126752,41.13355559240229,27.55235988562515,71.48333231608073,72.61666615804037,70.01666768391928,74.08333079020183,68.88333384195964,75.21666463216147,67.41666920979819,-0.0054857296291067935,-91.4438162319271,3.2947907240073135,4.894268866366772,-1.5994781423594588,51.40870142003416,43.439367463526146,74.4,76.77812423706055,60.404210510253904,46.58126628875733,IRFC.NS,2023-10-23 10:51:52.221927
12,2023-10-06 00:00:00+05:30,74.80000305175781,76.0,73.80000305175781,74.8499984741211,27407523,0.0,0.0,2023-10-06,76.8466136932373,2.801633308962259,79.64824700219955,74.04498038427505,82.44988031116182,71.24334707531278,-62.337619444579644,53.18288456510874,6079483372,90596430.74620177,147438064.49087438,41.05778097661316,37.66965590501236,74.88333384195964,75.96666463216147,73.76666768391928,77.08333079020183,72.68333689371745,78.16666158040366,71.56667073567709,0.06170875468054138,-67.59260174995656,3.897297330528005,5.294138401956637,-1.3968410714286321,60.15971120643525,46.05458461600573,75.48000030517578,76.8466136932373,59.680136642456056,46.20138442993164,IRFC.NS,2023-10-23 10:51:52.221927
13,2023-10-05 00:00:00+05:30,75.75,75.8499984741211,74.0,74.3499984741211,20716740,0.0,0.0,2023-10-05,76.51199836730957,3.390430612792878,79.90242898010246,73.12156775451669,83.29285959289533,69.73113714172382,-88.60563213601088,55.03726062382876,6052075849,68022389.59904741,161648472.92704254,41.010772112814024,46.01600493696707,74.73333231608073,75.46666463216147,73.61666615804037,76.58333079020183,72.88333384195964,77.31666310628256,71.76666768391928,0.0057191927368914946,-72.22223007139134,4.245244766238557,5.643348669813794,-1.3981039035752376,59.29014083737425,47.49743715926874,75.48000030517578,76.51199836730957,58.86620071411133,45.78351119995117,IRFC.NS,2023-10-23 10:51:52.221927
14,2023-10-04 00:00:00+05:30,76.44999694824219,76.5999984741211,73.80000305175781,75.05000305175781,34505676,0.0,0.0,2023-10-04,76.37587547302246,3.5334377957490193,79.90931326877148,72.84243767727344,83.4427510645205,69.30899988152443,-66.96953040515046,59.92697628380671,6072792589,114364374.56361167,185054993.7590413,40.97567857796403,36.01800879787725,75.1500015258789,76.5,73.70000457763672,77.94999694824219,72.35000610351562,79.29999542236328,70.90000915527344,-0.014310995749603133,-69.73095739948948,4.675643456409816,5.992874645707603,-1.3172311892977877,61.02158746389338,48.96451676690685,75.69000091552735,76.37587547302246,58.075152740478515,45.37410785675049,IRFC.NS,2023-10-23 10:51:52.221927
15,2023-10-03 00:00:00+05:30,76.8499984741211,77.80000305175781,76.30000305175781,76.5999984741211,32681918,0.0,0.0,2023-10-03,75.929642868042,4.208708484188611,80.1383513522306,71.72093438385339,84.34705983641922,67.51222589966477,66.52372310416078,71.5524179727824,6107298265,110556887.08444671,202727648.55789867,40.91583327548992,56.07081884378637,76.9000015258789,77.5,76.0,78.4000015258789,75.4000015258789,79.0,74.5,0.13912416921036158,-74.01551833441316,5.086901276234414,6.32218244303205,-1.2352811667976358,64.91967835068246,50.54444865205557,75.86999969482422,75.929642868042,57.267130584716796,44.94927764892578,IRFC.NS,2023-10-23 10:51:52.221927
16,2023-09-29 00:00:00+05:30,75.30000305175781,77.55000305175781,74.5999984741211,76.55000305175781,39254526,0.0,0.0,2023-09-29,74.86312751770019,6.241568756859474,81.10469627455967,68.62155876084071,87.34626503141914,62.37999000398125,-12.742600930298703,72.03637665612155,6074616347,132704134.81294249,225770338.92626163,40.85637416685575,60.262924460852254,76.23333485921223,77.86667124430338,74.91666666666666,79.18333943684895,73.28333028157552,80.8166758219401,71.96666208902994,0.18939009445763558,-74.26296693170114,5.3837105831068754,6.631002734731459,-1.2472921516245838,64.85242445357335,51.202883918522765,75.91000061035156,74.86312751770019,56.39440139770508,44.50944320678711,IRFC.NS,2023-10-23 10:51:52.221927
17,2023-09-28 00:00:00+05:30,76.0,76.30000305175781,74.5,74.8499984741211,25011662,0.0,0.0,2023-09-28,73.52400283813476,8.37058077858362,81.89458361671838,65.15342205955115,90.26516439530201,56.782841280967524,-74.06627073910825,71.09770523844261,6035361821,82676836.72947778,249036889.95459142,40.784795136861035,63.45840895130277,75.21666717529297,75.93333435058594,74.13333129882812,77.01667022705078,73.41666412353516,77.73333740234375,72.33332824707031,0.1873594940547152,-82.6770122229421,5.687068857242892,6.942825772637605,-1.2557569153947128,62.58799327597308,51.95615376049638,75.61999969482422,73.52400283813476,55.51474098205566,44.08944068908691,IRFC.NS,2023-10-23 10:51:52.221927
18,2023-09-27 00:00:00+05:30,74.8499984741211,76.69999694824219,74.8499984741211,75.4000015258789,31966561,0.0,0.0,2023-09-27,72.25005054473877,9.94833577991222,82.19838632465098,62.30171476482655,92.14672210456321,52.35337898491433,-66.1166860211962,77.3816366630704,6060373483,106442919.17129344,290626903.2608698,40.741212431903776,67.9352549738403,75.64999898274739,76.44999949137369,74.6000010172526,77.49999745686848,73.8000005086263,78.29999796549478,72.7500025431315,0.1786809920462072,-67.47309647982414,6.156716358180603,7.256765001486282,-1.100048643305679,63.82329213325765,52.98452935862151,75.53999938964844,72.25005054473877,54.66412376403809,43.68643821716309,IRFC.NS,2023-10-23 10:51:52.221927
19,2023-09-26 00:00:00+05:30,77.19999694824219,77.44999694824219,75.55000305175781,75.94999694824219,33138244,0.0,0.0,2023-09-26,70.93372745513916,11.175614062171373,82.10934151731054,59.758113392967786,93.2849555794819,48.582499330796416,-52.11863811291119,85.44995834481749,6092340044,111149306.42857791,336672899.28326386,40.68444742921217,62.83402357438947,76.31666564941406,77.08332824707031,75.18333435058594,78.21665954589844,74.41667175292969,78.98332214355469,73.28334045410156,0.16573090818443742,-62.70906996784693,6.610556928402275,7.531777162312701,-0.9212202339104261,65.01483254807786,53.95676212690721,75.89999847412109,70.93372745513916,53.80052375793457,43.27149173736572,IRFC.NS,2023-10-23 10:51:52.221927
20,2023-09-25 00:00:00+05:30,76.1500015258789,78.69999694824219,74.80000305175781,76.80000305175781,85506777,0.0,0.0,2023-09-25,69.55024929046631,12.188694432483517,81.73894372294983,57.361554857982796,93.92763815543334,45.17286042549928,-50.80253996452008,93.36280216368401,6125478288,290008868.67555255,393053797.49693537,40.62446977118161,71.50697778109246,76.76666768391927,78.73333231608072,74.83333841959634,80.66666158040364,72.86667378743489,82.6333262125651,70.93334452311197,0.16471940967190146,-59.29316161887187,7.037284216432084,7.762082220790306,-0.7247980043582221,66.80464611509751,54.7432787280079,76.02999877929688,69.55024929046631,52.92691520690918,42.86343761444092,IRFC.NS,2023-10-23 10:51:52.221927
21,2023-09-22 00:00:00+05:30,75.0,76.0999984741211,71.3499984741211,75.0999984741211,94866289,0.0,0.0,2023-09-22,68.10939998626709,12.965108669676837,81.07450865594393,55.144291316590255,94.03961732562077,42.17918264691342,-115.05240369888287,87.27905130436437,6039971511,314630880.16136307,418815029.70228106,40.465015960015386,74.76964555721344,74.18333180745442,77.01666514078775,72.26666514078775,78.93333180745442,69.43333180745442,81.76666514078775,67.51666514078775,0.16227423574776026,-47.15159692360788,7.393286215662911,7.943281721879862,-0.549995506216951,65.01606206485388,55.59029660611634,76.53999786376953,68.10939998626709,52.03630653381347,42.42804710388184,IRFC.NS,2023-10-23 10:51:52.221927
22,2023-09-21 00:00:00+05:30,77.19999694824219,78.25,74.0,74.44999694824219,52360179,0.0,0.0,2023-09-21,66.76346454620361,13.583692007975003,80.34715655417861,53.179772538228605,93.93084856215361,39.5960805302536,-63.757298775075,100.83183077039928,5945105222,172153284.0222321,444861067.0875105,40.29480977806767,78.513730115177,75.56666564941406,77.13333129882812,72.88333129882812,79.81666564941406,71.31666564941406,81.38333129882812,68.63333129882812,0.13171055212663219,-40.8355274925493,7.90448185920809,8.0807805984341,-0.17629873922600936,64.33377210127719,56.86496990332677,77.62999877929687,66.76346454620361,51.187629013061525,41.99181173324585,IRFC.NS,2023-10-23 10:51:52.221927
23,2023-09-20 00:00:00+05:30,76.0,79.44999694824219,74.0,77.19999694824219,76414678,0.0,0.0,2023-09-20,65.40789546966553,14.118497973755261,79.5263934434208,51.28939749591027,93.64489141717605,37.17089952215501,-14.643468428406175,116.03569702048684,5997465401,260521503.27345878,513038012.85383016,40.20191617533648,80.08042508932938,76.88333129882812,79.76666259765625,74.31666564941406,82.33332824707031,71.43333435058594,85.21665954589844,68.86666870117188,0.1405342348832693,-34.02846748913971,8.503217615853117,8.124855283240603,0.3783623326125145,69.67194821423739,57.31708337025755,78.38404846191406,65.40789546966553,50.350960159301756,41.55910223007202,IRFC.NS,2023-10-23 10:51:52.221927
24,2023-09-18 00:00:00+05:30,79.69999694824219,79.69999694824219,76.30000305175781,76.5999984741211,73958819,0.0,0.0,2023-09-18,63.919783210754396,14.376315612229321,78.29609882298372,49.543467598525076,92.67241443521304,35.16715198629575,6.653247779529118,130.3025484324263,5921050723,250189012.80769476,576167140.248923,40.05447756220276,82.46941637059851,77.53333282470703,78.76666259765625,75.36666870117188,80.9333267211914,74.13333892822266,82.16665649414062,71.9666748046875,0.1361535869730027,-35.28497025722274,8.870110855559986,8.030264700087475,0.839846155472511,69.15339281867273,57.80397479618301,79.3613784790039,63.919783210754396,49.46028266906738,41.08699611663818,IRFC.NS,2023-10-23 10:51:52.221927
25,2023-09-15 00:00:00+05:30,81.75,82.1500015258789,78.75,79.3499984741211,77020431,0.7,0.0,2023-09-15,62.45671405792236,14.506307884594197,76.96302194251656,47.95040617332816,91.46932982711076,33.44409828873397,54.09238459413041,157.8018118638536,5995009542,269899681.6105425,657661672.1092299,39.91297716039503,85.03705142626674,80.08333333333333,81.41666666666666,78.01666514078775,83.48333485921223,76.68333180745442,84.81666819254556,74.61666361490884,0.14658023301361434,-28.365040549977298,9.26454052194569,7.820303161219345,1.444237360726345,74.58055790464093,57.528529251101794,80.84534759521485,62.45671405792236,48.58457931518555,40.626342582702634,IRFC.NS,2023-10-23 10:51:52.221927
26,2023-09-14 00:00:00+05:30,80.30215688852164,81.29354154146635,78.07154141939604,80.55000305175781,129797195,0.0,0.0,2023-09-14,60.831360244750975,14.333983061118762,75.16534330586974,46.49737718363221,89.4993263669885,32.16339412251345,64.30600053527318,175.82700360503833,6072029973,461721792.83130985,754602169.7339017,39.75331636427393,84.75240748866591,79.97169533754007,81.8718492556841,78.64984913361378,83.19369545961038,76.74969521546976,85.09384937775441,75.42784901154347,0.14602945763890898,-25.31355648956332,9.358324859637307,7.4592438210377585,1.8990810385995482,77.03009396028446,56.32452045433263,80.26249847412109,60.831360244750975,47.65883285522461,40.125796756744386,IRFC.NS,2023-10-23 10:51:52.221927
27,2023-09-13 00:00:00+05:30,79.21162994749537,83.57372363936406,74.75039930974279,78.22024536132812,238578975,0.0,0.0,2023-09-13,59.16583404541016,13.84925068650263,73.0150847319128,45.31658335890753,86.86433541841542,31.467332672404897,66.52974476857484,191.22367222831267,5942232778,824139722.7905365,827822263.9595497,39.473062481908336,83.26828773684872,78.848122770145,82.9458462305472,74.12252190092593,87.67144709976627,70.02479844052372,91.76917056016848,65.29919757130466,0.10655733445750099,-30.36116895162844,9.218422161465575,6.984473561387871,2.2339486000777047,75.58426116657274,55.07803253485711,78.65645599365234,59.16583404541016,46.711069107055664,39.59838010787964,IRFC.NS,2023-10-23 10:51:52.221927
28,2023-09-12 00:00:00+05:30,90.21599764189061,91.55436532494406,76.68359648287418,82.0866470336914,395003025,0.0,0.0,2023-09-12,57.79524478912354,13.205736303803143,71.00098109292668,44.589508485320394,84.20671739672983,31.38377218151725,104.14164659348435,248.19338977020058,6180811753,1431932159.7551591,828742899.2518029,38.97755250080303,91.81691657582957,83.44153628050321,90.19947607813225,75.32870723606237,98.3123051225731,68.57076743843334,105.07024492020213,60.45793839399249,0.10658972234966571,-21.484805640830665,9.129077083144587,6.425986411368445,2.703090671776142,83.71090549139596,53.735660929268086,76.6439453125,57.79524478912354,45.802960815429685,39.09574811935425,IRFC.NS,2023-10-23 10:51:52.221927
29,2023-09-11 00:00:00+05:30,80.99611802831441,84.06941631017253,80.79784413565577,84.01984405517578,169943821,0.0,0.0,2023-09-11,56.21150779724121,11.98181725300321,68.19332505024443,44.229690544238,80.17514230324764,32.24787329123479,121.1800017772291,271.87973740713875,6575814778,630575008.944841,677945584.1259637,38.04506408001152,89.37205599049226,82.96236816700136,85.12689219834695,81.85532002383019,86.23394034151812,79.6907959924846,88.39846437286371,78.58374784931343,0.20561359379192556,-0.13441679367550963,8.495586975998691,5.750213743424409,2.7453732325742823,88.0972622684409,51.63113781461192,74.5521240234375,56.21150779724121,44.81058479309082,38.55098226547241,IRFC.NS,2023-10-23 10:51:52.221927
30,2023-09-08 00:00:00+05:30,74.05642826233549,77.27842828489712,74.0068635694178,76.43575286865234,179288780,0.0,0.0,2023-09-08,54.43445110321045,10.133448866750596,64.56789996996105,44.30100223645985,74.70134883671165,34.16755336970925,103.73406674778803,235.59385039810397,6405870957,605200341.6650847,689788227.9212444,37.613187369232975,88.5157092733426,75.90701490765575,77.8071662458937,74.53560153041438,79.17857962313506,72.63545019217644,81.07873096137301,71.26403681493507,0.15028098931222175,-2.8006540088561844,7.365416041612697,5.063870435280839,2.3015456063318585,85.2853716363066,49.680707852091444,70.97322540283203,54.43445110321045,43.77855346679687,37.99084999084473,IRFC.NS,2023-10-23 10:51:52.221927
