Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-01 00:00:00+05:30,148.89999389648438,148.89999389648438,138.60000610351562,140.39999389648438,60861,0.0,0.0,2023-12-01,129.56249961853027,10.564001342272777,140.12650096080304,118.9984982762575,150.69050230307582,108.43449693398472,48.20205698415288,127.56831816781651,7147753,69868.22416445652,75561.88133065506,99.79145271404366,72.62818202996667,142.63333129882812,146.66665649414062,136.36666870117188,152.93331909179688,132.33334350585938,156.96664428710938,126.06668090820312,,-39.81903035140314,8.721048638772757,7.743024251203252,0.9780243875695049,66.66114368319771,55.69671634795397,143.56000061035155,129.56249961853027,113.21999984741211,104.91899978637696,IRIS.NS,2023-12-01 10:52:10.653385
2,2023-11-30 00:00:00+05:30,146.25,148.75,142.39999389648438,145.75,36093,0.0,0.0,2023-11-30,127.73999977111816,11.68103109130749,139.42103086242565,116.05896867981068,151.10206195373314,104.37793758850319,94.50422601068783,152.639804171743,7208614,43013.52918015637,76985.29562220469,99.68211802980008,73.23711523900393,145.63333129882812,148.86666870117188,142.51666259765625,151.98333740234375,139.2833251953125,155.2166748046875,136.16665649414062,,-23.680253199166497,9.042745406149251,7.498518154310875,1.5442272518383762,75.69915401535398,55.03606710761854,142.71000061035156,127.73999977111816,112.44899993896485,104.31049987792969,IRIS.NS,2023-12-01 10:52:10.653385
3,2023-11-29 00:00:00+05:30,153.60000610351562,153.60000610351562,142.9499969482422,144.0500030517578,76645,0.0,0.0,2023-11-29,125.55749969482422,12.204974581941595,137.7624742767658,113.35252511288262,149.9674488587074,101.14755053094103,134.33052287271414,172.61112817593457,7172521,90275.65174491046,85478.23723271675,99.60844361347286,79.05997921083332,146.86666870117188,150.78334045410156,140.13333129882812,157.5166778564453,136.21665954589844,161.433349609375,129.4833221435547,,-28.25444434763491,8.790708917729773,7.11246134135128,1.6782475763784932,74.6864960227931,53.011740112787045,140.2,125.55749969482422,111.65099990844726,103.65099990844726,IRIS.NS,2023-12-01 10:52:10.653385
4,2023-11-28 00:00:00+05:30,147.3000030517578,147.3000030517578,143.1999969482422,147.3000030517578,45825,0.0,0.0,2023-11-28,123.46749954223633,12.448148319777989,135.9156478620143,111.01935122245834,148.3637961817923,98.57120290268034,149.91242014101846,184.51798878253274,7249166,55192.33418980509,84278.88360466833,99.4570017276805,81.11881062461288,145.93333435058594,148.6666717529297,144.56666564941406,150.03334045410156,141.8333282470703,152.7666778564453,140.46665954589844,,-0.0,8.502257220372158,6.692899447256657,1.8093577731155008,80.65287760268149,50.634159096570215,137.7,123.46749954223633,110.84599990844727,102.99749984741212,IRIS.NS,2023-12-01 10:52:10.653385
5,2023-11-24 00:00:00+05:30,142.9499969482422,142.9499969482422,136.35000610351562,140.3000030517578,111497,0.0,0.0,2023-11-24,121.17499923706055,12.043435816797706,133.21843505385826,109.13156342026284,145.26187087065597,97.08812760346514,116.79378894739152,167.59878414549684,7203341,127907.02412036447,91550.52095838412,99.35932760639338,80.69465192736268,139.86666870117188,143.38333129882812,136.78334045410156,146.46665954589844,133.2666778564453,149.9833221435547,130.183349609375,,-9.869624011481884,7.684053801476864,6.240560003977782,1.443493797499082,76.97397885263639,48.29301175919952,135.3299987792969,121.17499923706055,109.88599990844726,102.29399978637696,IRIS.NS,2023-12-01 10:52:10.653385
6,2023-11-23 00:00:00+05:30,136.89999389648438,139.39999389648438,132.10000610351562,136.14999389648438,47636,0.0,0.0,2023-11-23,119.13249893188477,12.09309586150904,131.2255947933938,107.03940307037573,143.31869065490284,94.94630720886668,101.08933148472603,159.34672746042858,7091844,53030.588286315746,82461.39516788902,99.1549471040572,79.64739248281572,135.88333129882812,139.66665649414062,132.36666870117188,143.18331909179688,128.58334350585938,146.96664428710938,125.06668090820312,,-18.277955681744057,7.209474366656693,5.87968655460301,1.3297878120536826,74.28177583321133,45.958568479854854,133.06999816894532,119.13249893188477,109.09699981689454,101.6529997253418,IRIS.NS,2023-12-01 10:52:10.653385
7,2023-11-22 00:00:00+05:30,132.0,136.89999389648438,131.64999389648438,133.1999969482422,57128,0.0,0.0,2023-11-22,117.41499938964844,11.987802063172138,129.40280145282057,105.4271973264763,141.39060351599272,93.43939526330416,108.65615488025415,162.63809972241145,7044208,62219.535860835844,89819.09688828232,99.07587425075317,79.43620524338822,133.91666158040366,136.18332926432294,130.93332926432294,139.16666158040366,128.66666158040366,141.43332926432294,125.68332926432294,,-21.92448478349151,6.901347440903933,5.54723960158959,1.3541078393143433,72.13097648756481,43.62145648454225,130.4199996948242,117.41499938964844,108.42899993896485,101.07549980163574,IRIS.NS,2023-12-01 10:52:10.653385
8,2023-11-21 00:00:00+05:30,142.1999969482422,142.1999969482422,130.3000030517578,131.5500030517578,127298,0.0,0.0,2023-11-21,115.74249954223633,12.003029241622562,127.74552878385889,103.73947030061377,139.74855802548146,91.7364410589912,168.96477633494655,186.66375172511272,6987080,136926.0169306429,96718.98714514394,98.98817947756598,83.46220296834608,134.68333435058594,139.06666564941406,127.16667175292969,146.5833282470703,122.78334045410156,150.96665954589844,115.26667785644531,,-24.76742766624273,6.692815736306386,5.208712641761004,1.4841030945453824,70.86553152170826,41.242408750214196,128.5,115.74249954223633,107.84,100.53099983215333,IRIS.NS,2023-12-01 10:52:10.653385
9,2023-11-20 00:00:00+05:30,130.0,135.4499969482422,129.9499969482422,135.4499969482422,70797,0.0,0.0,2023-11-20,114.19499931335449,11.851947520968912,126.04694683432339,102.34305179238558,137.8988943552923,90.49110427141666,261.8808516858789,202.84818610055814,7114378,78409.26569630917,86667.22969876921,98.80064220169731,80.974923162143,133.61666361490884,137.2833302815755,131.7833302815755,139.11666361490884,128.11666361490884,142.7833302815755,126.2833302815755,,-0.0,6.486925062857125,4.837686868124658,1.649238194732467,78.70967661040453,38.68035734401475,126.82999877929687,114.19499931335449,107.27199996948242,100.00099983215333,IRIS.NS,2023-12-01 10:52:10.653385
10,2023-11-17 00:00:00+05:30,124.69999694824219,129.0,122.25,129.0,109273,0.0,0.0,2023-11-17,112.52499961853027,11.023545544059363,123.54854516258963,101.50145407447091,134.572090706649,90.47790853041155,121.92396933881597,170.54738321590673,7043581,115259.33481812285,88731.72069938423,98.6828729763577,79.68851468579516,126.75,131.25,124.5,133.5,120.0,138.0,117.75,,-2.287571840352169,5.740945558365169,4.425377319441542,1.3155682389236274,74.34934580463222,36.340337082414436,124.05,112.52499961853027,106.67199996948243,99.43599983215331,IRIS.NS,2023-12-01 10:52:10.653385
11,2023-11-16 00:00:00+05:30,124.9000015258789,125.80000305175781,122.25,122.9000015258789,61022,0.0,0.0,2023-11-16,111.26999969482422,10.463764616990419,121.73376431181464,100.8062350778338,132.19752892880507,90.34247046084339,50.662178975198785,160.92586553586082,6934308,61321.371267164424,82099.81716969956,98.53175681598735,77.61465905627233,123.6500015258789,125.05000305175781,121.5,127.20000457763672,120.0999984741211,128.60000610351562,117.94999694824219,,-22.222208370742717,5.334108686783949,4.096485259710635,1.2376234270733146,68.7242432507084,34.377675470259064,122.7,111.26999969482422,106.215,98.9449998474121,IRIS.NS,2023-12-01 10:52:10.653385
12,2023-11-15 00:00:00+05:30,125.69999694824219,127.0,121.44999694824219,123.5999984741211,85135,0.0,0.0,2023-11-15,110.38499946594239,10.17282373438531,120.55782320032769,100.21217573155708,130.730646934713,90.03935199717176,58.21974495961985,183.0668859066251,6995330,86039.94773116286,87294.42864533333,98.46373765915067,81.01735332736126,124.01666514078777,126.58333333333334,121.03333028157553,129.5666681925456,118.46666208902995,132.13333638509116,115.48332722981772,,-18.76922607421875,5.333171804153508,3.7870794029423065,1.5460924012112018,70.3685937426005,32.6194080441656,123.03999938964844,110.38499946594239,105.95800003051758,98.50849983215332,IRIS.NS,2023-12-01 10:52:10.653385
