Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-15 00:00:00+05:30,728.4000244140625,748.7000122070312,725.9000244140625,734.6500244140625,9190,0.0,0.0,2023-12-15,698.2749938964844,25.465830709855855,723.7408246063402,672.8091631866286,749.2066553161961,647.3433324767726,160.26866178447415,158.90210367842036,4584408,9128.380711742348,8567.177082714239,530.4625895990656,67.00294120943038,736.4166870117188,746.933349609375,724.1333618164062,759.2166748046875,713.61669921875,769.7333374023438,701.3333740234375,0.23451377712912316,-14.76614207877414,19.559635726912006,17.82415641774427,1.7354793091677365,72.2218344227257,44.942557839307376,725.9799926757812,698.2749938964844,660.5048254394532,634.5731384277344,ISEC.BO,2023-12-15 11:18:31.845629
2,2023-12-14 00:00:00+05:30,724.0,733.9500122070312,721.2999877929688,727.8499755859375,8742,0.0,0.0,2023-12-14,696.2124938964844,23.9925498287517,720.2050437252361,672.2199440677326,744.1975935539878,648.227394238981,81.74949665081482,149.89515057910023,4575218,8603.009645350188,8426.876175457212,530.337025288733,60.662635368280085,727.6999918619791,734.0999959309895,721.449971516927,740.3500162760416,715.0499674479166,746.750020345052,708.7999471028645,0.2727944620591765,-7.587107921358806,19.219565066396626,17.390286590452337,1.8292784759442888,70.23652448452142,43.87965858927126,723.7499877929688,696.2124938964844,657.8933923339844,633.0589520263671,ISEC.BO,2023-12-15 11:18:31.845629
3,2023-12-13 00:00:00+05:30,722.0499877929688,729.4000244140625,714.2000122070312,723.0499877929688,5060,0.0,0.0,2023-12-13,693.4799957275391,23.301817908987612,716.7818136365266,670.1781778185515,740.0836315455143,646.8763599095638,58.5979314985045,145.63685493932383,4566476,4946.711425778837,8382.842807983965,530.2214188048983,61.0439620961225,722.2166748046875,730.2333374023438,715.0333251953125,737.4166870117188,707.0166625976562,745.433349609375,699.8333129882812,0.3049163305916693,-11.408554256705502,19.162667816440262,16.932966971466264,2.2297008449739977,68.77369751735758,43.299230533331134,723.6299926757813,693.4799957275391,655.5219836425781,631.657719116211,ISEC.BO,2023-12-15 11:18:31.845629
4,2023-12-12 00:00:00+05:30,718.7999877929688,728.0,718.2000122070312,722.7999877929688,6075,0.0,0.0,2023-12-12,689.8024963378906,24.176864972026266,713.9793613099168,665.6256313658644,738.1562262819432,641.448766393838,68.25882933146663,157.52712612869743,4561416,5936.933094295683,9241.875653535246,530.1560689139443,60.93635643829223,723.0,727.7999877929688,718.0,732.7999877929688,713.2000122070312,737.5999755859375,708.2000122070312,0.2982736168478452,-11.727228521969153,19.27220471366047,16.375541760222767,2.896662953437705,68.69929673568883,42.874738072772544,723.4099975585938,689.8024963378906,653.222041015625,630.3658740234375,ISEC.BO,2023-12-15 11:18:31.845629
5,2023-12-11 00:00:00+05:30,724.4500122070312,725.5999755859375,708.0,721.5499877929688,8369,0.0,0.0,2023-12-11,686.4524963378906,24.005242127782473,710.4577384656731,662.4472542101081,734.4629805934555,638.4420120823256,66.53122796264468,156.88603900601885,4555341,8164.652917173783,10068.111293345137,530.0776535248774,60.66261598696088,718.3833211263021,728.7666422526042,711.1666666666667,735.9832967122396,700.7833455403646,746.3666178385417,693.5666910807292,0.2901967298223933,-13.320599848287397,19.145063245500523,15.651376021863339,3.4936872236371848,68.34916829985386,41.89294671070087,722.1800048828125,686.4524963378906,650.8201306152343,628.9900054931641,ISEC.BO,2023-12-15 11:18:31.845629
6,2023-12-08 00:00:00+05:30,728.0499877929688,732.0,707.9000244140625,723.5,11728,0.0,0.0,2023-12-08,683.3549957275391,23.222170788333475,706.5771665158726,660.1328249392055,729.799337304206,636.9106541508721,90.802164065465,176.80142503673295,4563710,11472.557119651538,10543.975887387975,529.9702241828321,51.227858024732875,721.1333414713541,734.3666585286458,710.2666829427083,745.2333170572916,697.0333658854166,758.4666341145833,686.1667073567708,0.2907610850167669,-10.834925018964075,18.81531298330333,14.77795421595404,4.037358767349289,69.47491643521597,40.925051361909055,717.6400024414063,683.3549957275391,648.4491088867187,627.7904992675781,ISEC.BO,2023-12-15 11:18:31.845629
7,2023-12-07 00:00:00+05:30,724.9500122070312,729.0,709.0,727.25,5536,0.0,0.0,2023-12-07,679.2274963378907,23.046807452655486,702.2743037905461,656.1806888852352,725.3211112432016,633.1338814325798,118.84187903961886,193.14044990591827,4575438,5443.491476804787,10311.830579322084,529.8179393431145,49.6783273208822,721.75,734.5,714.5,741.75,701.75,754.5,694.5,0.26436954486610864,-2.3194164570816542,17.91600556686899,13.768614524116717,4.147391042752272,71.58021139961818,39.882702524748645,708.9599975585937,679.2274963378907,646.0636206054687,626.005952758789,ISEC.BO,2023-12-15 11:18:31.845629
8,2023-12-06 00:00:00+05:30,714.0499877929688,727.0,708.2000122070312,721.9500122070312,22438,0.0,0.0,2023-12-06,675.3549957275391,20.96594170889701,696.3209374364361,654.389054018642,717.286879145333,633.4231123097451,158.6577462768255,201.67453411646852,4569902,21902.263909423516,11528.915354951409,529.7445792251489,52.53229851531021,719.0500081380209,729.9000040690105,711.1000162760417,737.8499959309896,700.2500203450521,748.6999918619792,692.300028483073,0.22683542850530067,-6.875407697325506,16.123846744814955,12.731766763428649,3.3920799813863063,70.40317480751892,38.86194742602394,699.5599975585938,675.3549957275391,643.56583984375,623.820896911621,ISEC.BO,2023-12-15 11:18:31.845629
9,2023-12-05 00:00:00+05:30,702.0999755859375,719.0,699.7999877929688,716.6500244140625,10728,0.0,0.0,2023-12-05,671.897494506836,18.42536874080442,690.3228632476404,653.4721257660316,708.7482319884448,635.0467570252272,214.08486942214208,197.09050846388266,4547464,10394.979106032511,8935.57821633338,529.4546776246425,48.94004447710624,711.8166707356771,723.8333536783855,704.6333414713542,731.0166829427084,692.6166585286459,743.0333658854167,685.433329264323,0.20188959347834334,-3.3074961149677473,14.107008160662076,11.883746768082073,2.223261392580003,69.21942147046173,37.828694786740094,687.8799926757813,671.897494506836,641.2349035644531,621.5815338134765,ISEC.BO,2023-12-15 11:18:31.845629
10,2023-12-04 00:00:00+05:30,686.0,703.3499755859375,678.6500244140625,698.8499755859375,8331,0.0,0.0,2023-12-04,668.1649932861328,16.32374761682109,684.4887409029539,651.8412456693118,700.812488519775,635.5174980524906,185.33223623717458,151.25817252303574,4536736,7871.886519088194,8570.727993908597,529.3195861557772,43.45057845519267,693.6166585286459,708.5832926432292,683.8833414713542,718.3166097005209,668.9167073567709,733.2832438151042,659.1833902994792,0.1706555578217453,-7.364978392946691,11.833069556612372,11.327931419937071,0.5051381366753009,64.83299421876404,36.98391261069935,678.1199829101563,668.1649932861328,639.32400390625,619.3410333251953,ISEC.BO,2023-12-15 11:18:31.845629
11,2023-12-01 00:00:00+05:30,684.9500122070312,685.0,672.4500122070312,680.0999755859375,7206,0.0,0.0,2023-12-01,664.4524932861328,17.386503374706376,681.8389966608393,647.0659899114264,699.2255000355456,629.6794865367201,61.55271400915455,111.91668923919123,4528405,6626.203246541692,8745.438362613697,529.2245251821118,42.10576349289324,679.1833292643229,685.9166463216145,673.3666585286458,691.7333170572916,666.6333414713541,698.4666341145833,660.816670735677,0.12499499670068442,-37.33450283651679,10.49548525030923,11.201646885768245,-0.706161635459015,59.137130344840614,36.67629498619233,672.6099853515625,664.4524932861328,637.9408435058593,617.3665063476562,ISEC.BO,2023-12-15 11:18:31.845629
12,2023-11-30 00:00:00+05:30,662.0,683.2000122070312,657.0499877929688,680.25,8800,0.0,0.0,2023-11-30,661.7849945068359,18.887259414040653,680.6722539208765,642.8977350927953,699.5595133349173,624.0104756787546,-22.45145961432656,99.23219700429644,4535611,8093.734582541528,9275.247141631697,529.1513133811507,41.20062960849162,673.5,689.9500122070312,663.7999877929688,699.6500244140625,647.3499755859375,716.1000366210938,637.6499633789062,0.10692900765331101,-36.39318707384504,10.470540414961874,11.378187294632998,-0.9076468796711232,59.20836849053436,37.25185532176283,671.6499877929688,661.7849945068359,636.8777258300781,615.6510174560547,ISEC.BO,2023-12-15 11:18:31.845629
