Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-01 00:00:00+05:30,580.2000122070312,598.0,580.2000122070312,592.7000122070312,4005,0.0,0.0,2023-12-01,590.484994506836,20.04027775199775,610.5252722588338,570.4447167548382,630.5655500108314,550.4044390028405,-80.85027418987981,38.35401213953025,7226682,39728.26023245451,105447.83574322282,154.2742591332284,53.2840824467282,590.3000081380209,600.4000040690105,582.6000162760417,608.0999959309896,572.5000203450521,618.1999918619792,564.800028483073,,-40.77666204458531,14.263720072984142,19.470511425664146,-5.206791352680003,55.79527910325756,18.648747125990962,595.1799926757812,590.484994506836,542.6489990234375,370.32810012817384,JAIBALAJI.BO,2023-12-01 11:23:00.018103
2,2023-11-30 00:00:00+05:30,572.0,608.0,572.0,586.2000122070312,9782,0.0,0.0,2023-11-30,588.5199951171875,21.671963657308638,610.1919587744961,566.8480314598788,631.8639224318048,545.1760678025702,-99.34767185348328,38.016207346856426,7222677,95970.01706124135,121877.72962091489,154.15343427257505,49.42638127628239,588.7333374023438,605.4666748046875,569.4666748046875,624.7333374023438,552.7333374023438,641.4666748046875,533.4666748046875,,-49.79192168534969,15.60990422910902,20.772209263834142,-5.162305034725122,53.799301905286285,19.900602365199273,597.7699951171875,588.5199951171875,538.3459985351562,365.17819999694825,JAIBALAJI.BO,2023-12-01 11:23:00.018103
3,2023-11-29 00:00:00+05:30,609.0,609.0,581.5999755859375,593.5999755859375,6011,0.0,0.0,2023-11-29,587.504995727539,22.25389669627072,609.7588924238098,565.2510990312683,632.0127891200805,542.9972023349976,-24.400890525749688,50.59995569989179,7232459,59717.647753088946,128354.65776083326,153.86242395965124,60.637121816393545,594.7333170572916,607.8666585286458,580.4666341145833,622.1333414713541,567.3332926432291,635.2666829427083,553.0666097005208,,-41.86669921875,17.737065698251968,22.06278552251542,-4.325719824263452,56.49603895710273,21.248754161269762,602.5799926757812,587.504995727539,533.813998413086,360.0624998474121,JAIBALAJI.BO,2023-12-01 11:23:00.018103
4,2023-11-28 00:00:00+05:30,581.0499877929688,614.0,581.0499877929688,603.2999877929688,8204,0.0,0.0,2023-11-28,586.4624969482422,22.440925361521472,608.9034223097638,564.0215715867207,631.3443476712852,541.5806462251993,28.334040793162785,59.59904800030559,7238470,82836.36987202524,145513.91026276932,153.68034061337937,72.30413984014227,599.4499918619791,617.8499959309895,584.8999837239583,632.4000040690104,566.4999796549479,650.8000081380208,551.949971516927,,-28.933349609375,19.462949281304304,23.14421547858128,-3.681266197276976,60.166962866215265,22.549193393714223,605.4799926757812,586.4624969482422,528.7919989013672,354.88300010681155,JAIBALAJI.BO,2023-12-01 11:23:00.018103
5,2023-11-24 00:00:00+05:30,577.0,611.9000244140625,577.0,600.0999755859375,13026,0.0,0.0,2023-11-24,585.3349975585937,22.114550956934774,607.4495485155285,563.220446601659,629.5640994724632,541.1058956447242,16.651660124695322,56.96155429310811,7230266,130826.81643485205,161183.29536045535,153.42609914823538,71.87802356577734,596.3333333333334,615.6666666666667,580.7666422526042,631.2333577473959,561.4333089192709,650.5666910807292,545.8666178385417,,-33.200032552083336,20.42240585919683,24.06453202790052,-3.6421261687036903,59.35800488744532,23.949666413269796,605.989990234375,585.3349975585937,523.2499993896485,349.6143002319336,JAIBALAJI.BO,2023-12-01 11:23:00.018103
6,2023-11-23 00:00:00+05:30,614.0,622.0999755859375,602.0,605.6500244140625,20848,0.0,0.0,2023-11-23,584.4774993896484,21.842729048327985,606.3202284379764,562.6347703413204,628.1629574863044,540.7920412929924,84.12091334766984,76.80225038654612,7243292,211323.7106106168,168772.41509185615,153.02470857487998,75.72197804570936,609.9166666666666,617.8333333333333,597.7333577473958,630.0166422526041,589.8166910807291,637.9333089192708,577.6333821614583,,-19.775146054015348,21.656523348869882,24.975063570076443,-3.318540221206561,61.365073034344164,25.554624058069674,603.1199951171875,584.4774993896484,517.9970001220703,344.37170043945315,JAIBALAJI.BO,2023-12-01 11:23:00.018103
7,2023-11-22 00:00:00+05:30,605.0,618.0,600.0,610.25,12359,0.0,0.0,2023-11-22,582.6999969482422,21.472428477281547,604.1724254255238,561.2275684709606,625.6448539028053,539.7551399936791,77.43462216357997,77.83868326029231,7264140,126227.27615062741,158134.59121216595,152.37278926075732,72.49341934131367,609.4166666666666,618.8333333333333,600.8333333333333,627.4166666666666,591.4166666666666,636.8333333333333,582.8333333333333,,-15.074096760551257,22.361842851077313,25.80469862537808,-3.4428557743007673,63.00466466557606,25.934339878902403,600.7199951171875,582.6999969482422,512.4719995117188,339.084100189209,JAIBALAJI.BO,2023-12-01 11:23:00.018103
8,2023-11-21 00:00:00+05:30,609.0,619.9500122070312,596.0,608.0999755859375,15395,0.0,0.0,2023-11-21,581.9624969482422,20.716377699147007,602.6788746473892,561.2461192490953,623.3952523465363,540.5297415499482,77.50343098558766,77.89842298174199,7251781,156681.1568894643,166111.41997755057,151.98150359025345,69.210253697984,608.0166625976562,620.0333251953125,596.0833129882812,631.9666748046875,584.066650390625,643.9833374023438,572.13330078125,,-17.271362933780114,22.473021847696373,26.665412568953272,-4.192390721256899,62.570631534486296,26.50562976764473,594.5099975585938,581.9624969482422,506.56599975585937,333.75230018615724,JAIBALAJI.BO,2023-12-01 11:23:00.018103
9,2023-11-20 00:00:00+05:30,583.0999755859375,609.7999877929688,583.0999755859375,605.8499755859375,7888,0.0,0.0,2023-11-20,582.7974975585937,22.1146963595787,604.9121939181724,560.682801199015,627.0268902777511,538.5681048394363,46.18217967332213,70.14593170258149,7236386,79982.336525889,168468.98574957214,151.49545298878536,66.47322320552175,599.5833129882812,616.066650390625,589.3666381835938,626.2833251953125,572.88330078125,642.7666625976562,562.6666259765625,,-19.570801422677764,22.486609151605876,27.713510249267493,-5.226901097661617,62.1389857213163,27.12086503244416,587.6400024414063,582.7974975585937,501.0340002441406,328.4475004577637,JAIBALAJI.BO,2023-12-01 11:23:00.018103
10,2023-11-17 00:00:00+05:30,596.0,600.0,580.0499877929688,585.75,23697,0.0,0.0,2023-11-17,582.2699981689453,21.656974703908336,603.9269728728536,560.613023465037,625.5839475767621,538.9560487611286,8.254270468612482,60.3316432332944,7228498,232309.92050209167,190590.64805549293,151.24724081569767,61.43964512417366,588.5999959309896,597.1500040690105,577.1999918619792,608.5500081380209,568.6499837239584,617.1000162760417,557.249979654948,,-40.112426972992324,22.38488972779885,29.020235523682892,-6.635345795884042,58.13395527151586,28.16063630025432,581.2400024414062,582.2699981689453,495.23200073242185,323.1796006774902,JAIBALAJI.BO,2023-12-01 11:23:00.018103
