Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-30 00:00:00+05:30,563.0,566.7999877929688,558.0499877929688,560.8499755859375,3788591,0.0,0.0,2023-11-30,521.8849975585938,19.669329106779323,541.5543266653731,502.21566845181445,561.2236557721525,482.54633934503516,138.0312345469692,181.98029571479094,44408513,2923366.942932295,2488022.2917019534,548.2873958252381,86.14298032149847,561.8999837239584,565.749979654948,556.999979654948,570.6499837239584,553.1499837239584,574.499979654948,548.249979654948,0.21599910163931213,-9.812802746809371,8.884955882969962,3.430529565550337,5.454426317419625,70.69535288504765,24.14027780922315,550.239990234375,521.8849975585938,527.1449987792969,510.48133087158203,JUBLFOOD.NS,2023-11-30 10:52:37.767203
2,2023-11-29 00:00:00+05:30,545.1500244140625,567.4000244140625,545.1500244140625,563.25,5940108,0.0,0.0,2023-11-29,518.8899993896484,17.905264531716515,536.795263921365,500.9847348579319,554.7005284530815,483.0794703262154,163.55827348850687,175.76690582785238,48197104,4603142.76630495,2379186.1288943677,548.2570307979594,84.64505809452685,558.6000162760416,572.0500081380208,549.8000081380208,580.8500162760416,536.3500162760416,594.3000081380208,527.5500081380208,0.2797063645338864,-6.2172621973103395,7.331271236379962,2.066922986195431,5.264348250184531,72.7398126419003,22.29481323192737,544.15,518.8899993896484,526.3809997558594,509.79599609375,JUBLFOOD.NS,2023-11-30 10:52:37.767203
3,2023-11-28 00:00:00+05:30,544.8499755859375,549.75,539.7999877929688,544.7000122070312,2168765,0.0,0.0,2023-11-28,515.4549987792968,15.355460862298363,530.8104596415952,500.0995379169985,546.1659205038935,484.7440770547001,129.01269163118627,109.87124107782108,42256996,1625282.2188741784,1823196.9695417217,548.1999949230517,78.96345802471906,544.75,549.7000122070312,539.75,554.7000122070312,534.7999877929688,559.6500244140625,529.7999877929688,0.16843562279000882,-10.285106242801799,4.994638167218682,0.7508359236492979,4.243802243569384,65.59984822863129,20.307389840993455,535.1900024414062,515.4549987792968,525.4869995117188,509.15000244140623,JUBLFOOD.NS,2023-11-30 10:52:37.767203
4,2023-11-24 00:00:00+05:30,537.9500122070312,546.9500122070312,536.4000244140625,544.8499755859375,2629176,0.0,0.0,2023-11-24,513.4699981689453,13.870159237508057,527.3401574064533,499.5998389314372,541.2103166439614,485.72967969392914,142.9465993618307,97.92563579593222,44425761,1970858.7425006574,1872675.6572086075,548.2048628957613,77.90824215208889,542.7333374023438,549.066650390625,538.5166625976562,553.2833251953125,532.183349609375,559.6166381835938,527.9666748046875,0.15630350934466564,-4.53571445049596,3.7542561693845755,-0.3101146372430481,4.064370806627624,65.7291152253348,19.29065892606585,530.5,513.4699981689453,525.1529992675781,508.71245147705076,JUBLFOOD.NS,2023-11-30 10:52:37.767203
5,2023-11-23 00:00:00+05:30,529.4500122070312,543.5499877929688,527.4500122070312,537.5499877929688,4181883,0.0,0.0,2023-11-23,511.5299987792969,11.810625561342949,523.3406243406398,499.71937321795394,535.1512499019827,487.90874765661096,124.47705850626099,64.41648905103611,41796585,3092784.338907846,1848129.8858855949,548.2105292044148,76.8033579028657,536.1833292643229,544.9166463216145,528.816670735677,552.2833048502604,520.0833536783854,561.016621907552,512.7166951497395,0.0600051723841141,-13.986015975847717,2.0945395489412704,-1.326207338899954,3.4207468878412244,62.37898024721553,18.417017489721403,527.1400024414063,511.5299987792969,525.1690002441406,508.2639242553711,JUBLFOOD.NS,2023-11-30 10:52:37.767203
6,2023-11-22 00:00:00+05:30,518.4500122070312,536.0,518.0,530.4000244140625,4769051,0.0,0.0,2023-11-22,511.1074981689453,10.950656717278928,522.0581548862242,500.15684145166637,533.0088116035032,489.2061847343875,91.08277533113404,23.257547633634783,37614702,3480121.4902407182,1536966.272630032,548.2392450784765,72.62092654140655,528.1333414713541,538.2666829427083,520.2666829427083,546.1333414713541,510.13334147135413,556.2666829427083,502.26668294270826,0.02218717915868992,-14.795177497784755,0.6568020743640091,-2.18139406086026,2.838196135224269,58.70782040246635,17.749856700518,525.1,511.1074981689453,525.0720007324219,507.818073425293,JUBLFOOD.NS,2023-11-30 10:52:37.767203
7,2023-11-21 00:00:00+05:30,522.0,524.6500244140625,517.0,518.4500122070312,698524,0.0,0.0,2023-11-21,510.8299957275391,10.496953775644455,521.3269495031835,500.33304195189464,531.823903278828,489.8360881762502,48.74983346126864,-17.979250050521124,32845651,498249.7901593715,1051177.4682273602,548.2942137061133,65.94736437572173,520.0333455403646,523.0666910807292,515.4166666666667,527.6833699544271,512.3833211263021,530.7167154947917,507.76664225260424,-0.0561906280602491,-41.741339022655694,-0.48972605765504795,-2.8909430946663273,2.4012170370112793,51.33834074257458,17.69483298451565,522.1699951171875,510.8299957275391,525.1230004882813,507.3689096069336,JUBLFOOD.NS,2023-11-30 10:52:37.767203
8,2023-11-20 00:00:00+05:30,528.0,534.75,518.5499877929688,521.25,1794031,0.0,0.0,2023-11-20,511.2574951171875,10.986316861041734,522.2438119782292,500.27117825614573,533.230128839271,489.28486139510403,104.44483818879338,4.601679346885503,33544175,1286574.425691532,1189409.387744357,548.307689190884,71.11064364122183,524.8499959309896,531.1500040690105,514.9499918619792,541.0500081380209,508.64998372395837,547.3500162760417,498.749979654948,-0.07563696511806466,-31.57894736842105,-0.7733142660225667,-3.491247353919147,2.71793308789658,53.412377104557265,18.876132424510747,519.4699951171875,511.2574951171875,525.5680004882812,506.96094207763673,JUBLFOOD.NS,2023-11-30 10:52:37.767203
9,2023-11-17 00:00:00+05:30,527.0,531.8499755859375,525.0,528.0499877929688,875286,0.0,0.0,2023-11-17,511.6824951171875,11.543496889364981,523.2259920065525,500.1389982278225,534.7694888959174,488.59550133845755,181.58468749801432,20.2986588722808,35338206,635892.8212611568,1165118.1282575633,548.3391035119181,68.83588461440571,528.2999877929688,531.5999755859375,524.75,535.1499633789062,521.4500122070312,538.449951171875,517.9000244140625,-0.0251861846933369,-9.359581472962612,-1.4004325992851818,-4.170730625893292,2.77029802660811,58.76625892235589,19.9457705614432,516.7399963378906,511.6824951171875,525.8090002441406,506.68906341552736,JUBLFOOD.NS,2023-11-30 10:52:37.767203
10,2023-11-16 00:00:00+05:30,518.7999877929688,528.4000244140625,515.0,527.3499755859375,3415182,0.0,0.0,2023-11-16,511.85499572753906,11.823343641283971,523.678339368823,500.03165208625506,535.5016830101071,488.2083084449711,252.40343890774696,-4.045180746044362,34462920,2477831.023637103,1297424.455006665,548.3506026742567,61.91441271788751,523.5833333333334,532.1666666666667,518.7666422526042,536.9833577473959,510.18330891927087,545.5666910807292,505.36661783854174,-0.03212910789144515,-2.8265091199442716,-2.8518111934623676,-4.863305132545318,2.0114939390829507,58.367357768926226,20.206346355344508,512.2799987792969,511.85499572753906,525.3020007324219,506.3476885986328,JUBLFOOD.NS,2023-11-30 10:52:37.767203
