Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-04 00:00:00+05:30,3012.050048828125,3044.949951171875,2880.0,2898.89990234375,23846,0.0,0.0,2023-12-04,2763.9074951171874,239.39018233334264,3003.29767745053,2524.517312783845,3242.6878597838727,2285.127130450502,-10.324060359566854,98.91788072631893,4810270,77557.39668237866,62835.425192205184,1270.8091733268968,69.98965999791855,2941.2832845052085,3002.566569010417,2837.616617838542,3106.2332356770835,2776.3333333333335,3167.516520182292,2672.666666666667,-0.20764372874602754,-40.94110410579732,179.4944725271671,190.11388442129874,-10.619411894131645,64.15437652709636,51.9376932064099,2969.719970703125,2763.9074951171874,2354.7287475585936,2047.7749523925781,KDDL.NS,2023-12-04 10:54:13.054065
2,2023-12-01 00:00:00+05:30,3033.699951171875,3033.699951171875,2950.0,2966.75,8510,0.0,0.0,2023-12-01,2745.9125,242.21886176717655,2988.1313617671763,2503.6936382328236,3230.350223534353,2261.4747764656468,68.51597522670407,113.79587082019893,4834116,28325.98200082524,59154.932319661806,1268.3083677214076,76.78587329591882,2983.4833170572915,3016.966634114583,2933.266682942708,3067.1832682291665,2899.7833658854165,3100.666585286458,2849.566731770833,-0.010887768866519845,-21.454077715293362,192.27944784598458,192.76873739483165,-0.48928954884706855,69.63991245139596,52.993918658963764,2952.7,2745.9125,2337.0604345703123,2033.4736279296876,KDDL.NS,2023-12-04 10:54:13.054065
3,2023-11-30 00:00:00+05:30,2980.0,3024.0,2938.0,2993.60009765625,12517,0.0,0.0,2023-11-30,2713.15,254.7658319593596,2967.91583195936,2458.3841680406404,3222.681663918719,2203.618336081281,85.81716834857701,121.81618477665059,4842626,42040.56076313577,66862.16989937094,1267.3768221391242,79.50919824151737,2985.2000325520835,3032.400065104167,2946.400065104167,3071.2000325520835,2899.2000325520835,3118.400065104167,2860.400065104167,0.03352279085565736,-17.352453129921347,199.05255893429512,192.89105978204338,6.161499152251736,71.89895874279043,53.160802759519676,2945.72001953125,2713.15,2317.41572265625,2018.5782214355468,KDDL.NS,2023-12-04 10:54:13.054065
4,2023-11-29 00:00:00+05:30,3040.0,3078.0,2960.0,2983.449951171875,8249,0.0,0.0,2023-11-29,2676.672497558594,264.53865489354894,2941.211152452143,2412.133842665045,3205.749807345692,2147.595187771496,140.68889521704142,134.96788584922615,4830109,27611.78760612285,73067.57218342973,1265.9831146277838,84.10239536770484,3007.1499837239585,3054.299967447917,2936.299967447917,3125.1499837239585,2889.1499837239585,3172.299967447917,2818.299967447917,0.05365516350128872,-18.44292467228194,202.06391792311797,191.35068499398045,10.713232929137519,71.57529055454758,53.385489090433985,2937.15,2676.672497558594,2297.19205078125,2003.2529699707031,KDDL.NS,2023-12-04 10:54:13.054065
5,2023-11-28 00:00:00+05:30,2860.0,3025.0,2817.14990234375,3005.89990234375,20705,0.0,0.0,2023-11-28,2635.1449951171876,278.65919148638807,2913.8041866035755,2356.4858036307996,3192.463378089964,2077.8266121444112,75.1589443614006,132.72776903487048,4838358,69827.13331690745,84431.51832775644,1265.068800934679,84.6322539593128,2949.3499348958335,3081.549967447917,2873.699869791667,3157.2000325520835,2741.4998372395835,3289.400065104167,2665.849772135417,0.04204888216369676,-14.9058615472033,203.85743108646375,188.67237676169603,15.18505432476772,73.30950791045682,53.330709855816494,2930.080029296875,2635.1449951171876,2275.046455078125,1987.21001953125,KDDL.NS,2023-12-04 10:54:13.054065
6,2023-11-24 00:00:00+05:30,2936.050048828125,2985.0,2741.0,2813.800048828125,29351,0.0,0.0,2023-11-24,2593.6949951171873,282.2405906142623,2875.9355857314495,2311.454404502925,3158.176176345712,2029.2138138886626,1.1375063410825552,120.03911250337958,4817653,92659.63795804078,88082.61458046868,1262.7395400300588,78.51399522331818,2846.6000162760415,2952.200032552083,2708.200032552083,3090.6000162760415,2602.6000162760415,3196.200032552083,2464.200032552083,0.05068821031294474,-39.248607750268434,200.85394242887423,184.8761131805041,15.977829248370142,66.94610562286718,53.48689541375676,2909.830029296875,2593.6949951171873,2251.2140673828126,1970.9865270996095,KDDL.NS,2023-12-04 10:54:13.054065
7,2023-11-23 00:00:00+05:30,2940.0,2957.550048828125,2895.60009765625,2931.85009765625,9973,0.0,0.0,2023-11-23,2556.402490234375,300.3228321736058,2856.7253224079805,2256.0796580607694,3157.0481545815865,1955.7568258871634,54.12508436542385,148.8649147031378,4847004,32805.15123938626,86938.35873607565,1259.7919815058735,62.94166607386519,2928.3334147135415,2961.066731770833,2899.116780598958,2990.2833658854165,2866.3834635416665,3023.016682942708,2837.166829427083,0.09940867058742088,-24.11204362539013,212.8842502145767,180.88165586841157,32.002594346165125,77.48807117216732,53.82222163219086,2917.2,2556.402490234375,2232.289638671875,1956.5121997070312,KDDL.NS,2023-12-04 10:54:13.054065
8,2023-11-22 00:00:00+05:30,2979.800048828125,3119.89990234375,2888.85009765625,2950.75,38941,0.0,0.0,2023-11-22,2511.182482910156,308.78498466907627,2819.967467579232,2202.39749824108,3128.7524522483086,1893.6125135720035,82.07452591105915,177.2731712471951,4856977,128918.1247101129,100471.660610248,1258.7116214977048,72.60317396873694,2986.5,3084.14990234375,2853.10009765625,3217.5498046875,2755.4501953125,3315.19970703125,2622.05029296875,0.007072788918070925,-19.903504324207084,213.43502961297781,172.8810072818703,40.55402233110752,79.34557674288227,51.99648086210024,2904.2099609375,2511.182482910156,2211.28693359375,1940.9452868652343,KDDL.NS,2023-12-04 10:54:13.054065
9,2023-11-21 00:00:00+05:30,2901.0,2973.85009765625,2880.199951171875,2948.10009765625,17923,0.0,0.0,2023-11-21,2456.769982910156,322.81411685800913,2779.5840997681653,2133.955866052147,3102.3982166261744,1811.141749194138,77.90152862905215,183.039850796551,4818036,59282.62062844938,93360.04458528178,1254.4319968168265,72.33128658750913,2934.050048828125,2987.900146484375,2894.25,3027.7001953125,2840.39990234375,3081.55029296875,2800.599853515625,-0.012887622325595654,-5.45666916434293,209.04497604203107,162.7425016990934,46.30247434293767,79.28091233746933,50.030298494310344,2888.38994140625,2456.769982910156,2190.04708984375,1925.050010986328,KDDL.NS,2023-12-04 10:54:13.054065
10,2023-11-20 00:00:00+05:30,2882.14990234375,2962.449951171875,2850.699951171875,2904.64990234375,21278,0.0,0.0,2023-11-20,2408.40498046875,317.7493843701033,2726.1543648388533,2090.655596098647,3043.903749208957,1772.9062117285434,83.752363986624,196.82556138400142,4800113,69342.43093301865,101879.40057448987,1252.4580599707774,72.87526126477198,2905.9332682291665,2961.166585286458,2849.416585286458,3017.6832682291665,2794.1832682291665,3072.916585286458,2737.666585286458,-0.011745811003160484,-10.06989867916457,200.51800426093087,151.16688311335895,49.35112114757192,78.2438785304027,48.23023575803309,2850.729931640625,2408.40498046875,2168.647451171875,1909.1477661132812,KDDL.NS,2023-12-04 10:54:13.054065
