Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-15 00:00:00+05:30,91.4000015258789,93.69999694824219,91.0999984741211,91.5999984741211,1003296,0.0,0.0,2023-09-15,87.32999954223632,5.802503430336125,93.13250297257245,81.52749611190019,98.93500640290857,75.72499268156407,7.156584713985589,111.07758444693003,119662580,1664889.6883855367,4246590.836621693,80.01025176309778,69.10102049747405,92.13333129882812,93.16666412353516,90.56666564941406,94.73332977294922,89.53333282470703,95.76666259765625,87.96666717529297,-0.0935248777170015,-36.224484830932994,2.7222887545438397,2.727533630967425,-0.005244876423585509,57.24899487854865,30.234867319393548,90.7,87.32999954223632,83.7899998474121,72.96649971008301,KELLTONTEC.NS,2023-09-15 10:49:24.691247
2,2023-09-14 00:00:00+05:30,95.44999694824219,95.94999694824219,90.0,90.6500015258789,3408048,0.0,0.0,2023-09-14,86.71499977111816,5.975367566370776,92.69036733748894,80.73963220474738,98.66573490385971,74.7642646383766,14.11766313306029,120.3399135772373,118659284,5596731.016853282,4892016.123680732,79.98126499231353,69.64923288056463,92.1999994913737,94.3999989827474,88.45000203450522,98.14999643961589,86.25000254313152,100.34999593098959,82.50000508626303,-0.09085617846351114,-40.14961227065673,2.799851288719566,2.7288448500733216,0.07100643864624434,56.0342487872777,31.307335101263305,90.86999969482422,86.71499977111816,83.39199981689453,72.5699997329712,KELLTONTEC.NS,2023-09-15 10:49:24.691247
3,2023-09-13 00:00:00+05:30,86.69999694824219,95.5,84.8499984741211,94.0999984741211,4531639,0.0,0.0,2023-09-13,86.22749977111816,6.034864382959922,92.26236415407809,80.19263538815824,98.29722853703801,74.15777100519831,-10.531152531562345,117.51042833161233,122067332,7725130.744410506,4715837.4003875945,79.88984926254169,65.64798545094486,91.48333231608073,98.11666615804037,87.46666463216147,102.13333384195964,80.83333079020183,108.76666768391928,76.81666310628256,-0.04405137748491271,-22.942641019211237,2.9502931525484257,2.7110932404117603,0.23919991213666547,61.972355384262826,32.46230040481535,91.45999908447266,86.22749977111816,83.02899978637696,72.18899971008301,KELLTONTEC.NS,2023-09-15 10:49:24.691247
4,2023-09-12 00:00:00+05:30,92.19999694824219,93.0,83.5999984741211,85.5,3443262,0.0,0.0,2023-09-12,85.64499969482422,5.792369478183533,91.43736917300775,79.85263021664069,97.22973865119128,74.06026073845716,-116.29799792491332,51.19748157824425,117535693,5333313.350199355,3963514.0643818667,79.72607987523519,62.95702914247126,87.36666615804036,91.13333384195963,81.73333231608072,96.76666768391927,77.96666463216145,100.53333536783853,72.33333079020181,-0.15037529830115318,-65.83541128153689,2.7584304885698856,2.6512932623775938,0.10713722619229182,49.612555429550405,33.80488002910309,91.82999877929687,85.64499969482422,82.62399978637696,71.7684997177124,KELLTONTEC.NS,2023-09-15 10:49:24.691247
5,2023-09-11 00:00:00+05:30,93.30000305175781,94.3499984741211,91.0999984741211,91.6500015258789,1041063,0.0,0.0,2023-09-11,85.45749969482422,5.857636545009712,91.31513623983393,79.59986314981451,97.17277278484364,73.7422266048048,40.877154149995455,146.57351458320352,120978955,1728504.0619527535,3621064.2429274945,79.67507174187776,70.41724722794297,92.36666615804036,93.63333384195963,90.38333384195963,95.61666615804036,89.11666615804036,96.88333384195963,87.13333384195963,-0.09581172007022801,-35.16207995987813,3.3179632838279076,2.624508955829521,0.6934543279983867,63.26728863752977,35.812543886235375,92.7699981689453,85.45749969482422,82.32499984741212,71.4324997329712,KELLTONTEC.NS,2023-09-15 10:49:24.691247
6,2023-09-08 00:00:00+05:30,94.0,95.3499984741211,92.19999694824219,92.44999694824219,1007985,0.0,0.0,2023-09-08,84.94249954223633,5.736064101631034,90.67856364386736,79.2064354406053,96.41462774549841,73.47037133897426,63.06857652244365,179.16896653814047,122020018,1688192.189961691,4094204.288171179,79.64300091674498,71.90409932044156,93.33333079020183,94.46666463216147,91.31666310628256,96.48333231608073,90.18332926432292,97.61666615804037,88.16666158040366,-0.08496774692049028,-31.172076942366285,3.378380677725815,2.4511453738299243,0.9272353038958907,65.44291568895235,35.36715605235281,92.55999755859375,84.94249954223633,81.88599975585937,71.03249973297119,KELLTONTEC.NS,2023-09-15 10:49:24.691247
7,2023-09-07 00:00:00+05:30,96.5,97.6500015258789,92.75,93.5999984741211,2368272,0.0,0.0,2023-09-07,84.45499954223632,5.472704381821089,89.92770392405741,78.98229516041523,95.4004083058785,73.50959077859414,89.08815941940149,226.0162760394974,123028003,4015765.444248505,4695707.312723551,79.60970514317647,74.90738727682148,94.66666666666667,96.58333333333334,91.68333180745444,99.56666819254558,89.76666514078777,101.48333485921225,86.78333028157553,-0.06594602953229614,-25.436407174600543,3.3257582362301576,2.2193365478559515,1.1064216883742062,68.59137364047182,34.39972287588607,92.0999984741211,84.45499954223632,81.27099983215332,70.62449977874756,KELLTONTEC.NS,2023-09-15 10:49:24.691247
8,2023-09-06 00:00:00+05:30,90.9000015258789,98.69999694824219,90.75,95.94999694824219,6706988,0.0,0.0,2023-09-06,83.87999954223633,5.049032717847117,88.92903226008345,78.83096682438922,93.97806497793057,73.7819341065421,114.23027060333371,260.1825269081911,125396275,11658251.25429993,4865692.7798423115,79.52372323169774,80.07224016006168,95.13333129882812,99.51666259765625,91.56666564941406,103.08332824707031,87.18333435058594,107.46665954589844,83.61666870117188,-0.01635268456919025,-13.715713854641166,3.094737562581244,1.9427311257623998,1.1520064368188443,75.48209242652051,33.11623279162162,91.53999938964844,83.87999954223633,80.62799987792968,70.22099979400635,KELLTONTEC.NS,2023-09-15 10:49:24.691247
9,2023-09-05 00:00:00+05:30,90.94999694824219,92.25,87.19999694824219,90.19999694824219,1289106,0.0,0.0,2023-09-05,83.17249984741211,4.186396063365058,87.35889591077716,78.98610378404706,91.54529197414223,74.799707720682,68.14483332619072,166.5367758282841,118689287,2106473.8343994296,3167553.1612279066,79.232758219866,71.7490931634459,89.88333129882812,92.56666564941406,87.51666259765625,94.93333435058594,84.83332824707031,97.61666870117188,82.46665954589844,-0.1124225914045515,-23.000030517578125,2.5206318873130584,1.6547295165576885,0.8659023707553699,68.23077437456777,31.734012700875287,89.98999938964843,83.17249984741211,79.91899993896484,69.79449981689453,KELLTONTEC.NS,2023-09-15 10:49:24.691247
10,2023-09-04 00:00:00+05:30,90.5,92.69999694824219,89.80000305175781,90.5999984741211,1177051,0.0,0.0,2023-09-04,82.8349998474121,3.8484822170674606,86.68348206447956,78.98651763034465,90.53196428154703,75.13803541327718,102.72200381559435,205.1405736776694,119978393,1931898.8646746501,3432822.9929350256,79.19529188404793,77.0717613872533,91.03333282470703,92.26666259765625,89.36666870117188,93.9333267211914,88.13333892822266,95.16665649414062,86.4666748046875,-0.17352377067360114,-20.333353678385418,2.313699138108902,1.4382539238688459,0.875445214240056,69.55969388053715,31.274201098594567,87.9,82.8349998474121,79.35199996948242,69.43199985504151,KELLTONTEC.NS,2023-09-15 10:49:24.691247
