Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-21 00:00:00+05:30,2435.949951171875,2442.699951171875,2363.550048828125,2389.300048828125,8291,0.0,0.0,2023-09-21,2245.1525146484373,74.64598744671005,2319.7985020951473,2170.5065272017273,2394.4444895418574,2095.8605397550173,106.27213634505712,131.89907250105787,-245957,5047.321737437924,7769.684716322863,2510.7436167344536,88.75942143808658,2398.5166829427085,2433.483317057292,2354.333414713542,2477.6665852864585,2319.3667805989585,2512.633219401042,2275.183512369792,-0.06562990889963541,-18.889250642736794,31.648925771570703,10.29852939514306,21.350396376427643,65.78674722416389,24.25201526898324,2362.32001953125,2245.1525146484373,2271.814912109375,2119.814268798828,LALPATHLAB.BO,2023-09-21 11:46:41.505943
2,2023-09-20 00:00:00+05:30,2332.0,2434.949951171875,2328.35009765625,2412.89990234375,9270,0.0,0.0,2023-09-20,2237.4300170898437,66.49231622048691,2303.9223333103305,2170.937700869357,2370.4146495308173,2104.44538464887,132.08447592467908,130.94388512161026,-237666,5699.049409655306,8450.275461044097,2510.9025663545603,84.10829528499156,2392.066650390625,2455.783203125,2349.183349609375,2498.66650390625,2285.466796875,2562.383056640625,2242.58349609375,-0.06007359172849189,-8.019659117648365,25.97850499980359,4.960930301036147,21.017574698767444,69.84776857412939,22.001915022504615,2332.67001953125,2237.4300170898437,2268.3896142578124,2114.360703125,LALPATHLAB.BO,2023-09-21 11:46:41.505943
3,2023-09-18 00:00:00+05:30,2373.949951171875,2409.0,2332.300048828125,2360.35009765625,26262,0.0,0.0,2023-09-18,2229.2800170898436,52.33530639723891,2281.6153234870826,2176.9447106926045,2333.950629884321,2124.609404295366,156.9024261252869,105.75261207151496,-246936,15793.835251385188,9138.081973891294,2511.0461918966835,83.16511863105349,2367.2167154947915,2402.133382161458,2325.433430989583,2443.9166666666665,2290.5167643229165,2478.833333333333,2248.733479817708,-0.10663698150369443,-19.538113391064257,16.000806392747563,-0.29346337365571307,16.294269766403275,65.43618437021931,19.664820851399693,2291.17001953125,2229.2800170898436,2264.3709375,2108.5472717285156,LALPATHLAB.BO,2023-09-21 11:46:41.505943
4,2023-09-15 00:00:00+05:30,2330.0,2370.0,2316.449951171875,2336.75,29589,0.0,0.0,2023-09-15,2224.810009765625,43.648174553563834,2268.458184319189,2181.1618352120613,2312.106358872753,2137.5136606584974,212.40978928313476,75.06714073931954,-273198,17616.755279922232,7474.143654517821,2511.67446828549,72.68085285299858,2341.066650390625,2365.683349609375,2312.13330078125,2394.61669921875,2287.5166015625,2419.2333984375,2258.583251953125,-0.043819075438869134,-15.833333333333334,8.159251722743647,-4.367030815256532,12.52628253800018,63.190274667824106,17.444241438123946,2262.97001953125,2224.810009765625,2259.37361328125,2103.129997558594,LALPATHLAB.BO,2023-09-21 11:46:41.505943
5,2023-09-14 00:00:00+05:30,2246.050048828125,2331.449951171875,2245.64990234375,2312.300048828125,25987,0.0,0.0,2023-09-14,2219.972509765625,35.1165322889053,2255.08904205453,2184.85597747672,2290.2055743434357,2149.7394451878145,221.17299906597987,23.12544799027732,-302787,15310.300578062366,4938.490748166718,2512.5000244552853,60.620868033639105,2296.4666341145835,2347.283365885417,2261.483317057292,2382.2666829427085,2210.6665852864585,2433.083414713542,2175.683268229167,0.00509585105170479,-11.169383375649154,0.3203125322515916,-7.498601449756576,7.8189139820081675,60.735854330487356,15.55665867850477,2239.02001953125,2219.972509765625,2252.9917602539062,2097.669647216797,LALPATHLAB.BO,2023-09-21 11:46:41.505943
6,2023-09-13 00:00:00+05:30,2205.0,2253.550048828125,2188.0,2241.050048828125,2893,0.0,0.0,2023-09-13,2217.212512207031,29.13848742843673,2246.350999635468,2188.0740247785943,2275.4894870639046,2158.9355373501576,54.72569943362307,-54.960161577951844,-328774,1651.8985483716758,2345.538290692805,2513.333302280501,38.18851635132465,2227.5333658854165,2267.066731770833,2201.516682942708,2293.0834147135415,2161.9833170572915,2332.616780598958,2135.966634114583,-0.2257187859521981,-25.60799894231825,-7.312808551258058,-9.453329945258616,2.140521394000558,52.09179873972266,14.114088209597666,2224.730029296875,2217.212512207031,2246.4233520507814,2092.5567712402344,LALPATHLAB.BO,2023-09-21 11:46:41.505943
7,2023-09-12 00:00:00+05:30,2201.050048828125,2238.449951171875,2182.0,2205.39990234375,2702,0.0,0.0,2023-09-12,2219.360009765625,32.38914941846152,2251.7491591840862,2186.9708603471636,2284.138308602548,2154.581710928702,-3.1353707640376047,-75.59560687737408,-331667,1518.294706744181,2518.9482262730867,2513.4595258054055,33.74544572380873,2208.6166178385415,2235.233235677083,2178.783284505208,2265.0665690104165,2152.1666666666665,2291.683186848958,2122.333333333333,-0.1095599639827868,-58.329579907632116,-9.957671021034912,-9.988460293758756,0.030789272723843908,46.63318078042756,14.22836553553376,2224.280029296875,2219.360009765625,2241.3505859375,2088.331004638672,LALPATHLAB.BO,2023-09-21 11:46:41.505943
8,2023-09-11 00:00:00+05:30,2211.14990234375,2247.699951171875,2203.449951171875,2219.35009765625,2662,0.0,0.0,2023-09-11,2222.425012207031,33.86535541847879,2256.29036762551,2188.5596567885523,2290.155723043989,2154.6943013700734,56.99182535405161,-57.772165370385736,-328965,1505.279856670341,2769.1116061553125,2513.592963687608,34.03427415368135,2223.5,2243.550048828125,2199.300048828125,2267.75,2179.25,2287.800048828125,2155.050048828125,-0.12212605409637015,-45.5253563513565,-9.682023377499718,-9.996157611939717,0.3141342344399991,48.647185788231994,14.775931919437536,2224.46005859375,2222.425012207031,2236.7779052734377,2084.339364013672,LALPATHLAB.BO,2023-09-21 11:46:41.505943
9,2023-09-08 00:00:00+05:30,2245.0,2268.949951171875,2212.199951171875,2217.0,8377,0.0,0.0,2023-09-08,2226.3550048828124,37.819549464525,2264.1745543473376,2188.5354554182873,2301.9941038118623,2150.7159059537626,105.46593585970766,-43.13681747975357,-331627,4731.922148287748,3085.069543526555,2513.71858356955,37.341649147827,2232.7166341145835,2253.233317057292,2196.483317057292,2289.4666341145835,2175.9666341145835,2309.983317057292,2139.733317057292,-0.21655357115258575,-52.12097721833607,-10.55629641197038,-10.074691170549716,-0.4816052414206631,48.29789858599399,14.616799566118274,2214.630029296875,2226.3550048828124,2231.380009765625,2080.350495605469,LALPATHLAB.BO,2023-09-21 11:46:41.505943
10,2023-09-07 00:00:00+05:30,2232.050048828125,2250.050048828125,2225.85009765625,2240.85009765625,2712,0.0,0.0,2023-09-07,2233.122509765625,47.04270901176499,2280.1652187773902,2186.07980075386,2327.2079277891553,2139.037091742095,178.06474559744356,-31.763819740767826,-323250,1548.4096622115012,2673.3563923362567,2514.117756893822,47.51175024593231,2238.916748046875,2251.9833984375,2227.783447265625,2263.11669921875,2214.716796875,2276.183349609375,2203.58349609375,-0.1658606220935085,-32.087304077485136,-11.284237930684867,-9.95428986019455,-1.3299480704903175,51.60580178962611,14.124971059753712,2211.380029296875,2233.122509765625,2225.945539550781,2076.3831396484375,LALPATHLAB.BO,2023-09-21 11:46:41.505943
