Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
1,2023-08-08 00:00:00+05:30,605.0999755859375,653.5999755859375,605.0999755859375,632.0499877929688,4751,0.0,0.0,2023-08-08,665.6473248825653,684.2056911803996,32.15519040903321,28.06426266505938,678.4314941375984,680.5649993896484,650.9801543053668,-18.558366297834368,-14.597410364040394,680.5649993896484,26.896995681961325,707.4619950716097,653.668003707687,734.358990753571,626.7710080257258,LINC.BO,2023-08-08 13:57:22.225136
2,2023-08-07 00:00:00+05:30,655.7000122070312,670.7000122070312,645.0499877929688,650.7000122070312,887,0.0,0.0,2023-08-07,671.7559316261282,688.378147451394,36.419347384588285,26.382891238980424,683.313757963349,684.4225006103516,660.4452375615658,-16.622215825265812,-13.607171380591899,684.4225006103516,25.041198110171877,709.4636987205234,659.3813025001797,734.5048968306953,634.3401043900078,LINC.BO,2023-08-08 13:57:22.225136
3,2023-08-04 00:00:00+05:30,656.0,674.5,646.6500244140625,653.2000122070312,2051,0.0,0.0,2023-08-04,675.5842806114186,691.3923982709431,37.030598005003604,25.70823770420303,686.746783832435,688.2975006103516,665.317850238833,-15.808117659524441,-12.853410269423419,688.2975006103516,25.53956914543016,713.8370697557817,662.7579314649214,739.3766389012119,637.2183623194912,LINC.BO,2023-08-08 13:57:22.225136
4,2023-08-03 00:00:00+05:30,684.5,686.2000122070312,660.0,663.25,2420,0.0,0.0,2023-08-03,679.6541475940346,694.447789156056,39.505670722738934,25.037004676661667,690.2780229508986,691.3049987792969,671.3767692547337,-14.793641562021435,-12.114733421898162,691.3049987792969,24.717364614255438,716.0223633935523,666.5876341650414,740.7397280078077,641.870269550786,LINC.BO,2023-08-08 13:57:22.225136
5,2023-07-28 00:00:00+05:30,687.0999755859375,694.6500244140625,681.9000244140625,683.3499755859375,307,0.0,0.0,2023-07-28,682.6367198838591,696.9436122885405,45.10442931722851,24.788192580123873,693.1230779983616,695.125,675.4401538821005,-14.306892404681435,-11.445006386867345,695.125,26.022585854562212,721.1475858545622,669.1024141454378,747.1701717091245,643.0798282908755,LINC.BO,2023-08-08 13:57:22.225136
6,2023-07-26 00:00:00+05:30,688.5,691.9500122070312,675.3499755859375,679.0999755859375,1105,0.0,0.0,2023-07-26,682.5070370289358,698.0311032247488,43.53322197634788,25.442241104254634,694.1518256207221,697.7125,671.485243030182,-15.52406619581302,-10.729534882413823,697.7125,27.330115320059882,725.0426153200599,670.3823846799401,752.3727306401197,643.0522693598803,LINC.BO,2023-08-08 13:57:22.225136
7,2023-07-24 00:00:00+05:30,650.0,674.5,650.0,668.3499755859375,2628,0.0,0.0,2023-07-24,683.1265027458445,699.5455934358537,39.46366462708732,25.9721432389297,695.7362308875415,701.9800018310547,667.6778767523042,-16.41909069000917,-9.530902054064024,701.9800018310547,30.723732381633173,732.7037342126879,671.2562694494214,763.427466594321,640.5325370677883,LINC.BO,2023-08-08 13:57:22.225136
8,2023-07-21 00:00:00+05:30,664.8499755859375,672.5499877929688,656.0,659.75,615,0.0,0.0,2023-07-21,685.8131440476458,702.041242863847,36.03936102497652,25.333919613832798,698.6189946034999,707.1075042724609,667.3418273354876,-16.228098816201168,-7.808854895077737,707.1075042724609,33.26779074465152,740.3752950171124,673.8397135278094,773.6430857617639,640.5719227831579,LINC.BO,2023-08-08 13:57:22.225136
9,2023-07-20 00:00:00+05:30,662.0,675.4500122070312,656.0,658.4000244140625,2747,0.0,0.0,2023-07-20,690.5518975108541,705.4245422929547,35.50760147453721,24.87005864137993,702.7104677196578,712.8825042724609,671.1377410032312,-14.872644782100565,-5.704043914796879,712.8825042724609,34.61200440722535,747.4945086796862,678.2704998652356,782.1065130869116,643.6584954580102,LINC.BO,2023-08-08 13:57:22.225136
10,2023-07-19 00:00:00+05:30,654.0,675.2999877929688,654.0,662.0999755859375,421,0.0,0.0,2023-07-19,696.3976926193618,709.186503723266,36.275130414184524,24.370516055661458,707.3747249097205,718.3725036621094,677.5065992978156,-12.788811103904209,-3.411893697970956,718.3725036621094,34.22119252531093,752.5936961874203,684.1513111367984,786.8148887127312,649.9301186114875,LINC.BO,2023-08-08 13:57:22.225136
11,2023-07-17 00:00:00+05:30,680.0999755859375,681.0999755859375,653.6500244140625,668.9000244140625,7398,0.0,0.0,2023-07-17,702.6336411708936,712.9534259742524,37.66453436900206,23.822909810464026,712.1404879964344,724.2100036621093,685.2099111537545,-10.319784803358743,-1.067664346487643,724.2100036621093,34.0743068883034,758.2843105504128,690.1356967738059,792.3586174387161,656.0613898855025,LINC.BO,2023-08-08 13:57:22.225136
12,2023-07-14 00:00:00+05:30,660.0499877929688,680.0,650.0499877929688,677.0999755859375,2548,0.0,0.0,2023-07-14,708.767026035772,716.4776980990675,39.35229101083101,23.233180007943716,716.6921157419473,729.2725036621093,693.3648545236006,-7.710672063295533,1.2453657677301324,729.2725036621093,32.92641155965333,762.1989152217627,696.3460921024559,795.125326781416,663.4196805428027,LINC.BO,2023-08-08 13:57:22.225136
13,2023-07-10 00:00:00+05:30,689.0999755859375,696.2999877929688,686.8499755859375,691.5,167,0.0,0.0,2023-07-10,714.5246715721055,719.6279159001178,42.45445266701521,22.53673166811577,720.8597094425799,734.9375061035156,701.4972939924321,-5.103244328012352,3.4843752254865485,734.9375061035156,33.22299381287514,768.1604999163908,701.7145122906404,801.3834937292659,668.4915184777653,LINC.BO,2023-08-08 13:57:22.225136
14,2023-07-07 00:00:00+05:30,702.7999877929688,708.0,676.4500122070312,682.75,2929,0.0,0.0,2023-07-07,718.7109754943065,721.8781491721273,39.77573597933176,22.996166639611214,723.9502051733778,739.9450073242188,706.4959409886482,-3.1671736778208697,5.631280113861274,739.9450073242188,33.872493472650824,773.8175007968696,706.0725138515679,807.6899942695204,672.2000203789171,LINC.BO,2023-08-08 13:57:22.225136
15,2023-06-30 00:00:00+05:30,735.0499877929688,742.6500244140625,702.25,714.5499877929688,5913,0.0,0.0,2023-06-30,725.2493346750895,725.0084011058976,47.188610142612255,23.490942762760152,728.2870688758386,745.4700073242187,718.3689114829722,0.24093356919183861,7.830893561781809,745.4700073242187,33.05435025783751,778.5243575820563,712.4156570663812,811.5787078398937,679.3613068085438,LINC.BO,2023-08-08 13:57:22.225136
16,2023-06-28 00:00:00+05:30,718.0999755859375,742.5,718.0999755859375,729.4000244140625,1479,0.0,0.0,2023-06-28,727.1946704718388,725.8450741709319,51.33735308816641,25.07177657838558,729.7330774108775,749.1575073242187,720.2783733279739,1.34959630090691,9.728383559929302,749.1575073242187,33.53365775215043,782.6911650763692,715.6238495720683,816.2248228285196,682.0901918199179,LINC.BO,2023-08-08 13:57:22.225136
17,2023-06-27 00:00:00+05:30,660.0,735.0499877929688,660.0,732.9000244140625,1323,0.0,0.0,2023-06-27,726.7936970277981,725.5606781514814,52.34453423541049,26.45964251469647,729.7681356210685,751.8225067138671,715.7175477849296,1.2330188763166916,11.8230803746849,751.8225067138671,33.995599491126576,785.8181062049937,717.8269072227406,819.8137056961203,683.831307731614,LINC.BO,2023-08-08 13:57:22.225136
