Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-08-28 00:00:00+05:30,64.5999984741211,65.54000091552734,63.02000045776367,65.54000091552734,256921,0.0,0.0,2023-08-28,77.2319995880127,9.587886858834782,86.81988644684748,67.64411272917792,96.40777330568227,58.056225870343134,-91.65407130834151,-181.23244581693962,2610909,493883.06141467753,118787.63841710376,46.72171591514929,65.84355719149906,64.70000076293945,66.38000106811523,63.86000061035156,67.22000122070312,62.18000030517578,68.9000015258789,61.34000015258789,,-86.60286935788368,-4.280996938435479,-2.772010876506622,-1.5089860619288569,30.463561424175268,35.8051741645901,66.10600128173829,77.2319995880127,81.06804977416992,65.55914966583252,MAANALU.BO,2023-08-28 11:30:00.521535
2,2023-08-25 00:00:00+05:30,64.26000213623047,64.26000213623047,64.26000213623047,64.26000213623047,11268,0.0,0.0,2023-08-25,78.37062454223633,9.4778668337108,87.84849137594713,68.89275770852552,97.32635820965793,59.41489087481473,-116.82648025059534,-210.75218864496236,2353988,21237.610848258304,25013.782667710308,46.445695416074486,0.0,64.26000213623047,64.26000213623047,64.26000213623047,64.26000213623047,64.26000213623047,64.26000213623047,64.26000213623047,,-100.0,-4.142267446928528,-2.394764361024407,-1.7475030859041212,26.92734854717054,34.86024929947937,66.9280014038086,78.37062454223633,81.36549972534179,65.34074966430664,MAANALU.BO,2023-08-28 11:30:00.521535
3,2023-08-24 00:00:00+05:30,65.56999969482422,65.56999969482422,65.56999969482422,65.56999969482422,25610,0.0,0.0,2023-08-24,79.36324958801269,8.94698611158418,88.31023569959687,70.41626347642851,97.25722181118105,61.46927736484433,-116.78648138772105,-222.78020709875045,2365256,49253.01772429534,25957.825622573306,46.434228228311476,0.0,65.56999969482422,65.56999969482422,65.56999969482422,65.56999969482422,65.56999969482422,65.56999969482422,65.56999969482422,,-100.0,-3.7758295447361547,-1.9578885895483764,-1.8179409551877783,28.294791105372425,33.1849112320696,68.29000091552734,79.36324958801269,81.66929962158203,65.15314964294434,MAANALU.BO,2023-08-28 11:30:00.521535
4,2023-08-23 00:00:00+05:30,66.9000015258789,66.9000015258789,66.9000015258789,66.9000015258789,6725,0.0,0.0,2023-08-23,80.25849952697754,8.371461346235725,88.62996087321326,71.88703818074183,97.001422219449,63.51557683450609,-116.87888833630362,-234.06225485375327,2390866,13195.82359127187,20134.027597142795,46.40619116247851,0.0,66.9000015258789,66.9000015258789,66.9000015258789,66.9000015258789,66.9000015258789,66.9000015258789,66.9000015258789,,-100.0,-3.378483360658379,-1.5034033507514315,-1.8750800099069473,29.717525415627392,31.574343202834015,69.68000030517578,80.25849952697754,81.92939956665039,64.9660746383667,MAANALU.BO,2023-08-28 11:30:00.521535
5,2023-08-22 00:00:00+05:30,68.26000213623047,68.26000213623047,68.26000213623047,68.26000213623047,10216,0.0,0.0,2023-08-22,81.0672492980957,7.772920610047137,88.84016990814284,73.29432868804857,96.61309051818998,65.52140807800143,-116.90560693028391,-242.18170186104678,2397591,20453.388447191533,21868.578598610522,46.398303303591995,20.962374191680553,68.26000213623047,68.26000213623047,68.26000213623047,68.26000213623047,68.26000213623047,68.26000213623047,68.26000213623047,,-100.0,-2.9495557240921073,-1.0346333482746943,-1.914922375817413,31.207500056974936,30.044224351292332,71.0979995727539,81.0672492980957,82.08614959716797,64.7616996383667,MAANALU.BO,2023-08-28 11:30:00.521535
6,2023-08-21 00:00:00+05:30,69.6500015258789,69.6500015258789,69.6500015258789,69.6500015258789,9335,0.0,0.0,2023-08-21,81.76674919128418,7.165468797746699,88.93221798903087,74.60128039353748,96.09768678677757,67.43581159579078,-116.85738828614129,-248.0298657559849,2407807,19070.12489008533,22222.376136465267,46.38551352802703,14.754465100025485,69.6500015258789,69.6500015258789,69.6500015258789,69.6500015258789,69.6500015258789,69.6500015258789,69.6500015258789,,-100.0,-2.489647587021551,-0.5559027543203411,-1.9337448327012101,32.766656037635926,28.613602814343103,72.54399871826172,81.76674919128418,81.96669952392578,64.54547462463378,MAANALU.BO,2023-08-28 11:30:00.521535
7,2023-08-18 00:00:00+05:30,71.06999969482422,71.06999969482422,71.06999969482422,71.06999969482422,6261,0.0,0.0,2023-08-18,82.38424911499024,6.5740623809157785,88.95831149590602,75.81018673407446,95.5323738768218,69.23612435315869,-116.79833837518989,-253.6933000520244,2417142,13051.129592120642,23010.438948060248,46.373070153281105,40.63640240840949,71.06999969482422,71.06999969482422,71.06999969482422,71.06999969482422,71.06999969482422,71.06999969482422,71.06999969482422,,-100.0,-1.9999977516159646,-0.07246654614503861,-1.927531205470926,34.39684542078058,27.303806330488587,74.0199981689453,82.38424911499024,81.61194946289062,64.317724609375,MAANALU.BO,2023-08-28 11:30:00.521535
8,2023-08-17 00:00:00+05:30,72.5199966430664,72.5199966430664,72.5199966430664,72.5199966430664,7539,0.0,0.0,2023-08-17,82.85949897766113,6.034512723523826,88.89401170118497,76.8249862541373,94.92852442470878,70.79047353061348,-116.72913315823025,-251.14590547229133,2423403,16035.76205228704,25500.26628704515,46.36420731447836,44.73308450305208,72.5199966430664,72.5199966430664,72.5199966430664,72.5199966430664,72.5199966430664,72.5199966430664,72.5199966430664,,-100.0,-1.4826428918395322,0.40941625522269287,-1.8920591470622252,36.099810879994685,26.138668778715196,75.52599792480468,82.85949897766113,81.22504943847656,64.07402462005615,MAANALU.BO,2023-08-28 11:30:00.521535
9,2023-08-16 00:00:00+05:30,73.98999786376953,73.98999786376953,73.98999786376953,73.98999786376953,5944,0.0,0.0,2023-08-16,83.25849914550781,5.560052236675795,88.81855138218361,77.69844690883201,94.3786036188594,72.13839467215622,-107.94516293783268,-238.95166267013082,2430942,12899.41158780652,27866.392345734672,46.35290010432663,50.91094452408179,73.98999786376953,73.98999786376953,73.98999786376953,73.98999786376953,73.98999786376953,73.98999786376953,73.98999786376953,,-100.0,-0.9406103406369226,0.8824310419882491,-1.8230413826251717,37.86456773301865,25.144777120686047,77.06199798583984,83.25849914550781,80.80314949035645,63.82257465362549,MAANALU.BO,2023-08-28 11:30:00.521535
10,2023-08-14 00:00:00+05:30,75.48999786376953,75.48999786376953,75.48999786376953,75.48999786376953,5641,0.0,0.0,2023-08-14,83.69399909973144,5.119534524014216,88.81353362374566,78.57446457571723,93.93306814775987,73.45493005170302,-108.98607523823613,-215.78451875021042,2436886,12490.033335500173,31608.13753521671,46.34347701785915,54.358413806429716,75.48999786376953,75.48999786376953,75.48999786376953,75.48999786376953,75.48999786376953,75.48999786376953,75.48999786376953,,-100.0,-0.37716559847498843,1.338191387644542,-1.7153569861195304,39.703643198432324,24.349757787561444,78.62999877929687,83.69399909973144,80.36159950256348,63.560424690246585,MAANALU.BO,2023-08-28 11:30:00.521535
11,2023-08-11 00:00:00+05:30,77.02999877929688,77.02999877929688,77.02999877929688,77.02999877929688,11585,0.0,0.0,2023-08-11,84.02699928283691,4.761929899008367,88.78892918184528,79.26506938382855,93.55085908085364,74.50313948482018,-109.78109104839089,-192.9530248408257,2442527,26174.235992829796,36387.66358514584,46.334042812782464,56.87516010045036,77.02999877929688,77.02999877929688,77.02999877929688,77.02999877929688,77.02999877929688,77.02999877929688,77.02999877929688,,-100.0,0.20220176987589866,1.7670306341744244,-1.5648288642985257,41.63130736928422,23.786058402797874,80.23199920654297,84.02699928283691,79.83154953002929,63.28989971160889,MAANALU.BO,2023-08-28 11:30:00.521535
12,2023-08-10 00:00:00+05:30,78.5999984741211,78.5999984741211,78.5999984741211,78.5999984741211,12238,0.0,0.0,2023-08-10,84.27112426757813,4.502424541922113,88.77354880950024,79.76869972565602,93.27597335142235,75.26627518373391,-116.40586426997096,-153.47019242818715,2454112,28213.117082301156,38941.02048322486,46.31362409408429,56.88695731296167,78.5999984741211,78.5999984741211,78.5999984741211,78.5999984741211,78.5999984741211,78.5999984741211,78.5999984741211,,-100.0,0.7892371472220532,2.158237850249056,-1.3690007030270026,43.636931121492836,23.4918304737068,81.86599884033203,84.27112426757813,79.22819953918457,63.01709972381592,MAANALU.BO,2023-08-28 11:30:00.521535
13,2023-08-09 00:00:00+05:30,80.19999694824219,80.19999694824219,80.19999694824219,80.19999694824219,5214,0.0,0.0,2023-08-09,84.48674926757812,4.315937550321821,88.80268681789994,80.1708117172563,93.11862436822176,75.85487416693448,-113.49112079774393,-107.7322344773963,2466350,12264.884514768388,41622.996333455776,46.29092093500724,60.962500577130754,80.19999694824219,80.19999694824219,80.19999694824219,80.19999694824219,80.19999694824219,80.19999694824219,80.19999694824219,,-100.0,1.3742409990731232,2.500488026005806,-1.126247026932683,45.72134551900468,23.507480636108955,83.53199920654296,84.48674926757812,78.58344955444336,62.737099723815916,MAANALU.BO,2023-08-28 11:30:00.521535
14,2023-08-08 00:00:00+05:30,81.83000183105469,81.83000183105469,81.83000183105469,81.83000183105469,3575,0.0,0.0,2023-08-08,84.70237426757812,4.196574771923227,88.89894903950135,80.5057994956549,93.09552381142457,76.30922472373167,-97.96772747030634,-58.565747190235626,2471564,8580.383354895728,48962.52428812762,46.28075906400568,61.14164292022067,81.83000183105469,81.83000183105469,81.83000183105469,81.83000183105469,81.83000183105469,81.83000183105469,81.83000183105469,,-85.21134534946331,1.9448257627178833,2.7820497827389765,-0.8372240200210932,47.885127243184904,23.87775535312966,86.93199920654297,84.70237426757812,77.90444961547851,62.4275997543335,MAANALU.BO,2023-08-28 11:30:00.521535
15,2023-08-07 00:00:00+05:30,83.5,83.5,83.5,83.5,14848,0.0,0.0,2023-08-07,84.76337432861328,4.161344314561625,88.92471864317491,80.60203001405165,93.08606295773653,76.44068569949003,-71.28279849747571,-5.710632682478938,2475139,36364.07284221885,59058.05952143559,46.273453019022476,56.75558301080816,83.5,83.5,83.5,83.5,83.5,83.5,83.5,,-74.25473828898083,2.485349323732791,2.99135578774425,-0.5060064640114588,50.1427249788621,24.652150491665402,88.2009994506836,84.76337432861328,77.19384956359863,62.10204975128174,MAANALU.BO,2023-08-28 11:30:00.521535
16,2023-08-04 00:00:00+05:30,85.19999694824219,85.19999694824219,85.19999694824219,85.19999694824219,18705,0.0,0.0,2023-08-04,84.79149932861328,4.154251046567035,88.94575037518032,80.63724828204624,93.10000142174735,76.48299723547922,-34.320051808401004,42.530911436328076,2489987,46742.87021409157,64731.556191239775,46.241650060877,57.351537420935315,85.19999694824219,85.19999694824219,85.19999694824219,85.19999694824219,85.19999694824219,85.19999694824219,85.19999694824219,,-65.04066116467999,2.9752569522764674,3.1178574037471143,-0.14260045147064693,52.48156467554727,25.887900307256064,90.0459991455078,84.79149932861328,76.45484954833984,61.751299743652346,MAANALU.BO,2023-08-28 11:30:00.521535
