Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
1,2023-08-09 00:00:00+05:30,5658.9501953125,5700.0,5658.9501953125,5695.25,300,0.0,0.0,2023-08-09,5645.693383838425,5543.124886783654,59.22224972390045,29.543768392776265,5591.421001899862,5605.800732421875,5666.228911512551,102.56849705477089,121.1163370515374,5605.800732421875,126.2022196998256,5732.002952121701,5479.598512722049,5858.205171821526,5353.396293022224,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
2,2023-08-08 00:00:00+05:30,5659.4501953125,5681.0498046875,5625.5,5639.5,250,0.0,0.0,2023-08-08,5636.6830899908655,5530.954877726346,56.64194576426959,31.090552199877713,5580.491633678794,5591.757006835937,5651.718367268826,105.72821226451924,125.75329705072903,5591.757006835937,131.2512522132694,5723.008259049207,5460.505754622668,5854.259511262476,5329.254502409399,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
3,2023-08-07 00:00:00+05:30,5644.10009765625,5688.0,5624.64990234375,5646.0498046875,215,0.0,0.0,2023-08-07,5636.170924534659,5522.271267944454,57.03568255307035,32.92945004723888,5574.280226697615,5577.8553466796875,5657.827550903238,113.89965659020527,130.75956824728146,5577.8553466796875,140.3379374842006,5718.193284163888,5437.517409195487,5858.531221648089,5297.179471711286,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
4,2023-08-04 00:00:00+05:30,5582.64990234375,5648.25,5582.64990234375,5625.7998046875,316,0.0,0.0,2023-08-04,5634.37476450687,5512.3689850050105,56.16084164413512,34.90980157516629,5566.725534277627,5565.1392822265625,5663.716424011107,122.00577950185925,134.9745461615505,5565.1392822265625,145.26903253891086,5710.408314765474,5419.870249687651,5855.677347304384,5274.601217148741,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
5,2023-08-03 00:00:00+05:30,5453.7001953125,5590.0,5453.7001953125,5563.64990234375,218,0.0,0.0,2023-08-03,5635.933848110391,5503.294519430411,53.460133054178854,37.3785056831979,5560.507190023956,5552.820092773438,5682.6747336729095,132.63932867998028,138.21673782647332,5552.820092773438,150.2168482871759,5703.036941060614,5402.603244486262,5853.253789347789,5252.386396199086,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
6,2023-07-28 00:00:00+05:30,5781.7001953125,5849.0,5772.0,5809.9501953125,219,0.0,0.0,2023-07-28,5649.076383704327,5498.466088797344,69.1325832673928,39.95893194626111,5560.17637820082,5541.469799804688,5742.187149337488,150.61029490698274,139.6110901130966,5541.469799804688,157.74315322561196,5699.2129530303,5383.726646579075,5856.956106255911,5225.983493353464,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
7,2023-07-26 00:00:00+05:30,5729.75,5796.89990234375,5729.75,5778.2001953125,265,0.0,0.0,2023-07-26,5619.826599775568,5473.547360276132,68.010007571752,39.393374252593134,5533.884397452222,5513.542163085937,5708.305626349982,146.2792394994358,136.86128891462505,5513.542163085937,157.15167439729325,5670.693837483231,5356.390488688644,5827.845511880524,5199.2388142913505,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
8,2023-07-24 00:00:00+05:30,5799.0,5799.0,5645.0,5712.5498046875,725,0.0,0.0,2023-07-24,5591.031400587035,5449.1751334732235,65.60856643006606,39.14073677151167,5508.166945045878,5490.062548828125,5673.358341868723,141.85626711381155,134.50680126842235,5490.062548828125,150.46675709787877,5640.529305926004,5339.595791730246,5790.996063023882,5189.129034632368,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
9,2023-07-21 00:00:00+05:30,5647.25,5750.0,5627.60009765625,5743.64990234375,567,0.0,0.0,2023-07-21,5568.937145296041,5428.105159776082,67.84905422750256,38.868665638039325,5486.652959820443,5469.806103515625,5653.762610459334,140.83198551995974,132.66943480707502,5469.806103515625,146.14620954861095,5615.9523130642365,5323.659893967014,5762.098522612847,5177.5136844184035,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
10,2023-07-20 00:00:00+05:30,5560.2998046875,5697.9501953125,5560.2998046875,5662.7001953125,457,0.0,0.0,2023-07-20,5537.171189469185,5402.861580370668,64.95664677795767,38.914270603075686,5459.600650081147,5449.060229492187,5608.818964517125,134.30960909851729,130.62879712885382,5449.060229492187,134.1874393012298,5583.247668793417,5314.872790190958,5717.435108094647,5180.6853508897275,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
11,2023-07-19 00:00:00+05:30,5652.7998046875,5684.85009765625,5543.10009765625,5553.75,653,0.0,0.0,2023-07-19,5514.34773386131,5382.074491175321,60.517539665781506,39.35249216380076,5438.22175058311,5432.258032226562,5581.878349119437,132.27324268598932,129.70859413643794,5432.258032226562,126.86784068449207,5559.125872911054,5305.39019154207,5685.993713595546,5178.522350857578,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
12,2023-07-17 00:00:00+05:30,5565.7998046875,5668.0498046875,5543.0,5666.89990234375,304,0.0,0.0,2023-07-17,5507.183685472457,5368.340450469346,68.93922488594733,39.92473394564215,5426.060882223437,5419.442163085938,5595.942523679156,138.84323500311075,129.0674319990501,5419.442163085938,126.89535582505343,5546.337518910991,5292.546807260885,5673.232874736044,5165.651451435831,MAHSCOOTER.BO,2023-08-09 13:27:46.225729
