Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-27 00:00:00+05:30,68.5,71.05000305175781,68.5,69.25,505108,0.0,0.0,2023-10-27,67.27250022888184,2.707226167513363,69.97972639639521,64.56527406136847,72.68695256390856,61.858047893855115,17.535204712254547,91.49335745479931,29996348,306233.90875419334,735188.7150796123,95.2008717117438,71.91490866115534,69.60000101725261,70.70000203450522,68.1499989827474,72.15000406901042,67.0499979654948,73.25000508626303,65.59999593098959,0.04411044696323525,-41.05692519349504,0.8598981030987574,0.7442885899074072,0.11560951319135016,53.81147018484119,16.170131610724766,68.51000061035157,67.27250022888184,66.11467498779297,65.80092971801758,MANALIPETC.NS,2023-10-27 11:01:19.287191
2,2023-10-26 00:00:00+05:30,68.19999694824219,69.5999984741211,66.05000305175781,68.05000305175781,1093530,0.0,0.0,2023-10-26,67.02750015258789,2.7403650096238015,69.76786516221169,64.28713514296409,72.50823017183549,61.54677013334029,-21.87121776537721,29.060501014178953,29491240,651490.5251300158,842427.416660967,95.2451240990195,72.06556601005009,67.9000015258789,69.75,66.20000457763672,71.44999694824219,64.35000610351562,73.29999542236328,62.65000915527344,0.049081447127628144,-50.8129955228491,0.8451024365341908,0.7153862116095696,0.1297162249246212,51.567541072818166,16.92084948732149,69.33000030517579,67.02750015258789,65.94822517395019,65.76419174194336,MANALIPETC.NS,2023-10-27 11:01:19.287191
3,2023-10-25 00:00:00+05:30,65.0,74.0,63.54999923706055,69.75,1081349,0.0,0.0,2023-10-25,66.8650001525879,2.772710183659699,69.6377103362476,64.0922899689282,72.41042051990729,61.3195797852685,17.332453246731497,78.86594258288041,30584770,660327.4446327456,890161.6395437048,95.34589345301644,78.41997272233576,69.09999974568684,74.65000025431314,64.19999949137369,79.5500005086263,58.64999898274739,85.1000010172526,53.749998728434235,0.03997735057893076,-36.99188555166712,0.9315364350544115,0.6829571553784143,0.24857927967599724,55.08813604152894,18.18815807888293,69.83999938964844,66.8650001525879,65.83149154663086,65.73994827270508,MANALIPETC.NS,2023-10-27 11:01:19.287191
4,2023-10-23 00:00:00+05:30,70.44999694824219,71.69999694824219,62.0,65.0999984741211,1466876,0.0,0.0,2023-10-23,66.62250022888183,2.718672128586276,69.34117235746811,63.903828100295556,72.05984448605439,61.18515597170928,-43.65568321597,-22.40981811436699,29503421,836033.4120667897,947620.1882714445,95.44002543290868,75.69796591567678,66.26666514078777,70.53333028157553,60.83333333333334,75.96666208902995,56.56666819254558,80.23332722981772,51.133336385091155,0.024249316048312736,-74.79676662618333,0.8606600149987997,0.6208123354594149,0.2398476795393848,45.66649088149163,19.552951946718316,70.2,66.62250022888183,65.69163787841796,65.70414482116699,MANALIPETC.NS,2023-10-27 11:01:19.287191
5,2023-10-20 00:00:00+05:30,73.8499984741211,74.30000305175781,70.0999984741211,70.4000015258789,1147969,0.0,0.0,2023-10-20,66.62250022888183,2.718672128586276,69.34117235746811,63.903828100295556,72.05984448605439,61.18515597170928,86.83811491538552,172.15685303965816,30970297,707541.7671672014,975516.8823226083,95.59214406255433,81.26794093790917,71.60000101725261,73.10000356038412,68.8999989827474,75.80000559488933,67.39999643961589,77.30000813802084,64.69999440511069,0.052142070197615374,-39.00001525878906,1.2148311120975137,0.5608504155745687,0.653980696522945,58.699253132814604,20.16229406760968,70.26000061035157,66.62250022888183,65.68236938476562,65.71236869812012,MANALIPETC.NS,2023-10-27 11:01:19.287191
6,2023-10-19 00:00:00+05:30,70.5,74.19999694824219,69.30000305175781,73.3499984741211,1846938,0.0,0.0,2023-10-19,66.37750015258788,2.5774566684767373,68.95495682106463,63.80004348411115,71.53241348954136,61.22258681563441,130.17608674470273,208.53404915638475,32118266,1186046.398043062,1042510.6611114598,95.69138154237808,88.19745868014056,72.28333282470703,75.26666259765625,70.36666870117188,77.1833267211914,67.38333892822266,80.16665649414062,65.4666748046875,0.10144748484839954,-8.58584846625956,1.1279009114356597,0.3973552414438324,0.7305456699918274,68.85565588769015,18.71471017749645,69.41999969482421,66.37750015258788,65.57303527832032,65.6750106048584,MANALIPETC.NS,2023-10-27 11:01:19.287191
7,2023-10-18 00:00:00+05:30,73.0,73.5,70.19999694824219,70.5999984741211,1633467,0.0,0.0,2023-10-18,65.99250030517578,1.9890674677975582,67.98156777297334,64.00343283737823,69.9706352407709,62.014365369580666,162.77598773988845,195.28521388145086,30271328,1009634.7961479075,1006626.7268785592,95.83387798664941,84.78825305868577,71.43333180745442,72.66666666666666,69.36666361490884,74.73333485921223,68.13332875569661,75.96666971842447,66.06666056315103,0.0033575504599183425,-31.683206460056162,0.7089845018760172,0.21471882394587555,0.4942656779301417,63.36938059504286,17.186797830960394,67.83000030517579,65.99250030517578,65.39085403442382,65.65167221069336,MANALIPETC.NS,2023-10-27 11:01:19.287191
8,2023-10-17 00:00:00+05:30,66.94999694824219,73.80000305175781,66.1500015258789,71.55000305175781,6482335,0.0,0.0,2023-10-17,65.76750030517579,1.6692484113493289,67.43674871652512,64.09825189382646,69.10599712787445,62.42900348247713,215.42554792458594,173.26733960113054,31904795,4060601.593556091,1005874.7095612221,95.97702846831564,80.836319771324,70.50000254313152,74.85000356038412,67.20000203450522,78.15000406901042,62.85000101725261,82.50000508626303,59.55000050862631,0.0754799647073766,-22.27722267440433,0.4327356971841141,0.09115240446334014,0.3415832927207739,67.16467576200185,14.918148651235594,66.78000030517578,65.76750030517579,65.26664001464843,65.66077926635742,MANALIPETC.NS,2023-10-27 11:01:19.287191
9,2023-10-16 00:00:00+05:30,65.5999984741211,66.80000305175781,65.0,65.4000015258789,300624,0.0,0.0,2023-10-16,65.51000022888184,0.9888326161156117,66.49883284499745,64.52116761276622,67.48766546111305,63.53233499665061,-17.34980504920928,-3.84416256422303,25422460,172127.65831355122,242192.98856250476,96.5396151006267,55.6365880121403,65.73333485921223,66.46666971842447,64.66666666666666,67.53333791097005,63.93333180745442,68.26667277018228,62.866663614908845,-0.21863226854913276,-68.80732981727952,-0.0210641429414693,0.005756581283146635,-0.026820724224615934,48.69278418903702,12.474987996147348,65.53000030517578,65.51000022888184,65.12441513061523,65.66582618713379,MANALIPETC.NS,2023-10-27 11:01:19.287191
10,2023-10-13 00:00:00+05:30,65.44999694824219,67.5,65.0999984741211,66.19999694824219,583220,0.0,0.0,2023-10-13,65.6375,1.1284448860060385,66.76594488600604,64.50905511399397,67.89438977201208,63.38061022798792,33.91587123978952,20.579450278617113,25723084,338017.84680062067,259709.32112474315,96.57291081505767,56.76860987127972,66.26666514078777,67.43333180745444,65.03333028157553,68.66666666666667,63.86666361490886,69.83333333333334,62.633328755696624,-0.21248099097499556,-54.12851678291576,0.003935668733390685,0.012461762339300618,-0.008526093605909934,52.242768492016616,12.489188736021587,65.4,65.6375,65.12002655029296,65.71951507568359,MANALIPETC.NS,2023-10-27 11:01:19.287191
11,2023-10-12 00:00:00+05:30,65.5,66.19999694824219,65.0,65.4000015258789,300071,0.0,0.0,2023-10-12,65.68296394348144,1.16985719309444,66.85282113657588,64.513106750387,68.02267832967031,63.34324955729256,-15.274103890928036,-1.2490339160296497,25139864,171811.0282539173,240132.18970577378,96.63604610153338,49.26191885020254,65.53333282470703,66.06666564941406,64.86666870117188,66.73332977294922,64.33333587646484,67.26666259765625,63.66667175292969,-0.18984154586736987,-68.80732981727952,-0.042904055926726414,0.014593285740778101,-0.05749734166750452,48.774922810424876,12.429946415952807,65.77000122070312,65.68296394348144,65.1174415588379,65.77064392089844,MANALIPETC.NS,2023-10-27 11:01:19.287191
12,2023-10-11 00:00:00+05:30,66.30000305175781,66.5,65.1500015258789,65.3499984741211,248566,0.0,0.0,2023-10-11,65.75359191894532,1.1942605471222858,66.9478524660676,64.55933137182303,68.14211301318988,63.365070824700744,5.012506168738186,6.622443839084165,24839793,142212.10286654378,257212.48006873787,96.66948855031494,48.96018589534642,65.66666666666667,66.18333180745444,64.83333333333334,67.01666514078777,64.31666819254558,67.53333028157553,63.48333485921225,-0.22687138512062177,-69.72481687705827,-0.023435607934175096,0.02896762115765423,-0.052403229091829324,48.55813610242415,13.142004802817729,66.21000061035156,65.75359191894532,65.10514022827148,65.83817993164062,MANALIPETC.NS,2023-10-27 11:01:19.287191
13,2023-10-10 00:00:00+05:30,65.0,65.6500015258789,64.69999694824219,65.30000305175781,256813,0.0,0.0,2023-10-10,66.01464538574218,1.6023192873894339,67.61696467313162,64.41232609835275,69.21928396052105,62.810006810963316,-25.270754440040946,-5.242456232612607,24591227,146818.05240052004,285962.57436928636,96.69728950761152,51.2124216497609,65.21666717529297,65.73333740234375,64.78333282470703,66.16667175292969,64.26666259765625,66.68334197998047,63.83332824707031,-0.19510957001604218,-70.64216394796614,0.006769532970835712,0.04206842843061156,-0.035298895459775846,48.355184691802464,13.808713055655666,66.07000122070312,66.01464538574218,65.08691543579101,65.90769958496094,MANALIPETC.NS,2023-10-27 11:01:19.287191
14,2023-10-09 00:00:00+05:30,67.5,67.5999984741211,64.55000305175781,64.75,468281,0.0,0.0,2023-10-09,66.24852638244629,1.8192188354957988,68.06774521794209,64.42930754695048,69.88696405343788,62.61008871145469,9.380363172605517,9.430235678897425,24334414,265457.8440054132,320748.70486147795,96.7261106334468,47.32151366632173,65.63333384195964,66.71666463216147,63.66666920979819,68.68332926432292,62.58333841959636,69.76666005452475,60.616673787434905,-0.12486109166993528,-80.73396165004883,0.05026248931724808,0.05089315229555552,-0.0006306629783074391,46.18661340051637,14.692671750525482,66.0,66.24852638244629,65.07760330200195,65.97425743103027,MANALIPETC.NS,2023-10-27 11:01:19.287191
