Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-13 00:00:00+05:30,600.0,600.0,580.0,581.5999755859375,1965,0.0,0.0,2023-12-13,628.8850036621094,21.313809764448866,650.1988134265582,607.5711938976606,671.5126231910072,586.2573841332116,-124.37683224308212,-128.16649846417062,74329,1420.0361532038578,1808.315310484722,829.1500834046234,13.48283594081741,587.1999918619791,594.3999837239583,574.3999837239583,607.1999918619791,567.1999918619791,614.3999837239583,554.3999837239583,-0.46165781138296197,-97.86669921875,-12.831240578798429,-7.586468337604211,-5.244772241194218,25.483643756189466,12.917481119870125,597.4599975585937,628.8850036621094,632.4850048828125,682.2535388183594,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
2,2023-12-12 00:00:00+05:30,617.8499755859375,617.8499755859375,590.0,592.75,2555,0.0,0.0,2023-12-12,632.3050048828125,18.648172296529086,650.9531771793415,613.6568325862834,669.6013494758706,595.0086602897543,-100.80596727990032,-97.242898410808,76294,1881.8063694132284,1905.3850998049377,829.4805951584373,13.59503713647689,600.1999918619791,610.3999837239583,582.5500081380208,628.0499674479166,572.3500162760416,638.2499593098958,554.7000325520833,-0.44264024405853836,-95.76923076923077,-10.86601911403568,-6.2752752773056555,-4.590743836730025,28.728134474487774,12.930347291566575,604.8200073242188,632.3050048828125,634.0500048828125,683.6983508300781,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
3,2023-12-11 00:00:00+05:30,607.4500122070312,607.4500122070312,598.6500244140625,601.5,2256,0.0,0.0,2023-12-11,635.3775054931641,16.754135395957817,652.131640889122,618.6233700972062,668.8857762850797,601.8692347012485,-121.33268266706078,-95.61056126637777,78849,1686.1150080048071,1911.2797824028648,829.8922764422215,14.041565118906632,602.5333455403646,606.4166666666667,597.616678873698,611.3333333333334,593.7333577473959,615.2166544596355,588.8166910807292,-0.4247140892379097,-89.94038382122059,-9.283411929261888,-5.127589318123149,-4.155822611138739,31.665961282230583,13.566959721147441,611.910009765625,635.3775054931641,635.4040051269532,684.758564453125,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
4,2023-12-08 00:00:00+05:30,611.5999755859375,612.5499877929688,594.75,607.4500122070312,2181,0.0,0.0,2023-12-08,638.3475067138672,15.661914000570855,654.0094207144381,622.6855927132964,669.6713347150089,607.0236787127255,-156.43102367853592,-94.20404000638273,81105,1646.1851427631045,1967.5709760023792,830.2435162387071,14.612631340801101,604.9166666666666,615.0833333333333,597.2833455403645,622.7166544596354,587.1166788736979,632.883321126302,579.4833577473958,-0.4331628057403371,-81.07300025651148,-7.97827982255501,-4.088633665338463,-3.8896461572165464,33.851835757888054,13.46016897668256,618.010009765625,638.3475067138672,636.5540051269531,685.6503973388672,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
5,2023-12-07 00:00:00+05:30,618.75,621.5999755859375,596.9500122070312,604.0,5441,0.0,0.0,2023-12-07,641.4575073242188,15.376615575722587,656.8341228999413,626.0808917484962,672.210738475664,610.7042761727736,-238.444596006494,-90.29496989131687,78924,4083.4583621963925,2047.9174343121979,830.5752483914441,14.851354824132414,607.5166625976562,618.0833129882812,593.433349609375,632.1666259765625,582.86669921875,642.7332763671875,568.7833862304688,-0.4841842995900036,-91.40245391101372,-6.772418254470381,-3.1162221260343266,-3.6561961284360542,31.29844943706253,13.345163559566535,623.260009765625,641.4575073242188,637.5820043945313,686.3364453125,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
6,2023-12-06 00:00:00+05:30,635.0499877929688,635.0499877929688,615.0999755859375,618.4000244140625,3197,0.0,0.0,2023-12-06,644.6525085449218,13.734986106950497,658.3874946518723,630.9175224379713,672.1224807588228,617.1825363310209,-200.86346682027073,-44.53316173109596,84365,2456.5443056675263,1539.032202341149,831.4200150941075,34.390476465089506,622.8499959309896,630.6000162760417,610.6500040690105,642.8000081380209,602.8999837239584,650.550028483073,590.6999918619792,-0.4997053113116838,-95.31575833027941,-4.786163707450328,-2.202173093925313,-2.583990613525015,36.80477092242994,13.340906203634216,629.3500122070312,644.6525085449218,638.8060046386719,687.0330285644532,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
7,2023-12-05 00:00:00+05:30,632.0,637.5,628.0,628.2000122070312,1437,0.0,0.0,2023-12-05,647.1500061035156,13.242622899322681,660.3926290028382,633.9073832041929,673.6352519021609,620.6647603048702,-114.61642786282103,-18.73352786488746,87562,1121.675349447097,1309.6541765095544,831.8877082973551,38.25448434384518,631.2333374023438,634.4666748046875,624.9666748046875,640.7333374023438,621.7333374023438,643.9666748046875,615.4666748046875,-0.4596578659231141,-98.03414630074786,-3.5888225826134885,-1.556175440544059,-2.0326471420694294,41.4084687787479,14.31308572535084,632.6800048828125,647.1500061035156,639.8070043945313,687.7219110107421,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
8,2023-12-04 00:00:00+05:30,640.0499877929688,643.9000244140625,628.0,632.0,4220,0.0,0.0,2023-12-04,648.3100067138672,12.490043450395286,660.8000501642625,635.8199632634719,673.2900936146577,623.3299198130767,-73.1396587856231,-8.715299234590235,88999,3313.9198184718025,1356.6488832751688,832.0889177704363,39.60537575110435,634.6333414713541,641.2666829427083,625.3666585286458,650.5333658854166,618.7333170572916,657.1667073567708,609.4666341145833,-0.4512528885767757,-91.53844067174145,-2.9666373253857046,-1.0480136550267016,-1.918623670359003,43.361361758195464,14.427206125829281,634.8200073242188,648.3100067138672,640.6470043945312,688.2274194335937,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
9,2023-12-01 00:00:00+05:30,637.0499877929688,640.2999877929688,630.0,633.7000122070312,608,0.0,0.0,2023-12-01,649.6600067138672,12.087035594765897,661.7470423086331,637.5729711191013,673.834077903399,625.4859355243354,-76.03768981502233,-9.711855778622152,93219,478.7400511003105,867.3311494760105,832.6710532118947,45.84757213614125,634.6666666666666,639.3333333333333,629.0333455403645,644.9666544596354,624.3666788736979,649.633321126302,618.7333577473958,-0.4169523769106982,-88.63243689903847,-2.4993438267973715,-0.5683577374369507,-1.9309860893604207,44.22785624461323,14.550105018652218,635.810009765625,649.6600067138672,641.5930041503906,688.7258819580078,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
10,2023-11-30 00:00:00+05:30,635.0499877929688,635.4500122070312,627.0499877929688,634.4500122070312,446,0.0,0.0,2023-11-30,651.040005493164,11.739523800438047,662.7795292936021,639.300481692726,674.5190530940401,627.5609578922879,-98.60959472277183,-18.58607882016317,93827,351.596655955674,964.4789240699354,832.7544912508174,42.7964137954763,632.3166707356771,637.5833536783855,629.183329264323,640.7166951497396,623.9166463216146,645.983378092448,620.7833048502605,-0.4225178884750784,-87.35038561698718,-2.0306231432850836,-0.08561121509684555,-1.945011928188238,44.59290961276669,14.882561168050511,637.0000122070312,651.040005493164,642.3751953125,689.2907220458984,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
11,2023-11-29 00:00:00+05:30,642.3499755859375,645.0,635.0,635.0499877929688,620,0.0,0.0,2023-11-29,651.7625061035156,11.091541256162095,662.8540473596778,640.6709648473535,673.9455886158398,629.5794235911915,-74.99835926926177,-0.6482350738089738,94273,489.2288600717594,1117.6994910985006,832.8155111708917,41.91331107838099,638.3499959309896,641.6999918619792,631.6999918619792,648.3499959309896,628.3499959309896,651.6999918619792,621.6999918619792,-0.4215743476327711,-92.7456174077383,-1.4736152508598934,0.400641766950214,-1.8742570178101075,44.86801725338595,15.508382206086276,637.210009765625,651.7625061035156,643.2582153320312,689.5689727783204,MEDICAMEQ.BO,2023-12-13 11:18:11.241947
