Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-31 00:00:00+05:30,1410.0,1419.9000244140625,1400.300048828125,1405.449951171875,291032,0.0,0.0,2023-10-31,1472.2524963378905,51.20931132365712,1523.4618076615477,1421.0431850142334,1574.6711189852049,1369.8338736905762,-70.66394636989543,-74.08887227308503,-762753,138011.59127054093,172938.74725803087,1739.0360165332402,61.483229856280104,1408.5500081380208,1416.7999674479165,1397.199991861979,1428.1499837239583,1388.9500325520833,1436.399943033854,1377.6000162760415,0.049618787276822215,-79.54498205381765,-7.410816621347976,8.446754596806377,-15.857571218154353,42.21641017454383,20.42072611441335,1407.0599853515625,1472.2524963378905,1427.2980053710937,1412.842001953125,METROPOLIS.NS,2023-10-31 10:57:47.402768
2,2023-10-30 00:00:00+05:30,1392.0,1405.0,1360.050048828125,1395.449951171875,337054,0.0,0.0,2023-10-30,1474.9700012207031,48.86623229269306,1523.836233513396,1426.1037689280101,1572.7024658060893,1377.237536635317,-115.72790459286864,-104.8203502091725,-1053785,158698.6327106605,181670.53625490333,1739.6734843988284,56.97917375433218,1386.8333333333333,1413.6166178385415,1368.6666666666665,1431.7832845052083,1341.8833821614583,1458.5665690104165,1323.7167154947915,0.07923296968579875,-84.05050230610918,-4.063629020419285,12.411147401344966,-16.47477642176425,40.38111445872147,20.935771059691277,1422.45,1474.9700012207031,1426.3080053710937,1411.9560021972657,METROPOLIS.NS,2023-10-31 10:57:47.402768
3,2023-10-27 00:00:00+05:30,1418.9000244140625,1422.0,1382.0,1384.3499755859375,205840,0.0,0.0,2023-10-27,1475.3875061035155,48.181947956314836,1523.5694540598304,1427.2055581472007,1571.7514020161452,1379.0236101908858,-148.96571895812704,-86.62798012258203,-1390839,96146.85996745175,187413.51214096404,1740.43698945271,64.10904782135003,1396.1166585286458,1410.2333170572915,1370.2333170572915,1436.1166585286458,1356.1166585286458,1450.2333170572915,1330.2333170572915,0.03702080331197977,-98.26000518260174,1.2682040295637762,16.529841506786028,-15.261637477222251,38.36330972078399,21.037625668289394,1444.7300048828124,1475.3875061035155,1425.5400073242188,1411.1150024414062,METROPOLIS.NS,2023-10-31 10:57:47.402768
4,2023-10-26 00:00:00+05:30,1441.0,1441.0,1380.8499755859375,1407.0,448466,0.0,0.0,2023-10-26,1478.9450073242188,43.506240753790024,1522.4512480780088,1435.4387665704287,1565.9574888317989,1391.9325258166386,-190.09663708695658,-60.490827587379684,-1184999,212903.62459582344,210230.1751843421,1740.9199887098573,66.98343953931057,1409.6166585286458,1438.383341471354,1378.2333170572915,1469.7666829427083,1349.4666341145833,1498.5333658854165,1318.083292643229,0.08098942992337994,-86.99974086991244,9.168530241724511,20.34525087609159,-11.17672063436708,40.99210035915397,21.618516920096862,1469.8800048828125,1478.9450073242188,1424.8090087890625,1410.3430029296876,METROPOLIS.NS,2023-10-31 10:57:47.402768
5,2023-10-25 00:00:00+05:30,1484.949951171875,1498.25,1431.5,1443.050048828125,263285,0.0,0.0,2023-10-25,1480.427508544922,41.378797017127994,1521.8063055620498,1439.048711527794,1563.185102579178,1397.6699145106659,-126.46760867053474,17.503167787958564,-736533,128193.77762306701,209561.81283147176,1741.909721207951,69.63260318627833,1457.6000162760417,1483.7000325520835,1416.9500325520835,1524.3500162760417,1390.8500162760417,1550.4500325520835,1350.2000325520835,0.10112912545525109,-83.73003438124788,16.91374048406442,23.139431034683362,-6.225690550618943,45.61127666891154,22.24409211435106,1494.2,1480.427508544922,1424.255009765625,1409.2845031738282,METROPOLIS.NS,2023-10-31 10:57:47.402768
6,2023-10-23 00:00:00+05:30,1499.9000244140625,1532.8499755859375,1474.1500244140625,1482.4000244140625,288297,0.0,0.0,2023-10-23,1479.865008544922,41.985661228903545,1521.8506697738255,1437.8793473160183,1563.836331002729,1395.893686087115,-43.07684285188721,76.41473139974606,-473248,144199.9040337521,229903.82163357295,1742.430670789913,70.55495654724345,1496.4666748046875,1518.7833251953125,1460.0833740234375,1555.1666259765625,1437.7667236328125,1577.4832763671875,1401.3834228515625,0.13506763160859545,-60.018080681916814,23.023304235743808,24.6958536723381,-1.6725494365942914,51.49243056719266,23.803288930327355,1514.55,1479.865008544922,1423.575009765625,1407.904503173828,METROPOLIS.NS,2023-10-31 10:57:47.402768
7,2023-10-20 00:00:00+05:30,1514.5,1537.5,1487.300048828125,1506.8499755859375,311620,0.0,0.0,2023-10-20,1476.6325073242188,44.21001668232561,1520.8425240065444,1432.422490641893,1565.05254068887,1388.2124739595674,-4.66704633248399,99.29768230903125,-184951,158436.32980276286,251329.80103352814,1742.9279458271246,74.4495725224042,1510.5500081380208,1533.7999674479165,1483.6000162760415,1560.7499593098958,1460.3500569661458,1583.9999186197915,1433.4000651041665,0.16173757558435425,-45.28475235056221,26.621182894419235,25.11399103148667,1.5071918629325651,55.63106568598186,24.208308795346237,1523.7800048828126,1476.6325073242188,1422.4740087890625,1406.1410034179687,METROPOLIS.NS,2023-10-31 10:57:47.402768
8,2023-10-19 00:00:00+05:30,1505.0,1517.449951171875,1467.050048828125,1510.0999755859375,591034,0.0,0.0,2023-10-19,1472.335009765625,45.28252276066863,1517.6175325262936,1427.0524870049564,1562.9000552869622,1381.7699642442878,-20.65378227166423,87.1222330505721,126669,301146.3475624023,274553.16884121945,1743.416948728863,74.62959712921806,1498.1999918619792,1529.3499348958335,1478.9500325520835,1548.5998942057292,1447.8000895182292,1579.7498372395835,1428.5501302083335,0.11426578509387066,-40.96867487980769,28.416256851184016,24.737193065753523,3.6790637854304933,56.188483536029175,24.199772881690645,1534.0900146484375,1472.335009765625,1420.100009765625,1403.9205041503906,METROPOLIS.NS,2023-10-31 10:57:47.402768
9,2023-10-18 00:00:00+05:30,1553.9000244140625,1577.0,1525.3499755859375,1528.5999755859375,369346,0.0,0.0,2023-10-18,1469.9925109863282,44.429855557443666,1514.422366543772,1425.5626554288845,1558.8522221012156,1381.1327998714407,82.55679820133851,151.32568019351552,717703,190496.36062555184,267904.8741609237,1744.337184263708,79.58943072183307,1543.6499837239583,1561.949991861979,1510.2999674479165,1595.3000081380208,1491.9999593098958,1613.6000162760415,1458.649943033854,0.04765600923559011,-29.324564290708377,29.963870373842155,23.817427119395898,6.1464432544462575,59.33078059311752,24.622381453812974,1533.410009765625,1469.9925109863282,1417.810009765625,1401.35900390625,METROPOLIS.NS,2023-10-31 10:57:47.402768
10,2023-10-17 00:00:00+05:30,1540.0,1554.5,1528.0,1544.800048828125,255147,0.0,0.0,2023-10-17,1468.392510986328,42.75274783281912,1511.145258819147,1425.639763153509,1553.8980066519662,1382.88701532069,105.33814115856052,158.31239302762282,1087049,132990.9766938354,287257.00254476664,1744.8702372818695,78.98046275709677,1542.433349609375,1556.86669921875,1530.36669921875,1568.933349609375,1515.933349609375,1583.36669921875,1503.86669921875,0.10638636481709571,-20.428312003984548,29.669316923702354,22.280816305784334,7.3885006179180195,62.157291135342575,22.790880604760662,1519.0900146484375,1468.392510986328,1414.4230102539063,1398.68650390625,METROPOLIS.NS,2023-10-31 10:57:47.402768
