Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-01-02 00:00:00+05:30,138.64999389648438,138.64999389648438,132.0,134.89999389648438,24051,0.0,0.0,2024-01-02,131.80499954223632,6.702393593021785,138.5073931352581,125.10260594921454,145.20978672827988,118.40021235619275,14.729143139063236,85.89069307905604,706243,39281.03843600182,45220.299214793835,87.08289933577498,55.65912303679791,135.1833292643229,138.36665852864581,131.71666463216144,141.83332316080728,128.53333536783853,145.0166524251302,125.06667073567706,-0.05832776337517875,-41.84917190452677,5.935565111908616,6.673432208716417,-0.7378670968078005,58.81417955451921,36.8583702282392,136.9199981689453,131.80499954223632,113.22659973144532,95.82449981689453,MODISONLTD.BO,2024-01-02 11:05:22.137091
2,2024-01-01 00:00:00+05:30,141.0,141.35000610351562,135.39999389648438,136.85000610351562,9595,0.0,0.0,2024-01-01,130.76749992370605,7.725935042629079,138.49343496633514,123.04156488107698,146.2193700089642,115.3156298384479,62.027964529590655,106.2167259724812,730294,15897.458214869597,46705.114409491835,86.86795636215248,68.53346922815223,137.86666870117188,140.33334350585938,134.38333129882812,143.81668090820312,131.91665649414062,146.28335571289062,128.43331909179688,-0.06642177186505016,-32.36006281719528,6.330376862466693,6.857898982918366,-0.5275221204516729,61.279566498751294,38.22511230920615,136.0199981689453,130.76749992370605,112.15239990234375,95.28169990539551,MODISONLTD.BO,2024-01-02 11:05:22.137091
3,2023-12-29 00:00:00+05:30,139.0,143.5,136.10000610351562,139.3000030517578,28898,0.0,0.0,2023-12-29,129.56249961853027,8.561555074989235,138.1240546935195,121.00094454354104,146.68560976850873,112.4393894685518,113.96445168219752,121.14916651647542,739889,48736.776894726565,54407.0284581474,86.77816274029134,75.94826183883006,139.63333638509116,143.16666666666669,135.7666727701823,147.03333028157553,132.23334248860678,150.56666056315106,128.36667887369794,-0.0626498538164275,-15.87900730748973,6.547894085405929,6.989779513031283,-0.4418854276253539,64.43051603662923,38.86177726593613,135.10999755859376,129.56249961853027,111.05219970703125,94.73179985046387,MODISONLTD.BO,2024-01-02 11:05:22.137091
4,2023-12-28 00:00:00+05:30,133.60000610351562,140.0,133.60000610351562,137.14999389648438,44916,0.0,0.0,2023-12-28,128.2414993286133,9.006694461899015,137.2481937905123,119.23480486671427,146.25488825241132,110.22811040481525,75.31437890491104,109.23721554385628,710991,74582.12578712545,55824.5913490026,86.4924363259731,72.81290559633909,136.91666666666666,140.2333272298177,133.83333333333331,143.31666056315103,130.51667277018228,146.63332112630206,127.43333943684894,-0.05825517755739699,-19.4000244140625,6.485883950396598,7.100250869937621,-0.6143669195410224,62.87497971804838,39.370091877091,134.10999755859376,128.2414993286133,109.88579971313476,94.21039985656738,MODISONLTD.BO,2024-01-02 11:05:22.137091
5,2023-12-27 00:00:00+05:30,133.4499969482422,138.0,131.6999969482422,136.39999389648438,18073,0.0,0.0,2023-12-27,126.94949951171876,9.501300641311992,136.45080015303074,117.44819887040677,145.95210079434275,107.94689822909477,44.99748442173374,104.22092390676104,666075,29845.749629136946,51135.20773947189,86.06044421349377,69.58423880501991,135.36666361490884,139.0333302815755,132.7333272298177,141.66666666666666,129.06666056315103,145.33333333333331,126.43332417805988,-0.07435706600954302,-22.4000244140625,6.519964543587378,7.2538425998228755,-0.7338780562354978,62.34151767420878,40.38523097037278,131.63999938964844,126.94949951171876,108.76879989624024,93.73939994812012,MODISONLTD.BO,2024-01-02 11:05:22.137091
6,2023-12-26 00:00:00+05:30,134.9499969482422,134.9499969482422,129.8000030517578,130.39999389648438,19122,0.0,0.0,2023-12-26,125.79499969482421,9.693422448465652,135.48842214328985,116.10157724635856,145.18184459175552,106.4081547978929,-62.08193318297911,88.31776021322233,648002,30189.00343946569,56457.57226705562,85.88711856389014,70.39390635281808,131.71666463216147,133.63332621256512,128.48333231608075,136.86665852864584,126.56667073567709,138.7833201090495,123.33333841959637,-0.09881478894703462,-46.4000244140625,6.538674325118208,7.43731211388175,-0.8986377887635415,57.84134851089025,41.76243633078625,131.37000122070313,125.79499969482421,107.6166000366211,93.30200004577637,MODISONLTD.BO,2024-01-02 11:05:22.137091
7,2023-12-22 00:00:00+05:30,137.0,137.0,129.25,132.3000030517578,33685,0.0,0.0,2023-12-22,124.91549987792969,10.045214222771833,134.96071410070152,114.87028565515786,145.00592832347337,104.82507143238603,-26.856221455621043,95.26974543290832,667124,53955.32313667887,63024.71447395309,85.72436622500094,75.04253421732069,132.8500010172526,136.4500020345052,128.7000020345052,140.6000010172526,125.1000010172526,144.2000020345052,120.95000203450519,-0.09524949775628065,-34.6428462437221,7.054466782909671,7.661971561072634,-0.607504778162963,59.947827552114454,43.700001894986684,133.0000030517578,124.91549987792969,106.5720001220703,92.93230010986328,MODISONLTD.BO,2024-01-02 11:05:22.137091
8,2023-12-21 00:00:00+05:30,126.75,135.0500030517578,123.94999694824219,134.3000030517578,28179,0.0,0.0,2023-12-21,123.97099990844727,10.201197553659808,134.17219746210708,113.76980235478746,144.37339501576687,103.56860480112765,-22.37944778474832,87.79514421216071,700809,45818.3548674037,65292.06230827165,85.42243369042338,74.47502324938526,131.1000010172526,138.250005086263,127.14999898274738,142.20000712076822,119.99999491373697,149.35001118977863,116.04999287923175,-0.09436294174413874,-26.736097681670966,7.42082945550348,7.8138477556133745,-0.3930183001098948,62.160541287868014,45.786610964125614,133.97000122070312,123.97099990844727,105.48060012817383,92.49660011291503,MODISONLTD.BO,2024-01-02 11:05:22.137091
9,2023-12-20 00:00:00+05:30,136.8000030517578,138.0500030517578,122.94999694824219,124.80000305175781,70067,0.0,0.0,2023-12-20,123.01199989318847,10.079897721093989,133.09189761428246,112.93210217209449,143.17179533537646,102.85220445100049,-32.4535644325513,77.94432046292499,672630,105868.31746076595,70160.48916848864,85.15592502887259,73.68958645330889,128.6000010172526,134.250005086263,119.14999898274738,143.70000712076822,113.49999491373697,149.35001118977863,104.04999287923175,-0.1264436877165877,-56.486038331885965,7.580478188513695,7.912102330640847,-0.3316241421271524,54.80223890162631,48.315150633658924,133.5800018310547,123.01199989318847,104.34460006713867,92.04030006408692,MODISONLTD.BO,2024-01-02 11:05:22.137091
10,2023-12-19 00:00:00+05:30,138.89999389648438,139.39999389648438,134.8000030517578,135.0500030517578,15964,0.0,0.0,2023-12-19,122.53599967956544,10.214895689884974,132.7508953694504,112.32110398968047,142.96579105933537,102.10620829979548,61.65735124461171,112.33173811021685,742697,26102.02548803351,61233.53209541931,84.61105068532197,83.31633543690425,136.41666666666666,138.0333302815755,133.43333943684894,141.01665751139322,131.8166758219401,142.63332112630206,128.83334859212238,-0.05633016048462068,-22.4265809207023,8.605627275647763,7.995008366172634,0.6106189094751286,68.0626560088809,51.0381933546948,135.62000122070313,122.53599967956544,103.4483999633789,91.65940002441407,MODISONLTD.BO,2024-01-02 11:05:22.137091
