Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-22 00:00:00+05:30,79.6500015258789,79.6500015258789,76.5,77.0999984741211,14161,0.0,0.0,2023-09-22,78.72250061035156,1.6235497560392547,80.34605036639081,77.0989508543123,81.96960012243007,75.47540109827305,-63.59540852184649,-43.56553120072821,5505669,15786.200650350365,28636.117887077668,76.38029707080075,60.55541387717298,77.75,79.0,75.8499984741211,80.9000015258789,74.5999984741211,82.1500015258789,72.69999694824219,-0.014313274709094385,-77.89475290398849,-0.32114087615195785,-0.0951463354322888,-0.22599454071966907,44.73586599863301,15.481083436835709,77.75,78.72250061035156,80.99713836669922,75.02489219665527,MODISONLTD.NS,2023-09-22 10:58:25.624487
2,2023-09-21 00:00:00+05:30,76.0,78.0,76.0,77.4000015258789,39889,0.0,0.0,2023-09-21,78.72750053405761,1.6184359999165219,80.34593653397414,77.10906453414108,81.96437253389065,75.49062853422457,-106.5292085408444,-57.41413509329419,5519830,44639.92378790378,31848.597196259492,76.37997515377319,60.32204523920449,77.13333384195964,78.26666768391928,76.26666768391928,79.13333384195964,75.13333384195964,80.26666768391928,74.26666768391928,-0.011475485289362255,-74.73682604337993,-0.220535621376996,-0.03864770025237152,-0.18188792112462449,45.55677623999914,16.495302533674636,78.1,78.72750053405761,80.93987594604492,74.86981628417969,MODISONLTD.NS,2023-09-22 10:58:25.624487
3,2023-09-20 00:00:00+05:30,78.5,79.80000305175781,75.0,77.0,18979,0.0,0.0,2023-09-20,78.77000045776367,1.5926970654521768,80.36269752321584,77.1773033923115,81.95539458866803,75.58460632685932,-116.34458206106078,-56.66716339336683,5479941,21129.702255432698,28650.76554834842,76.37868835761074,63.513464231839095,77.26666768391927,79.53333536783853,74.73333231608072,82.06667073567708,72.46666463216145,84.33333841959634,69.93332926432291,-0.02340058663791215,-78.94736842105263,-0.11793471511283826,0.006824280028784605,-0.12475899514162286,44.29111242324454,16.789551128620527,78.58000030517579,78.77000045776367,80.89044342041015,74.72310062408447,MODISONLTD.NS,2023-09-22 10:58:25.624487
4,2023-09-18 00:00:00+05:30,77.80000305175781,80.0,77.80000305175781,78.5999984741211,16835,0.0,0.0,2023-09-18,78.79000053405761,1.5716734342655632,80.36167396832317,77.21832709979205,81.93334740258874,75.64665366552649,-64.73040501862408,-33.37701753735051,5498920,19132.20319544914,30531.03137157735,76.37831520302704,69.19615472025208,78.8000005086263,79.79999796549478,77.6000010172526,80.99999745686848,76.60000356038411,81.99999491373697,75.40000406901041,-0.003603498741093874,-62.76596349091818,0.054606515381820486,0.038014028814190325,0.01659248656763016,48.47697905812267,17.106434230869947,78.83000030517579,78.79000053405761,80.81838760375976,74.5734700012207,MODISONLTD.NS,2023-09-22 10:58:25.624487
5,2023-09-15 00:00:00+05:30,79.0,80.0,76.69999694824219,78.6500015258789,26486,0.0,0.0,2023-09-15,78.72250061035156,1.6088139855783454,80.33131459592991,77.11368662477321,81.94012858150825,75.50487263919487,-73.74008203726332,-41.12517870697131,5515755,30119.26963850038,33380.7384156094,76.37713098229891,70.09936221219039,78.4499994913737,80.20000203450522,76.8999989827474,81.75000254313152,75.14999643961589,83.50000508626303,73.59999593098959,0.009891310597744354,-62.23401621814221,0.11710859689135589,0.03386590717228278,0.08324268971907312,48.61028893884445,18.22646539322869,79.57000122070312,78.72250061035156,80.65901214599609,74.38907028198243,MODISONLTD.NS,2023-09-22 10:58:25.624487
6,2023-09-14 00:00:00+05:30,77.05000305175781,80.0,77.05000305175781,78.8499984741211,13565,0.0,0.0,2023-09-14,78.59500045776367,1.712561976177677,80.30756243394136,76.882438481586,82.02012441011902,75.16987650540833,-61.29868860234007,-40.606776581178636,5542241,15465.031670330252,34196.10560988665,76.37522335811705,75.62599322762694,78.63333384195964,80.21666463216147,77.26666768391928,81.58333079020183,75.68333689371745,83.16666158040366,74.31667073567709,0.008739413207900169,-60.10638945455519,0.19043128559195566,0.0130552347425145,0.17737605084944116,49.11192535917731,19.432652798845798,80.23000030517578,78.59500045776367,80.52827224731445,74.22491535186768,MODISONLTD.NS,2023-09-22 10:58:25.624487
7,2023-09-13 00:00:00+05:30,77.0,80.44999694824219,75.0999984741211,79.80000305175781,15752,0.0,0.0,2023-09-13,78.39500045776367,1.9040748242689596,80.29907528203263,76.49092563349471,82.20315010630159,74.58685080922575,-64.03296100618091,-45.15855663116369,5555806,18174.72873021828,38878.87409477574,76.37415910726541,71.67414120022505,78.4499994913737,81.80000050862631,76.45000203450522,83.7999979654948,73.10000101725261,87.1499989827474,71.10000356038412,0.11623590094047315,-49.99995941812078,0.26172455447127163,-0.03128877796984579,0.29301333244111744,51.453933298537756,20.580651663412084,80.26000061035157,78.39500045776367,80.3826658630371,74.0651815032959,MODISONLTD.NS,2023-09-22 10:58:25.624487
8,2023-09-12 00:00:00+05:30,83.44999694824219,83.44999694824219,78.19999694824219,78.25,36252,0.0,0.0,2023-09-12,78.00000038146973,2.3617009416998305,80.36170132316957,75.6382994397699,82.72340226486939,73.27659849807007,12.274278608728148,-25.78091129816798,5540054,41015.276523901535,44054.91043591511,76.37244748205138,70.96164681355695,79.96666463216145,81.73333231608072,76.48333231608072,85.21666463216145,74.71666463216145,86.98333231608072,71.23333231608072,0.04181351879006454,-72.67443149911419,0.2554749622165957,-0.10454211108012515,0.36001707329672084,47.673453845708394,21.816958132945008,80.51000061035157,78.00000038146973,80.16274002075195,73.87569667816162,MODISONLTD.NS,2023-09-22 10:58:25.624487
9,2023-09-11 00:00:00+05:30,82.0,84.05000305175781,80.0,82.30000305175781,27862,0.0,0.0,2023-09-11,77.76500053405762,2.560946302094257,80.32594683615187,75.20405423196337,82.88689313824614,72.6431079298691,115.86781701288986,1.8246062208937768,5576306,33154.42234762632,44814.8189139185,76.37028611205751,78.69761617508814,82.11666870117188,84.23333740234375,80.18333435058594,86.16667175292969,78.06666564941406,88.28334045410156,76.13333129882812,0.005186993376031605,-25.58136440212594,0.3962545732573375,-0.19454637940430536,0.5908009526616429,58.77943343712276,21.772195304755897,81.0,77.76500053405762,79.97480194091797,73.71751747131347,MODISONLTD.NS,2023-09-22 10:58:25.624487
10,2023-09-08 00:00:00+05:30,81.94999694824219,82.94999694824219,80.0,81.94999694824219,92408,0.0,0.0,2023-09-08,77.48500022888183,2.3352048784937196,79.82020510737556,75.1497953503881,82.15540998586927,72.81459047189439,128.19224258239424,-3.5587375107212407,5548444,109493.37408374161,47729.918055491544,76.36503518830017,78.56037115610614,81.63333129882812,83.26666259765625,80.31666564941406,84.58332824707031,78.68333435058594,86.21665954589844,77.36666870117188,-0.015868971659918886,-29.651203537200846,0.17162734179157724,-0.342246617569716,0.5138739593612933,57.99416486688776,20.766617221622422,80.15,77.48500022888183,79.72660873413086,73.51241722106934,MODISONLTD.NS,2023-09-22 10:58:25.624487
