Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-26 00:00:00+05:30,206.0,211.10000610351562,205.0500030517578,207.75,36732,0.0,0.0,2023-09-26,213.97250061035157,6.412621238333162,220.38512184868475,207.5598793720184,226.7977430870179,201.14725813368526,-91.23496279184292,-103.08631944286353,922336,24634.87569207546,52823.7663078696,203.99350401411905,64.41119013293138,207.96666971842447,210.88333638509113,204.83333333333331,214.01667277018228,201.91666666666666,216.93333943684894,198.7833302815755,-0.09661757785008486,-75.20260561830264,-1.5435335169843256,-0.2717413678409658,-1.27179214914336,44.42883379123219,16.068159403717956,208.85,213.97250061035157,215.97099975585937,197.30656616210936,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
2,2023-09-25 00:00:00+05:30,211.10000610351562,211.4499969482422,200.10000610351562,203.89999389648438,78586,0.0,0.0,2023-09-25,214.15500030517578,6.276709940871872,220.43171024604766,207.8782903643039,226.7084201869195,201.60158042343204,-142.32544504732104,-133.38971123211599,885604,51728.17585964446,59870.988961818126,203.9884502340266,65.43184251374151,205.1499989827474,210.19999186197919,198.85000101725262,216.49998982747397,193.80000813802084,221.54998270670575,187.50001017252606,-0.1085197985143245,-87.68236978709407,-1.244474072829405,0.04620666944487417,-1.2906807422742792,40.397464749047685,16.451117888347916,210.77999877929688,214.15500030517578,216.0879998779297,196.85104278564452,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
3,2023-09-22 00:00:00+05:30,214.0,214.0,207.0500030517578,208.0,60475,0.0,0.0,2023-09-22,214.57250061035157,5.819759470427293,220.39226008077887,208.75274113992427,226.21201955120614,202.932981669497,-104.94153285237539,-88.89606448887687,964190,40607.287383501476,61906.69223736154,203.98870557164287,66.43988941623769,209.68333435058594,212.31666564941406,205.36666870117188,216.63333129882812,202.73333740234375,219.26666259765625,198.4166717529297,-0.10637093101610337,-91.6167431230382,-0.46356442469650005,0.36887685501344397,-0.8324412797099441,43.519403848408125,16.86353471794941,214.68999938964845,214.57250061035157,216.15700012207031,196.39673812866212,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
4,2023-09-21 00:00:00+05:30,213.0500030517578,216.39999389648438,209.25,210.8000030517578,38942,0.0,0.0,2023-09-21,214.91000061035157,5.610507165081507,220.5205077754331,209.29949344527006,226.13101494051458,203.68898628018857,-95.80640282742144,-62.70502896935225,1024665,26500.4734095947,67231.54345082655,203.97977525472385,66.21748500728351,212.1499989827474,215.0499979654948,207.90000406901044,219.29999287923178,205.00000508626303,222.19999186197919,200.75001017252606,-0.08862467998580396,-80.43908759152988,0.13947178771371682,0.57698717494093,-0.43751538722721317,45.76207456262142,18.030151235742167,215.8699981689453,214.91000061035157,216.2690002441406,195.914990234375,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
5,2023-09-20 00:00:00+05:30,215.0500030517578,218.0,212.0500030517578,213.8000030517578,43071,0.0,0.0,2023-09-20,215.13500061035157,5.526612859665793,220.66161347001736,209.60838775068578,226.18822632968315,204.08177489102,-56.36023839417997,-36.074875787075605,1063607,29727.43438722455,77414.3109611345,203.96998381322433,65.79996865728404,214.61666870117188,217.18333435058594,211.23333740234375,220.56666564941406,208.6666717529297,223.13333129882812,205.28334045410156,-0.09049821630844042,-68.46304114633999,0.6336697926307409,0.6863660217477332,-0.052696229116992344,48.235074275657006,18.94120262432798,216.56999816894532,215.13500061035157,216.43900024414063,195.38732803344726,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
6,2023-09-18 00:00:00+05:30,223.5,226.6999969482422,216.1999969482422,217.39999389648438,56334,0.0,0.0,2023-09-18,215.30000076293945,5.5339149148513735,220.83391567779083,209.76608584808807,226.3678305926422,204.2321709332367,24.60761696841346,23.64636669522448,1106678,39536.1962721445,89336.03010461197,203.95435021401343,68.58983380814135,220.0999959309896,223.999994913737,213.499994913737,230.5999959309896,209.5999959309896,234.499994913737,202.999994913737,-0.09777584834807591,-54.09182196010543,0.9613373929770432,0.6995400790269812,0.261797313950062,51.32572567322349,19.47278176359725,216.22999877929686,215.30000076293945,216.46700012207032,194.7923846435547,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
7,2023-09-15 00:00:00+05:30,216.4499969482422,230.9499969482422,216.3000030517578,223.4499969482422,334624,0.0,0.0,2023-09-15,215.13750076293945,5.516694715246927,220.65419547818638,209.62080604769253,226.1708901934333,204.1041113324456,75.0942877132458,62.45005154544011,1163012,241380.51328458756,101785.98856272883,203.92632324276858,72.28474888014573,223.56666564941406,230.8333282470703,216.18333435058594,238.21665954589844,208.9166717529297,245.4833221435547,201.53334045410156,-0.0831084570414458,-29.94011611297472,1.0117409436673768,0.6340907505394656,0.37765019312791115,57.027931372616145,19.33899643822106,217.95,215.13750076293945,216.53100036621095,194.15224197387695,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
8,2023-09-14 00:00:00+05:30,214.39999389648438,217.0,213.0500030517578,213.89999389648438,32863,0.0,0.0,2023-09-14,214.57250061035157,5.189501507554984,219.76200211790655,209.3829991027966,224.95150362546153,204.1934975952416,-13.170684319985767,-32.59456849606953,828388,22692.52100178447,66887.35738226413,203.6815558910692,62.804161677813624,214.6499989827474,216.249994913737,212.2999979654948,218.5999959309896,210.70000203450522,220.19999186197919,208.35000101725262,-0.12726578416501616,-66.80498766001148,0.4651097202316521,0.5396782022574877,-0.07456848202583566,48.66899861227606,19.17778975895844,218.4800018310547,214.57250061035157,216.39400054931642,193.48355453491212,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
9,2023-09-13 00:00:00+05:30,212.10000610351562,216.14999389648438,207.5,214.3000030517578,59449,0.0,0.0,2023-09-13,214.82500076293945,5.277173657457499,220.10217442039695,209.54782710548196,225.37934807785444,204.27065344802446,-35.71429440785931,-56.05001694238138,861251,41127.42300339091,77936.06647738404,203.6689590505087,60.47059514087364,212.6499989827474,217.7999979654948,209.15000406901044,221.29999287923178,204.00000508626303,226.44999186197919,200.50001017252606,-0.11310940917847924,-65.14519905433521,0.6987395950176563,0.5583203227639466,0.14041927225370965,49.04000984301243,20.41453882726999,220.41000366210938,214.82500076293945,216.02200073242187,192.9747621154785,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
10,2023-09-12 00:00:00+05:30,227.1999969482422,228.35000610351562,210.0,212.10000610351562,99791,0.0,0.0,2023-09-12,214.71000061035156,5.314147851776435,220.02414846212798,209.39585275857513,225.33829631390444,204.08170490679868,11.597662827655192,-10.7086295254629,801802,68327.70325907819,87138.2273458823,203.64519831061293,61.87763085803865,216.8166707356771,223.63334147135419,205.28333536783856,235.16667683919272,198.46666463216147,241.9833475748698,186.93332926432294,-0.17059120927103175,-74.27381478493977,0.9478748270649646,0.5232155047005191,0.4246593223644455,46.97563712657578,21.603772539612102,219.76000366210937,214.71000061035156,215.55800079345704,192.4280776977539,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
11,2023-09-11 00:00:00+05:30,226.1999969482422,230.0,222.0,226.0,123232,0.0,0.0,2023-09-11,215.0425003051758,5.350167647258909,220.3926679524347,209.6923326579169,225.74283559969362,204.34216501065796,129.41322808334587,92.55206873348412,901593,89907.66177844194,91840.85836758334,203.61335875324005,65.28458176348272,226.0,230.0,222.0,234.0,218.0,238.0,214.0,-0.15975459411779502,-16.597506169994265,1.4691480459211164,0.41705067410940777,1.0520973718117086,61.62077069797233,23.26219126612145,218.99000244140626,215.0425003051758,215.0070007324219,191.88547882080078,NATHBIOGEN.NS,2023-09-26 11:01:10.713975
