Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-07 00:00:00+05:30,370.70001220703125,376.70001220703125,364.5,370.04998779296875,86105,0.0,0.0,2023-09-07,335.72250213623045,16.450862283818118,352.1733644200486,319.2716398524123,368.62422670386667,302.8207775685942,142.60318789159209,166.64783636119148,2601218,98480.30494422904,76760.83158396947,309.6669154664472,77.09085145083458,370.4166666666667,376.33333333333337,364.1333211263021,382.61667887369794,358.21665445963544,388.5333455403646,351.93330891927087,0.04758845468229039,-9.679800920591232,14.011151006915156,11.092319083237689,2.918831923677468,75.6813954580536,31.518389468122127,358.6299987792969,335.72250213623045,310.575,290.67149993896487,NRAIL.NS,2023-09-07 11:02:05.940596
2,2023-09-06 00:00:00+05:30,352.0,373.0,351.25,368.3500061035156,124230,0.0,0.0,2023-09-06,333.50250244140625,14.44863443842152,347.95113687982774,319.05386800298476,362.3997713182493,304.6052335645632,159.92133532163578,159.44729818160553,2515113,141432.0336167473,71330.96324390457,309.2753572348414,70.19799406363049,364.2000020345052,377.1500040690104,355.4000040690104,385.9500020345052,342.4500020345052,398.9000040690104,333.6500040690104,0.07400813394677967,-7.153836763822115,12.88107735818835,10.362611102318322,2.5184662558700275,75.16513515110071,30.08521560274034,352.15,333.50250244140625,309.07600036621096,289.25850006103514,NRAIL.NS,2023-09-07 11:02:05.940596
3,2023-09-05 00:00:00+05:30,358.75,361.79998779296875,344.04998779296875,352.04998779296875,43585,0.0,0.0,2023-09-05,331.26000213623047,12.03421240683377,343.29421454306424,319.2257897293967,355.328426949898,307.1915773225629,125.75550842921959,133.72094079468064,2390883,47424.417287923025,53805.69565069388,308.7174490944502,67.00814921228728,352.63332112630206,361.2166544596354,343.4666544596354,370.38332112630206,334.88332112630206,378.9666544596354,325.7166544596354,-0.04684797117635948,-18.122680691898317,11.40649524161023,9.732994538350814,1.6735007032594158,69.37711247868975,28.706683998307177,346.2200012207031,331.26000213623047,307.64600036621096,287.83649993896483,NRAIL.NS,2023-09-07 11:02:05.940596
4,2023-09-04 00:00:00+05:30,354.5,359.79998779296875,346.6499938964844,353.45001220703125,72338,0.0,0.0,2023-09-04,329.58500213623046,11.297022331946843,340.8820244681773,318.2879798042836,352.1790468001241,306.9909574723368,145.2282116251039,144.27455315053595,2434468,79023.29196738318,55401.015241386594,308.57339433131716,74.5735354353354,353.2999979654948,359.95000203450525,346.80000813802087,366.4499918619792,340.15000406901044,373.0999959309896,333.6500142415365,-0.002162506760836001,-12.25864301612719,10.95106243746011,9.314619362535959,1.6364430749241503,70.69109281513596,27.77195934864729,343.6600036621094,329.58500213623046,306.4600006103516,286.5515000915527,NRAIL.NS,2023-09-07 11:02:05.940596
5,2023-09-01 00:00:00+05:30,342.8999938964844,350.95001220703125,329.0,349.25,80080,0.0,0.0,2023-09-01,327.4500015258789,10.56031699451947,338.0103185203984,316.8896845313594,348.57063551491785,306.32936753684,110.61712815400548,119.55527984588127,2362130,86441.26198767268,49495.44605988744,308.324413499787,69.47544022817533,343.06667073567706,357.13334147135413,335.1833292643229,365.0166829427083,321.1166585286458,379.0833536783854,313.23331705729163,0.040324856388932864,-11.099126236899309,10.064164057466883,8.905508593804921,1.1586554636619617,69.05860833782596,26.434424047012733,338.6700012207031,327.4500015258789,305.05800048828127,285.2239999389648,NRAIL.NS,2023-09-07 11:02:05.940596
6,2023-08-31 00:00:00+05:30,342.79998779296875,343.04998779296875,333.0,337.6499938964844,14327,0.0,0.0,2023-08-31,324.41750183105466,12.50062467562034,336.918126506675,311.91687715543435,349.41875118229535,299.416252479814,92.81451664519444,109.36764774857706,2282050,14951.426372592348,40258.99207794113,308.07149890270085,66.48472766468362,337.8999938964844,342.79998779296875,332.75,347.9499816894531,327.8500061035156,352.8499755859375,322.70001220703125,-0.04240430847007353,-36.0991426795621,9.189815605630713,8.61584472788943,0.5739708777412833,63.90210466156851,25.444706835289967,334.5400024414063,324.41750183105466,303.8350006103516,283.95149993896484,NRAIL.NS,2023-09-07 11:02:05.940596
7,2023-08-30 00:00:00+05:30,344.3500061035156,344.3500061035156,329.1499938964844,338.70001220703125,37793,0.0,0.0,2023-08-30,322.082502746582,14.151392584099034,336.23389533068104,307.931110162483,350.38528791478006,293.77971757838395,80.5776444820679,114.86470552323678,2296377,39562.816272570984,46585.883504278325,308.03875980638037,67.06323312974646,337.40000406901044,345.6500142415365,330.45000203450525,352.6000162760417,322.1999918619792,360.85002644856775,315.249989827474,-0.03687446099078245,-33.836171885019745,9.073569846343787,8.472352008454108,0.6012178378896795,64.8099328983409,24.832539820911755,332.39000244140624,322.082502746582,302.7590008544922,282.7819999694824,NRAIL.NS,2023-09-07 11:02:05.940596
8,2023-08-29 00:00:00+05:30,328.5,354.3999938964844,327.54998779296875,339.25,111203,0.0,0.0,2023-08-29,319.62500152587893,15.332135143067493,334.9571366689464,304.29286638281144,350.2892718120139,288.96073123974395,118.82768354035873,134.4217617104739,2334170,116599.57821614838,48341.65031220516,307.9489742452688,68.21450577445357,340.3999938964844,353.25,326.3999938964844,367.25,313.54998779296875,380.1000061035156,299.54998779296875,-0.05698681058854567,-32.6508532097722,8.68385082324312,8.322047548981686,0.3618032742614332,65.26088476502397,24.173283036196757,329.5,319.62500152587893,301.74300048828127,281.5204998779297,NRAIL.NS,2023-09-07 11:02:05.940596
9,2023-08-28 00:00:00+05:30,331.8999938964844,334.8500061035156,321.6000061035156,328.5,36874,0.0,0.0,2023-08-28,317.0050018310547,16.251614955653466,333.25661678670815,300.75338687540125,349.50823174236166,284.50177191974774,18.374146384626265,97.68115957685491,2222967,37438.31074273743,31277.16833621935,307.6769306216779,64.27660944753757,328.31667073567706,335.0333353678385,321.7833353678385,341.56667073567706,315.06667073567706,348.2833353678385,308.5333353678385,-0.047158061829077814,-48.621546025333416,7.999153415219666,8.231596730416328,-0.23244331519666162,60.23979052860534,23.46331419111907,323.5299987792969,317.0050018310547,300.65300048828124,280.16699981689453,NRAIL.NS,2023-09-07 11:02:05.940596
10,2023-08-25 00:00:00+05:30,328.6000061035156,333.0,326.04998779296875,328.6000061035156,12997,0.0,0.0,2023-08-25,315.0925018310547,17.058300649221355,332.150802480276,298.03420118183334,349.2091031294974,280.97590053261194,28.362593204372086,108.56585320886819,2259841,13199.920195053073,29736.882734589828,307.61674650524157,72.48443402703901,329.21666463216144,332.38334147135413,325.4333292643229,336.1666768391927,322.2666524251302,339.3333536783854,318.48331705729163,-0.04130809484129568,-48.37090412354497,8.06004607592871,8.289707559215492,-0.22966148328678138,60.31509356308697,23.920127472405458,320.07000122070315,315.0925018310547,299.87000061035155,278.9174998474121,NRAIL.NS,2023-09-07 11:02:05.940596
