Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-23 00:00:00+05:30,236.10000610351562,243.89999389648438,232.1999969482422,238.4499969482422,35261,0.0,0.0,2023-11-23,244.86749801635742,11.136052355751135,256.0035503721086,233.73144566060628,267.1396027278597,222.59539330485515,-103.8464606968743,-94.82397975959299,1855271,34679.69618725558,45067.81315533598,225.96298154732892,28.954118945938674,238.1833292643229,244.16666158040363,232.46666463216144,249.8833262125651,226.48333231608072,255.86665852864581,220.76666768391925,-0.2183920683614436,-84.6239047095632,-1.2464185807730246,0.14858428471521395,-1.3950028654882385,43.84055990209937,16.877811843470287,240.88999633789064,244.86749801635742,249.74299865722656,232.41735763549804,PPAP.NS,2023-11-23 10:57:31.551611
2,2023-11-22 00:00:00+05:30,247.0,249.0,235.39999389648438,238.6999969482422,43839,0.0,0.0,2023-11-22,245.0824981689453,11.046782231916506,256.12928040086183,234.0357159370288,267.1760626327783,222.9889337051123,-96.33342851534364,-76.70889598765912,1890532,43161.48621785599,47664.84239735608,225.92370653954166,30.850397242389434,241.03333028157553,246.66666666666669,233.06666056315106,254.63333638509116,227.4333241780599,260.2666727701823,219.46665445963544,-0.24436313977969473,-81.45768017388147,-0.6059499245320694,0.4973350010872736,-1.1032849256193429,43.98372161052311,17.015036208691086,244.56999816894532,245.0824981689453,249.88599884033204,231.9374856567383,PPAP.NS,2023-11-23 10:57:31.551611
3,2023-11-21 00:00:00+05:30,245.85000610351562,252.85000610351562,236.5,241.6999969482422,103116,0.0,0.0,2023-11-21,245.3349983215332,10.950512266088081,256.2855105876213,234.3844860554451,267.23602285370936,223.43397378935703,-87.16991293210116,-59.295235346043874,1934371,102798.32564149251,48790.6814422311,225.8735497158849,33.81212438554813,243.68333435058594,250.86666870117188,234.51666259765625,260.03334045410156,227.3333282470703,267.2166748046875,218.16665649414062,-0.243017695038692,-75.02681326876561,0.19860388420875097,0.7731562324921093,-0.5745523482833583,45.64459569117238,17.48221654029373,249.95999755859376,245.3349983215332,250.03099884033202,231.47906494140625,PPAP.NS,2023-11-23 10:57:31.551611
4,2023-11-20 00:00:00+05:30,251.0,266.0,235.60000610351562,239.9499969482422,66238,0.0,0.0,2023-11-20,246.24249877929688,11.377174131649278,257.6196729109462,234.8653246476476,268.99684704259545,223.4881505159983,-58.513011524333095,-34.45015596981522,1831255,65555.8265994193,35288.77039241574,225.72604598117294,47.5107512434184,247.18333435058594,258.76666259765625,228.36666870117188,277.5833282470703,216.78334045410156,289.1666564941406,197.9666748046875,-0.20783225188394772,-77.044037429768,0.9302128683661692,0.9167943195629488,0.013418548803220465,44.50959870034064,18.093967473833555,254.41000061035157,246.24249877929688,250.1239828491211,230.96868896484375,PPAP.NS,2023-11-23 10:57:31.551611
5,2023-11-17 00:00:00+05:30,264.79998779296875,264.79998779296875,240.0,245.64999389648438,45540,0.0,0.0,2023-11-17,247.20749893188477,11.63103094502486,258.8385298769096,235.5764679868599,270.46956082193446,223.94543704183505,-23.155530313222364,-13.434084430844457,1897493,46141.650171713125,27722.006340664848,225.64037596155353,53.088154414909845,250.14999389648438,260.29998779296875,235.5,274.9499816894531,225.35000610351562,285.0999755859375,210.70001220703125,-0.11788630815562799,-57.12974208578499,2.0251484182590787,0.9134396823621436,1.111708735896935,47.51007218701918,18.752776171491824,259.97999877929686,247.20749893188477,250.27990966796875,230.50076217651366,PPAP.NS,2023-11-23 10:57:31.551611
6,2023-11-16 00:00:00+05:30,269.8999938964844,269.8999938964844,254.0,256.8500061035156,19914,0.0,0.0,2023-11-16,247.96999893188476,12.017021277860914,259.98702020974565,235.95297765402384,272.00404148760657,223.93595637616292,64.28656661077498,56.726984280340496,1943033,21097.03490534112,23117.09538290278,225.55717366113538,64.62028586656858,260.25,266.5,250.60000610351562,276.1499938964844,244.35000610351562,282.3999938964844,234.70001220703125,-0.05614379671078088,-36.52254622696653,2.834950318018457,0.6355124983879097,2.199437819630547,54.173216522465545,19.86489722166333,260.02000122070314,247.96999893188476,249.92165008544922,230.02174209594727,PPAP.NS,2023-11-23 10:57:31.551611
7,2023-11-15 00:00:00+05:30,264.0,270.6000061035156,256.29998779296875,265.6499938964844,20872,0.0,0.0,2023-11-15,248.07749862670897,12.109896952852326,260.1873955795613,235.96760167385665,272.2972925324136,223.85770472100432,114.01599497604549,78.81838016904851,1962947,22869.52869698982,23622.110502293195,225.50017071805289,67.23051758672594,264.18332926432294,272.0666707356771,257.76665242513025,278.4833475748698,249.88331095377606,286.366689046224,243.46663411458337,0.00815171467150767,-20.331218159388772,2.725756846290352,0.0856530434802728,2.640103802810079,60.34823196111628,20.20547032356647,257.73999938964846,248.07749862670897,249.3244207763672,229.3429005432129,PPAP.NS,2023-11-23 10:57:31.551611
8,2023-11-13 00:00:00+05:30,268.79998779296875,271.0,261.5,263.95001220703125,17710,0.0,0.0,2023-11-13,247.78749923706056,11.730436859390057,259.5179360964506,236.0570623776705,271.2483729558407,224.32662551828045,162.03055430918022,89.61455681658146,1942075,19280.735011597015,23810.25595361904,225.42336888870196,71.36932313402095,265.48333740234375,269.4666748046875,259.9666748046875,274.98333740234375,255.98333740234375,278.9666748046875,250.4666748046875,-0.028693712404556166,-23.459059003077588,1.6779913029326394,-0.574372907222247,2.2523642101548864,59.52053812388025,20.283873238659723,254.63999938964844,247.78749923706056,248.73681427001952,228.62096786499023,PPAP.NS,2023-11-23 10:57:31.551611
9,2023-11-10 00:00:00+05:30,251.5,276.70001220703125,240.60000610351562,267.79998779296875,78367,0.0,0.0,2023-11-10,247.78999862670898,11.734066598618492,259.5240652253275,236.0559320280905,271.258131823946,224.32186542947198,174.6249639098424,68.85648585358976,1959785,86561.96624193048,24942.63618912454,225.36073504468249,61.92223113351228,261.7000020345052,282.79999796549475,246.69999186197913,297.8000081380208,225.59999593098956,318.9000040690104,210.5999857584635,-0.005289981533235733,-16.375388067319467,0.4785322311869322,-1.1374639597609686,1.6159961909479008,62.253266284641484,19.697515950126096,251.02999572753907,247.78999862670898,248.12133331298827,227.86813232421875,PPAP.NS,2023-11-23 10:57:31.551611
10,2023-11-09 00:00:00+05:30,246.5,252.0,243.5500030517578,245.85000610351562,5057,0.0,0.0,2023-11-09,247.70749893188477,11.590903183905834,259.2984021157906,236.11659574797895,270.88930529969645,224.5256925640731,74.07851926240718,-25.71562468912529,1881418,5127.982274153043,9537.803675923053,225.05322037875678,38.20005176774934,247.13333638509116,250.7166697184245,242.2666727701823,255.58333333333334,238.68333943684897,259.1666666666667,233.81667582194012,-0.16408039375544373,-48.52135127709229,-1.4435536036963015,-1.5414630074979436,0.09790940380164215,50.13227087718201,19.066054254782195,246.04999694824218,247.70749893188477,247.2961227416992,227.0957583618164,PPAP.NS,2023-11-23 10:57:31.551611
