Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-01-03 00:00:00+05:30,373.0,376.0,370.0,372.6000061035156,629046,0.0,0.0,2024-01-03,361.94443969726564,11.820756087382106,373.76519578464774,350.1236836098835,385.58595187202985,338.3029275225014,100.28793304264217,-0.8992109887533657,-52487296,276175.6336866039,514970.71028148424,537.169171597379,55.760472027757395,372.8666687011719,375.73333740234375,369.73333740234375,378.8666687011719,366.8666687011719,381.73333740234375,363.73333740234375,-0.31668879588267185,-51.56079896806487,-2.2575072334266792,-6.0044306754307835,3.746923442004104,51.31363768046687,28.48042445480419,370.75,361.94443969726564,385.22145751953127,443.54865112304685,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
2,2024-01-02 00:00:00+05:30,379.8500061035156,379.8500061035156,368.5,372.8999938964844,717289,0.0,0.0,2024-01-02,361.0557830810547,11.644288531288732,372.70007161234344,349.41149454976596,384.3443601436322,337.7672060184772,66.19335554859099,-2.7721265517064078,-51858250,315171.28573682194,574669.4794302043,537.4451794176591,55.912661946046384,373.75,379.0,367.6499938964844,385.1000061035156,362.3999938964844,390.3500061035156,356.29998779296875,-0.32725250073830087,-51.024519624404995,-3.017130395014533,-6.941161535931808,3.9240311409172755,51.473216901631375,30.64693005111104,368.38999633789064,361.0557830810547,386.6977130126953,444.9752932739258,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
3,2024-01-01 00:00:00+05:30,367.0,379.6499938964844,366.6499938964844,377.5,1160006,0.0,0.0,2024-01-01,360.39143524169924,11.307120899456196,371.69855614115545,349.08431434224303,383.00567704061166,337.7771934427868,50.90279291368551,-4.509766252191383,-51140961,515985.25109634263,639544.0278535498,537.7604628988398,56.42539337242595,374.59999593098956,382.54999796549475,369.54999796549475,387.59999593098956,361.59999593098956,395.54999796549475,356.54999796549475,-0.327507987069106,-42.801224170907155,-3.9735083861275484,-7.922169321161126,3.948660935033578,53.857981432036,32.98008992405688,366.00999755859374,360.39143524169924,388.18093139648437,446.3216586303711,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
4,2023-12-29 00:00:00+05:30,364.3999938964844,367.3999938964844,359.0,366.54998779296875,506704,0.0,0.0,2023-12-29,359.2203857421875,10.634811911030903,369.8551976532184,348.5855738311566,380.4900095642493,337.9507619201257,-13.2132998837547,-31.093572949498597,-52300967,218850.5480306112,670433.7220428516,538.2586085471347,55.29749364019832,364.31666056315106,369.6333211263021,361.23332722981775,372.71665445963544,355.9166666666667,378.0333150227865,352.83333333333337,-0.35302302930460455,-62.376238545128864,-5.590788257881684,-8.90933455491952,3.3185462970378357,48.5935238429749,35.509477323539365,362.3399963378906,359.2203857421875,389.73866943359377,447.6629055786133,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
5,2023-12-28 00:00:00+05:30,361.0,368.25,361.0,364.20001220703125,668219,0.0,0.0,2023-12-28,358.49712524414065,10.601928777700005,369.09905402184063,347.89519646644067,379.70098279954067,337.2932676887406,-1.3128922462798787,-33.20511832552533,-52807671,286760.198633435,783329.5155459116,538.4920651784722,57.32029270353866,364.48333740234375,367.9666748046875,360.7166748046875,371.73333740234375,357.23333740234375,375.2166748046875,353.4666748046875,-0.349433567233384,-66.57722069967464,-6.4982773724217395,-9.738971129178978,3.2406937567572385,47.39752071514015,37.15814086426565,358.38999633789064,358.49712524414065,391.47552307128905,449.09371063232425,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
6,2023-12-27 00:00:00+05:30,362.0,364.3999938964844,359.0,360.79998779296875,659573,0.0,0.0,2023-12-27,357.3952926635742,11.110936360911108,368.5062290244853,346.28435630266307,379.6171653853964,335.173419941752,-13.656492128054106,-41.6780667410385,-53475890,280407.4059888486,907471.8447740307,538.8051309400278,57.829454865325985,361.3999938964844,363.79998779296875,358.3999938964844,366.79998779296875,356.0,369.1999816894531,353.0,-0.36075325747874787,-71.32049380402545,-7.330242698143138,-10.549144568368288,3.2189018702251495,45.70030016714247,39.078924874013964,356.46550903320315,357.3952926635742,393.07789916992186,450.60086334228515,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
7,2023-12-26 00:00:00+05:30,362.8999938964844,363.5,356.20001220703125,361.0,739232,0.0,0.0,2023-12-26,356.6005661010742,11.418769130645568,368.01933523171977,345.18179697042865,379.4381043623653,333.7630278397831,-16.376610807816913,-46.209531562901965,-52816317,314447.4352033348,1064237.9544703262,539.1212897320552,52.05479323663641,360.23333740234375,364.26666259765625,356.9666748046875,367.5333251953125,352.933349609375,371.566650390625,349.66668701171875,-0.3722742931053207,-70.96950701902428,-7.949495253202429,-11.353870035924574,3.4043747827221456,45.780983453636004,40.79447404213285,361.0641784667969,356.6005661010742,394.94969482421874,452.168938293457,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
8,2023-12-22 00:00:00+05:30,352.79998779296875,362.6000061035156,351.04998779296875,359.1499938964844,1587459,1.0,0.0,2023-12-22,356.17723846435547,11.404015433058156,367.5812538974136,344.77322303129733,378.9852693304718,333.36920759823914,-30.814665749340207,-53.38647884992442,-53555549,671797.6451748172,1251685.584287074,539.4765705945919,49.47694345970329,357.59999593098956,364.1500040690104,352.5999857584635,369.15001424153644,346.0499776204427,375.70002237955725,341.04996744791663,-0.38909009858682597,-74.21594734455924,-8.64157745009652,-12.204963731605108,3.5633862815085884,44.946131597024525,42.561518115743354,366.3308044433594,356.17723846435547,396.9840100097656,453.66172454833986,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
9,2023-12-21 00:00:00+05:30,357.9179534813113,360.0617656814991,345.5037377453669,346.79998779296875,4703406,0.0,0.0,2023-12-21,355.9187042236328,11.391678891997048,367.31038311562986,344.52702533163574,378.7020620076269,333.1353464396387,-72.90674880555574,-68.33215234553644,-55143008,1921992.2793577667,1396657.5690651382,540.2522846957175,48.10905387308825,350.7884970732782,356.07325640118955,341.51522846505736,365.3465250094104,336.23046913714603,370.63128433732174,326.95720052892517,-0.367068996819447,-95.88806926830044,-9.2145218215299,-13.095810301982254,3.881288480452355,39.13684520598499,44.388464346712325,367.5102844238281,355.9187042236328,399.1590264892578,455.12165893554686,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
10,2023-12-20 00:00:00+05:30,383.49419412659483,383.49419412659483,351.98504518549595,354.57757568359375,5850743,0.0,0.0,2023-12-20,355.88879241943357,11.417638464691167,367.3064308841247,344.4711539547424,378.72406934881593,333.0535154900512,6.11356637957307,-48.34263808914612,-50439602,2444456.9007242415,1265323.891491981,542.7497335549497,58.112053099340436,363.3522716652282,374.7194981449605,343.2103492038616,394.8614206063271,331.84312272412933,406.22864708605937,311.7012002627627,-0.3236242939627934,-82.23974945166036,-8.592161789586555,-14.066132422095343,5.473970632508788,41.71149812366894,46.15067025975504,368.02879028320314,355.88879241943357,401.7595281982422,456.7599349975586,RAJESHEXPO.NS,2024-01-03 10:58:05.722498
