Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-28 00:00:00+05:30,215.0,220.6999969482422,212.64999389648438,214.10000610351562,1553,0.0,0.0,2023-12-28,214.23500213623046,2.0338648860400586,216.2688670222705,212.2011372501904,218.3027319083106,210.16727236415034,36.35840135534349,-14.71674071969872,277496,1084.894359317404,1993.501630278788,335.6534980527427,67.086617075368,215.81666564941406,218.98333740234375,210.93333435058594,223.86666870117188,207.76666259765625,227.03334045410156,202.88333129882812,-0.30285555920137003,-72.67441000834502,-0.740855245916606,-1.1455548305498784,0.4046995846332724,47.856029661625534,40.68842671353868,214.7500030517578,214.23500213623046,217.6490008544922,231.68839645385742,RAMAPHO.BO,2023-12-28 11:17:14.907687
2,2023-12-27 00:00:00+05:30,216.35000610351562,219.14999389648438,213.14999389648438,214.3000030517578,1599,0.0,0.0,2023-12-27,214.1625015258789,2.064543042850371,216.22704456872927,212.09795848302852,218.29158761157964,210.03341544017815,30.463503105813206,-23.09735147131262,279049,1118.0724768520954,2220.653448019134,335.6820563457672,69.16945404848241,215.53333028157553,217.91666666666669,211.91666666666669,221.53333028157553,209.53333028157553,223.91666666666669,205.91666666666669,-0.3060683247242102,-71.8992281301066,-0.7819252261370195,-1.2467297267081965,0.46480450057117695,48.17976701516297,41.22645155003493,213.8000030517578,214.1625015258789,218.15600067138672,231.9703515625,RAMAPHO.BO,2023-12-28 11:17:14.907687
3,2023-12-26 00:00:00+05:30,216.89999389648438,217.10000610351562,215.8000030517578,216.10000610351562,1997,0.0,0.0,2023-12-26,214.00500106811523,2.170915271486366,216.1759163396016,211.83408579662887,218.34683161108796,209.6631705251425,39.233046140303415,-10.613548305043492,280648,1408.0956596047859,2496.2986908108933,335.7114261710851,74.07858190602828,216.33333841959634,216.86667378743488,215.56667073567706,217.63334147135416,215.03333536783853,218.1666768391927,214.26666768391925,-0.3096769631636789,-64.92247294078821,-0.8423565635015677,-1.3629308518509906,0.5205742883494229,51.06680614457209,42.009928595772784,213.5500030517578,214.00500106811523,218.47800048828125,232.26624389648438,RAMAPHO.BO,2023-12-28 11:17:14.907687
4,2023-12-22 00:00:00+05:30,221.0,221.0,212.3000030517578,215.6999969482422,7714,0.0,0.0,2023-12-22,213.94000091552735,2.123838021160296,216.06383893668766,211.81616289436704,218.18767695784794,209.69232487320676,37.69976130968985,-11.279189057477472,278651,5429.115603139898,2768.34944861242,335.74758217207307,70.32729144101431,216.33333333333334,220.36666361490887,211.66666666666669,225.03333028157553,207.63333638509116,229.06666056315106,202.9666697184245,-0.30795233503214114,-66.47289583985133,-1.0842370374444386,-1.4930744239383464,0.4088373864939079,50.45417675628423,42.169987894408514,213.5000030517578,213.94000091552735,218.7670004272461,232.57501449584962,RAMAPHO.BO,2023-12-28 11:17:14.907687
5,2023-12-21 00:00:00+05:30,211.3000030517578,214.0500030517578,208.25,213.5500030517578,2230,0.0,0.0,2023-12-21,213.97000122070312,2.1540304271909374,216.12403164789407,211.81597079351218,218.278062075085,209.66194036632126,-107.3977109955983,-87.74387240957134,270937,1553.830925299689,2103.1579099805504,335.8879185094137,66.24149921417445,211.95000203450522,215.65000406901044,209.85000101725262,217.75000508626303,206.1499989827474,221.45000712076825,204.0499979654948,-0.2969501086726726,-74.8062045304404,-1.3380946662543067,-1.5952837705618232,0.2571891043075165,47.1518678892648,42.34235944678545,213.5300048828125,213.97000122070312,219.07300048828125,232.79066772460936,RAMAPHO.BO,2023-12-28 11:17:14.907687
6,2023-12-20 00:00:00+05:30,213.0500030517578,215.89999389648438,207.0500030517578,209.35000610351562,1719,0.0,0.0,2023-12-20,213.7325012207031,2.4449889909234868,216.1774902116266,211.28751222977962,218.6224792025501,208.84252323885613,-188.79989290371043,-110.35254283641879,268707,1174.2164772770807,2240.4896561507658,335.9292755833991,68.02427458169892,210.76666768391928,214.48333231608075,205.63334147135419,219.61665852864584,201.91667683919272,223.3333231608073,196.78335062662762,-0.3445067236577531,-91.08526054379243,-1.431093372936573,-1.6595810466387022,0.2284876737021293,39.88362230416353,43.36511385404278,213.86000366210936,213.7325012207031,219.4390005493164,232.98947204589842,RAMAPHO.BO,2023-12-28 11:17:14.907687
7,2023-12-19 00:00:00+05:30,216.39999389648438,217.75,212.25,213.0500030517578,4618,0.0,0.0,2023-12-19,213.77000122070314,2.3790985076530524,216.1490997283562,211.39090271305008,218.52819823600925,209.01180420539703,-85.68833315987555,-55.70621950683234,270426,3210.2199482549586,2507.057950869187,335.9622696248189,67.92921744693629,214.3500010172526,216.4500020345052,210.9500020345052,219.8500010172526,208.8500010172526,221.9500020345052,205.4500020345052,-0.3555280982184551,-82.15766820436389,-1.11484060290843,-1.7167029650642345,0.6018623621558046,44.9394918406002,44.46654167724299,214.79000244140624,213.77000122070314,219.91800048828125,233.2013900756836,RAMAPHO.BO,2023-12-28 11:17:14.907687
8,2023-12-18 00:00:00+05:30,215.39999389648438,217.85000610351562,215.0,215.85000610351562,2101,0.0,0.0,2023-12-18,213.71750106811524,2.4072419915395384,216.12474305965478,211.3102590765757,218.5319850511943,208.90301708503617,23.876099710995376,-31.77776124256572,275044,1479.7128096887823,2331.267451522744,336.0483988279957,76.31880737460042,216.23333740234375,217.4666748046875,214.61666870117188,219.08334350585938,213.38333129882812,220.31668090820312,211.76666259765625,-0.3147527510586895,-70.53940122247562,-1.0574433376552292,-1.8671685556031854,0.8097252179479562,49.3340993316502,44.33898713664216,215.1500030517578,213.71750106811524,220.42100036621093,233.37879837036132,RAMAPHO.BO,2023-12-28 11:17:14.907687
9,2023-12-15 00:00:00+05:30,215.9499969482422,221.0,213.75,215.85000610351562,5305,0.0,0.0,2023-12-15,213.40000076293944,2.526960674600855,215.92696143754029,210.8730400883386,218.45392211214116,208.34607941373773,43.00393939167859,-26.788212831712244,277145,3736.2572372198906,2544.156111981234,336.0867310914376,76.29461692291329,216.86666870117188,219.98333740234375,212.73333740234375,224.11666870117188,209.61666870117188,227.23333740234375,205.48333740234375,-0.3133025321776679,-70.53940122247562,-1.2436934525775598,-2.0695998600901744,0.8259064075126146,49.3340993316502,43.420344974825575,215.2300018310547,213.40000076293944,220.72400024414063,233.5237243652344,RAMAPHO.BO,2023-12-28 11:17:14.907687
10,2023-12-14 00:00:00+05:30,217.89999389648438,218.39999389648438,212.75,215.1999969482422,3942,0.0,0.0,2023-12-14,213.29750061035156,2.463121947161692,215.76062255751324,210.83437866318988,218.22374450467495,208.37125671602817,-8.714724129920738,-47.17126274807959,271840,2767.9497180191356,2246.13083067157,336.1836284927943,74.70226287734975,215.4499969482422,218.14999389648438,212.5,221.09999084472656,209.8000030517578,223.79998779296875,206.85000610351562,-0.30667325645855326,-73.23653396377654,-1.4633061989163423,-2.2760764619683282,0.812770263051986,48.322569240572676,42.43103803133079,214.66000061035157,213.29750061035156,221.01800018310547,233.7373794555664,RAMAPHO.BO,2023-12-28 11:17:14.907687
11,2023-12-13 00:00:00+05:30,215.0500030517578,216.60000610351562,212.39999389648438,214.0,2194,0.0,0.0,2023-12-13,213.27500076293944,2.446829980368509,215.72183074330795,210.82817078257094,218.16866072367645,208.38134080220243,-33.2010281187124,-62.344652105410624,267898,1531.968065569594,2115.676108834679,336.256120977891,73.6265854577221,214.33333333333334,216.2666727701823,212.06666056315106,218.5333455403646,210.1333211263021,220.46668497721356,207.8666483561198,-0.3449765671861357,-78.21577315188253,-1.6582897043319917,-2.4792690277313247,0.820979323399333,46.491219467776446,41.56763116239005,214.7300018310547,213.27500076293944,221.38000030517577,234.0043504333496,RAMAPHO.BO,2023-12-28 11:17:14.907687
12,2023-12-12 00:00:00+05:30,214.0500030517578,232.85000610351562,211.0,214.85000610351562,4443,0.0,0.0,2023-12-12,213.31000061035155,2.462701261364338,215.7727018717159,210.8472993489872,218.23540313308024,208.38459808762286,154.7832017813983,-10.193004525360365,270092,3114.6625380636983,2261.60311965095,336.2969061073375,77.19686872438484,219.5666707356771,228.13334147135419,206.28333536783856,241.41667683919272,197.71666463216147,249.9833475748698,184.43332926432294,-0.340448585481615,-74.68877776497419,-1.764620557964065,-2.6845138585811577,0.9198933006170926,47.60074455734586,40.78099357592615,215.11000061035156,213.31000061035155,221.73300018310547,234.27933685302733,RAMAPHO.BO,2023-12-28 11:17:14.907687
13,2023-12-11 00:00:00+05:30,217.8000030517578,219.0,214.64999389648438,216.25,2703,0.0,0.0,2023-12-11,213.27250061035156,2.4436536419235515,215.71615425227512,210.828846968428,218.15980789419865,208.38519332650446,86.82787867414598,-42.13040382099647,274535,1907.2230095821758,2048.3382650477624,336.3790075621003,63.88568556850758,216.63333129882812,218.61666870117188,214.26666259765625,220.98333740234375,212.2833251953125,222.9666748046875,209.91665649414062,-0.3319902675550307,-44.93242825270225,-1.957732319279188,-2.9144871837354307,0.9567548644562427,49.403980510199666,39.933845405888114,214.12999877929687,213.27250061035156,222.13600006103516,234.59662322998048,RAMAPHO.BO,2023-12-28 11:17:14.907687
14,2023-12-08 00:00:00+05:30,218.0,218.0,211.60000610351562,213.0,2580,0.0,0.0,2023-12-08,213.49000091552733,2.877664676288377,216.36766559181572,210.61233623923894,219.24533026810408,207.73467156295058,-7.598505054322431,-68.24907668253837,271832,1793.0757008347207,2083.617078914159,336.4284341570418,62.83218875505918,214.20000203450522,216.7999979654948,210.40000406901044,220.5999959309896,207.80000813802084,223.19999186197919,204.00001017252606,-0.34509823125792893,-66.89190582432583,-2.313189468354892,-3.153675899849491,0.840486431494599,44.90491506430478,40.36861655902346,214.05,213.49000091552733,222.52700012207032,234.9482192993164,RAMAPHO.BO,2023-12-28 11:17:14.907687
15,2023-12-07 00:00:00+05:30,220.0,220.0,213.85000610351562,215.5500030517578,4558,0.0,0.0,2023-12-07,214.00750122070312,3.61984003635227,217.62734125705538,210.38766118435086,221.24718129340766,206.76782114799857,80.86019627937999,-49.3163230332432,274412,3205.6910888433035,2156.252423434018,336.4769264001685,66.56186324026216,216.46666971842447,219.08333333333331,212.93333943684894,222.61666361490884,210.3166758219401,225.2333272298177,206.78334554036456,-0.34173569055069253,-46.66660853794643,-2.413158250605534,-3.3637975077231403,0.9506392571176066,48.015633926502986,40.963029636145315,214.46000061035156,214.00750122070312,222.98100006103516,235.08628463745117,RAMAPHO.BO,2023-12-28 11:17:14.907687
16,2023-12-06 00:00:00+05:30,213.0500030517578,218.0500030517578,211.5500030517578,215.89999389648438,4484,0.0,0.0,2023-12-06,214.31750106811523,4.0039886246978975,218.32148969281315,210.31351244341732,222.32547831751103,206.30952381871944,45.70732057103664,-64.20313649539217,278970,3158.7666909994164,1893.8927570816963,336.560918069744,59.30784963612794,215.16666666666666,218.7833302815755,212.2833302815755,221.66666666666666,208.66666666666666,225.2833302815755,205.7833302815755,-0.3386406753848857,-44.44444444444444,-2.7557222458479487,-3.601457322002542,0.8457350761545932,48.44333873327065,41.0417224866862,213.6,214.31750106811523,223.4220001220703,235.2386929321289,RAMAPHO.BO,2023-12-28 11:17:14.907687
