Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-10-23 00:00:00+05:30,2679.949951171875,2718.449951171875,2630.10009765625,2646.5,29391,0.0,0.0,2023-10-23,2616.5699951171873,52.365134627739764,2668.935129744927,2564.2048604894476,2721.300264372667,2511.839725861708,11.462209741634583,27.91849462146401,2177146,54456.757391202606,146680.9004846767,1913.9724270835707,74.53847632355836,2665.0166829427085,2699.933268229167,2611.583414713542,2753.3665364583335,2576.6668294270835,2788.283121744792,2523.233561197917,-0.06339093395457361,-66.97984310372455,13.07178980980234,4.628339402840629,8.443450406961711,51.176984428661356,21.28009174252455,2679.539990234375,2616.5699951171873,2634.8590087890625,2529.82521484375,RATNAMANI.NS,2023-10-23 11:02:06.816957
2,2023-10-20 00:00:00+05:30,2738.0,2746.89990234375,2671.14990234375,2688.949951171875,16971,0.0,0.0,2023-10-20,2614.2449951171875,51.997310766971665,2666.242305884159,2562.247684350216,2718.2396166511307,2510.2503735832443,74.62556327774075,74.98627902117136,2206537,31948.882277719094,169736.93625804523,1912.8380439168156,78.24462466216933,2702.333251953125,2733.5166015625,2657.7666015625,2778.083251953125,2626.583251953125,2809.2666015625,2582.0166015625,-0.04123697116652078,-55.41939734756335,14.624604973462738,2.5174768011002007,12.107128172362536,56.54740652970594,20.762413503425524,2672.819970703125,2614.2449951171875,2633.4930078125,2526.7060107421876,RATNAMANI.NS,2023-10-23 11:02:06.816957
3,2023-10-19 00:00:00+05:30,2744.050048828125,2793.39990234375,2694.64990234375,2724.550048828125,50447,0.0,0.0,2023-10-19,2609.7199951171874,49.00581419159709,2658.7258093087844,2560.7141809255904,2707.7316235003814,2511.7083667339934,160.12669333092404,122.79570759784897,2223508,96226.71309428163,204183.94975312674,1912.1434328015137,80.34499825831156,2737.5332845052085,2780.416666666667,2681.666666666667,2836.2832845052085,2638.7832845052085,2879.166666666667,2582.916666666667,-0.09840857162032605,-45.724380356783115,12.210416999804693,-0.5093052419904338,12.719722241795127,61.579611146533495,19.184348220024887,2660.9,2609.7199951171874,2631.6880078125,2522.982155761719,RATNAMANI.NS,2023-10-23 11:02:06.816957
4,2023-10-18 00:00:00+05:30,2607.25,2892.449951171875,2601.0,2743.449951171875,527018,0.0,0.0,2023-10-18,2606.4249877929688,42.68666733034286,2649.1116551233117,2563.738320462626,2691.7983224536547,2521.051653132283,316.11345224660374,144.0702674443352,2273955,1012250.5165700241,231173.25891783801,1909.9763491436506,84.65239936543743,2745.63330078125,2890.2666015625,2598.816650390625,3037.083251953125,2454.183349609375,3181.716552734375,2307.36669921875,-0.08108859886634646,-38.97462227816445,5.428448279509212,-3.6892358024392156,9.117684081948427,64.40509580725795,16.851237233323626,2639.589990234375,2606.4249877929688,2629.4420068359377,2518.750517578125,RATNAMANI.NS,2023-10-23 11:02:06.816957
5,2023-10-17 00:00:00+05:30,2626.0,2686.0,2580.050048828125,2594.25,30968,0.0,0.0,2023-10-17,2603.1324951171873,33.002492172493334,2636.134987289681,2570.130002944694,2669.137479462174,2537.127510772201,53.13083773798048,-11.671164019103374,1746937,56245.85209296371,35903.94450479146,1886.0840164536,48.745416840100305,2620.1000162760415,2660.149983723958,2554.200032552083,2726.0499674479165,2514.1500651041665,2766.099934895833,2448.250081380208,-0.13747588100204158,-52.17512030010468,-5.198130059563937,-5.968656822926322,0.7705267633623851,46.36576405543104,14.338656170722267,2614.4,2603.1324951171873,2626.1930078125,2514.2129321289062,RATNAMANI.NS,2023-10-23 11:02:06.816957
6,2023-10-16 00:00:00+05:30,2628.050048828125,2658.10009765625,2603.5,2612.89990234375,19275,0.0,0.0,2023-10-16,2607.652490234375,37.593187475336634,2645.2456777097113,2570.0593027590385,2682.8388651850482,2532.4661152837016,86.8806748809418,-4.50185798298127,1777905,35260.02989136264,30818.467607748396,1884.8891437674727,51.800129068720054,2624.8333333333335,2646.166666666667,2591.566569010417,2679.4334309895835,2570.2332356770835,2700.766764322917,2536.966471354167,-0.10644134398892095,-35.92146091468558,-4.030676377366035,-6.161288513766918,2.1306121364008828,49.26367300220405,14.704900745088578,2620.189990234375,2607.652490234375,2624.6670068359376,2511.88197265625,RATNAMANI.NS,2023-10-23 11:02:06.816957
7,2023-10-13 00:00:00+05:30,2603.0,2670.5,2587.64990234375,2629.35009765625,20969,0.0,0.0,2023-10-13,2613.8099975585938,47.32408251764122,2661.134080076235,2566.4859150409525,2708.4581625938763,2519.161832523311,127.18763043761729,2.2382400697031493,1797180,38600.386451493745,29708.077036844832,1884.1237905206485,52.95574464349676,2629.1666666666665,2670.683430989583,2587.833333333333,2712.0167643229165,2546.3165690104165,2753.533528645833,2504.983235677083,-0.06548798976377102,-25.662536503074023,-4.311643842688682,-6.693941547867138,2.3822977051784564,51.921565917892266,15.806197593422473,2618.22001953125,2613.8099975585938,2624.4880078125,2509.15798828125,RATNAMANI.NS,2023-10-23 11:02:06.816957
8,2023-10-12 00:00:00+05:30,2590.0,2645.0,2590.0,2618.0,10252,0.0,0.0,2023-10-12,2616.052490234375,49.127483601310786,2665.179973835686,2566.925006633064,2714.3074574369966,2517.7975230317534,95.48964039970689,-13.243069603584718,1776211,18790.734507593726,27484.999683182603,1883.2705084435754,37.911419730584285,2617.6666666666665,2645.333333333333,2590.333333333333,2672.6666666666665,2562.6666666666665,2700.333333333333,2535.333333333333,-0.0846534599732893,-34.157469165704065,-6.226134395845747,-7.289515974161752,1.0633815783160045,50.200157444720006,16.9922095839359,2614.189990234375,2616.052490234375,2624.9080078125,2506.2884130859375,RATNAMANI.NS,2023-10-23 11:02:06.816957
9,2023-10-11 00:00:00+05:30,2633.949951171875,2649.0,2594.699951171875,2617.5,11432,0.0,0.0,2023-10-11,2622.1824951171875,56.481696046690594,2678.664191163878,2565.700799070497,2735.1458872105686,2509.2191030238064,122.92981231987216,-10.501682359862455,1765959,20949.53669669847,29658.56597707982,1882.8589741949459,29.471986896650293,2620.3999837239585,2646.100016276042,2591.799967447917,2674.7000325520835,2566.0999348958335,2700.400065104167,2537.499918619792,-0.06024162020009953,-42.98987263979089,-7.465114434940915,-7.555361368740752,0.09024693379983706,50.12711293285697,17.534956371177927,2607.669970703125,2622.1824951171875,2626.0220068359376,2503.6716796875,RATNAMANI.NS,2023-10-23 11:02:06.816957
10,2023-10-10 00:00:00+05:30,2603.050048828125,2631.449951171875,2580.0,2623.199951171875,15806,0.0,0.0,2023-10-10,2630.672497558594,67.43953850897388,2698.1120360675677,2563.23295904962,2765.5515745765415,2495.7934205406464,113.68896128646902,-21.937604120424194,1777391,29028.11867595689,31835.823297175157,1882.399841049433,25.893003768660975,2611.5499674479165,2643.099934895833,2591.649983723958,2662.9999186197915,2560.1000162760415,2694.549886067708,2540.200032552083,-0.005768556118665357,-39.962814916041836,-8.889034114768037,-7.577923102190711,-1.3111110125773262,50.91769789516473,18.23409740591242,2604.589990234375,2630.672497558594,2625.5550048828127,2500.9131396484377,RATNAMANI.NS,2023-10-23 11:02:06.816957
11,2023-10-09 00:00:00+05:30,2536.550048828125,2608.449951171875,2525.25,2603.050048828125,15984,0.0,0.0,2023-10-09,2635.959997558594,70.88062668502394,2706.8406242436176,2565.07937087357,2777.721250928642,2494.198744188546,-5.472206397237119,-65.54521653467182,1761585,29129.531917977532,32537.749452479722,1881.7591632075141,20.070546342352046,2578.9166666666665,2632.583333333333,2549.383382161458,2662.1166178385415,2495.7167154947915,2715.783284505208,2466.183430989583,-0.011667437034399208,-53.28131714324301,-11.138759288219262,-7.250145349046379,-3.888613939172883,48.23789209736293,18.47923183490196,2602.65,2635.959997558594,2624.9130078125,2498.0732153320314,RATNAMANI.NS,2023-10-23 11:02:06.816957
12,2023-10-06 00:00:00+05:30,2585.050048828125,2620.0,2564.550048828125,2609.199951171875,9339,0.0,0.0,2023-10-06,2643.0449951171877,74.4118898407004,2717.456884957888,2568.633105276487,2791.8687747985887,2494.2212154357867,67.18386700189984,-40.473872648851035,1777569,17059.773228172297,33389.80383610527,1881.1277806249389,20.24821753323377,2597.9166666666665,2631.283284505208,2575.833333333333,2653.3666178385415,2542.4667154947915,2686.733235677083,2520.383382161458,-0.0005250052235923395,-58.65162653371341,-11.865860085704753,-6.277991864253158,-5.587868221451595,48.99604145884658,18.03522282830142,2602.189990234375,2643.0449951171877,2623.6930078125,2495.458181152344,RATNAMANI.NS,2023-10-23 11:02:06.816957
