Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-08 00:00:00+05:30,85.55999755859375,86.55000305175781,84.94000244140625,85.95999908447266,1184725,0.0,0.0,2023-11-08,86.0849998474121,2.365899463525755,88.45089931093786,83.71910038388636,90.81679877446362,81.35320092036059,94.9876007955228,-68.42953760052781,1599490,830920.0985000741,515283.1648085946,89.37484025119174,46.415783480235675,85.81666819254558,86.6933339436849,85.08333333333334,87.42666880289714,84.20666758219402,88.30333455403647,83.47333272298178,-0.16400496786101806,-41.20169003692453,-1.3215270602976545,-1.6592333744579013,0.33770631416024677,46.64923688157212,25.99489335882004,85.55199890136718,86.0849998474121,90.67384765625,88.60550086975098,SAIL.BO,2023-11-08 11:12:34.634180
2,2023-11-07 00:00:00+05:30,86.19000244140625,86.19000244140625,84.37999725341797,85.38999938964844,730706,0.0,0.0,2023-11-07,86.2284999847412,2.443678095670272,88.67217808041147,83.78482188907094,91.11585617608175,81.34114379340066,81.09126282028208,-78.74243781750735,414765,509090.4997177604,436373.9313857247,89.37971794324714,34.13549490755918,85.31999969482422,86.26000213623047,84.44999694824219,87.1300048828125,83.50999450683594,88.07000732421875,82.6399917602539,-0.12339271276659121,-58.69310336539103,-1.4803674190662122,-1.7436599529979628,0.26329253393175067,44.71746438514058,26.90629788651358,84.96199951171874,86.2284999847412,90.6596044921875,88.56475364685059,SAIL.BO,2023-11-08 11:12:34.634180
3,2023-11-06 00:00:00+05:30,85.61000061035156,87.3499984741211,85.25,86.83999633789062,547330,0.0,0.0,2023-11-06,86.27950019836426,2.435888792412876,88.71538899077714,83.84361140595138,91.15127778319001,81.40772261353851,227.07594692436416,-62.88046090793784,1145471,387805.8520166694,418194.7893027157,89.3832359285997,42.8702833963471,86.47999827067058,87.70999654134116,85.60999806722006,88.57999674479167,84.37999979654948,89.80999501546225,83.50999959309897,-0.15575491427815982,-42.775261866681596,-1.6051650687710435,-1.8094830864809004,0.20431801770985691,48.89992646231491,27.64491735164062,84.65599975585937,86.27950019836426,90.67466842651368,88.53169616699219,SAIL.BO,2023-11-08 11:12:34.634180
4,2023-11-03 00:00:00+05:30,86.38999938964844,86.38999938964844,84.0,84.54000091552734,410148,0.0,0.0,2023-11-03,86.37750053405762,2.4982544154992845,88.8757549495569,83.87924611855833,91.37400936505618,81.38099170305905,51.762011849983416,-88.57361890973837,598141,282909.90642391675,425792.0236242272,89.38491679253319,44.3830400845743,84.97666676839192,85.95333353678384,83.56333414713541,87.36666615804036,82.58666737874348,88.34333292643228,81.17333475748697,-0.209995233723457,-69.15135246747883,-1.8834259247537801,-1.8605625909083645,-0.022863333845415612,40.735523208034934,28.861371671015103,84.06600036621094,86.37750053405762,90.65118194580079,88.48553146362305,SAIL.BO,2023-11-08 11:12:34.634180
5,2023-11-02 00:00:00+05:30,83.75,85.38999938964844,83.4000015258789,85.02999877929688,830819,0.0,0.0,2023-11-02,86.58150062561035,2.5068780956724046,89.08837872128275,84.07462252993794,91.59525681695516,81.56774443426553,-3.485588419575995,-97.4102917746021,1008289,576399.906127111,461512.5529243048,89.38731749319567,37.81877574003372,84.6066665649414,85.8133316040039,83.82333374023438,86.59666442871094,82.61666870117188,87.80332946777344,81.83333587646484,-0.24654767530864383,-63.53211169712008,-1.9846326847602427,-1.8548467574470104,-0.12978592731323224,42.06508413795924,29.545588520302648,83.94000091552735,86.58150062561035,90.66613464355468,88.45639770507813,SAIL.BO,2023-11-08 11:12:34.634180
6,2023-11-01 00:00:00+05:30,84.0,84.16000366210938,82.5999984741211,83.01000213623047,670430,0.0,0.0,2023-11-01,86.79250068664551,2.5466968116773874,89.3391974983229,84.24580387496812,91.88589431000028,81.69910706329074,-68.811994830735,-121.4119894808944,177470,454076.65378746646,432790.71462360315,89.39169546595174,40.58185229778434,83.25666809082031,83.91333770751953,82.35333251953125,84.8166732788086,81.69666290283203,85.47334289550781,80.79332733154297,-0.3171214704366667,-86.69720757199802,-2.132395179461568,-1.8224002756187023,-0.30999490384286577,33.793119321720226,29.583925265122197,83.57400054931641,86.79250068664551,90.67725631713867,88.42395568847657,SAIL.BO,2023-11-08 11:12:34.634180
7,2023-10-31 00:00:00+05:30,84.06999969482422,84.9800033569336,83.69999694824219,83.86000061035156,638374,0.0,0.0,2023-10-31,87.2265007019043,2.6070626367886574,89.83356333869295,84.61943806511565,92.44062597548161,82.01237542832699,-47.172101889639535,-115.76931986874983,847900,436792.68891967554,427469.22983263724,89.39687378656146,49.13083933406718,84.18000030517578,84.66000366210938,83.37999725341797,85.46000671386719,82.89999389648438,85.94001007080078,82.09999084472656,-0.34946971971371404,-76.94952001315896,-2.090327867989899,-1.7449015496579858,-0.34542631833191306,35.78980889604344,28.685812050746296,83.76999969482422,87.2265007019043,90.69475448608398,88.41808059692383,SAIL.BO,2023-11-08 11:12:34.634180
8,2023-10-30 00:00:00+05:30,84.01000213623047,84.69000244140625,83.37000274658203,83.88999938964844,375758,0.0,0.0,2023-10-30,87.7265007019043,2.872819396558352,90.59932009846266,84.85368130534594,93.472139495021,81.9808619087876,-62.948222432422185,-125.94605091719326,1486274,257195.71902823128,425138.3650608777,89.40115508017803,51.70627469820369,83.98333485921223,84.59666697184244,83.27666727701822,85.30333455403645,82.66333516438802,85.91666666666666,81.956667582194,-0.3079824075115354,-76.60549736295964,-2.088509298208706,-1.6585449700750072,-0.42996432813369867,35.85924751681465,28.103993161351273,83.63199920654297,87.7265007019043,90.7071907043457,88.41554412841796,SAIL.BO,2023-11-08 11:12:34.634180
9,2023-10-27 00:00:00+05:30,84.41000366210938,84.56999969482422,83.41999816894531,83.91000366210938,311024,0.0,0.0,2023-10-27,88.12250061035157,2.8619888201760775,90.98448943052765,85.26051179017549,93.84647825070373,82.3985229699994,-79.07003496639744,-133.7023985076809,1862032,212937.8923767104,467124.02656903927,89.40366456094512,47.63130427372346,83.96666717529297,84.51333618164062,83.36333465576172,85.11666870117188,82.81666564941406,85.66333770751953,82.21333312988281,-0.32099567418790986,-76.37609060079724,-2.0574913227649034,-1.5510538880415823,-0.5064374347233211,35.90236852086619,27.253921872772757,84.23199920654297,88.12250061035157,90.718828125,88.41439888000488,SAIL.BO,2023-11-08 11:12:34.634180
10,2023-10-26 00:00:00+05:30,83.79000091552734,83.79000091552734,81.8499984741211,83.19999694824219,505161,0.0,0.0,2023-10-26,88.56750030517578,2.864442837918993,91.43194314309477,85.7030574672568,94.29638598101377,82.8386146293378,-137.28355144894894,-155.47772750600302,1551008,342924.43626230967,530670.5601171214,89.4057359058659,49.09812514948446,82.94666544596355,84.043332417806,82.10332997639975,84.8866678873698,81.0066630045573,85.98333485921225,80.1633275349935,-0.32288714815749003,-84.51836828972097,-1.9885749216017388,-1.424444529360752,-0.5641303922409868,33.25667711212304,26.2500271488688,85.1519989013672,88.56750030517578,90.7728434753418,88.40220993041993,SAIL.BO,2023-11-08 11:12:34.634180
11,2023-10-25 00:00:00+05:30,83.80999755859375,85.33999633789062,83.08999633789062,83.98999786376953,569298,0.0,0.0,2023-10-25,89.08550033569335,2.778148555847305,91.86364889154066,86.30735177984604,94.64179744738796,83.52920322399875,-159.24041283413396,-139.8760386132358,2056169,390132.86497438635,577607.0910808244,89.40953855301007,46.53541830301275,84.13999684651692,85.18999735514322,82.93999735514322,86.38999684651692,81.88999684651692,87.43999735514322,80.68999735514322,-0.34605938275911324,-82.76735040143106,-1.8002862176619345,-1.2834119313005052,-0.5168742863614293,34.73812948537781,24.602512609289988,86.0759994506836,89.08550033569335,90.92203887939453,88.40706939697266,SAIL.BO,2023-11-08 11:12:34.634180
