Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-17 00:00:00+05:30,6.599999904632568,6.599999904632568,6.400000095367432,6.5,1819,0.0,0.0,2023-11-17,6.602499985694886,0.22564233361005298,6.828142319304939,6.376857652084833,7.053784652914992,6.1512153184747795,-66.66666666666697,-85.69571617830749,6479940,1328.4832030085543,2914.8534708560437,13.243997759415047,34.71659150590865,6.5,6.599999904632568,6.400000095367432,6.699999809265137,6.300000190734863,6.799999713897705,6.200000286102295,,-66.66664900603305,-0.020212458127165434,-0.05467078161904793,0.0344583234918825,44.593924296064124,10.141076330341505,6.829999923706055,6.602499985694886,6.782000017166138,7.217000002861023,SANCO.NS,2023-11-17 11:00:54.437533
2,2023-11-16 00:00:00+05:30,7.050000190734863,7.050000190734863,6.699999809265137,6.699999809265137,8507,0.0,0.0,2023-11-16,6.634999990463257,0.2550025705183056,6.8900025609815625,6.379997419944951,7.145005131499868,6.1249948494266455,56.50793224054921,-15.164784858688492,6481759,6404.14615959623,3311.446037817916,13.24460733127405,32.373643513243096,6.816666603088379,6.933333396911621,6.5833330154418945,7.1666669845581055,6.466666221618652,7.283333778381348,6.233332633972168,,-44.444450331322315,-0.0032317122347302885,-0.06328536249201855,0.06005365025728826,49.117288709582255,9.55524161779656,6.8799999237060545,6.634999990463257,6.763000020980835,7.2275000047683715,SANCO.NS,2023-11-17 11:00:54.437533
3,2023-11-15 00:00:00+05:30,6.949999809265137,7.050000190734863,6.599999904632568,7.050000190734863,2367,0.0,0.0,2023-11-15,6.645000004768372,0.26152387250204173,6.906523877270414,6.38347613226633,7.168047749772455,6.121952259764289,101.58156578421271,2.6897445964821705,6490266,1874.983277159415,2538.2710073733374,13.247375027720913,40.53898554936104,6.900000095367432,7.200000286102295,6.75,7.350000381469727,6.449999809265137,7.65000057220459,6.299999713897705,,-5.555523177727257,-0.0011391973874257388,-0.07829877505634061,0.07715957766891487,58.81120667839005,9.872187474739759,6.839999961853027,6.645000004768372,6.74500002861023,7.23300000667572,SANCO.NS,2023-11-17 11:00:54.437533
4,2023-11-13 00:00:00+05:30,7.099999904632568,7.099999904632568,6.949999809265137,6.949999809265137,2882,0.0,0.0,2023-11-13,6.622499990463257,0.24358882821430616,6.866088818677563,6.378911162248951,7.109677646891869,6.135322334034644,179.21895150446838,25.857270751377776,6487899,2250.5505964965237,2704.092939926818,13.248104343389436,42.094459147928966,6.99999984105428,7.049999872843424,6.899999777475992,7.149999936421712,6.849999745686849,7.1999999682108555,6.749999682108561,,-16.666675496983476,-0.03291261825967773,-0.09758866947356934,0.06467605121389161,56.53533061837218,10.21351378221705,6.729999923706055,6.622499990463257,6.726000022888184,7.238500003814697,SANCO.NS,2023-11-17 11:00:54.437533
5,2023-11-10 00:00:00+05:30,6.550000190734863,6.949999809265137,6.5,6.949999809265137,3496,0.0,0.0,2023-11-10,6.615000009536743,0.23513714059859586,6.850137150135339,6.379862868938147,7.085274290733935,6.1447257283395516,176.47055349938225,-19.69060608227886,6490781,2730.0225140013345,2817.4785257843914,13.249006902377534,35.10060964894208,6.799999872843425,7.0999997456868496,6.649999936421713,7.2499996821085615,6.350000063578288,7.549999554951986,6.200000127156576,,-0.0,-0.06324502683380384,-0.11375768227704224,0.050512655443238394,56.53533061837218,10.126339399759578,6.639999961853027,6.615000009536743,6.71500002861023,7.241500005722046,SANCO.NS,2023-11-17 11:00:54.437533
6,2023-11-09 00:00:00+05:30,6.75,6.75,6.599999904632568,6.75,549,0.0,0.0,2023-11-09,6.62000002861023,0.2435483644715336,6.863548393081763,6.376451664138696,7.107096757553297,6.132903299667163,209.119518781826,-41.28441315461949,6487285,416.37642234101145,2839.3425287301557,13.25010209567905,27.262637753503867,6.699999968210856,6.8000000317891445,6.649999936421713,6.850000063578288,6.549999872843425,6.950000127156576,6.499999841054281,,-42.10526051613842,-0.10112144346531693,-0.12638584613785184,0.025264402672534908,51.957546059327875,10.550667185452319,6.55,6.62000002861023,6.71000002861023,7.245000009536743,SANCO.NS,2023-11-17 11:00:54.437533
7,2023-11-08 00:00:00+05:30,6.5,6.75,6.199999809265137,6.5,1222,0.0,0.0,2023-11-08,6.622500038146972,0.2452040370308494,6.867704075177822,6.377296001116123,7.112908112208671,6.132091964085274,14.651930198310325,-86.49805535102405,6486736,892.4719483652848,3445.0840553274415,13.250279576585445,25.130602971999835,6.483333269755046,6.766666730244955,6.216666539510092,7.033333460489909,5.933333079020183,7.316666920979818,5.6666663487752285,,-68.42104206455369,-0.1283856404603796,-0.13270194680598557,0.00431630634560598,45.26643856322607,10.954840690926224,6.480000019073486,6.622500038146972,6.716000032424927,7.254000010490418,SANCO.NS,2023-11-17 11:00:54.437533
8,2023-11-07 00:00:00+05:30,6.5,6.5,6.5,6.5,4422,0.0,0.0,2023-11-07,6.647500038146973,0.25725016879962936,6.904750206946602,6.390249869347343,7.162000375746231,6.132999700547714,22.65369546407589,-77.80773040721019,6487958,3229.5507002220043,4083.2370820679807,13.250689854819143,41.7089595922716,6.5,6.5,6.5,6.5,6.5,6.5,6.5,,-73.68420524280052,-0.1367256253940532,-0.13378102339238707,-0.00294460200166613,45.26643856322607,11.390104466051968,6.45,6.647500038146973,6.734000034332276,7.262000012397766,SANCO.NS,2023-11-17 11:00:54.437533
9,2023-11-06 00:00:00+05:30,6.75,6.75,6.5,6.5,3154,0.0,0.0,2023-11-06,6.687500047683716,0.2928422882728212,6.980342335956537,6.394657759410895,7.2731846242293585,6.101815471138073,67.66914552635217,-52.453471916256774,6492380,2303.483244798779,4296.6586775294745,13.252174928269897,51.91118694331724,6.583333333333333,6.666666666666666,6.416666666666666,6.833333333333333,6.333333333333333,6.916666666666666,6.166666666666666,,-73.68420524280052,-0.14533173299255875,-0.13304487289197053,-0.012286860100588215,45.26643856322607,11.543352086636121,6.419999980926514,6.687500047683716,6.759000034332275,7.273000011444092,SANCO.NS,2023-11-17 11:00:54.437533
10,2023-11-03 00:00:00+05:30,6.400000095367432,6.5,6.300000190734863,6.5,15151,0.0,0.0,2023-11-03,6.712500047683716,0.2973015005656059,7.009801548249322,6.41519854711811,7.307103048814928,6.117897046552504,-47.619019073700045,-71.47314857088116,6495534,11065.33755293161,4794.952535712147,13.253234559045548,44.945972560608375,6.433333396911621,6.566666603088379,6.366666793823242,6.633333206176758,6.233333587646484,6.766666412353516,6.1666669845581055,,-73.68420524280052,-0.1541481626756065,-0.12997315786682348,-0.024175004808783013,45.26643856322607,11.708387985726748,6.419999980926514,6.712500047683716,6.792000026702881,7.283000011444091,SANCO.NS,2023-11-17 11:00:54.437533
