Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-09-05 00:00:00+05:30,386.29998779296875,389.0,380.0,382.1499938964844,30401,0.0,0.0,2023-09-05,389.5950012207031,6.106591053991697,395.7015922746948,383.48841016671145,401.80818332868654,377.3818191127197,-66.86261293481552,-84.43002004292589,-210527,34257.84528435385,24053.411743607736,401.43185748193116,36.14328330208036,383.71666463216144,387.4333292643229,378.4333292643229,392.71666463216144,374.71666463216144,396.4333292643229,369.4333292643229,-0.2850328721674938,-76.58452350122661,-2.183559366300301,-1.0599971313094738,-1.1235622349908272,45.17398137872823,14.60380592475526,388.1000061035156,389.5950012207031,388.47900024414065,355.64949981689455,SAREGAMA.BO,2023-09-05 11:35:46.909091
2,2023-09-04 00:00:00+05:30,392.45001220703125,396.0,383.1499938964844,386.45001220703125,27895,0.0,0.0,2023-09-04,390.3600021362305,6.083139629274187,396.44314176550466,384.2768625069563,402.5262813947789,378.1937228776821,-13.937485721620467,-62.14586616516506,-180126,31787.6196877822,21502.30335842121,401.48350646242534,43.09838310149983,388.53333536783856,393.91667683919275,381.0666707356771,401.3833414713542,375.68332926432294,406.76668294270837,368.2166646321615,-0.2366173431898262,-61.44361070307572,-1.7158073651072527,-0.779106572561767,-0.9367007925454858,47.30078579748837,15.339170831809897,387.7900085449219,390.3600021362305,387.0610003662109,355.01849975585935,SAREGAMA.BO,2023-09-05 11:35:46.909091
3,2023-09-01 00:00:00+05:30,399.04998779296875,402.1000061035156,390.0,392.45001220703125,21468,0.0,0.0,2023-09-01,390.8625015258789,6.157787568447511,397.0202890943264,384.70471395743135,403.1780766627739,378.5469263889839,52.33514497179712,-31.738578069611002,-152231,24843.584135913366,18930.97427608096,401.52054722457575,47.06589264026231,394.8500061035156,399.70001220703125,387.6000061035156,406.95001220703125,382.75,411.8000183105469,375.5,-0.2220463723493303,-40.31684559928907,-1.514432631056252,-0.5449313744253954,-0.9695012566308565,50.37363002494406,16.41834241865852,387.1700073242188,390.8625015258789,385.60100036621094,354.33399963378906,SAREGAMA.BO,2023-09-05 11:35:46.909091
4,2023-08-31 00:00:00+05:30,382.1000061035156,399.1000061035156,382.1000061035156,397.3500061035156,17932,0.0,0.0,2023-08-31,391.48500061035156,6.910059435775606,398.3950600461272,384.57494117457594,405.30511948190275,377.6648817388004,27.927055147520658,-32.42206537897361,-130763,21010.68789406094,17452.821811122856,401.53777949083167,34.538198427411174,392.8500061035156,403.6000061035156,386.6000061035156,409.8500061035156,375.8500061035156,420.6000061035156,369.6000061035156,-0.14535308908039324,-23.06334225578679,-1.824575090778069,-0.3025560602676813,-1.5220190305103876,52.98384203044402,17.127230822341346,385.20000610351565,391.48500061035156,384.03900024414065,353.56199951171874,SAREGAMA.BO,2023-09-05 11:35:46.909091
5,2023-08-30 00:00:00+05:30,383.04998779296875,389.0,380.0,382.1000061035156,11583,0.0,0.0,2023-08-30,391.4375,6.870774299892825,398.30827429989284,384.56672570010716,405.17904859978563,377.69595140021437,-70.12485829546546,-54.84691094718,-148695,13050.778483879803,16563.355290388336,401.544435586155,37.407461794070535,383.7000020345052,387.4000040690104,378.4000040690104,392.7000020345052,374.7000020345052,396.4000040690104,369.4000040690104,-0.228558982128295,-79.50309440542871,-2.676581501124531,0.07794869735991561,-2.7545301984844466,44.70325373029856,18.150151162469964,383.5400024414063,391.4375,382.3920001220703,352.8059994506836,SAREGAMA.BO,2023-09-05 11:35:46.909091
6,2023-08-29 00:00:00+05:30,380.1000061035156,389.29998779296875,375.5,380.6000061035156,20015,0.0,0.0,2023-08-29,393.51750030517576,9.63572335353871,403.15322365871447,383.88177695163705,412.7889470122532,374.24605359809834,-106.49900030882245,-52.131754308256376,-160278,22462.73857061462,17441.499492015468,401.5644190143989,31.88477893098741,381.7999979654948,388.0999959309896,374.30000813802087,395.59998575846356,368.00001017252606,401.89998372395837,360.5000203450521,-0.29536582268685885,-84.16147773260167,-2.224959685566148,0.7665812469810271,-2.991540932547175,43.79920202496117,18.892328913077232,386.24000244140626,393.51750030517576,381.2229998779297,352.2064993286133,SAREGAMA.BO,2023-09-05 11:35:46.909091
7,2023-08-28 00:00:00+05:30,382.6000061035156,388.29998779296875,381.04998779296875,383.3500061035156,8757,0.0,0.0,2023-08-28,396.975,15.424250231811348,412.3992502318114,381.55074976818867,427.82350046362274,366.1264995363773,-95.35390191455234,-36.61158560264618,-140263,9898.95024853105,16186.189722365678,401.6017151612512,34.23254116164932,384.2333272298177,387.41666666666663,380.16666666666663,391.4833272298177,376.9833272298177,394.66666666666663,372.91666666666663,-0.35832113604242605,-81.84876001181723,-1.4653081234411616,1.5144664801178207,-2.9797746035589823,45.053138376128274,19.69159725988506,389.55,396.975,379.8969995117188,351.74399932861326,SAREGAMA.BO,2023-09-05 11:35:46.909091
8,2023-08-25 00:00:00+05:30,383.20001220703125,395.04998779296875,377.95001220703125,382.6000061035156,9006,0.0,0.0,2023-08-25,399.85749969482424,17.927671181084627,417.7851708759089,381.9298285137396,435.7128420569935,364.002157332655,-98.40762603047503,-26.434242436062373,-149020,10160.503564815708,17757.999590824333,401.61593264443707,34.18996250052787,385.2000020345052,392.44999186197913,375.35001627604163,402.2999776204427,368.1000264485677,409.54996744791663,358.25004069010413,-0.39094419792906826,-84.36976841517857,-0.7413556215774406,2.259410131007566,-3.0007657525850067,44.651850270024774,21.007596635126596,392.63999633789064,399.85749969482424,378.3409991455078,351.1959991455078,SAREGAMA.BO,2023-09-05 11:35:46.909091
9,2023-08-24 00:00:00+05:30,395.6000061035156,398.6499938964844,387.0,389.04998779296875,29380,0.0,0.0,2023-08-24,403.40999908447264,21.088825670030012,424.49882475450266,382.3211734144426,445.5876504245327,361.2323477444126,-14.805570240700025,-4.164852962525618,-140014,33705.09183535373,19657.37359732649,401.63117883451747,33.64181188143267,391.56666056315106,396.1333211263021,384.48332722981775,403.21665445963544,379.9166666666667,407.7833150227865,372.83333333333337,-0.47958105051626937,-69.73247611922476,0.27061925765076467,3.0096015691538174,-2.7389823115030527,47.41728793863611,22.424826731540556,395.8299926757812,403.40999908447264,376.8459991455078,350.64499908447266,SAREGAMA.BO,2023-09-05 11:35:46.909091
10,2023-08-23 00:00:00+05:30,392.04998779296875,401.0,392.04998779296875,395.6000061035156,5395,0.0,0.0,2023-08-23,408.2125,27.58317547488146,435.7956754748814,380.62932452511853,463.3788509497629,353.04614905023703,63.057195413831565,11.013263693263195,-110634,6293.410435873289,16145.444037819676,401.66417191402485,45.265300837325725,396.21666463216144,400.38334147135413,391.4333292643229,405.1666768391927,387.2666524251302,409.3333536783854,382.48331705729163,-0.1718736912560918,-47.826055893108844,0.9269280009186787,3.6943471470295806,-2.767419146110902,50.35826815081041,23.59889329572396,394.85999755859376,408.2125,375.19999938964844,350.0814993286133,SAREGAMA.BO,2023-09-05 11:35:46.909091
