Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,macd,macd_ema_9,symbol,created_on
1,2023-07-14 00:00:00+05:30,338.0,345.6000061035156,337.75,342.45001220703125,69699,0.0,0.0,2023-07-14,335.5563531668531,320.2634977938043,15.292855373048837,14.80522064269384,SELAN.NS,2023-07-17 21:53:00.364875
2,2023-07-13 00:00:00+05:30,349.79998779296875,351.8999938964844,331.0,335.1499938964844,121231,0.0,0.0,2023-07-13,334.3029606140935,318.48857664074615,15.814383973347333,14.683311960105089,SELAN.NS,2023-07-17 21:53:00.364875
3,2023-07-12 00:00:00+05:30,352.29998779296875,357.8999938964844,345.1000061035156,349.70001220703125,151946,0.0,0.0,2023-07-12,334.1489545627497,317.1556632602871,16.99329130246258,14.400543956794525,SELAN.NS,2023-07-17 21:53:00.364875
4,2023-07-11 00:00:00+05:30,342.8500061035156,358.5,342.8500061035156,350.8500061035156,135906,0.0,0.0,2023-07-11,331.32148953651665,314.55211534454753,16.76937419196912,13.75235712037751,SELAN.NS,2023-07-17 21:53:00.364875
5,2023-07-10 00:00:00+05:30,355.45001220703125,367.3999938964844,341.1000061035156,345.29998779296875,218397,0.0,0.0,2023-07-10,327.77085016069867,311.6482840838301,16.122566076868566,12.998102852479606,SELAN.NS,2023-07-17 21:53:00.364875
6,2023-07-07 00:00:00+05:30,353.45001220703125,360.0,340.3500061035156,353.20001220703125,230102,0.0,0.0,2023-07-07,324.58373422755864,308.956147787099,15.627586440459652,12.216987046382366,SELAN.NS,2023-07-17 21:53:00.364875
7,2023-07-06 00:00:00+05:30,338.79998779296875,366.5,330.0,353.1499938964844,654199,0.0,0.0,2023-07-06,319.38077459492723,305.4166386335044,13.964135961422812,11.364337197863044,SELAN.NS,2023-07-17 21:53:00.364875
8,2023-07-05 00:00:00+05:30,316.04998779296875,341.95001220703125,312.54998779296875,338.29998779296875,522431,0.0,0.0,2023-07-05,313.2409165400986,301.597970212466,11.642946327632615,10.714387506973102,SELAN.NS,2023-07-17 21:53:00.364875
9,2023-07-04 00:00:00+05:30,317.04998779296875,318.6000061035156,310.3500061035156,312.45001220703125,39550,0.0,0.0,2023-07-04,308.6847217668495,298.66180880602576,10.02291296082376,10.482247801808224,SELAN.NS,2023-07-17 21:53:00.364875
10,2023-07-03 00:00:00+05:30,313.0,325.95001220703125,312.1000061035156,315.1499938964844,115915,0.0,0.0,2023-07-03,308.00012350499827,297.5587525339453,10.441370971052947,10.59708151205434,SELAN.NS,2023-07-17 21:53:00.364875
11,2023-06-30 00:00:00+05:30,304.54998779296875,317.95001220703125,302.54998779296875,309.75,74016,0.0,0.0,2023-06-30,306.70014707018265,296.1514532249422,10.54869384524045,10.636009147304687,SELAN.NS,2023-07-17 21:53:00.364875
12,2023-06-27 00:00:00+05:30,313.0,314.95001220703125,309.0,312.25,45377,0.0,0.0,2023-06-27,306.14562835567045,295.06356948293757,11.082058872732887,10.657837972820744,SELAN.NS,2023-07-17 21:53:00.364875
13,2023-06-26 00:00:00+05:30,309.8999938964844,315.0,306.95001220703125,311.25,42649,0.0,0.0,2023-06-26,305.035742602156,293.6886550415726,11.347087560583418,10.551782747842708,SELAN.NS,2023-07-17 21:53:00.364875
14,2023-06-23 00:00:00+05:30,306.20001220703125,310.0,302.54998779296875,307.45001220703125,30265,0.0,0.0,2023-06-23,303.90587762072977,292.2837474448984,11.622130175831387,10.352956544657529,SELAN.NS,2023-07-17 21:53:00.364875
15,2023-06-22 00:00:00+05:30,313.95001220703125,316.95001220703125,302.54998779296875,304.5,59325,0.0,0.0,2023-06-22,303.2614895141295,291.0704462639278,12.191043250201687,10.035663136864063,SELAN.NS,2023-07-17 21:53:00.364875
16,2023-06-21 00:00:00+05:30,327.0,327.0,310.29998779296875,311.04998779296875,56096,0.0,0.0,2023-06-21,303.03630578942574,289.99608196504204,13.040223824383702,9.496818108529657,SELAN.NS,2023-07-17 21:53:00.364875
17,2023-06-20 00:00:00+05:30,321.5,328.1000061035156,317.5,322.95001220703125,124041,0.0,0.0,2023-06-20,301.57927269787245,288.3117694988079,13.26750319906455,8.610966679566145,SELAN.NS,2023-07-17 21:53:00.364875
18,2023-06-19 00:00:00+05:30,310.0,325.45001220703125,310.0,318.29998779296875,95224,0.0,0.0,2023-06-19,297.6936836962072,285.54071008215004,12.152973614057146,7.446832549691543,SELAN.NS,2023-07-17 21:53:00.364875
19,2023-06-16 00:00:00+05:30,321.0,323.45001220703125,310.3500061035156,313.0,103171,0.0,0.0,2023-06-16,293.94708295134143,282.9199678652845,11.027115086056938,6.270297283600141,SELAN.NS,2023-07-17 21:53:00.364875
20,2023-06-15 00:00:00+05:30,303.20001220703125,325.0,302.20001220703125,318.5,452007,0.0,0.0,2023-06-15,290.4829162152217,280.51356529450726,9.969350920714419,5.0810928329859415,SELAN.NS,2023-07-17 21:53:00.364875
21,2023-06-14 00:00:00+05:30,303.45001220703125,308.04998779296875,296.0,301.54998779296875,118711,0.0,0.0,2023-06-14,285.3889009816256,277.47465051806785,7.914250463557778,3.859028311053822,SELAN.NS,2023-07-17 21:53:00.364875
22,2023-06-13 00:00:00+05:30,307.5,307.5,300.54998779296875,301.75,64988,0.0,0.0,2023-06-13,282.45052156138144,275.5486235360758,6.901898025305627,2.8452227729278334,SELAN.NS,2023-07-17 21:53:00.364875
23,2023-06-12 00:00:00+05:30,302.29998779296875,311.79998779296875,301.0,305.79998779296875,222307,0.0,0.0,2023-06-12,278.9415254816326,273.45251341896187,5.489012062670724,1.8310539598333853,SELAN.NS,2023-07-17 21:53:00.364875
