Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-01-02 00:00:00+05:30,24.649999618530273,24.649999618530273,24.0,24.600000381469727,61903,0.0,0.0,2024-01-02,23.152499961853028,1.2030090887800284,24.355509050633056,21.949490873073,25.558518139413085,20.74648178429297,84.01824575118415,145.3602456379207,19339,111514.10125957272,130981.41808678726,25.359299408894042,78.45941108063883,24.416666666666668,24.833333333333336,24.183333714803062,25.06666628519694,23.766667048136394,25.48333295186361,23.53333409627279,0.2131422583732649,-21.917789607404902,0.576918498247025,0.46404804031068714,0.11287045793633788,66.9589232712219,33.000725361244406,24.190000152587892,23.152499961853028,22.492999992370606,22.735500030517578,SIL.NS,2024-01-02 10:57:42.372779
2,2024-01-01 00:00:00+05:30,24.549999237060547,24.549999237060547,23.5,24.450000762939453,59986,0.0,0.0,2024-01-01,23.017499923706055,1.1833579768318387,24.200857900537894,21.834141946874215,25.384215877369734,20.650783970042376,32.338274182933795,140.6839330167496,-42564,107401.84902333507,135848.2472935909,25.360294540536888,78.3841807895549,24.166666666666668,24.833333333333336,23.78333409627279,25.216665903727215,23.11666742960612,25.883332570393883,22.733334859212242,0.19773491621866982,-24.675292505507777,0.5515169747960869,0.4358304258266026,0.11568654896948427,65.78687297613052,34.6605002212714,24.14000015258789,23.017499923706055,22.455,22.71200002670288,SIL.NS,2024-01-02 10:57:42.372779
3,2023-12-29 00:00:00+05:30,23.899999618530273,24.5,23.850000381469727,24.0,58017,0.0,0.0,2023-12-29,22.88749990463257,1.1602944806074689,24.04779438524004,21.7272054240251,25.208088865847508,20.566910943417632,38.847126780057906,151.9519462757806,-102550,101964.61596213169,142959.84686115483,25.361452089526573,72.4623246692264,24.116666793823242,24.383333206176758,23.733333587646484,24.766666412353516,23.46666717529297,25.03333282470703,23.08333396911621,0.18417862765876297,-35.89742962738718,0.5254116992513431,0.4069087885842315,0.1185029106671116,62.0353459912005,36.25191027171996,24.05,22.88749990463257,22.423999977111816,22.68950002670288,SIL.NS,2024-01-02 10:57:42.372779
4,2023-12-28 00:00:00+05:30,24.600000381469727,24.600000381469727,23.100000381469727,23.850000381469727,43652,0.0,0.0,2023-12-28,22.777499866485595,1.1535387983064032,23.931038664792,21.62396106817919,25.0845774630984,20.47042226987279,17.563144342631546,144.50626431713275,-160567,76238.70573065135,153208.6545859106,25.363128575766716,67.51400861471186,23.850000381469727,24.600000381469727,23.100000381469727,25.350000381469727,22.350000381469727,26.100000381469727,21.600000381469727,0.2091765744255841,-39.74357406846796,0.5283465094986752,0.3772830609174536,0.15106344858122162,60.70156468600813,38.497151820007055,23.979999923706053,22.777499866485595,22.40699996948242,22.681500034332274,SIL.NS,2024-01-02 10:57:42.372779
5,2023-12-27 00:00:00+05:30,24.350000381469727,24.350000381469727,23.700000762939453,24.049999237060547,43459,0.0,0.0,2023-12-27,22.667499828338624,1.1507750868874818,23.818274915226105,21.516724741451142,24.969050002113587,20.36594965456366,44.4806114756578,181.84252480489442,-116915,76538.1170704385,172451.14179972542,25.364531792625538,70.55598315197736,24.03333346048991,24.366666158040367,23.716666539510094,24.683333079020183,23.383333841959637,25.01666577657064,23.06666692097982,0.1994443271539447,-34.615397782486916,0.5388713955115172,0.3395171987721482,0.199354196739369,63.46196951812082,40.915104256623934,23.929999923706056,22.667499828338624,22.39099994659424,22.678500022888183,SIL.NS,2024-01-02 10:57:42.372779
6,2023-12-26 00:00:00+05:30,24.549999237060547,24.549999237060547,23.25,24.350000381469727,69644,0.0,0.0,2023-12-26,22.549999904632568,1.1217938617380527,23.67179376637062,21.428206042894516,24.793587628108675,20.30641218115646,54.21546749426591,211.9673196801455,-73456,124184.0036443528,196429.39798204714,25.36574657127805,73.53722362441144,24.049999872843426,24.84999974568685,23.550000508626304,25.349999109903973,22.75000063578288,26.149998982747398,22.250001271565758,0.1895136538895212,-26.92305999394539,0.5244848638635418,0.28967864958730594,0.23480621427623583,67.75348947151116,43.642911203507346,24.09000015258789,22.549999904632568,22.361999969482422,22.672000026702882,SIL.NS,2024-01-02 10:57:42.372779
7,2023-12-22 00:00:00+05:30,24.399999618530273,24.399999618530273,23.5,24.0,39868,0.0,0.0,2023-12-22,22.429999923706056,1.0448370621247887,23.474836985830844,21.385162861581268,24.519674047955633,20.34032579945648,59.861757887515054,239.5336966816851,-143100,70067.8302769579,214490.7465664707,25.36725303478058,70.4203635817149,23.96666653951009,24.43333307902018,23.533333460489906,24.866666158040363,23.066666920979817,25.333332697550453,22.633333841959633,0.17575866707446997,-35.89742962738718,0.46857343618509617,0.23097709601824695,0.23759634016684922,65.20440667103328,46.58054945399718,24.070000076293944,22.429999923706056,22.326999969482422,22.665000019073485,SIL.NS,2024-01-02 10:57:42.372779
8,2023-12-21 00:00:00+05:30,23.600000381469727,24.200000762939453,22.450000762939453,23.649999618530273,82761,0.0,0.0,2023-12-21,22.32749996185303,0.981335806910741,23.30883576876377,21.346164154942286,24.29017157567451,20.364828348031548,40.32259407532897,203.18047371979065,-182968,143330.90587437496,250596.47563884893,25.368414836271178,71.03146964931221,23.43333371480306,24.416666666666664,22.666666666666664,25.18333371480306,21.68333371480306,26.166666666666664,20.916666666666664,0.16793284229759337,-44.87179926082897,0.4243600029205403,0.17157801097653463,0.2527819919440057,62.44795675279703,49.331676590911336,23.89000015258789,22.32749996185303,22.30099998474121,22.662500019073487,SIL.NS,2024-01-02 10:57:42.372779
9,2023-12-20 00:00:00+05:30,25.200000762939453,25.200000762939453,23.600000381469727,23.600000381469727,149564,0.0,0.0,2023-12-20,22.242500019073486,0.9331999235904859,23.17569994266397,21.309300095483,24.108899866254458,20.376100171892514,97.85230729508889,362.1588878468954,-265729,258477.0923544288,277412.8680799674,25.371451377415653,75.38969627403222,24.133333841959637,24.666667302449547,23.06666692097982,25.733334223429363,22.53333346048991,26.266667683919273,21.466666539510094,0.15585209518246604,-46.15383110572924,0.395793447856569,0.1083825129905332,0.2874109348660358,62.04914801359694,52.5637423116948,23.560000228881837,22.242500019073486,22.278999977111816,22.66400001525879,SIL.NS,2024-01-02 10:57:42.372779
10,2023-12-19 00:00:00+05:30,24.899999618530273,25.399999618530273,24.549999237060547,24.850000381469727,313516,0.0,0.0,2023-12-19,22.157499980926513,0.8788862273283927,23.036386208254907,21.27861375359812,23.915272435583297,20.39972752626973,195.91885665272156,623.999132419079,-116165,570517.6534920387,282146.81201135204,25.377126439762822,84.12519776279935,24.933333079020183,25.31666692097982,24.466666539510094,25.78333346048991,24.083332697550457,26.166667302449547,23.616666158040367,0.24376510932699047,-13.749980926513672,0.3581468977070408,0.03652977927402423,0.32161711843301655,82.35221851631465,53.85530136601801,23.190000152587892,22.157499980926513,22.25099998474121,22.668500003814696,SIL.NS,2024-01-02 10:57:42.372779
11,2023-12-18 00:00:00+05:30,23.5,24.25,23.200000762939453,24.25,258689,0.0,0.0,2023-12-18,22.0125,0.6091139656708189,22.621613965670818,21.40338603432918,23.230727931341637,20.794272068658362,250.57468179952244,535.2799363778065,-429681,459380.63416881126,210054.10164118034,25.380690252955535,76.28876227301205,23.900000254313152,24.59999974568685,23.550000508626304,24.9499994913737,22.850001017252605,25.649998982747398,22.500001271565758,0.33283568737562796,-0.0,0.18141537671701258,-0.04387450033422991,0.22528987705124248,79.33897429715472,52.57911951530599,22.6,22.0125,22.20699996948242,22.6589999961853,SIL.NS,2024-01-02 10:57:42.372779
12,2023-12-15 00:00:00+05:30,22.0,23.100000381469727,21.850000381469727,23.100000381469727,208703,0.0,0.0,2023-12-15,21.910000038146972,0.31355366222797576,22.223553700374946,21.596446375918998,22.537107362602924,21.28289271369102,317.5852998663372,217.08703813867456,-688370,353039.7906939938,147722.46850927258,25.38703321113048,64.78360781109285,22.68333371480306,23.51666704813639,22.26666704813639,23.93333371480306,21.43333371480306,24.76666704813639,21.01666704813639,0.19417143853419327,-0.0,0.011487703674266214,-0.10019696959704052,0.11168467327130674,70.31961609854629,52.120093159695244,22.070000076293944,21.910000038146972,22.168999977111817,22.65253105163574,SIL.NS,2024-01-02 10:57:42.372779
