Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,macd,macd_ema_9,symbol,created_on
1,2023-07-28 00:00:00+05:30,65.25,65.25,63.75,64.0,30976,0.0,0.0,2023-07-28,65.32959674879916,65.7265136301865,-0.39691688138734094,-0.09893338143807208,SPLIL.NS,2023-07-30 18:10:04.772707
2,2023-07-27 00:00:00+05:30,65.75,67.1500015258789,64.1500015258789,64.69999694824219,126423,0.0,0.0,2023-07-27,65.57134161221718,65.86463472060143,-0.2932931083842476,-0.024437506450754855,SPLIL.NS,2023-07-30 18:10:04.772707
3,2023-07-26 00:00:00+05:30,65.30000305175781,65.8499984741211,64.5999984741211,64.8499984741211,18214,0.0,0.0,2023-07-26,65.7297679147581,65.95780574239016,-0.2280378276320647,0.042776394032618334,SPLIL.NS,2023-07-30 18:10:04.772707
4,2023-07-25 00:00:00+05:30,65.0,65.75,64.4000015258789,64.94999694824219,24575,0.0,0.0,2023-07-25,65.88972599487391,66.0464303238517,-0.15670432897778142,0.11047994944878908,SPLIL.NS,2023-07-30 18:10:04.772707
5,2023-07-24 00:00:00+05:30,66.0,66.9000015258789,64.69999694824219,65.0,25089,0.0,0.0,2023-07-24,66.06058582153423,66.13414499390045,-0.07355917236621679,0.1772760190554317,SPLIL.NS,2023-07-30 18:10:04.772707
6,2023-07-21 00:00:00+05:30,67.69999694824219,67.69999694824219,65.5999984741211,66.0,22032,0.0,0.0,2023-07-21,66.25341960726773,66.22487659341249,0.028543013855241384,0.2399848169108438,SPLIL.NS,2023-07-30 18:10:04.772707
7,2023-07-20 00:00:00+05:30,67.05000305175781,67.0999984741211,65.6500015258789,66.44999694824219,23996,0.0,0.0,2023-07-20,66.29949589949823,66.24286672088549,0.056629178612737974,0.2928452676747444,SPLIL.NS,2023-07-30 18:10:04.772707
8,2023-07-19 00:00:00+05:30,66.05000305175781,67.94999694824219,65.05000305175781,66.55000305175781,76259,0.0,0.0,2023-07-19,66.27213207245386,66.22629630269695,0.04583576975690562,0.351899289940246,SPLIL.NS,2023-07-30 18:10:04.772707
9,2023-07-18 00:00:00+05:30,65.19999694824219,66.80000305175781,64.69999694824219,65.1500015258789,17479,0.0,0.0,2023-07-18,66.22161007621678,66.20039976277208,0.021210313444697704,0.4284151699860811,SPLIL.NS,2023-07-30 18:10:04.772707
10,2023-07-17 00:00:00+05:30,65.5,67.30000305175781,65.25,65.94999694824219,32575,0.0,0.0,2023-07-17,66.41644799446003,66.28443162172353,0.13201637273650135,0.5302163841214269,SPLIL.NS,2023-07-30 18:10:04.772707
11,2023-07-14 00:00:00+05:30,65.25,66.9000015258789,65.1500015258789,66.19999694824219,31817,0.0,0.0,2023-07-14,66.50125727559055,66.31118639560204,0.1900708799885109,0.6297663869676583,SPLIL.NS,2023-07-30 18:10:04.772707
12,2023-07-13 00:00:00+05:30,65.6500015258789,67.94999694824219,64.5,64.80000305175781,49996,0.0,0.0,2023-07-13,66.55603188056297,66.32008155139081,0.2359503291721552,0.7396902637124451,SPLIL.NS,2023-07-30 18:10:04.772707
13,2023-07-12 00:00:00+05:30,66.1500015258789,67.1500015258789,64.9000015258789,66.5999984741211,46110,0.0,0.0,2023-07-12,66.87530984943663,66.44168783136146,0.43362201807516954,0.8656252473475174,SPLIL.NS,2023-07-30 18:10:04.772707
14,2023-07-11 00:00:00+05:30,65.05000305175781,66.3499984741211,64.30000305175781,66.05000305175781,37415,0.0,0.0,2023-07-11,66.92536646313036,66.42902297994068,0.49634348318967625,0.9736260546656045,SPLIL.NS,2023-07-30 18:10:04.772707
15,2023-07-10 00:00:00+05:30,67.75,67.75,63.650001525878906,64.0999984741211,48640,0.0,0.0,2023-07-10,67.08452344701628,66.45934457419531,0.6251788728209675,1.0929466975345865,SPLIL.NS,2023-07-30 18:10:04.772707
16,2023-07-07 00:00:00+05:30,68.4000015258789,68.55000305175781,66.0,66.4000015258789,44082,0.0,0.0,2023-07-07,67.62716435117905,66.64809226220126,0.9790720889777873,1.2098886537129911,SPLIL.NS,2023-07-30 18:10:04.772707
17,2023-07-06 00:00:00+05:30,67.8499984741211,68.30000305175781,67.0,67.5999984741211,28807,0.0,0.0,2023-07-06,67.85028486486998,66.66793952110704,1.1823453437629325,1.2675927948967922,SPLIL.NS,2023-07-30 18:10:04.772707
18,2023-07-05 00:00:00+05:30,69.0,69.44999694824219,67.1500015258789,67.8499984741211,63756,0.0,0.0,2023-07-05,67.89579148136977,66.59337480486592,1.302416676503853,1.288904657680257,SPLIL.NS,2023-07-30 18:10:04.772707
19,2023-07-04 00:00:00+05:30,69.30000305175781,70.1500015258789,67.5,67.9000015258789,43391,0.0,0.0,2023-07-04,67.90411748268771,66.4928449113255,1.411272571362204,1.2855266529743576,SPLIL.NS,2023-07-30 18:10:04.772707
20,2023-07-03 00:00:00+05:30,70.80000305175781,70.80000305175781,68.30000305175781,69.19999694824219,30417,0.0,0.0,2023-07-03,67.90486583847112,66.38027238216124,1.524593456309887,1.254090173377396,SPLIL.NS,2023-07-30 18:10:04.772707
21,2023-06-30 00:00:00+05:30,69.30000305175781,70.69999694824219,69.0999984741211,69.75,58756,0.0,0.0,2023-06-30,67.66938745487639,66.15469441687476,1.5146930380016244,1.186464352644273,SPLIL.NS,2023-07-30 18:10:04.772707
22,2023-06-27 00:00:00+05:30,66.8499984741211,70.69999694824219,66.8499984741211,69.9000015258789,123160,0.0,0.0,2023-06-27,67.29109426485391,65.86706997022473,1.4240242946291772,1.1044071813049352,SPLIL.NS,2023-07-30 18:10:04.772707
23,2023-06-26 00:00:00+05:30,68.6500015258789,68.6500015258789,65.25,66.69999694824219,47688,0.0,0.0,2023-06-26,66.8167474901221,65.5444354457724,1.2723120443497038,1.0245029029738746,SPLIL.NS,2023-07-30 18:10:04.772707
24,2023-06-23 00:00:00+05:30,68.4000015258789,68.4000015258789,66.3499984741211,67.6500015258789,40596,0.0,0.0,2023-06-23,66.837974861373,65.45199052557481,1.3859843357981845,0.9625506176299172,SPLIL.NS,2023-07-30 18:10:04.772707
25,2023-06-22 00:00:00+05:30,70.3499984741211,70.5,67.0,67.69999694824219,60164,0.0,0.0,2023-06-22,66.69033364964464,65.27614964555049,1.4141840040941531,0.8566921880878504,SPLIL.NS,2023-07-30 18:10:04.772707
26,2023-06-21 00:00:00+05:30,71.3499984741211,71.3499984741211,68.5,69.4000015258789,101667,0.0,0.0,2023-06-21,66.50675850444509,65.08224186133516,1.424516643109925,0.7173192340862746,SPLIL.NS,2023-07-30 18:10:04.772707
27,2023-06-20 00:00:00+05:30,71.9000015258789,74.69999694824219,68.9000015258789,70.30000305175781,279119,0.0,0.0,2023-06-20,65.98071431872985,64.73682108817167,1.2438932305581858,0.540519881830362,SPLIL.NS,2023-07-30 18:10:04.772707
28,2023-06-19 00:00:00+05:30,66.25,71.9000015258789,66.25,69.30000305175781,378581,0.0,0.0,2023-06-19,65.19538909454295,64.29176653108478,0.9036225634581712,0.36467654464840604,SPLIL.NS,2023-07-30 18:10:04.772707
29,2023-06-16 00:00:00+05:30,64.5,65.94999694824219,64.5,65.30000305175781,33207,0.0,0.0,2023-06-16,64.44909564777662,63.89110760943094,0.5579880383456768,0.2299400399459647,SPLIL.NS,2023-07-30 18:10:04.772707
30,2023-06-15 00:00:00+05:30,65.30000305175781,65.8499984741211,63.400001525878906,64.30000305175781,37301,0.0,0.0,2023-06-15,64.29438521068913,63.778395974044784,0.5159892366443444,0.14792804034603668,SPLIL.NS,2023-07-30 18:10:04.772707
31,2023-06-14 00:00:00+05:30,66.0,66.55000305175781,64.30000305175781,64.9000015258789,40370,0.0,0.0,2023-06-14,64.29336378504028,63.736667407827746,0.5566963772125391,0.05591274127145976,SPLIL.NS,2023-07-30 18:10:04.772707
32,2023-06-13 00:00:00+05:30,66.80000305175781,67.9000015258789,65.5,65.9000015258789,42545,0.0,0.0,2023-06-13,64.18306601397872,63.64360067838365,0.539465335595068,-0.06928316771381007,SPLIL.NS,2023-07-30 18:10:04.772707
33,2023-06-12 00:00:00+05:30,65.25,67.3499984741211,65.05000305175781,66.3499984741211,70326,0.0,0.0,2023-06-12,63.87089592090595,63.46308861058402,0.4078073103219282,-0.2214702935410296,SPLIL.NS,2023-07-30 18:10:04.772707
34,2023-06-09 00:00:00+05:30,66.44999694824219,66.44999694824219,64.6500015258789,65.55000305175781,30560,0.0,0.0,2023-06-09,63.42015000213956,63.23213582150106,0.18801418063849695,-0.378789694506769,SPLIL.NS,2023-07-30 18:10:04.772707
35,2023-06-08 00:00:00+05:30,66.30000305175781,66.9000015258789,64.6500015258789,65.55000305175781,119472,0.0,0.0,2023-06-08,63.03290399311806,63.04670644308052,-0.013802449962454943,-0.5204906632930855,SPLIL.NS,2023-07-30 18:10:04.772707
36,2023-06-07 00:00:00+05:30,63.25,65.25,63.150001525878906,64.6500015258789,79499,0.0,0.0,2023-06-07,62.57524961881993,62.84644271438633,-0.2711930955663959,-0.6471627166257431,SPLIL.NS,2023-07-30 18:10:04.772707
37,2023-06-06 00:00:00+05:30,64.75,64.75,62.0,63.25,52329,0.0,0.0,2023-06-06,62.19802199935466,62.70215800946692,-0.5041360101122621,-0.7411551218905799,SPLIL.NS,2023-07-30 18:10:04.772707
38,2023-06-05 00:00:00+05:30,65.0,67.0,62.349998474121094,63.45000076293945,51369,0.0,0.0,2023-06-05,62.00675327196459,62.65833065022428,-0.6515773782596881,-0.8004098998351592,SPLIL.NS,2023-07-30 18:10:04.772707
39,2023-06-02 00:00:00+05:30,60.650001525878906,64.69999694824219,60.0,64.1500015258789,115413,0.0,0.0,2023-06-02,61.74434463724189,62.594997041207066,-0.8506524039651779,-0.8376180302290268,SPLIL.NS,2023-07-30 18:10:04.772707
40,2023-06-01 00:00:00+05:30,60.849998474121094,62.29999923706055,60.5,61.0,21654,0.0,0.0,2023-06-01,61.30695247567152,62.47059668243332,-1.163644206761795,-0.8343594367949889,SPLIL.NS,2023-07-30 18:10:04.772707
